"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType"
"2107","1752052080323","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","2108","0.0-0.0","98","1","2025-07-09 09:07:55","7701e855f2ef39aa3fd6c71abdc6918a","76.144.151.229","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6568469e1b1d85db28417bb2","686d226cabeef709c732f8e1","686e3127faf30bf8a7936e04","6568469e1b1d85db28417bb2","2025-07-09T09:08:00.324Z","","","","","",""
"5124","","","","instructions","1","7232","0.0-1.0","98","1","2025-07-09 09:07:55","7701e855f2ef39aa3fd6c71abdc6918a","76.144.151.229","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6568469e1b1d85db28417bb2","686d226cabeef709c732f8e1","686e3127faf30bf8a7936e04","6568469e1b1d85db28417bb2","","[{""page_index"":0,""viewing_time"":3166},{""page_index"":1,""viewing_time"":1957}]","","","","",""
"3914","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","11147","0.0-2.0","98","1","2025-07-09 09:07:55","7701e855f2ef39aa3fd6c71abdc6918a","76.144.151.229","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6568469e1b1d85db28417bb2","686d226cabeef709c732f8e1","686e3127faf30bf8a7936e04","6568469e1b1d85db28417bb2","","","[0,1,2,3,4,5,6]","true","","",""
"8287","","","","fullscreen","3","20449","0.0-4.0","98","1","2025-07-09 09:07:55","7701e855f2ef39aa3fd6c71abdc6918a","76.144.151.229","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6568469e1b1d85db28417bb2","686d226cabeef709c732f8e1","686e3127faf30bf8a7936e04","6568469e1b1d85db28417bb2","","","","","true","",""
"5405","1752052104071"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","25855","0.0-5.0","98","1","2025-07-09 09:07:55","7701e855f2ef39aa3fd6c71abdc6918a","76.144.151.229","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6568469e1b1d85db28417bb2","686d226cabeef709c732f8e1","686e3127faf30bf8a7936e04","6568469e1b1d85db28417bb2","2025-07-09T09:08:24.071Z","","","","","",""
"4315","","","{""age"":""29""}","survey-text","5","30172","0.0-6.0-0.0","98","1","2025-07-09 09:07:55","7701e855f2ef39aa3fd6c71abdc6918a","76.144.151.229","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6568469e1b1d85db28417bb2","686d226cabeef709c732f8e1","686e3127faf30bf8a7936e04","6568469e1b1d85db28417bb2","","","","","","0","demographics"
"3276","","","{""gender_identity"":""female/woman""}","survey-multi-choice","6","33448","0.0-6.0-1.0","98","1","2025-07-09 09:07:55","7701e855f2ef39aa3fd6c71abdc6918a","76.144.151.229","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6568469e1b1d85db28417bb2","686d226cabeef709c732f8e1","686e3127faf30bf8a7936e04","6568469e1b1d85db28417bb2","","","[0]","","","1","demographics"
"2766","","","{""assigned_sex"":""female""}","survey-multi-choice","7","36214","0.0-6.0-2.0","98","1","2025-07-09 09:07:55","7701e855f2ef39aa3fd6c71abdc6918a","76.144.151.229","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6568469e1b1d85db28417bb2","686d226cabeef709c732f8e1","686e3127faf30bf8a7936e04","6568469e1b1d85db28417bb2","","","[0]","","","2","demographics"
"3863","","","{""menstrual_cycle"":""Yes""}","survey-multi-choice","8","40078","0.0-6.0-3.0","98","1","2025-07-09 09:07:55","7701e855f2ef39aa3fd6c71abdc6918a","76.144.151.229","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6568469e1b1d85db28417bb2","686d226cabeef709c732f8e1","686e3127faf30bf8a7936e04","6568469e1b1d85db28417bb2","","","[0]","","","4","demographics"
"100728","","","{""education"":""Others""}","survey-multi-choice","9","140807","0.0-6.0-4.0","98","1","2025-07-09 09:07:55","7701e855f2ef39aa3fd6c71abdc6918a","76.144.151.229","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6568469e1b1d85db28417bb2","686d226cabeef709c732f8e1","686e3127faf30bf8a7936e04","6568469e1b1d85db28417bb2","","","[0]","","","5","demographics"
