"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType"
"23955","1751451582590","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","23959","0.0-0.0","93","1","2025-07-02 10:19:16","80fe4187154257d5fb01684ea91b68b9","41.150.227.129","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","61695de0da820cd0b0e7106e","683db6dfa200031b80f2a654","6865076f64cf2d47675ff585","61695de0da820cd0b0e7106e","2025-07-02T10:19:42.594Z","","","","","",""
"43728","","","","instructions","1","67692","0.0-1.0","93","1","2025-07-02 10:19:16","80fe4187154257d5fb01684ea91b68b9","41.150.227.129","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","61695de0da820cd0b0e7106e","683db6dfa200031b80f2a654","6865076f64cf2d47675ff585","61695de0da820cd0b0e7106e","","[{""page_index"":0,""viewing_time"":24984},{""page_index"":1,""viewing_time"":18742}]","","","","",""
"10854","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","78555","0.0-2.0","93","1","2025-07-02 10:19:16","80fe4187154257d5fb01684ea91b68b9","41.150.227.129","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","61695de0da820cd0b0e7106e","683db6dfa200031b80f2a654","6865076f64cf2d47675ff585","61695de0da820cd0b0e7106e","","","[0,1,2,3,4,5,6]","true","","",""
"16672","","","","fullscreen","3","96243","0.0-4.0","93","1","2025-07-02 10:19:16","80fe4187154257d5fb01684ea91b68b9","41.150.227.129","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","61695de0da820cd0b0e7106e","683db6dfa200031b80f2a654","6865076f64cf2d47675ff585","61695de0da820cd0b0e7106e","","","","","true","",""
"9348","1751451664227"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","105596","0.0-5.0","93","1","2025-07-02 10:19:16","80fe4187154257d5fb01684ea91b68b9","41.150.227.129","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","61695de0da820cd0b0e7106e","683db6dfa200031b80f2a654","6865076f64cf2d47675ff585","61695de0da820cd0b0e7106e","2025-07-02T10:21:04.230Z","","","","","",""
"4660","","","{""age"":""32""}","survey-text","5","110271","0.0-6.0-0.0","93","1","2025-07-02 10:19:16","80fe4187154257d5fb01684ea91b68b9","41.150.227.129","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","61695de0da820cd0b0e7106e","683db6dfa200031b80f2a654","6865076f64cf2d47675ff585","61695de0da820cd0b0e7106e","","","","","","0","demographics"
"3687","","","{""gender_identity"":""female/woman""}","survey-multi-choice","6","113963","0.0-6.0-1.0","93","1","2025-07-02 10:19:16","80fe4187154257d5fb01684ea91b68b9","41.150.227.129","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","61695de0da820cd0b0e7106e","683db6dfa200031b80f2a654","6865076f64cf2d47675ff585","61695de0da820cd0b0e7106e","","","[0]","","","1","demographics"
"41687","","","{""assigned_sex"":""female""}","survey-multi-choice","7","155654","0.0-6.0-2.0","93","1","2025-07-02 10:19:16","80fe4187154257d5fb01684ea91b68b9","41.150.227.129","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","61695de0da820cd0b0e7106e","683db6dfa200031b80f2a654","6865076f64cf2d47675ff585","61695de0da820cd0b0e7106e","","","[0]","","","2","demographics"
"4403","","","{""menstrual_cycle"":""Yes""}","survey-multi-choice","8","160064","0.0-6.0-3.0","93","1","2025-07-02 10:19:16","80fe4187154257d5fb01684ea91b68b9","41.150.227.129","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","61695de0da820cd0b0e7106e","683db6dfa200031b80f2a654","6865076f64cf2d47675ff585","61695de0da820cd0b0e7106e","","","[0]","","","4","demographics"
"8721","","","{""education"":""Higher National Diploma""}","survey-multi-choice","9","168790","0.0-6.0-4.0","93","1","2025-07-02 10:19:16","80fe4187154257d5fb01684ea91b68b9","41.150.227.129","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","61695de0da820cd0b0e7106e","683db6dfa200031b80f2a654","6865076f64cf2d47675ff585","61695de0da820cd0b0e7106e","","","[0]","","","5","demographics"
