"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"8452","1751451551673","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","8464","0.0-0.0","73","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","41.150.34.241","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","6655d79f5a1490365f1e92de","683db6dfa200031b80f2a654","686507635122917e2020b8aa","6655d79f5a1490365f1e92de","2025-07-02T10:19:11.678Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9042","","","","instructions","1","17514","0.0-1.0","73","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","41.150.34.241","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","6655d79f5a1490365f1e92de","683db6dfa200031b80f2a654","686507635122917e2020b8aa","6655d79f5a1490365f1e92de","","[{""page_index"":0,""viewing_time"":7281},{""page_index"":1,""viewing_time"":1760}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2695","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","20219","0.0-2.0","73","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","41.150.34.241","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","6655d79f5a1490365f1e92de","683db6dfa200031b80f2a654","686507635122917e2020b8aa","6655d79f5a1490365f1e92de","","","[0,1,2,3,4,5,6]","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5686","","","","fullscreen","3","26916","0.0-4.0","73","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","41.150.34.241","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","6655d79f5a1490365f1e92de","683db6dfa200031b80f2a654","686507635122917e2020b8aa","6655d79f5a1490365f1e92de","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5622","1751451575755"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","32544","0.0-5.0","73","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","41.150.34.241","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","6655d79f5a1490365f1e92de","683db6dfa200031b80f2a654","686507635122917e2020b8aa","6655d79f5a1490365f1e92de","2025-07-02T10:19:35.757Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4625","","","{""age"":""26""}","survey-text","5","37178","0.0-6.0-0.0","73","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","41.150.34.241","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","6655d79f5a1490365f1e92de","683db6dfa200031b80f2a654","686507635122917e2020b8aa","6655d79f5a1490365f1e92de","","","","","","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2391","","","{""gender_identity"":""female/woman""}","survey-multi-choice","6","39573","0.0-6.0-1.0","73","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","41.150.34.241","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","6655d79f5a1490365f1e92de","683db6dfa200031b80f2a654","686507635122917e2020b8aa","6655d79f5a1490365f1e92de","","","[0]","","","1","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1614","","","{""assigned_sex"":""female""}","survey-multi-choice","7","41192","0.0-6.0-2.0","73","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","41.150.34.241","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","6655d79f5a1490365f1e92de","683db6dfa200031b80f2a654","686507635122917e2020b8aa","6655d79f5a1490365f1e92de","","","[0]","","","2","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2808","","","{""menstrual_cycle"":""Yes""}","survey-multi-choice","8","44005","0.0-6.0-3.0","73","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","41.150.34.241","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","6655d79f5a1490365f1e92de","683db6dfa200031b80f2a654","686507635122917e2020b8aa","6655d79f5a1490365f1e92de","","","[0]","","","4","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3593","","","{""education"":""Bachelor's Degree (e.g., BA)""}","survey-multi-choice","9","47603","0.0-6.0-4.0","73","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","41.150.34.241","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","6655d79f5a1490365f1e92de","683db6dfa200031b80f2a654","686507635122917e2020b8aa","6655d79f5a1490365f1e92de","","","[0]","","","5","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7930","","","{""education"":""Master's Degree (e.g., MSc)""}","survey-multi-choice","10","55540","0.0-6.0-5.0","73","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","41.150.34.241","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","6655d79f5a1490365f1e92de","683db6dfa200031b80f2a654","686507635122917e2020b8aa","6655d79f5a1490365f1e92de","2025-07-02T10:19:58.753Z","","[0]","","","6","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"134740","","","{""mental_health_condition"":""Anxiety"",""mental_health_treatment"":""Yes, anxiety meds"",""psychiatric_medication"":""No""}","survey-text","11","190292","0.0-7.0-0.0","73","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","41.150.34.241","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","6655d79f5a1490365f1e92de","683db6dfa200031b80f2a654","686507635122917e2020b8aa","6655d79f5a1490365f1e92de","2025-07-02T10:22:13.506Z","","","","","1","mental_health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5182","","","{""depression_history"":[""Yes""]}","survey-multi-select","12","195491","0.0-7.0-1.0","73","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","41.150.34.241","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","6655d79f5a1490365f1e92de","683db6dfa200031b80f2a654","686507635122917e2020b8aa","6655d79f5a1490365f1e92de","","","[0]","","","","mental_health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21200","","","{""depression_episodes"":""3-5"",""depression_recent"":""Within the past year""}","survey-multi-choice","13","216696","0.0-7.0-2.0-0.0","73","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","41.150.34.241","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Safari/537.36","WebKit","Chrome","130.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","6655d79f5a1490365f1e92de","683db6dfa200031b80f2a654","686507635122917e2020b8aa","6655d79f5a1490365f1e92de","2025-07-02T10:22:39.910Z","","[0,1]","","","3","mental_health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
