"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType"
"598159","1751452184529","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","598186","0.0-0.0","111","1","2025-07-02 10:19:36","80fe4187154257d5fb01684ea91b68b9","41.121.104.59","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","WebKit","Chrome","130.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67ed2d30725b571aedd3a30c","683db6dfa200031b80f2a654","686507833ac3da01a02c0962","67ed2d30725b571aedd3a30c","2025-07-02T10:29:44.556Z","","","","","",""
"75204","","","","instructions","1","673432","0.0-1.0","111","1","2025-07-02 10:19:36","80fe4187154257d5fb01684ea91b68b9","41.121.104.59","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","WebKit","Chrome","130.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67ed2d30725b571aedd3a30c","683db6dfa200031b80f2a654","686507833ac3da01a02c0962","67ed2d30725b571aedd3a30c","","[{""page_index"":0,""viewing_time"":32396},{""page_index"":1,""viewing_time"":42806}]","","","","",""
"11389","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","685599","0.0-2.0","111","1","2025-07-02 10:19:36","80fe4187154257d5fb01684ea91b68b9","41.121.104.59","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","WebKit","Chrome","130.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67ed2d30725b571aedd3a30c","683db6dfa200031b80f2a654","686507833ac3da01a02c0962","67ed2d30725b571aedd3a30c","","","[0,1,2,3,4,5,6]","true","","",""
"155500","","","","fullscreen","3","842121","0.0-4.0","111","1","2025-07-02 10:19:36","80fe4187154257d5fb01684ea91b68b9","41.121.104.59","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","WebKit","Chrome","130.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67ed2d30725b571aedd3a30c","683db6dfa200031b80f2a654","686507833ac3da01a02c0962","67ed2d30725b571aedd3a30c","","","","","true","",""
"7419","1751452435915"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","849558","0.0-5.0","111","1","2025-07-02 10:19:36","80fe4187154257d5fb01684ea91b68b9","41.121.104.59","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","WebKit","Chrome","130.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67ed2d30725b571aedd3a30c","683db6dfa200031b80f2a654","686507833ac3da01a02c0962","67ed2d30725b571aedd3a30c","2025-07-02T10:33:55.922Z","","","","","",""
"8370","","","{""age"":""28""}","survey-text","5","857946","0.0-6.0-0.0","111","1","2025-07-02 10:19:36","80fe4187154257d5fb01684ea91b68b9","41.121.104.59","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","WebKit","Chrome","130.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67ed2d30725b571aedd3a30c","683db6dfa200031b80f2a654","686507833ac3da01a02c0962","67ed2d30725b571aedd3a30c","","","","","","0","demographics"
"5240","","","{""gender_identity"":""female/woman""}","survey-multi-choice","6","863194","0.0-6.0-1.0","111","1","2025-07-02 10:19:36","80fe4187154257d5fb01684ea91b68b9","41.121.104.59","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","WebKit","Chrome","130.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67ed2d30725b571aedd3a30c","683db6dfa200031b80f2a654","686507833ac3da01a02c0962","67ed2d30725b571aedd3a30c","","","[0]","","","1","demographics"
"4658","","","{""assigned_sex"":""female""}","survey-multi-choice","7","867860","0.0-6.0-2.0","111","1","2025-07-02 10:19:36","80fe4187154257d5fb01684ea91b68b9","41.121.104.59","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","WebKit","Chrome","130.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67ed2d30725b571aedd3a30c","683db6dfa200031b80f2a654","686507833ac3da01a02c0962","67ed2d30725b571aedd3a30c","","","[0]","","","2","demographics"
"4117","","","{""menstrual_cycle"":""Yes""}","survey-multi-choice","8","871982","0.0-6.0-3.0","111","1","2025-07-02 10:19:36","80fe4187154257d5fb01684ea91b68b9","41.121.104.59","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","WebKit","Chrome","130.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67ed2d30725b571aedd3a30c","683db6dfa200031b80f2a654","686507833ac3da01a02c0962","67ed2d30725b571aedd3a30c","","","[0]","","","4","demographics"
"13841","","","{""education"":""Bachelor's Degree (e.g., BA)""}","survey-multi-choice","9","885831","0.0-6.0-4.0","111","1","2025-07-02 10:19:36","80fe4187154257d5fb01684ea91b68b9","41.121.104.59","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","WebKit","Chrome","130.0.0.0","AndroidOS","10","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67ed2d30725b571aedd3a30c","683db6dfa200031b80f2a654","686507833ac3da01a02c0962","67ed2d30725b571aedd3a30c","","","[0]","","","5","demographics"
