"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"4203","1753990092473","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","4206","0.0-0.0","115","1","2025-07-31 19:28:07","36c45c0696341be0efffe67d72a12abb","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba9a53627eb9ab41b36a","688bc3b96bfabc24df9fe250","0","5b5f23420085cb0001872849","0","2025-07-31T19:28:12.474Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1237","","","","fullscreen","1","6448","0.0-1.0","115","1","2025-07-31 19:28:07","36c45c0696341be0efffe67d72a12abb","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba9a53627eb9ab41b36a","688bc3b96bfabc24df9fe250","0","5b5f23420085cb0001872849","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3096","1753990097813"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","9546","0.0-2.0","115","1","2025-07-31 19:28:07","36c45c0696341be0efffe67d72a12abb","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba9a53627eb9ab41b36a","688bc3b96bfabc24df9fe250","0","5b5f23420085cb0001872849","0","2025-07-31T19:28:17.814Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2878","","","{""assigned_sex"":""female""}","survey-multi-choice","3","12428","0.0-3.0-0.0","115","1","2025-07-31 19:28:07","36c45c0696341be0efffe67d72a12abb","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba9a53627eb9ab41b36a","688bc3b96bfabc24df9fe250","0","5b5f23420085cb0001872849","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4001","1753990104700","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","16433","0.0-4.0-0.0","115","1","2025-07-31 19:28:07","36c45c0696341be0efffe67d72a12abb","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba9a53627eb9ab41b36a","688bc3b96bfabc24df9fe250","0","5b5f23420085cb0001872849","0","2025-07-31T19:28:24.701Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32764.40000000001","","","","survey-template","5","49225","0.0-4.0-1.0","115","1","2025-07-31 19:28:07","36c45c0696341be0efffe67d72a12abb","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba9a53627eb9ab41b36a","688bc3b96bfabc24df9fe250","0","5b5f23420085cb0001872849","0","2025-07-31T19:28:57.495Z","","","","pss","{""Q01"":""2"",""Q02"":""3"",""Q03"":""3"",""Q04"":""2"",""Q05"":""3"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""2"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[3496.800000000003,6404.5,8393.5,10919,13681.800000000003,18335.600000000006,20475.90000000001,22938.300000000003,28009.40000000001,30997.100000000006]","[]","[0.19999999999708962,3496.800000000003,6404.5,8393.5,10919,12790.100000000006,13681.800000000003,18335.600000000006,20475.90000000001,22938.300000000003,23528.300000000003,28009.40000000001,30997.100000000006,32746]","0.6","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2292","1753990139827","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","51562","0.0-4.0-2.0","115","1","2025-07-31 19:28:07","36c45c0696341be0efffe67d72a12abb","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba9a53627eb9ab41b36a","688bc3b96bfabc24df9fe250","0","5b5f23420085cb0001872849","0","2025-07-31T19:28:59.830Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69363.1","","","","survey-template","7","120944","0.0-4.0-3.0","115","1","2025-07-31 19:28:07","36c45c0696341be0efffe67d72a12abb","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba9a53627eb9ab41b36a","688bc3b96bfabc24df9fe250","0","5b5f23420085cb0001872849","0","2025-07-31T19:30:09.212Z","","","","drsp","{""Q01"":""1"",""Q02"":""1"",""Q03"":""1"",""Q04"":""3"",""Q05"":""1"",""Q06"":""2"",""Q07"":""2"",""Q08"":""1"",""Q09"":""2"",""Q10"":""1"",""Q11"":""1"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""0"",""Q16"":""3"",""Q17"":""3"",""Q18"":""0"",""Q19"":""3"",""Q20"":""0"",""Q21"":""2"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q04"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3266.199999999997,5074.899999999994,6206.899999999994,7742.299999999988,8384.699999999997,9072.199999999997,11175.299999999988,14905.899999999994,16459.600000000006,28199.600000000006,31007.29999999999,35538.600000000006,38099.100000000006,39317.600000000006,41006.899999999994,43832.899999999994,48655.79999999999,51090.79999999999,53288.600000000006,54378.899999999994,55796.29999999999,60866.19999999998,65499.399999999994,66562.9,68425.19999999998]","[]","[0.09999999999126885,3266.199999999997,5074.899999999994,6206.899999999994,7742.299999999988,8384.699999999997,9072.199999999997,11175.299999999988,14905.899999999994,16459.600000000006,28199.600000000006,31007.29999999999,31691.79999999999,35538.600000000006,37134.69999999998,38099.100000000006,39317.600000000006,41006.899999999994,43832.899999999994,48655.79999999999,51090.79999999999,53288.600000000006,54378.899999999994,55796.29999999999,56635,60866.19999999998,64887.19999999998,65499.399999999994,66562.9,68425.19999999998,69351.6]","0.36363636363636365","0.38095238095238093","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9513.100000000006","","","","survey-template","8","130460","0.0-4.0-4.0","115","1","2025-07-31 19:28:07","36c45c0696341be0efffe67d72a12abb","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba9a53627eb9ab41b36a","688bc3b96bfabc24df9fe250","0","5b5f23420085cb0001872849","0","2025-07-31T19:30:18.728Z","","","","stress","{""Q01"":""3"",""Q02"":""3"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3225.7000000000116,5369.900000000023,8585.300000000017]","[]","[3225.7000000000116,5369.900000000023,8585.300000000017,9511.900000000023]","0.3333333333333333","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2733","","","","instructions","9","133194","0.0-5.0-0.0","115","1","2025-07-31 19:28:07","36c45c0696341be0efffe67d72a12abb","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba9a53627eb9ab41b36a","688bc3b96bfabc24df9fe250","0","5b5f23420085cb0001872849","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2732}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
