"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"3228","1754470293909","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3233","0.0-0.0","132","1","2025-08-06 08:51:29","36c45c0696341be0efffe67d72a12abb","2.97.10.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://app.prolific.com/","en-GB,en;q=0.9","5c63e773f9b6300001c9ce20","6877649eabb845cf142cd221","6893178704147f9f370dcf34","1","5c63e773f9b6300001c9ce20","1","2025-08-06T08:51:33.911Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9189","","","","fullscreen","1","13431","0.0-1.0","132","1","2025-08-06 08:51:29","36c45c0696341be0efffe67d72a12abb","2.97.10.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://app.prolific.com/","en-GB,en;q=0.9","5c63e773f9b6300001c9ce20","6877649eabb845cf142cd221","6893178704147f9f370dcf34","1","5c63e773f9b6300001c9ce20","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2741","1754470306852"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","16174","0.0-2.0","132","1","2025-08-06 08:51:29","36c45c0696341be0efffe67d72a12abb","2.97.10.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://app.prolific.com/","en-GB,en;q=0.9","5c63e773f9b6300001c9ce20","6877649eabb845cf142cd221","6893178704147f9f370dcf34","1","5c63e773f9b6300001c9ce20","1","2025-08-06T08:51:46.852Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2094","","","{""assigned_sex"":""female""}","survey-multi-choice","3","18272","0.0-3.0-0.0","132","1","2025-08-06 08:51:29","36c45c0696341be0efffe67d72a12abb","2.97.10.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://app.prolific.com/","en-GB,en;q=0.9","5c63e773f9b6300001c9ce20","6877649eabb845cf142cd221","6893178704147f9f370dcf34","1","5c63e773f9b6300001c9ce20","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2931","1754470311883","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","21208","0.0-4.0-0.0","132","1","2025-08-06 08:51:29","36c45c0696341be0efffe67d72a12abb","2.97.10.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://app.prolific.com/","en-GB,en;q=0.9","5c63e773f9b6300001c9ce20","6877649eabb845cf142cd221","6893178704147f9f370dcf34","1","5c63e773f9b6300001c9ce20","1","2025-08-06T08:51:51.886Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31147","","","","survey-template","5","52362","0.0-4.0-1.0","132","1","2025-08-06 08:51:29","36c45c0696341be0efffe67d72a12abb","2.97.10.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://app.prolific.com/","en-GB,en;q=0.9","5c63e773f9b6300001c9ce20","6877649eabb845cf142cd221","6893178704147f9f370dcf34","1","5c63e773f9b6300001c9ce20","1","2025-08-06T08:52:23.040Z","","","","pss","{""Q01"":""1"",""Q02"":""3"",""Q03"":""2"",""Q04"":""3"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""3"",""Q09"":""2"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[3751,6360,9804.000000000004,12197,14679.000000000007,17276,19539,24850,27631,30316.000000000007]","[]","[0,3751,6360,8317.000000000004,9804.000000000004,12197,14679.000000000007,17276,19539,24850,27631,30316.000000000007,31140]","0.5","0.6666666666666666","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1858","1754470344901","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","54224","0.0-4.0-2.0","132","1","2025-08-06 08:51:29","36c45c0696341be0efffe67d72a12abb","2.97.10.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://app.prolific.com/","en-GB,en;q=0.9","5c63e773f9b6300001c9ce20","6877649eabb845cf142cd221","6893178704147f9f370dcf34","1","5c63e773f9b6300001c9ce20","1","2025-08-06T08:52:24.903Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48208.000000000015","","","","survey-template","7","102441","0.0-4.0-3.0","132","1","2025-08-06 08:51:29","36c45c0696341be0efffe67d72a12abb","2.97.10.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://app.prolific.com/","en-GB,en;q=0.9","5c63e773f9b6300001c9ce20","6877649eabb845cf142cd221","6893178704147f9f370dcf34","1","5c63e773f9b6300001c9ce20","1","2025-08-06T08:53:13.119Z","","","","drsp","{""Q01"":""3"",""Q02"":""3"",""Q03"":""4"",""Q04"":""4"",""Q05"":""4"",""Q06"":""3"",""Q07"":""3"",""Q08"":""1"",""Q09"":""4"",""Q10"":""4"",""Q11"":""4"",""Q12"":""3"",""Q13"":""5"",""Q14"":""3"",""Q15"":""5"",""Q16"":""5"",""Q17"":""3"",""Q18"":""2"",""Q19"":""3"",""Q20"":""2"",""Q21"":""2"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[4232,5047,6522,7520,9778,11445,13381,14982,18754,20679,23363,24728,26501,29403,30568,34803,37445,38747,41465,43530,45061,46616.000000000015]","[]","[1,4232,5047,6522,7520,9105,9778,11445,13381,14982,17785,18754,20679,23363,24728,25929,26501,28809,29403,30568,34803,36637,37445,38747,41465,43530,45061,46616.000000000015,48195]","0.36363636363636365","0.2857142857142857","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10488","","","","survey-template","8","112933","0.0-4.0-4.0","132","1","2025-08-06 08:51:29","36c45c0696341be0efffe67d72a12abb","2.97.10.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://app.prolific.com/","en-GB,en;q=0.9","5c63e773f9b6300001c9ce20","6877649eabb845cf142cd221","6893178704147f9f370dcf34","1","5c63e773f9b6300001c9ce20","1","2025-08-06T08:53:23.612Z","","","","stress","{""Q01"":""2"",""Q02"":""4"",""Q03"":""3""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4265,6386.000000000015,8836]","[]","[4265,6386.000000000015,8836,10483]","0.3333333333333333","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4022","","","","instructions","9","116959","0.0-5.0-0.0","132","1","2025-08-06 08:51:29","36c45c0696341be0efffe67d72a12abb","2.97.10.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://app.prolific.com/","en-GB,en;q=0.9","5c63e773f9b6300001c9ce20","6877649eabb845cf142cd221","6893178704147f9f370dcf34","1","5c63e773f9b6300001c9ce20","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4022}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
