"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"4524","1753864565906","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","4527","0.0-0.0","12","1","2025-07-30 08:38:26","36c45c0696341be0efffe67d72a12abb","134.255.57.120","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","5c66cc9246bfc200019044b8","687a19d2168e237449fb8af4","6889d9fe66ae07a4534c3355","0","5c66cc9246bfc200019044b8","0","2025-07-30T08:36:05.906Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3422","","","","fullscreen","1","8954","0.0-1.0","12","1","2025-07-30 08:38:26","36c45c0696341be0efffe67d72a12abb","134.255.57.120","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","5c66cc9246bfc200019044b8","687a19d2168e237449fb8af4","6889d9fe66ae07a4534c3355","0","5c66cc9246bfc200019044b8","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2379","1753864572713"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","11335","0.0-2.0","12","1","2025-07-30 08:38:26","36c45c0696341be0efffe67d72a12abb","134.255.57.120","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","5c66cc9246bfc200019044b8","687a19d2168e237449fb8af4","6889d9fe66ae07a4534c3355","0","5c66cc9246bfc200019044b8","0","2025-07-30T08:36:12.714Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3264","","","{""assigned_sex"":""male""}","survey-multi-choice","3","14600","0.0-3.0-0.0","12","1","2025-07-30 08:38:26","36c45c0696341be0efffe67d72a12abb","134.255.57.120","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","5c66cc9246bfc200019044b8","687a19d2168e237449fb8af4","6889d9fe66ae07a4534c3355","0","5c66cc9246bfc200019044b8","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1838","1753864577817","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","16439","0.0-4.0-0.0","12","1","2025-07-30 08:38:26","36c45c0696341be0efffe67d72a12abb","134.255.57.120","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","5c66cc9246bfc200019044b8","687a19d2168e237449fb8af4","6889d9fe66ae07a4534c3355","0","5c66cc9246bfc200019044b8","0","2025-07-30T08:36:17.818Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44392.60000002384","","","","survey-template","5","60834","0.0-4.0-1.0","12","1","2025-07-30 08:38:26","36c45c0696341be0efffe67d72a12abb","134.255.57.120","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","5c66cc9246bfc200019044b8","687a19d2168e237449fb8af4","6889d9fe66ae07a4534c3355","0","5c66cc9246bfc200019044b8","0","2025-07-30T08:37:02.213Z","","","","pss","{""Q01"":""2"",""Q02"":""4"",""Q03"":""3"",""Q04"":""3"",""Q05"":""3"",""Q06"":""2"",""Q07"":""2"",""Q08"":""4"",""Q09"":""0"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q08"",""Q09"",""Q10""]","[7958.399999976158,11374.399999976158,14694.5,18582.5,20902.5,25270.5,31102.5,33390.39999997616,35598.39999997616,38198.60000002384,42350.39999997616]","[]","[0,7958.399999976158,11374.399999976158,14006.399999976158,14694.5,18582.5,20902.5,24686.5,25270.5,29566.5,30630.299999952316,31102.5,33390.39999997616,35598.39999997616,38198.60000002384,41639,42350.39999997616,44390.5]","0.3","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3748","1753864625961","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","64583","0.0-4.0-2.0","12","1","2025-07-30 08:38:26","36c45c0696341be0efffe67d72a12abb","134.255.57.120","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","5c66cc9246bfc200019044b8","687a19d2168e237449fb8af4","6889d9fe66ae07a4534c3355","0","5c66cc9246bfc200019044b8","0","2025-07-30T08:37:05.962Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82914","","","","survey-template","7","147499","0.0-4.0-3.0","12","1","2025-07-30 08:38:26","36c45c0696341be0efffe67d72a12abb","134.255.57.120","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","5c66cc9246bfc200019044b8","687a19d2168e237449fb8af4","6889d9fe66ae07a4534c3355","0","5c66cc9246bfc200019044b8","0","2025-07-30T08:38:28.878Z","","","","drsp","{""Q01"":""4"",""Q02"":""3"",""Q03"":""2"",""Q04"":""4"",""Q05"":""1"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""5"",""Q10"":""2"",""Q11"":""4"",""Q12"":""0"",""Q13"":""5"",""Q14"":""1"",""Q15"":""0"",""Q16"":""3"",""Q17"":""1"",""Q18"":""4"",""Q19"":""0"",""Q20"":""3"",""Q21"":""3"",""Q22"":""3""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3422.5,5334.5,6926.600000023842,9518.199999928474,11350.5,13694.399999976158,17270.5,19342.399999976158,22566.299999952316,25590.399999976158,27878.399999976158,30126.899999976158,33958.39999997616,36110.39999997616,38062.39999997616,42774.39999997616,44998.699999928474,48270.39999997616,49478.39999997616,54342.39999997616,59054.39999997616,62774.39999997616,66222.39999997616]","[]","[0,3422.5,5334.5,6926.600000023842,9518.199999928474,11350.5,12582.600000023842,13694.399999976158,17270.5,19342.399999976158,22150.799999952316,22566.299999952316,25590.399999976158,27878.399999976158,30126.899999976158,33958.39999997616,36110.39999997616,38062.39999997616,42774.39999997616,44998.699999928474,47582.60000002384,48270.39999997616,49478.39999997616,54342.39999997616,59054.39999997616,62774.39999997616,65670.60000002384,66222.39999997616,82910.60000002384]","0.2727272727272727","0.2857142857142857","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18515.199999928474","","","","survey-template","8","166016","0.0-4.0-4.0","12","1","2025-07-30 08:38:26","36c45c0696341be0efffe67d72a12abb","134.255.57.120","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","5c66cc9246bfc200019044b8","687a19d2168e237449fb8af4","6889d9fe66ae07a4534c3355","0","5c66cc9246bfc200019044b8","0","2025-07-30T08:38:47.395Z","","","","stress","{""Q01"":""4"",""Q02"":""5"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03"",""Q03""]","[4602.399999976158,7290.399999976158,10002.399999976158,14226.5]","[]","[4602.399999976158,7290.399999976158,10002.399999976158,14226.5,18514.399999976158]","0.3333333333333333","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16655","","","","instructions","9","182671","0.0-5.0-0.0","12","1","2025-07-30 08:38:26","36c45c0696341be0efffe67d72a12abb","134.255.57.120","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","5c66cc9246bfc200019044b8","687a19d2168e237449fb8af4","6889d9fe66ae07a4534c3355","0","5c66cc9246bfc200019044b8","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":16654}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
