"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"49628","1754470368690","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","49631","0.0-0.0","135","1","2025-08-06 08:51:57","36c45c0696341be0efffe67d72a12abb","78.33.241.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","5e203085ac30fa331b586690","6877649eabb845cf142cd221","6893179b886ed1dc99e06a8c","1","5e203085ac30fa331b586690","1","2025-08-06T08:52:48.692Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1417","","","","fullscreen","1","52060","0.0-1.0","135","1","2025-08-06 08:51:57","36c45c0696341be0efffe67d72a12abb","78.33.241.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","5e203085ac30fa331b586690","6877649eabb845cf142cd221","6893179b886ed1dc99e06a8c","1","5e203085ac30fa331b586690","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5586","1754470376706"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","57647","0.0-2.0","135","1","2025-08-06 08:51:57","36c45c0696341be0efffe67d72a12abb","78.33.241.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","5e203085ac30fa331b586690","6877649eabb845cf142cd221","6893179b886ed1dc99e06a8c","1","5e203085ac30fa331b586690","1","2025-08-06T08:52:56.707Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2566","","","{""assigned_sex"":""female""}","survey-multi-choice","3","60216","0.0-3.0-0.0","135","1","2025-08-06 08:51:57","36c45c0696341be0efffe67d72a12abb","78.33.241.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","5e203085ac30fa331b586690","6877649eabb845cf142cd221","6893179b886ed1dc99e06a8c","1","5e203085ac30fa331b586690","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1855","1754470381132","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","62072","0.0-4.0-0.0","135","1","2025-08-06 08:51:57","36c45c0696341be0efffe67d72a12abb","78.33.241.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","5e203085ac30fa331b586690","6877649eabb845cf142cd221","6893179b886ed1dc99e06a8c","1","5e203085ac30fa331b586690","1","2025-08-06T08:53:01.132Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56183.5","","","","survey-template","5","118260","0.0-4.0-1.0","135","1","2025-08-06 08:51:57","36c45c0696341be0efffe67d72a12abb","78.33.241.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","5e203085ac30fa331b586690","6877649eabb845cf142cd221","6893179b886ed1dc99e06a8c","1","5e203085ac30fa331b586690","1","2025-08-06T08:53:57.320Z","","","","pss","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2"",""Q04"":""1"",""Q05"":""1"",""Q06"":""2"",""Q07"":""2"",""Q08"":""1"",""Q09"":""2"",""Q10"":""1""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[6312.4000000003725,9617.400000000373,10617.5,12304.400000000373,36823,42013.200000000186,44301.300000000745,46755.700000000186,50451.700000000186,52169.200000000186,55148.700000000186]","[]","[0.10000000055879354,6312.4000000003725,8858.800000000745,9617.400000000373,10617.5,11820.600000000559,12304.400000000373,36204.60000000056,36823,42013.200000000186,44301.300000000745,46755.700000000186,50451.700000000186,51427.90000000037,52169.200000000186,55148.700000000186,56179.300000000745]","0.6","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1365","1754470438686","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","119626","0.0-4.0-2.0","135","1","2025-08-06 08:51:57","36c45c0696341be0efffe67d72a12abb","78.33.241.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","5e203085ac30fa331b586690","6877649eabb845cf142cd221","6893179b886ed1dc99e06a8c","1","5e203085ac30fa331b586690","1","2025-08-06T08:53:58.686Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34705.799999999814","","","","survey-template","7","154336","0.0-4.0-3.0","135","1","2025-08-06 08:51:57","36c45c0696341be0efffe67d72a12abb","78.33.241.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","5e203085ac30fa331b586690","6877649eabb845cf142cd221","6893179b886ed1dc99e06a8c","1","5e203085ac30fa331b586690","1","2025-08-06T08:54:33.396Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""2"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""2"",""Q16"":""2"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q19"",""Q18"",""Q20"",""Q21"",""Q22"",""Q04""]","[2718.199999999255,3485.699999999255,4390.799999999814,6160,7765.299999999814,8498,9304.599999999627,10119.5,11402,12798,14766.199999999255,16305.799999999814,17394.89999999944,19653.599999999627,21064.89999999944,23281.599999999627,25098.89999999944,25694.799999999814,27653.89999999944,28387.699999999255,29662,33190.89999999944]","[]","[0.09999999962747097,2718.199999999255,3485.699999999255,4390.799999999814,5119.899999999441,6160,7063.0999999996275,7765.299999999814,8498,9304.599999999627,10119.5,11402,12798,14766.199999999255,15702.899999999441,16305.799999999814,17394.89999999944,19089,19653.599999999627,20646.199999999255,21064.89999999944,23281.599999999627,24095.89999999944,25098.89999999944,25694.799999999814,27316.099999999627,27653.89999999944,28387.699999999255,29056.799999999814,29443.5,29662,30355.299999999814,33190.89999999944,34698.89999999944]","0.8181818181818182","0.09523809523809523","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7413.399999999441","","","","survey-template","8","161752","0.0-4.0-4.0","135","1","2025-08-06 08:51:57","36c45c0696341be0efffe67d72a12abb","78.33.241.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","5e203085ac30fa331b586690","6877649eabb845cf142cd221","6893179b886ed1dc99e06a8c","1","5e203085ac30fa331b586690","1","2025-08-06T08:54:40.812Z","","","","stress","{""Q01"":""0"",""Q02"":""2"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3618.899999999441,4902.0999999996275,6702.0999999996275]","[]","[3618.899999999441,4902.0999999996275,6702.0999999996275,7412.0999999996275]","0.6666666666666666","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4396","","","","instructions","9","166149","0.0-5.0-0.0","135","1","2025-08-06 08:51:57","36c45c0696341be0efffe67d72a12abb","78.33.241.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","5e203085ac30fa331b586690","6877649eabb845cf142cd221","6893179b886ed1dc99e06a8c","1","5e203085ac30fa331b586690","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4396}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
