"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"6595","1754634350444","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","6628","0.0-0.0","237","1","2025-08-08 06:25:42","36c45c0696341be0efffe67d72a12abb","5.185.246.114","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5f0214e58782120a8c970fd6","6877649eabb845cf142cd221","6895985d0fdc14dc9e5a9c6a","1","5f0214e58782120a8c970fd6","1","2025-08-08T06:25:50.446Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4137","","","","fullscreen","1","11777","0.0-1.0","237","1","2025-08-08 06:25:42","36c45c0696341be0efffe67d72a12abb","5.185.246.114","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5f0214e58782120a8c970fd6","6877649eabb845cf142cd221","6895985d0fdc14dc9e5a9c6a","1","5f0214e58782120a8c970fd6","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3268","1754634358873"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","15055","0.0-2.0","237","1","2025-08-08 06:25:42","36c45c0696341be0efffe67d72a12abb","5.185.246.114","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5f0214e58782120a8c970fd6","6877649eabb845cf142cd221","6895985d0fdc14dc9e5a9c6a","1","5f0214e58782120a8c970fd6","1","2025-08-08T06:25:58.873Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4079","","","{""assigned_sex"":""female""}","survey-multi-choice","3","19138","0.0-3.0-0.0","237","1","2025-08-08 06:25:42","36c45c0696341be0efffe67d72a12abb","5.185.246.114","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5f0214e58782120a8c970fd6","6877649eabb845cf142cd221","6895985d0fdc14dc9e5a9c6a","1","5f0214e58782120a8c970fd6","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"972","1754634363929","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","20112","0.0-4.0-0.0","237","1","2025-08-08 06:25:42","36c45c0696341be0efffe67d72a12abb","5.185.246.114","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5f0214e58782120a8c970fd6","6877649eabb845cf142cd221","6895985d0fdc14dc9e5a9c6a","1","5f0214e58782120a8c970fd6","1","2025-08-08T06:26:03.930Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95163","","","","survey-template","5","115299","0.0-4.0-1.0","237","1","2025-08-08 06:25:42","36c45c0696341be0efffe67d72a12abb","5.185.246.114","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5f0214e58782120a8c970fd6","6877649eabb845cf142cd221","6895985d0fdc14dc9e5a9c6a","1","5f0214e58782120a8c970fd6","1","2025-08-08T06:27:39.117Z","","","","pss","{""Q01"":""1"",""Q02"":""0"",""Q03"":""1"",""Q04"":""0"",""Q05"":""1"",""Q06"":""1"",""Q07"":""0"",""Q08"":""1"",""Q09"":""0"",""Q10"":""0""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[45705,51116,54442,64706,68794,74444,82637,87214,91537,94429]","[]","[0,45705,51116,54442,64706,68794,74444,82637,87214,91537,94429,95162]","0.3","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1409","1754634460535","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","116718","0.0-4.0-2.0","237","1","2025-08-08 06:25:42","36c45c0696341be0efffe67d72a12abb","5.185.246.114","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5f0214e58782120a8c970fd6","6877649eabb845cf142cd221","6895985d0fdc14dc9e5a9c6a","1","5f0214e58782120a8c970fd6","1","2025-08-08T06:27:40.536Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118368","","","","survey-template","7","235101","0.0-4.0-3.0","237","1","2025-08-08 06:25:42","36c45c0696341be0efffe67d72a12abb","5.185.246.114","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5f0214e58782120a8c970fd6","6877649eabb845cf142cd221","6895985d0fdc14dc9e5a9c6a","1","5f0214e58782120a8c970fd6","1","2025-08-08T06:29:38.919Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""2"",""Q11"":""1"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""1"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[68868,70694,72031,78919,80902,82492,84659,85982,88296,93793,97755,99196,102684,105670,107983,108826,110677,111676,113261,113976,116079,116991]","[]","[0,68868,70694,72031,78919,80902,82492,84659,85982,88296,93793,94937,97755,99196,102684,105670,107983,108826,110677,111676,113261,113976,116079,116991,118363]","0.7727272727272727","0.38095238095238093","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11019","","","","survey-template","8","246132","0.0-4.0-4.0","237","1","2025-08-08 06:25:42","36c45c0696341be0efffe67d72a12abb","5.185.246.114","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5f0214e58782120a8c970fd6","6877649eabb845cf142cd221","6895985d0fdc14dc9e5a9c6a","1","5f0214e58782120a8c970fd6","1","2025-08-08T06:29:49.950Z","","","","stress","{""Q01"":""1"",""Q02"":""1"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4287,7688,10201]","[]","[4287,7688,10201,11018]","0.3333333333333333","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10119","","","","instructions","9","256256","0.0-5.0-0.0","237","1","2025-08-08 06:25:42","36c45c0696341be0efffe67d72a12abb","5.185.246.114","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5f0214e58782120a8c970fd6","6877649eabb845cf142cd221","6895985d0fdc14dc9e5a9c6a","1","5f0214e58782120a8c970fd6","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":10119}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
