"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"20939","1753865272247","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","20942","0.0-0.0","54","1","2025-07-30 08:47:28","36c45c0696341be0efffe67d72a12abb","91.94.108.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","5f06eefaf3fc742667b4e79d","687a19d2168e237449fb8af4","6889dba1374a60489dc977e4","0","5f06eefaf3fc742667b4e79d","0","2025-07-30T08:47:52.249Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22901","","","","fullscreen","1","44854","0.0-1.0","54","1","2025-07-30 08:47:28","36c45c0696341be0efffe67d72a12abb","91.94.108.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","5f06eefaf3fc742667b4e79d","687a19d2168e237449fb8af4","6889dba1374a60489dc977e4","0","5f06eefaf3fc742667b4e79d","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6500","1753865302665"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","51359","0.0-2.0","54","1","2025-07-30 08:47:28","36c45c0696341be0efffe67d72a12abb","91.94.108.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","5f06eefaf3fc742667b4e79d","687a19d2168e237449fb8af4","6889dba1374a60489dc977e4","0","5f06eefaf3fc742667b4e79d","0","2025-07-30T08:48:22.667Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3601","","","{""assigned_sex"":""male""}","survey-multi-choice","3","54968","0.0-3.0-0.0","54","1","2025-07-30 08:47:28","36c45c0696341be0efffe67d72a12abb","91.94.108.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","5f06eefaf3fc742667b4e79d","687a19d2168e237449fb8af4","6889dba1374a60489dc977e4","0","5f06eefaf3fc742667b4e79d","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3854","1753865310131","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","58825","0.0-4.0-0.0","54","1","2025-07-30 08:47:28","36c45c0696341be0efffe67d72a12abb","91.94.108.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","5f06eefaf3fc742667b4e79d","687a19d2168e237449fb8af4","6889dba1374a60489dc977e4","0","5f06eefaf3fc742667b4e79d","0","2025-07-30T08:48:30.132Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39008.90000003576","","","","survey-template","5","97851","0.0-4.0-1.0","54","1","2025-07-30 08:47:28","36c45c0696341be0efffe67d72a12abb","91.94.108.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","5f06eefaf3fc742667b4e79d","687a19d2168e237449fb8af4","6889dba1374a60489dc977e4","0","5f06eefaf3fc742667b4e79d","0","2025-07-30T08:49:09.158Z","","","","pss","{""Q01"":""1"",""Q02"":""1"",""Q03"":""2"",""Q04"":""1"",""Q05"":""1"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""1"",""Q10"":""1""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[6324.900000035763,9047.5,12700.400000035763,19084.200000047684,20245.100000023842,24092,27608.30000001192,30363.80000001192,34591,37800.90000003576]","[]","[0.30000001192092896,6324.900000035763,9047.5,12700.400000035763,16428.100000023842,19084.200000047684,20245.100000023842,24092,27608.30000001192,30363.80000001192,34591,37800.90000003576,38995.90000003576]","0.4","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3772","1753865352934","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","101627","0.0-4.0-2.0","54","1","2025-07-30 08:47:28","36c45c0696341be0efffe67d72a12abb","91.94.108.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","5f06eefaf3fc742667b4e79d","687a19d2168e237449fb8af4","6889dba1374a60489dc977e4","0","5f06eefaf3fc742667b4e79d","0","2025-07-30T08:49:12.934Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67924.30000001192","","","","survey-template","7","169558","0.0-4.0-3.0","54","1","2025-07-30 08:47:28","36c45c0696341be0efffe67d72a12abb","91.94.108.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","5f06eefaf3fc742667b4e79d","687a19d2168e237449fb8af4","6889dba1374a60489dc977e4","0","5f06eefaf3fc742667b4e79d","0","2025-07-30T08:50:20.866Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""0"",""Q08"":""0"",""Q09"":""1"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""3"",""Q15"":""1"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q14"",""Q14"",""Q15"",""Q17"",""Q16"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[4885.300000011921,6192.699999988079,7677.300000011921,9715.400000035763,13416.600000023842,14747.400000035763,16274.400000035763,18145.100000023842,20970.30000001192,23044.69999998808,24643.100000023842,25853.80000001192,28524.400000035763,39410.40000003576,44629.90000003576,46069.5,48643,54092.60000002384,54664.5,56365.19999998808,58207.69999998808,62814.10000002384,63805.80000001192,66495.30000001192]","[]","[0.10000002384185791,4885.300000011921,6192.699999988079,7677.300000011921,9715.400000035763,11505.199999988079,13416.600000023842,14747.400000035763,16274.400000035763,18145.100000023842,20970.30000001192,23044.69999998808,24643.100000023842,25853.80000001192,28524.400000035763,34079.80000001192,35313.69999998808,37218,39410.40000003576,44629.90000003576,46069.5,48643,52794.10000002384,54092.60000002384,54664.5,56365.19999998808,58207.69999998808,60794.5,62814.10000002384,63805.80000001192,66495.30000001192,67918.40000003576]","0.6818181818181818","0.2857142857142857","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18449","","","","survey-template","8","188010","0.0-4.0-4.0","54","1","2025-07-30 08:47:28","36c45c0696341be0efffe67d72a12abb","91.94.108.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","5f06eefaf3fc742667b4e79d","687a19d2168e237449fb8af4","6889dba1374a60489dc977e4","0","5f06eefaf3fc742667b4e79d","0","2025-07-30T08:50:39.317Z","","","","stress","{""Q01"":""0"",""Q02"":""1"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[5619.5,13572.699999988079,17151.399999976158]","[]","[4039.199999988079,5619.5,8868.599999964237,9808.5,12163,13572.699999988079,17151.399999976158,18447.399999976158]","0.3333333333333333","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42418","","","","instructions","9","230430","0.0-5.0-0.0","54","1","2025-07-30 08:47:28","36c45c0696341be0efffe67d72a12abb","91.94.108.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","5f06eefaf3fc742667b4e79d","687a19d2168e237449fb8af4","6889dba1374a60489dc977e4","0","5f06eefaf3fc742667b4e79d","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":42417}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
