"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"18533","1754815800870","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","18537","0.0-0.0","245","1","2025-08-10 08:49:41","36c45c0696341be0efffe67d72a12abb","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","6877649eabb845cf142cd221","68985d209511899d24bcbd46","1","5f0a7dec44c42c19a6c9f6d9","1","2025-08-10T08:50:00.872Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3954","","","","fullscreen","1","23501","0.0-1.0","245","1","2025-08-10 08:49:41","36c45c0696341be0efffe67d72a12abb","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","6877649eabb845cf142cd221","68985d209511899d24bcbd46","1","5f0a7dec44c42c19a6c9f6d9","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5965","1754815811802"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","29468","0.0-2.0","245","1","2025-08-10 08:49:41","36c45c0696341be0efffe67d72a12abb","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","6877649eabb845cf142cd221","68985d209511899d24bcbd46","1","5f0a7dec44c42c19a6c9f6d9","1","2025-08-10T08:50:11.802Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3603","","","{""assigned_sex"":""female""}","survey-multi-choice","3","33073","0.0-3.0-0.0","245","1","2025-08-10 08:49:41","36c45c0696341be0efffe67d72a12abb","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","6877649eabb845cf142cd221","68985d209511899d24bcbd46","1","5f0a7dec44c42c19a6c9f6d9","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4740","1754815820148","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","37814","0.0-4.0-0.0","245","1","2025-08-10 08:49:41","36c45c0696341be0efffe67d72a12abb","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","6877649eabb845cf142cd221","68985d209511899d24bcbd46","1","5f0a7dec44c42c19a6c9f6d9","1","2025-08-10T08:50:20.148Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66545.80000001192","","","","survey-template","5","104363","0.0-4.0-1.0","245","1","2025-08-10 08:49:41","36c45c0696341be0efffe67d72a12abb","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","6877649eabb845cf142cd221","68985d209511899d24bcbd46","1","5f0a7dec44c42c19a6c9f6d9","1","2025-08-10T08:51:26.697Z","","","","pss","{""Q01"":""2"",""Q02"":""1"",""Q03"":""2"",""Q04"":""1"",""Q05"":""1"",""Q06"":""0"",""Q07"":""1"",""Q08"":""1"",""Q09"":""2"",""Q10"":""2""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q10""]","[7279.699999988079,12007.699999988079,14741.899999976158,20075.69999998808,27973.399999976158,31779.80000001192,33160.60000002384,44989.80000001192,54416,59069.5,62536.89999997616,65813.39999997616]","[]","[0.19999998807907104,7279.699999988079,12007.699999988079,14204,14741.899999976158,20075.69999998808,27611.600000023842,27973.399999976158,31273.899999976158,31779.80000001192,32560.80000001192,33160.60000002384,44119.89999997616,44494.69999998808,44989.80000001192,53373.69999998808,53987.60000002384,54416,58683.80000001192,59069.5,62037.60000002384,62536.89999997616,63263.5,64719.19999998808,65477.89999997616,65813.39999997616,66544.30000001192]","0.4","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3389","1754815890088","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","107754","0.0-4.0-2.0","245","1","2025-08-10 08:49:41","36c45c0696341be0efffe67d72a12abb","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","6877649eabb845cf142cd221","68985d209511899d24bcbd46","1","5f0a7dec44c42c19a6c9f6d9","1","2025-08-10T08:51:30.088Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62289.799999952316","","","","survey-template","7","170049","0.0-4.0-3.0","245","1","2025-08-10 08:49:41","36c45c0696341be0efffe67d72a12abb","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","6877649eabb845cf142cd221","68985d209511899d24bcbd46","1","5f0a7dec44c42c19a6c9f6d9","1","2025-08-10T08:52:32.383Z","","","","drsp","{""Q01"":""1"",""Q02"":""0"",""Q03"":""0"",""Q04"":""3"",""Q05"":""2"",""Q06"":""1"",""Q07"":""1"",""Q08"":""1"",""Q09"":""1"",""Q10"":""0"",""Q11"":""1"",""Q12"":""2"",""Q13"":""5"",""Q14"":""2"",""Q15"":""1"",""Q16"":""1"",""Q17"":""1"",""Q18"":""0"",""Q19"":""2"",""Q20"":""1"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3626.5,5086.599999964237,7355.5,8789.299999952316,10470.399999976158,13294.5,17892.799999952316,19346.5,22766.599999964237,24894.899999976158,26291.399999976158,28258.69999998808,30378.69999998808,32237.099999964237,34592.799999952316,36141.09999996424,38345.299999952316,40440.5,41440.799999952316,44062,46904.59999996424,53966.69999998808,58771.299999952316]","[]","[0.09999996423721313,3626.5,5086.599999964237,7355.5,8789.299999952316,10470.399999976158,13294.5,17892.799999952316,19346.5,22766.599999964237,24894.899999976158,26291.399999976158,28258.69999998808,30378.69999998808,32237.099999964237,34592.799999952316,35412.59999996424,35785.19999998808,36141.09999996424,38345.299999952316,40440.5,41440.799999952316,44062,46904.59999996424,53440.5,53966.69999998808,57702.39999997616,58179,58506.69999998808,58771.299999952316,62286.69999998808]","0.5454545454545454","0.42857142857142855","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14383.800000011921","","","","survey-template","8","184435","0.0-4.0-4.0","245","1","2025-08-10 08:49:41","36c45c0696341be0efffe67d72a12abb","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","6877649eabb845cf142cd221","68985d209511899d24bcbd46","1","5f0a7dec44c42c19a6c9f6d9","1","2025-08-10T08:52:46.769Z","","","","stress","{""Q01"":""2"",""Q02"":""2"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q01"",""Q02"",""Q03""]","[3433,6025.100000023842,9548.899999976158,12391.199999988079]","[]","[3433,6025.100000023842,9035.199999988079,9548.899999976158,12391.199999988079,14383.100000023842]","0.3333333333333333","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5938","","","","instructions","9","190374","0.0-5.0-0.0","245","1","2025-08-10 08:49:41","36c45c0696341be0efffe67d72a12abb","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","6877649eabb845cf142cd221","68985d209511899d24bcbd46","1","5f0a7dec44c42c19a6c9f6d9","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":5938}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4328","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","69","html-slider-response","10","194704","0.0-6.0-0.0","245","1","2025-08-10 08:49:41","36c45c0696341be0efffe67d72a12abb","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","6877649eabb845cf142cd221","68985d209511899d24bcbd46","1","5f0a7dec44c42c19a6c9f6d9","1","2025-08-10T08:52:57.038Z","","","","PreSkillQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4069","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","61","html-slider-response","11","198774","0.0-6.0-1.0","245","1","2025-08-10 08:49:41","36c45c0696341be0efffe67d72a12abb","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","6877649eabb845cf142cd221","68985d209511899d24bcbd46","1","5f0a7dec44c42c19a6c9f6d9","1","2025-08-10T08:53:01.108Z","","","","PrePerfQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
