"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"7173","1753866375025","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","7174","0.0-0.0","75","1","2025-07-30 09:06:02","36c45c0696341be0efffe67d72a12abb","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","687a19d2168e237449fb8af4","6889e07477534edb8ede739f","0","5f2448855226b0000a8129e1","0","2025-07-30T09:06:15.026Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5888","","","","fullscreen","1","14064","0.0-1.0","75","1","2025-07-30 09:06:02","36c45c0696341be0efffe67d72a12abb","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","687a19d2168e237449fb8af4","6889e07477534edb8ede739f","0","5f2448855226b0000a8129e1","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1614","1753866383529"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","15679","0.0-2.0","75","1","2025-07-30 09:06:02","36c45c0696341be0efffe67d72a12abb","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","687a19d2168e237449fb8af4","6889e07477534edb8ede739f","0","5f2448855226b0000a8129e1","0","2025-07-30T09:06:23.530Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2085","","","{""assigned_sex"":""male""}","survey-multi-choice","3","17765","0.0-3.0-0.0","75","1","2025-07-30 09:06:02","36c45c0696341be0efffe67d72a12abb","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","687a19d2168e237449fb8af4","6889e07477534edb8ede739f","0","5f2448855226b0000a8129e1","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4348","1753866389964","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","22113","0.0-4.0-0.0","75","1","2025-07-30 09:06:02","36c45c0696341be0efffe67d72a12abb","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","687a19d2168e237449fb8af4","6889e07477534edb8ede739f","0","5f2448855226b0000a8129e1","0","2025-07-30T09:06:29.964Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40200","","","","survey-template","5","62315","0.0-4.0-1.0","75","1","2025-07-30 09:06:02","36c45c0696341be0efffe67d72a12abb","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","687a19d2168e237449fb8af4","6889e07477534edb8ede739f","0","5f2448855226b0000a8129e1","0","2025-07-30T09:07:10.166Z","","","","pss","{""Q01"":""2"",""Q02"":""1"",""Q03"":""2"",""Q04"":""1"",""Q05"":""1"",""Q06"":""2"",""Q07"":""1"",""Q08"":""1"",""Q09"":""1"",""Q10"":""2""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q04"",""Q05"",""Q06"",""Q07"",""Q07"",""Q08"",""Q08"",""Q09"",""Q10""]","[6714.4000000003725,10912.099999999627,12537,16228.400000000373,17672.099999999627,22338.300000000745,27619.200000001118,28578.200000001118,30041,32456.200000001118,33624.40000000037,36449.09999999963,39799.59999999963]","[]","[0.09999999962747097,6714.4000000003725,9182.300000000745,10534.900000000373,10912.099999999627,12537,16228.400000000373,17672.099999999627,22338.300000000745,27619.200000001118,28578.200000001118,30041,32456.200000001118,33624.40000000037,36449.09999999963,38935.40000000037,39799.59999999963,40198.20000000112]","0.4","0.6666666666666666","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1868","1753866432034","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","64184","0.0-4.0-2.0","75","1","2025-07-30 09:06:02","36c45c0696341be0efffe67d72a12abb","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","687a19d2168e237449fb8af4","6889e07477534edb8ede739f","0","5f2448855226b0000a8129e1","0","2025-07-30T09:07:12.035Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44807.10000000149","","","","survey-template","7","108993","0.0-4.0-3.0","75","1","2025-07-30 09:06:02","36c45c0696341be0efffe67d72a12abb","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","687a19d2168e237449fb8af4","6889e07477534edb8ede739f","0","5f2448855226b0000a8129e1","0","2025-07-30T09:07:56.844Z","","","","drsp","{""Q01"":""1"",""Q02"":""2"",""Q03"":""0"",""Q04"":""1"",""Q05"":""0"",""Q06"":""0"",""Q07"":""2"",""Q08"":""0"",""Q09"":""1"",""Q10"":""3"",""Q11"":""2"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""3"",""Q16"":""3"",""Q17"":""1"",""Q18"":""1"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[2483.4000000003725,3834.10000000149,5014.200000001118,6048.800000000745,6984.60000000149,8548.800000000745,11590.700000001118,12776.700000001118,14556.800000000745,17978.700000001118,19125.300000000745,19777.700000001118,20746.10000000149,21994.900000000373,25356.800000000745,26265.60000000149,28235.700000001118,29583.200000001118,31117.10000000149,31999.300000000745,34437.60000000149,39640.70000000112,42932.60000000149,43477.70000000112]","[]","[0.2000000011175871,2483.4000000003725,3834.10000000149,5014.200000001118,6048.800000000745,6984.60000000149,8548.800000000745,11019,11590.700000001118,12776.700000001118,14259.5,14556.800000000745,17978.700000001118,19125.300000000745,19777.700000001118,20746.10000000149,21994.900000000373,24155.800000000745,24686.60000000149,25356.800000000745,26265.60000000149,28235.700000001118,29225.900000000373,29583.200000001118,31117.10000000149,31999.300000000745,33320.20000000112,33838.800000000745,34159.40000000037,34437.60000000149,36943.5,39640.70000000112,42932.60000000149,43477.70000000112,44804.800000000745]","0.45454545454545453","0.38095238095238093","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8601.39999999851","","","","survey-template","8","117595","0.0-4.0-4.0","75","1","2025-07-30 09:06:02","36c45c0696341be0efffe67d72a12abb","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","687a19d2168e237449fb8af4","6889e07477534edb8ede739f","0","5f2448855226b0000a8129e1","0","2025-07-30T09:08:05.446Z","","","","stress","{""Q01"":""2"",""Q02"":""2"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q02"",""Q03""]","[3231,5283.5999999996275,5953,8079.799999998882]","[]","[3231,5283.5999999996275,5709.799999998882,5953,8079.799999998882,8600.89999999851]","0.3333333333333333","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31308","","","","instructions","9","148904","0.0-5.0-0.0","75","1","2025-07-30 09:06:02","36c45c0696341be0efffe67d72a12abb","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","687a19d2168e237449fb8af4","6889e07477534edb8ede739f","0","5f2448855226b0000a8129e1","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":31308}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
