"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"2366","1753865487783","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2368","0.0-0.0","62","1","2025-07-30 08:51:24","36c45c0696341be0efffe67d72a12abb","81.110.85.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5fe0b183d8918b2030aa99a0","687a360dabe5252b5ada7185","6889dd00696d82325ec93baf","0","5fe0b183d8918b2030aa99a0","0","2025-07-30T08:51:27.785Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6280","","","","fullscreen","1","9653","0.0-1.0","62","1","2025-07-30 08:51:24","36c45c0696341be0efffe67d72a12abb","81.110.85.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5fe0b183d8918b2030aa99a0","687a360dabe5252b5ada7185","6889dd00696d82325ec93baf","0","5fe0b183d8918b2030aa99a0","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1969","1753865497039"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","11624","0.0-2.0","62","1","2025-07-30 08:51:24","36c45c0696341be0efffe67d72a12abb","81.110.85.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5fe0b183d8918b2030aa99a0","687a360dabe5252b5ada7185","6889dd00696d82325ec93baf","0","5fe0b183d8918b2030aa99a0","0","2025-07-30T08:51:37.040Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2794","","","{""assigned_sex"":""female""}","survey-multi-choice","3","14421","0.0-3.0-0.0","62","1","2025-07-30 08:51:24","36c45c0696341be0efffe67d72a12abb","81.110.85.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5fe0b183d8918b2030aa99a0","687a360dabe5252b5ada7185","6889dd00696d82325ec93baf","0","5fe0b183d8918b2030aa99a0","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2901","1753865502739","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","17324","0.0-4.0-0.0","62","1","2025-07-30 08:51:24","36c45c0696341be0efffe67d72a12abb","81.110.85.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5fe0b183d8918b2030aa99a0","687a360dabe5252b5ada7185","6889dd00696d82325ec93baf","0","5fe0b183d8918b2030aa99a0","0","2025-07-30T08:51:42.740Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38937.09999990463","","","","survey-template","5","56265","0.0-4.0-1.0","62","1","2025-07-30 08:51:24","36c45c0696341be0efffe67d72a12abb","81.110.85.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5fe0b183d8918b2030aa99a0","687a360dabe5252b5ada7185","6889dd00696d82325ec93baf","0","5fe0b183d8918b2030aa99a0","0","2025-07-30T08:52:21.681Z","","","","pss","{""Q01"":""1"",""Q02"":""2"",""Q03"":""2"",""Q04"":""1"",""Q05"":""2"",""Q06"":""2"",""Q07"":""1"",""Q08"":""2"",""Q09"":""1"",""Q10"":""2""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q01"",""Q02"",""Q03"",""Q03"",""Q03"",""Q04"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q08"",""Q09"",""Q10""]","[6718.900000095367,8803.599999904633,10421.599999904633,12212.099999904633,14093.699999809265,15702.5,17305,19694.199999809265,22330.5,25073.199999809265,27757.900000095367,29569.599999904633,32108.099999904633,34725.09999990463,38226.5]","[]","[6.699999809265137,6718.900000095367,7918.900000095367,8803.599999904633,9655.5,10421.599999904633,11395.5,12212.099999904633,13711.099999904633,14093.699999809265,15134.099999904633,15702.5,17305,19694.199999809265,22330.5,24307.400000095367,25073.199999809265,27757.900000095367,29569.599999904633,32108.099999904633,34725.09999990463,38226.5,38933.90000009537]","0.6","0.7777777777777778","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1577","1753865543260","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","57845","0.0-4.0-2.0","62","1","2025-07-30 08:51:24","36c45c0696341be0efffe67d72a12abb","81.110.85.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5fe0b183d8918b2030aa99a0","687a360dabe5252b5ada7185","6889dd00696d82325ec93baf","0","5fe0b183d8918b2030aa99a0","0","2025-07-30T08:52:23.261Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52489.09999990463","","","","survey-template","7","110340","0.0-4.0-3.0","62","1","2025-07-30 08:51:24","36c45c0696341be0efffe67d72a12abb","81.110.85.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5fe0b183d8918b2030aa99a0","687a360dabe5252b5ada7185","6889dd00696d82325ec93baf","0","5fe0b183d8918b2030aa99a0","0","2025-07-30T08:53:15.757Z","","","","drsp","{""Q01"":""1"",""Q02"":""0"",""Q03"":""0"",""Q04"":""3"",""Q05"":""2"",""Q06"":""1"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""3"",""Q11"":""4"",""Q12"":""1"",""Q13"":""5"",""Q14"":""2"",""Q15"":""4"",""Q16"":""4"",""Q17"":""2"",""Q18"":""2"",""Q19"":""4"",""Q20"":""3"",""Q21"":""2"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q20"",""Q21"",""Q22""]","[4426.5,5515.199999809265,6281.599999904633,7986.699999809265,11041.299999713898,13597.699999809265,14801.299999713898,16839.400000095367,18062.199999809265,19213.599999904633,20953.299999713898,21782.299999713898,23445.900000095367,26486.5,29356.099999904633,31979.599999904633,34013.40000009537,36441.2999997139,37982.40000009537,41195.7999997139,44134.699999809265,46728.5,47290.59999990463,50169.5]","[]","[7.299999713897705,4426.5,5515.199999809265,6281.599999904633,7986.699999809265,10236,11041.299999713898,13597.699999809265,14801.299999713898,15651.900000095367,16839.400000095367,17457.299999713898,18062.199999809265,18764.5,19213.599999904633,20953.299999713898,21439.099999904633,21782.299999713898,23445.900000095367,25325.599999904633,25932.099999904633,26486.5,29356.099999904633,31291.099999904633,31979.599999904633,33414.09999990463,34013.40000009537,35756.09999990463,36441.2999997139,37209.59999990463,37660.90000009537,37982.40000009537,41195.7999997139,44134.699999809265,46728.5,47290.59999990463,49486.199999809265,50169.5,52484.2999997139]","0.22727272727272727","0.38095238095238093","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10242.599999904633","","","","survey-template","8","120586","0.0-4.0-4.0","62","1","2025-07-30 08:51:24","36c45c0696341be0efffe67d72a12abb","81.110.85.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5fe0b183d8918b2030aa99a0","687a360dabe5252b5ada7185","6889dd00696d82325ec93baf","0","5fe0b183d8918b2030aa99a0","0","2025-07-30T08:53:26.002Z","","","","stress","{""Q01"":""3"",""Q02"":""2"",""Q03"":""3""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4392.099999904633,6876.5,9420.699999809265]","[]","[4392.099999904633,6876.5,8892.199999809265,9420.699999809265,10241.39999961853]","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20688","","","","instructions","9","141283","0.0-5.0-0.0","62","1","2025-07-30 08:51:24","36c45c0696341be0efffe67d72a12abb","81.110.85.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5fe0b183d8918b2030aa99a0","687a360dabe5252b5ada7185","6889dd00696d82325ec93baf","0","5fe0b183d8918b2030aa99a0","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":20687}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
