"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"12311","1754507958432","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","12316","0.0-0.0","216","1","2025-08-06 19:19:03","36c45c0696341be0efffe67d72a12abb","102.221.201.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","606e3cce02e2e8a8c965ca75","6877649eabb845cf142cd221","6893aa9a6eca4cb6274a6c99","1","606e3cce02e2e8a8c965ca75","1","2025-08-06T19:19:18.434Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1455","","","","fullscreen","1","14782","0.0-1.0","216","1","2025-08-06 19:19:03","36c45c0696341be0efffe67d72a12abb","102.221.201.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","606e3cce02e2e8a8c965ca75","6877649eabb845cf142cd221","6893aa9a6eca4cb6274a6c99","1","606e3cce02e2e8a8c965ca75","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32176","1754507993077"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","46959","0.0-2.0","216","1","2025-08-06 19:19:03","36c45c0696341be0efffe67d72a12abb","102.221.201.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","606e3cce02e2e8a8c965ca75","6877649eabb845cf142cd221","6893aa9a6eca4cb6274a6c99","1","606e3cce02e2e8a8c965ca75","1","2025-08-06T19:19:53.077Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"183744","","","{""assigned_sex"":""female""}","survey-multi-choice","3","230707","0.0-3.0-0.0","216","1","2025-08-06 19:19:03","36c45c0696341be0efffe67d72a12abb","102.221.201.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","606e3cce02e2e8a8c965ca75","6877649eabb845cf142cd221","6893aa9a6eca4cb6274a6c99","1","606e3cce02e2e8a8c965ca75","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2244","1754508179071","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","232953","0.0-4.0-0.0","216","1","2025-08-06 19:19:03","36c45c0696341be0efffe67d72a12abb","102.221.201.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","606e3cce02e2e8a8c965ca75","6877649eabb845cf142cd221","6893aa9a6eca4cb6274a6c99","1","606e3cce02e2e8a8c965ca75","1","2025-08-06T19:22:59.071Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"240305.1000000015","","","","survey-template","5","473264","0.0-4.0-1.0","216","1","2025-08-06 19:19:03","36c45c0696341be0efffe67d72a12abb","102.221.201.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","606e3cce02e2e8a8c965ca75","6877649eabb845cf142cd221","6893aa9a6eca4cb6274a6c99","1","606e3cce02e2e8a8c965ca75","1","2025-08-06T19:26:59.382Z","","","","pss","{""Q01"":""2"",""Q02"":""1"",""Q03"":""2"",""Q04"":""1"",""Q05"":""1"",""Q06"":""2"",""Q07"":""3"",""Q08"":""1"",""Q09"":""1"",""Q10"":""1""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q09"",""Q10"",""Q08""]","[11016.89999999851,20776.5,153369.20000000298,158728,168290,181105.6000000015,184008.5,197460.29999999702,203884.3999999985,237177.6000000015]","[]","[0,11016.89999999851,19326.29999999702,20776.5,152267.5,153369.20000000298,158728,166113,168290,181105.6000000015,184008.5,196334.79999999702,197460.29999999702,202578.5,203884.3999999985,230409.79999999702,237177.6000000015,240302.29999999702]","0.4","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5342","1754508424726","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","478608","0.0-4.0-2.0","216","1","2025-08-06 19:19:03","36c45c0696341be0efffe67d72a12abb","102.221.201.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","606e3cce02e2e8a8c965ca75","6877649eabb845cf142cd221","6893aa9a6eca4cb6274a6c99","1","606e3cce02e2e8a8c965ca75","1","2025-08-06T19:27:04.727Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"112442.09999999404","","","","survey-template","7","591057","0.0-4.0-3.0","216","1","2025-08-06 19:19:03","36c45c0696341be0efffe67d72a12abb","102.221.201.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","606e3cce02e2e8a8c965ca75","6877649eabb845cf142cd221","6893aa9a6eca4cb6274a6c99","1","606e3cce02e2e8a8c965ca75","1","2025-08-06T19:28:57.175Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""2"",""Q06"":""2"",""Q07"":""1"",""Q08"":""0"",""Q09"":""1"",""Q10"":""1"",""Q11"":""2"",""Q12"":""4"",""Q13"":""5"",""Q14"":""4"",""Q15"":""2"",""Q16"":""1"",""Q17"":""1"",""Q18"":""0"",""Q19"":""3"",""Q20"":""1"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q19"",""Q20"",""Q21"",""Q22""]","[12595.79999999702,13946.29999999702,19424,20760.09999999404,22820.09999999404,27716.69999999553,29114.69999999553,30759.5,32885.69999999553,38943.29999999702,42875,46237,49140.89999999851,55298.89999999851,59376.19999999553,62251.89999999851,77109.59999999404,78932.89999999851,80988,88066,91998.5,99196.79999999702,105549.89999999851,110528.79999999702]","[]","[0,12595.79999999702,13946.29999999702,15251.19999999553,17916.09999999404,19424,20760.09999999404,22820.09999999404,25450.29999999702,27716.69999999553,29114.69999999553,30759.5,32885.69999999553,37550.79999999702,38943.29999999702,42875,46237,49140.89999999851,55298.89999999851,59376.19999999553,62251.89999999851,77109.59999999404,78932.89999999851,80988,88066,91998.5,97498.19999999553,99196.79999999702,105549.89999999851,110528.79999999702,112436.69999999553]","0.3181818181818182","0.5238095238095238","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15944.5","","","","survey-template","8","607004","0.0-4.0-4.0","216","1","2025-08-06 19:19:03","36c45c0696341be0efffe67d72a12abb","102.221.201.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","606e3cce02e2e8a8c965ca75","6877649eabb845cf142cd221","6893aa9a6eca4cb6274a6c99","1","606e3cce02e2e8a8c965ca75","1","2025-08-06T19:29:13.123Z","","","","stress","{""Q01"":""0"",""Q02"":""1"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4501.89999999851,9755.29999999702,14392.10000000149]","[]","[4501.89999999851,8904.89999999851,9755.29999999702,14392.10000000149,15942.69999999553]","0.3333333333333333","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10553","","","","instructions","9","617559","0.0-5.0-0.0","216","1","2025-08-06 19:19:03","36c45c0696341be0efffe67d72a12abb","102.221.201.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","606e3cce02e2e8a8c965ca75","6877649eabb845cf142cd221","6893aa9a6eca4cb6274a6c99","1","606e3cce02e2e8a8c965ca75","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":10553}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
