"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"92603","1753864961225","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","92613","0.0-0.0","30","1","2025-07-30 08:40:58","36c45c0696341be0efffe67d72a12abb","41.150.248.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60f6acaed2336346c8997195","687a19d2168e237449fb8af4","6889d9e5e515273ca651609c","0","60f6acaed2336346c8997195","0","2025-07-30T08:42:41.230Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30825","","","","fullscreen","1","124476","0.0-1.0","30","1","2025-07-30 08:40:58","36c45c0696341be0efffe67d72a12abb","41.150.248.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60f6acaed2336346c8997195","687a19d2168e237449fb8af4","6889d9e5e515273ca651609c","0","60f6acaed2336346c8997195","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14998","1753865008093"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","139478","0.0-2.0","30","1","2025-07-30 08:40:58","36c45c0696341be0efffe67d72a12abb","41.150.248.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60f6acaed2336346c8997195","687a19d2168e237449fb8af4","6889d9e5e515273ca651609c","0","60f6acaed2336346c8997195","0","2025-07-30T08:43:28.095Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3726","","","{""assigned_sex"":""male""}","survey-multi-choice","3","143217","0.0-3.0-0.0","30","1","2025-07-30 08:40:58","36c45c0696341be0efffe67d72a12abb","41.150.248.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60f6acaed2336346c8997195","687a19d2168e237449fb8af4","6889d9e5e515273ca651609c","0","60f6acaed2336346c8997195","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81765","1753865093603","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","224989","0.0-4.0-0.0","30","1","2025-07-30 08:40:58","36c45c0696341be0efffe67d72a12abb","41.150.248.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60f6acaed2336346c8997195","687a19d2168e237449fb8af4","6889d9e5e515273ca651609c","0","60f6acaed2336346c8997195","0","2025-07-30T08:44:53.605Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"260801.70000000298","","","","survey-template","5","485804","0.0-4.0-1.0","30","1","2025-07-30 08:40:58","36c45c0696341be0efffe67d72a12abb","41.150.248.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60f6acaed2336346c8997195","687a19d2168e237449fb8af4","6889d9e5e515273ca651609c","0","60f6acaed2336346c8997195","0","2025-07-30T08:49:14.421Z","","","","pss","{""Q01"":""2"",""Q02"":""1"",""Q03"":""3"",""Q04"":""0"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""1"",""Q09"":""1"",""Q10"":""1""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q08"",""Q09"",""Q10""]","[163622.79999999702,164834.10000000894,174102.60000000894,176643.90000000596,227751.20000000298,230961.70000000298,234610.70000000298,239790.40000000596,243470.20000000298,244755.79999999702,250644.70000000298,259507.20000000298]","[]","[0.29999999701976776,162508,163622.79999999702,164834.10000000894,174102.60000000894,176643.90000000596,227751.20000000298,230961.70000000298,234610.70000000298,238563.29999999702,239790.40000000596,243470.20000000298,244755.79999999702,249556.29999999702,250644.70000000298,259507.20000000298,260788.10000000894]","0.4","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3107","1753865357532","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","488917","0.0-4.0-2.0","30","1","2025-07-30 08:40:58","36c45c0696341be0efffe67d72a12abb","41.150.248.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60f6acaed2336346c8997195","687a19d2168e237449fb8af4","6889d9e5e515273ca651609c","0","60f6acaed2336346c8997195","0","2025-07-30T08:49:17.533Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77275.5","","","","survey-template","7","566208","0.0-4.0-3.0","30","1","2025-07-30 08:40:58","36c45c0696341be0efffe67d72a12abb","41.150.248.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60f6acaed2336346c8997195","687a19d2168e237449fb8af4","6889d9e5e515273ca651609c","0","60f6acaed2336346c8997195","0","2025-07-30T08:50:34.825Z","","","","drsp","{""Q01"":""1"",""Q02"":""0"",""Q03"":""1"",""Q04"":""0"",""Q05"":""1"",""Q06"":""1"",""Q07"":""2"",""Q08"":""1"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""2"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q06"",""Q05"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q14"",""Q15"",""Q16"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22"",""Q17""]","[5448.800000011921,6811.800000011921,8898.300000011921,11912.70000000298,15468.60000000894,16834.10000000894,21134.5,22848.90000000596,29109.80000001192,30779.10000000894,32823.5,34597.30000001192,36928,40858.60000000894,43011.70000000298,48392,50508.10000000894,53344.30000001192,57534.30000001192,63674.80000001192,66746.40000000596,69358.40000000596,75662.60000000894]","[]","[0.20000000298023224,5448.800000011921,6811.800000011921,8898.300000011921,11055.5,11912.70000000298,13383.70000000298,15468.60000000894,16834.10000000894,21134.5,22848.90000000596,29109.80000001192,30779.10000000894,32823.5,34597.30000001192,36928,40858.60000000894,43011.70000000298,48392,50508.10000000894,51893,53344.30000001192,57534.30000001192,63674.80000001192,66746.40000000596,67859.70000000298,69358.40000000596,72478.70000000298,75662.60000000894,77256.10000000894]","0.5909090909090909","0.42857142857142855","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23325","","","","survey-template","8","589541","0.0-4.0-4.0","30","1","2025-07-30 08:40:58","36c45c0696341be0efffe67d72a12abb","41.150.248.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60f6acaed2336346c8997195","687a19d2168e237449fb8af4","6889d9e5e515273ca651609c","0","60f6acaed2336346c8997195","0","2025-07-30T08:50:58.157Z","","","","stress","{""Q01"":""1"",""Q02"":""3"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[11224.59999999404,14275.20000000298,22102.09999999404]","[]","[11224.59999999404,14275.20000000298,22102.09999999404,23321.09999999404]","0.3333333333333333","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28779","","","","instructions","9","618326","0.0-5.0-0.0","30","1","2025-07-30 08:40:58","36c45c0696341be0efffe67d72a12abb","41.150.248.188","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60f6acaed2336346c8997195","687a19d2168e237449fb8af4","6889d9e5e515273ca651609c","0","60f6acaed2336346c8997195","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":28778}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
