"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"22643","1753881035430","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","22654","0.0-0.0","100","1","2025-07-30 13:10:09","36c45c0696341be0efffe67d72a12abb","196.22.249.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6106be7d513dcab805d524b8","687a360dabe5252b5ada7185","688a19752d0a36a44a418cbe","0","6106be7d513dcab805d524b8","0","2025-07-30T13:10:35.437Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13093","","","","fullscreen","1","36811","0.0-1.0","100","1","2025-07-30 13:10:09","36c45c0696341be0efffe67d72a12abb","196.22.249.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6106be7d513dcab805d524b8","687a360dabe5252b5ada7185","688a19752d0a36a44a418cbe","0","6106be7d513dcab805d524b8","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12748","1753881062345"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","49564","0.0-2.0","100","1","2025-07-30 13:10:09","36c45c0696341be0efffe67d72a12abb","196.22.249.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6106be7d513dcab805d524b8","687a360dabe5252b5ada7185","688a19752d0a36a44a418cbe","0","6106be7d513dcab805d524b8","0","2025-07-30T13:11:02.346Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4878","","","{""assigned_sex"":""female""}","survey-multi-choice","3","54454","0.0-3.0-0.0","100","1","2025-07-30 13:10:09","36c45c0696341be0efffe67d72a12abb","196.22.249.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6106be7d513dcab805d524b8","687a360dabe5252b5ada7185","688a19752d0a36a44a418cbe","0","6106be7d513dcab805d524b8","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5533","1753881072772","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","59991","0.0-4.0-0.0","100","1","2025-07-30 13:10:09","36c45c0696341be0efffe67d72a12abb","196.22.249.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6106be7d513dcab805d524b8","687a360dabe5252b5ada7185","688a19752d0a36a44a418cbe","0","6106be7d513dcab805d524b8","0","2025-07-30T13:11:12.774Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64551.39999999851","","","","survey-template","5","124557","0.0-4.0-1.0","100","1","2025-07-30 13:10:09","36c45c0696341be0efffe67d72a12abb","196.22.249.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6106be7d513dcab805d524b8","687a360dabe5252b5ada7185","688a19752d0a36a44a418cbe","0","6106be7d513dcab805d524b8","0","2025-07-30T13:12:17.339Z","","","","pss","{""Q01"":""1"",""Q02"":""2"",""Q03"":""2"",""Q04"":""1"",""Q05"":""2"",""Q06"":""1"",""Q07"":""2"",""Q08"":""1"",""Q09"":""0"",""Q10"":""0""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[9643.199999999255,21657.099999997765,23677.199999999255,27486,30521.199999999255,33671.800000000745,41348.89999999851,48415.599999997765,58765.5,61490.89999999851]","[]","[0.3999999985098839,9643.199999999255,21657.099999997765,23677.199999999255,27486,30521.199999999255,33671.800000000745,41348.89999999851,46682,48415.599999997765,58765.5,61490.89999999851,64547]","0.4","0.6666666666666666","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4831","1753881142173","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","129392","0.0-4.0-2.0","100","1","2025-07-30 13:10:09","36c45c0696341be0efffe67d72a12abb","196.22.249.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6106be7d513dcab805d524b8","687a360dabe5252b5ada7185","688a19752d0a36a44a418cbe","0","6106be7d513dcab805d524b8","0","2025-07-30T13:12:22.175Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104874.79999999702","","","","survey-template","7","234282","0.0-4.0-3.0","100","1","2025-07-30 13:10:09","36c45c0696341be0efffe67d72a12abb","196.22.249.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6106be7d513dcab805d524b8","687a360dabe5252b5ada7185","688a19752d0a36a44a418cbe","0","6106be7d513dcab805d524b8","0","2025-07-30T13:14:07.064Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""2"",""Q05"":""0"",""Q06"":""0"",""Q07"":""1"",""Q08"":""0"",""Q09"":""0"",""Q10"":""1"",""Q11"":""2"",""Q12"":""3"",""Q13"":""5"",""Q14"":""2"",""Q15"":""4"",""Q16"":""4"",""Q17"":""1"",""Q18"":""1"",""Q19"":""2"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q05"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q19"",""Q21"",""Q22""]","[7072.89999999851,8535.79999999702,11174.79999999702,13094.199999999255,16260.599999997765,20200,31647.79999999702,33079,35393.29999999702,37003.099999997765,42328.099999997765,44641.89999999851,46894.79999999702,51097.199999999255,53302.89999999851,53566.199999999255,55973.79999999702,58782.29999999702,62032.39999999851,64980.699999999255,66645.39999999851,71451.19999999925,81692.29999999702,87881.29999999702,92207.79999999702,96581]","[]","[0.5,7072.89999999851,8535.79999999702,11174.79999999702,13094.199999999255,16260.599999997765,20200,31647.79999999702,33079,35393.29999999702,37003.099999997765,42328.099999997765,44641.89999999851,46894.79999999702,51097.199999999255,53302.89999999851,53566.199999999255,55973.79999999702,58782.29999999702,62032.39999999851,64980.699999999255,66645.39999999851,71451.19999999925,81692.29999999702,87881.29999999702,92207.79999999702,96581,104862.5]","0.45454545454545453","0.2857142857142857","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20124","","","","survey-template","8","254414","0.0-4.0-4.0","100","1","2025-07-30 13:10:09","36c45c0696341be0efffe67d72a12abb","196.22.249.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6106be7d513dcab805d524b8","687a360dabe5252b5ada7185","688a19752d0a36a44a418cbe","0","6106be7d513dcab805d524b8","0","2025-07-30T13:14:27.196Z","","","","stress","{""Q01"":""2"",""Q02"":""2"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[7089.699999999255,14386.199999999255,16824.10000000149]","[]","[7089.699999999255,14386.199999999255,16824.10000000149,20120.699999999255]","0.3333333333333333","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29416","","","","instructions","9","283833","0.0-5.0-0.0","100","1","2025-07-30 13:10:09","36c45c0696341be0efffe67d72a12abb","196.22.249.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6106be7d513dcab805d524b8","687a360dabe5252b5ada7185","688a19752d0a36a44a418cbe","0","6106be7d513dcab805d524b8","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":29415}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
