"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"70972","1753891791625","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","70974","0.0-0.0","101","1","2025-07-30 16:08:40","36c45c0696341be0efffe67d72a12abb","102.39.105.40","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61248a51eefb6797024ecb85","683dba9a53627eb9ab41b36a","688a437cea34918a29f7ba38","0","61248a51eefb6797024ecb85","0","2025-07-30T16:09:51.626Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10943","","","","fullscreen","1","82922","0.0-1.0","101","1","2025-07-30 16:08:40","36c45c0696341be0efffe67d72a12abb","102.39.105.40","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61248a51eefb6797024ecb85","683dba9a53627eb9ab41b36a","688a437cea34918a29f7ba38","0","61248a51eefb6797024ecb85","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1872","1753891805447"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","84795","0.0-2.0","101","1","2025-07-30 16:08:40","36c45c0696341be0efffe67d72a12abb","102.39.105.40","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61248a51eefb6797024ecb85","683dba9a53627eb9ab41b36a","688a437cea34918a29f7ba38","0","61248a51eefb6797024ecb85","0","2025-07-30T16:10:05.447Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2443","","","{""assigned_sex"":""female""}","survey-multi-choice","3","87244","0.0-3.0-0.0","101","1","2025-07-30 16:08:40","36c45c0696341be0efffe67d72a12abb","102.39.105.40","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61248a51eefb6797024ecb85","683dba9a53627eb9ab41b36a","688a437cea34918a29f7ba38","0","61248a51eefb6797024ecb85","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2982","1753891810880","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","90228","0.0-4.0-0.0","101","1","2025-07-30 16:08:40","36c45c0696341be0efffe67d72a12abb","102.39.105.40","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61248a51eefb6797024ecb85","683dba9a53627eb9ab41b36a","688a437cea34918a29f7ba38","0","61248a51eefb6797024ecb85","0","2025-07-30T16:10:10.880Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49368.60000002384","","","","survey-template","5","139605","0.0-4.0-1.0","101","1","2025-07-30 16:08:40","36c45c0696341be0efffe67d72a12abb","102.39.105.40","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61248a51eefb6797024ecb85","683dba9a53627eb9ab41b36a","688a437cea34918a29f7ba38","0","61248a51eefb6797024ecb85","0","2025-07-30T16:11:00.257Z","","","","pss","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""3"",""Q05"":""3"",""Q06"":""4"",""Q07"":""4"",""Q08"":""4"",""Q09"":""4"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[4393.600000023842,8080.900000035763,9660.5,16678.600000023842,20074.5,28315.30000001192,30327.600000023842,35873.90000003576,39765.90000003576,43974,48719.90000003576]","[]","[0,4393.600000023842,8080.900000035763,9660.5,15020.900000035763,16678.600000023842,20074.5,28315.30000001192,30327.600000023842,34695.80000001192,35487.60000002384,35873.90000003576,39765.90000003576,43974,48719.90000003576,49361.69999998808]","0.6","0.2222222222222222","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1358","1753891861616","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","140965","0.0-4.0-2.0","101","1","2025-07-30 16:08:40","36c45c0696341be0efffe67d72a12abb","102.39.105.40","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61248a51eefb6797024ecb85","683dba9a53627eb9ab41b36a","688a437cea34918a29f7ba38","0","61248a51eefb6797024ecb85","0","2025-07-30T16:11:01.617Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116113.69999998808","","","","survey-template","7","257083","0.0-4.0-3.0","101","1","2025-07-30 16:08:40","36c45c0696341be0efffe67d72a12abb","102.39.105.40","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61248a51eefb6797024ecb85","683dba9a53627eb9ab41b36a","688a437cea34918a29f7ba38","0","61248a51eefb6797024ecb85","0","2025-07-30T16:12:57.737Z","","","","drsp","{""Q01"":""2"",""Q02"":""5"",""Q03"":""2"",""Q04"":""5"",""Q05"":""0"",""Q06"":""5"",""Q07"":""4"",""Q08"":""1"",""Q09"":""4"",""Q10"":""3"",""Q11"":""4"",""Q12"":""5"",""Q13"":""5"",""Q14"":""0"",""Q15"":""4"",""Q16"":""0"",""Q17"":""4"",""Q18"":""4"",""Q19"":""0"",""Q20"":""3"",""Q21"":""5"",""Q22"":""4""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q01"",""Q02"",""Q02"",""Q03"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q20"",""Q21"",""Q22"",""Q19""]","[28989.5,30431.80000001192,31218.899999976158,32402,33539.39999997616,40336.09999996424,42467.59999996424,44126.30000001192,45928.5,50264.09999996424,53683.19999998808,55141.5,61110.30000001192,64611.5,67216.39999997616,69235.39999997616,72056.39999997616,74467.89999997616,76702.19999998808,79714.30000001192,83810.39999997616,86083.69999998808,87726,100948.30000001192,103890.19999998808,108375.80000001192,113037.80000001192]","[]","[0.09999996423721313,6950.800000011921,7111.099999964237,7303.5,8302.899999976158,28989.5,30431.80000001192,31218.899999976158,32402,33076.30000001192,33539.39999997616,40336.09999996424,42467.59999996424,44126.30000001192,45928.5,50264.09999996424,52704.5,53683.19999998808,54580.19999998808,55141.5,61110.30000001192,64611.5,67216.39999997616,69235.39999997616,72056.39999997616,74467.89999997616,76702.19999998808,79714.30000001192,83810.39999997616,85525,86083.69999998808,87726,92013.59999996424,100948.30000001192,103890.19999998808,108375.80000001192,109051.69999998808,113037.80000001192,116106.5]","0.3181818181818182","0.38095238095238093","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14925.099999964237","","","","survey-template","8","272012","0.0-4.0-4.0","101","1","2025-07-30 16:08:40","36c45c0696341be0efffe67d72a12abb","102.39.105.40","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61248a51eefb6797024ecb85","683dba9a53627eb9ab41b36a","688a437cea34918a29f7ba38","0","61248a51eefb6797024ecb85","0","2025-07-30T16:13:12.664Z","","","","stress","{""Q01"":""5"",""Q02"":""5"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03"",""Q03""]","[7336.899999976158,9116.099999964237,11960.5,14188.699999988079]","[]","[7336.899999976158,9116.099999964237,11960.5,14188.699999988079,14924.300000011921]","0.3333333333333333","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5161","","","","instructions","9","277174","0.0-5.0-0.0","101","1","2025-07-30 16:08:40","36c45c0696341be0efffe67d72a12abb","102.39.105.40","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61248a51eefb6797024ecb85","683dba9a53627eb9ab41b36a","688a437cea34918a29f7ba38","0","61248a51eefb6797024ecb85","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":5161}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46060","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","30","html-slider-response","10","323237","0.0-6.0-0.0","101","1","2025-07-30 16:08:40","36c45c0696341be0efffe67d72a12abb","102.39.105.40","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61248a51eefb6797024ecb85","683dba9a53627eb9ab41b36a","688a437cea34918a29f7ba38","0","61248a51eefb6797024ecb85","0","2025-07-30T16:14:03.889Z","","","","PreSkillQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4882","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","78","html-slider-response","11","328121","0.0-6.0-1.0","101","1","2025-07-30 16:08:40","36c45c0696341be0efffe67d72a12abb","102.39.105.40","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61248a51eefb6797024ecb85","683dba9a53627eb9ab41b36a","688a437cea34918a29f7ba38","0","61248a51eefb6797024ecb85","0","2025-07-30T16:14:08.773Z","","","","PrePerfQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
