"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"34276","1753896053341","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","34280","0.0-0.0","102","1","2025-07-30 17:20:14","36c45c0696341be0efffe67d72a12abb","105.1.48.31","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","683dba9a53627eb9ab41b36a","688a543a1ac6289c6e906201","0","6129dca465e41b5ae1b262da","0","2025-07-30T17:20:53.344Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3767","","","","fullscreen","1","39069","0.0-1.0","102","1","2025-07-30 17:20:14","36c45c0696341be0efffe67d72a12abb","105.1.48.31","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","683dba9a53627eb9ab41b36a","688a543a1ac6289c6e906201","0","6129dca465e41b5ae1b262da","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2044","1753896060177"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","41116","0.0-2.0","102","1","2025-07-30 17:20:14","36c45c0696341be0efffe67d72a12abb","105.1.48.31","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","683dba9a53627eb9ab41b36a","688a543a1ac6289c6e906201","0","6129dca465e41b5ae1b262da","0","2025-07-30T17:21:00.179Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3688","","","{""assigned_sex"":""female""}","survey-multi-choice","3","44810","0.0-3.0-0.0","102","1","2025-07-30 17:20:14","36c45c0696341be0efffe67d72a12abb","105.1.48.31","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","683dba9a53627eb9ab41b36a","688a543a1ac6289c6e906201","0","6129dca465e41b5ae1b262da","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3465","1753896067340","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","48280","0.0-4.0-0.0","102","1","2025-07-30 17:20:14","36c45c0696341be0efffe67d72a12abb","105.1.48.31","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","683dba9a53627eb9ab41b36a","688a543a1ac6289c6e906201","0","6129dca465e41b5ae1b262da","0","2025-07-30T17:21:07.343Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44566.89999997616","","","","survey-template","5","92885","0.0-4.0-1.0","102","1","2025-07-30 17:20:14","36c45c0696341be0efffe67d72a12abb","105.1.48.31","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","683dba9a53627eb9ab41b36a","688a543a1ac6289c6e906201","0","6129dca465e41b5ae1b262da","0","2025-07-30T17:21:51.948Z","","","","pss","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2"",""Q04"":""0"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""0"",""Q09"":""2"",""Q10"":""1""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q07"",""Q06"",""Q08"",""Q09"",""Q10""]","[6497.5999999940395,10535.09999999404,13758.699999988079,16942,19428.29999998212,27631.899999976158,29543.59999999404,36066.29999998212,39149,42885.29999998212]","[]","[41.39999997615814,6497.5999999940395,10535.09999999404,13758.699999988079,16942,19428.29999998212,23870.399999976158,27631.899999976158,29543.59999999404,36066.29999998212,39149,42885.29999998212,44552.29999998212]","0.4","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3752","1753896115705","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","96643","0.0-4.0-2.0","102","1","2025-07-30 17:20:14","36c45c0696341be0efffe67d72a12abb","105.1.48.31","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","683dba9a53627eb9ab41b36a","688a543a1ac6289c6e906201","0","6129dca465e41b5ae1b262da","0","2025-07-30T17:21:55.706Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66769.29999998212","","","","survey-template","7","163421","0.0-4.0-3.0","102","1","2025-07-30 17:20:14","36c45c0696341be0efffe67d72a12abb","105.1.48.31","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","683dba9a53627eb9ab41b36a","688a543a1ac6289c6e906201","0","6129dca465e41b5ae1b262da","0","2025-07-30T17:23:02.485Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""2"",""Q06"":""1"",""Q07"":""1"",""Q08"":""0"",""Q09"":""0"",""Q10"":""1"",""Q11"":""2"",""Q12"":""0"",""Q13"":""5"",""Q14"":""2"",""Q15"":""3"",""Q16"":""3"",""Q17"":""1"",""Q18"":""0"",""Q19"":""1"",""Q20"":""1"",""Q21"":""1"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q19"",""Q20"",""Q21"",""Q22"",""Q22""]","[3296.7999999821186,6395.0999999940395,9472.40000000596,10930.799999982119,12477.90000000596,14802,16478.59999999404,18053.40000000596,24421.59999999404,26038.59999999404,28201.5,29668.69999998808,31887.69999998808,33651.29999998212,35659,38459.59999999404,44813.19999998808,46138.29999998212,49186.19999998808,52511.40000000596,55172.79999998212,56674.5,58395.5,60078.59999999404,63619.29999998212]","[]","[20.599999994039536,3296.7999999821186,6395.0999999940395,7668.799999982119,9472.40000000596,10930.799999982119,12477.90000000596,14802,16478.59999999404,18053.40000000596,24421.59999999404,26038.59999999404,28201.5,29668.69999998808,31887.69999998808,33651.29999998212,35659,38459.59999999404,44813.19999998808,46138.29999998212,49186.19999998808,52511.40000000596,55172.79999998212,56674.5,58395.5,60078.59999999404,63619.29999998212,66750.29999998212]","0.4090909090909091","0.42857142857142855","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14326.699999988079","","","","survey-template","8","177755","0.0-4.0-4.0","102","1","2025-07-30 17:20:14","36c45c0696341be0efffe67d72a12abb","105.1.48.31","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","683dba9a53627eb9ab41b36a","688a543a1ac6289c6e906201","0","6129dca465e41b5ae1b262da","0","2025-07-30T17:23:16.819Z","","","","stress","{""Q01"":""1"",""Q02"":""0"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[6087.199999988079,9706,12642.5]","[]","[6087.199999988079,8064.5,9706,11391.59999999404,12642.5,14323]","0.3333333333333333","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5935","","","","instructions","9","183695","0.0-5.0-0.0","102","1","2025-07-30 17:20:14","36c45c0696341be0efffe67d72a12abb","105.1.48.31","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","683dba9a53627eb9ab41b36a","688a543a1ac6289c6e906201","0","6129dca465e41b5ae1b262da","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":5933}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
