"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"1451","1754570468878","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","1453","0.0-0.0","229","1","2025-08-07 12:41:06","36c45c0696341be0efffe67d72a12abb","41.114.242.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877649eabb845cf142cd221","68949eddc96617cab5e4f304","1","61601e9a6b8306196d2a129c","1","2025-08-07T12:41:08.879Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2814","","","","fullscreen","1","5288","0.0-1.0","229","1","2025-08-07 12:41:06","36c45c0696341be0efffe67d72a12abb","41.114.242.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877649eabb845cf142cd221","68949eddc96617cab5e4f304","1","61601e9a6b8306196d2a129c","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1762","1754570474478"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","7052","0.0-2.0","229","1","2025-08-07 12:41:06","36c45c0696341be0efffe67d72a12abb","41.114.242.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877649eabb845cf142cd221","68949eddc96617cab5e4f304","1","61601e9a6b8306196d2a129c","1","2025-08-07T12:41:14.478Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2472","","","{""assigned_sex"":""female""}","survey-multi-choice","3","9526","0.0-3.0-0.0","229","1","2025-08-07 12:41:06","36c45c0696341be0efffe67d72a12abb","41.114.242.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877649eabb845cf142cd221","68949eddc96617cab5e4f304","1","61601e9a6b8306196d2a129c","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1389","1754570478342","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","10916","0.0-4.0-0.0","229","1","2025-08-07 12:41:06","36c45c0696341be0efffe67d72a12abb","41.114.242.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877649eabb845cf142cd221","68949eddc96617cab5e4f304","1","61601e9a6b8306196d2a129c","1","2025-08-07T12:41:18.342Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"160689.70000000298","","","","survey-template","5","171609","0.0-4.0-1.0","229","1","2025-08-07 12:41:06","36c45c0696341be0efffe67d72a12abb","41.114.242.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877649eabb845cf142cd221","68949eddc96617cab5e4f304","1","61601e9a6b8306196d2a129c","1","2025-08-07T12:43:59.035Z","","","","pss","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3"",""Q04"":""3"",""Q05"":""3"",""Q06"":""4"",""Q07"":""3"",""Q08"":""3"",""Q09"":""3"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q02""]","[15926.20000000298,19654.29999999702,25022.10000000894,123758.60000000894,127646.79999999702,136998.60000000894,141006.79999999702,145742.70000000298,149734.90000000596,153534.90000000596,159087]","[]","[16.700000002980232,15926.20000000298,19654.29999999702,22670.29999999702,23862.20000000298,24414,25022.10000000894,123758.60000000894,127646.79999999702,136998.60000000894,141006.79999999702,145047,145742.70000000298,149734.90000000596,152423,153534.90000000596,159087,160687.10000000894]","0.5","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1627","1754570640663","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","173237","0.0-4.0-2.0","229","1","2025-08-07 12:41:06","36c45c0696341be0efffe67d72a12abb","41.114.242.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877649eabb845cf142cd221","68949eddc96617cab5e4f304","1","61601e9a6b8306196d2a129c","1","2025-08-07T12:44:00.663Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165354.90000000596","","","","survey-template","7","338595","0.0-4.0-3.0","229","1","2025-08-07 12:41:06","36c45c0696341be0efffe67d72a12abb","41.114.242.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877649eabb845cf142cd221","68949eddc96617cab5e4f304","1","61601e9a6b8306196d2a129c","1","2025-08-07T12:46:46.022Z","","","","drsp","{""Q01"":""1"",""Q02"":""2"",""Q03"":""1"",""Q04"":""3"",""Q05"":""2"",""Q06"":""2"",""Q07"":""1"",""Q08"":""0"",""Q09"":""3"",""Q10"":""2"",""Q11"":""4"",""Q12"":""1"",""Q13"":""5"",""Q14"":""1"",""Q15"":""4"",""Q16"":""5"",""Q17"":""5"",""Q18"":""4"",""Q19"":""1"",""Q20"":""1"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q20"",""Q21"",""Q22""]","[6734.0999999940395,12653.90000000596,16158.09999999404,18606.29999999702,21885.70000000298,32021.70000000298,36877.90000000596,39005.79999999702,47382,54294.09999999404,58749.79999999702,61670.09999999404,64086.20000000298,68318.20000000298,99270.29999999702,104542.09999999404,106774.29999999702,109414.29999999702,121902.29999999702,157286.79999999702,160358.59999999404,162614.70000000298,164502.59999999404]","[]","[13.200000002980232,6734.0999999940395,12653.90000000596,15285.90000000596,16158.09999999404,17734.09999999404,18606.29999999702,21885.70000000298,32021.70000000298,36877.90000000596,39005.79999999702,47382,54294.09999999404,58749.79999999702,61670.09999999404,64086.20000000298,68318.20000000298,99270.29999999702,104542.09999999404,106774.29999999702,109414.29999999702,121902.29999999702,157286.79999999702,160358.59999999404,162614.70000000298,164502.59999999404,165350.90000000596]","0.4090909090909091","0.38095238095238093","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26602.40000000596","","","","survey-template","8","365200","0.0-4.0-4.0","229","1","2025-08-07 12:41:06","36c45c0696341be0efffe67d72a12abb","41.114.242.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877649eabb845cf142cd221","68949eddc96617cab5e4f304","1","61601e9a6b8306196d2a129c","1","2025-08-07T12:47:12.626Z","","","","stress","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[13513.10000000894,20857.60000000894,25769.40000000596]","[]","[13513.10000000894,20857.60000000894,25769.40000000596,26601.40000000596]","0.6666666666666666","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3813","","","","instructions","9","369014","0.0-5.0-0.0","229","1","2025-08-07 12:41:06","36c45c0696341be0efffe67d72a12abb","41.114.242.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877649eabb845cf142cd221","68949eddc96617cab5e4f304","1","61601e9a6b8306196d2a129c","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3813}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
