"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"11432","1754478629914","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","11436","0.0-0.0","183","1","2025-08-06 11:10:16","36c45c0696341be0efffe67d72a12abb","196.15.217.218","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","61715a02a3c88f5fb082a424","687a1a965b9f5b85a264363e","689337f2b78515a834ed8c50","1","61715a02a3c88f5fb082a424","1","2025-08-06T11:10:29.916Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8350","","","","fullscreen","1","20794","0.0-1.0","183","1","2025-08-06 11:10:16","36c45c0696341be0efffe67d72a12abb","196.15.217.218","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","61715a02a3c88f5fb082a424","687a1a965b9f5b85a264363e","689337f2b78515a834ed8c50","1","61715a02a3c88f5fb082a424","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9462","1754478648739"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","30259","0.0-2.0","183","1","2025-08-06 11:10:16","36c45c0696341be0efffe67d72a12abb","196.15.217.218","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","61715a02a3c88f5fb082a424","687a1a965b9f5b85a264363e","689337f2b78515a834ed8c50","1","61715a02a3c88f5fb082a424","1","2025-08-06T11:10:48.740Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1853","","","{""assigned_sex"":""female""}","survey-multi-choice","3","32116","0.0-3.0-0.0","183","1","2025-08-06 11:10:16","36c45c0696341be0efffe67d72a12abb","196.15.217.218","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","61715a02a3c88f5fb082a424","687a1a965b9f5b85a264363e","689337f2b78515a834ed8c50","1","61715a02a3c88f5fb082a424","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8753","1754478659350","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","40870","0.0-4.0-0.0","183","1","2025-08-06 11:10:16","36c45c0696341be0efffe67d72a12abb","196.15.217.218","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","61715a02a3c88f5fb082a424","687a1a965b9f5b85a264363e","689337f2b78515a834ed8c50","1","61715a02a3c88f5fb082a424","1","2025-08-06T11:10:59.351Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"227812.5","","","","survey-template","5","268688","0.0-4.0-1.0","183","1","2025-08-06 11:10:16","36c45c0696341be0efffe67d72a12abb","196.15.217.218","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","61715a02a3c88f5fb082a424","687a1a965b9f5b85a264363e","689337f2b78515a834ed8c50","1","61715a02a3c88f5fb082a424","1","2025-08-06T11:14:47.168Z","","","","pss","{""Q01"":""3"",""Q02"":""4"",""Q03"":""4"",""Q04"":""2"",""Q05"":""2"",""Q06"":""4"",""Q07"":""3"",""Q08"":""2"",""Q09"":""3"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[19834.599999964237,25467.5,29839.399999976158,34926.09999996424,194335.5,200935.79999995232,207594.89999997616,213228.29999995232,221261,226847.69999998808]","[]","[0.19999998807907104,19834.599999964237,25467.5,29839.399999976158,34926.09999996424,194335.5,200935.79999995232,207594.89999997616,212628.09999996424,213228.29999995232,220457.59999996424,221261,226847.69999998808,227807.5]","0.4","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5624","1754478892793","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","274314","0.0-4.0-2.0","183","1","2025-08-06 11:10:16","36c45c0696341be0efffe67d72a12abb","196.15.217.218","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","61715a02a3c88f5fb082a424","687a1a965b9f5b85a264363e","689337f2b78515a834ed8c50","1","61715a02a3c88f5fb082a424","1","2025-08-06T11:14:52.794Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84340","","","","survey-template","7","358658","0.0-4.0-3.0","183","1","2025-08-06 11:10:16","36c45c0696341be0efffe67d72a12abb","196.15.217.218","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","61715a02a3c88f5fb082a424","687a1a965b9f5b85a264363e","689337f2b78515a834ed8c50","1","61715a02a3c88f5fb082a424","1","2025-08-06T11:16:17.138Z","","","","drsp","{""Q01"":""1"",""Q02"":""0"",""Q03"":""0"",""Q04"":""2"",""Q05"":""0"",""Q06"":""1"",""Q07"":""0"",""Q08"":""0"",""Q09"":""2"",""Q10"":""2"",""Q11"":""3"",""Q12"":""5"",""Q13"":""5"",""Q14"":""5"",""Q15"":""4"",""Q16"":""5"",""Q17"":""3"",""Q18"":""2"",""Q19"":""5"",""Q20"":""3"",""Q21"":""4"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[6094.599999964237,9049.199999988079,11106.800000011921,13241.899999976158,15266.699999988079,17869.19999998808,19969.099999964237,24042,28407.19999998808,32455.899999976158,35326.89999997616,38726.39999997616,41676,44067.5,47823.30000001192,52047,54146.5,56433.19999998808,60319.09999996424,66347.5,71824.39999997616,77718.39999997616,82885.30000001192]","[]","[0,6094.599999964237,9049.199999988079,11106.800000011921,13241.899999976158,15266.699999988079,17869.19999998808,19969.099999964237,24042,27431.69999998808,28407.19999998808,32455.899999976158,35326.89999997616,38726.39999997616,41676,44067.5,47823.30000001192,52047,54146.5,56433.19999998808,59478.09999996424,60319.09999996424,66347.5,71824.39999997616,77718.39999997616,82885.30000001192,84333.59999996424]","0.22727272727272727","0.38095238095238093","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36613.80000001192","","","","survey-template","8","395274","0.0-4.0-4.0","183","1","2025-08-06 11:10:16","36c45c0696341be0efffe67d72a12abb","196.15.217.218","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","61715a02a3c88f5fb082a424","687a1a965b9f5b85a264363e","689337f2b78515a834ed8c50","1","61715a02a3c88f5fb082a424","1","2025-08-06T11:16:53.755Z","","","","stress","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q01"",""Q02"",""Q03""]","[11696.800000011921,15949.900000035763,21341.69999998808,35434.5]","[]","[11696.800000011921,15949.900000035763,21341.69999998808,33957.10000002384,34586.69999998808,35434.5,36612.40000003576]","0.6666666666666666","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41244","","","","instructions","9","436520","0.0-5.0-0.0","183","1","2025-08-06 11:10:16","36c45c0696341be0efffe67d72a12abb","196.15.217.218","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","61715a02a3c88f5fb082a424","687a1a965b9f5b85a264363e","689337f2b78515a834ed8c50","1","61715a02a3c88f5fb082a424","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":41244}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
