"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"4128","1753871677050","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","4133","0.0-0.0","89","1","2025-07-30 10:34:29","36c45c0696341be0efffe67d72a12abb","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683dba9a53627eb9ab41b36a","6889f519be1181071e8385dc","0","653a6a7224e6c0bfb644ff9b","0","2025-07-30T10:34:37.052Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17316","","","","fullscreen","1","22469","0.0-1.0","89","1","2025-07-30 10:34:29","36c45c0696341be0efffe67d72a12abb","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683dba9a53627eb9ab41b36a","6889f519be1181071e8385dc","0","653a6a7224e6c0bfb644ff9b","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2360","1753871697749"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","24832","0.0-2.0","89","1","2025-07-30 10:34:29","36c45c0696341be0efffe67d72a12abb","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683dba9a53627eb9ab41b36a","6889f519be1181071e8385dc","0","653a6a7224e6c0bfb644ff9b","0","2025-07-30T10:34:57.750Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4743","","","{""assigned_sex"":""female""}","survey-multi-choice","3","29578","0.0-3.0-0.0","89","1","2025-07-30 10:34:29","36c45c0696341be0efffe67d72a12abb","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683dba9a53627eb9ab41b36a","6889f519be1181071e8385dc","0","653a6a7224e6c0bfb644ff9b","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4275","1753871706772","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","33855","0.0-4.0-0.0","89","1","2025-07-30 10:34:29","36c45c0696341be0efffe67d72a12abb","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683dba9a53627eb9ab41b36a","6889f519be1181071e8385dc","0","653a6a7224e6c0bfb644ff9b","0","2025-07-30T10:35:06.773Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67484.40000003576","","","","survey-template","5","101348","0.0-4.0-1.0","89","1","2025-07-30 10:34:29","36c45c0696341be0efffe67d72a12abb","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683dba9a53627eb9ab41b36a","6889f519be1181071e8385dc","0","653a6a7224e6c0bfb644ff9b","0","2025-07-30T10:36:14.267Z","","","","pss","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""3"",""Q05"":""3"",""Q06"":""4"",""Q07"":""3"",""Q08"":""4"",""Q09"":""4"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[4697.100000023842,9984.300000011921,14484.400000035763,20995,31599.30000001192,39174.80000001192,46742.80000001192,53522.19999998808,60775.19999998808,65844.19999998808]","[]","[0.10000002384185791,4697.100000023842,9984.300000011921,14484.400000035763,20995,30717.600000023842,31599.30000001192,39174.80000001192,46742.80000001192,52637,53522.19999998808,60257.19999998808,60775.19999998808,65177,65844.19999998808,67479.5]","0.6","0.2222222222222222","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4029","1753871778299","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","105383","0.0-4.0-2.0","89","1","2025-07-30 10:34:29","36c45c0696341be0efffe67d72a12abb","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683dba9a53627eb9ab41b36a","6889f519be1181071e8385dc","0","653a6a7224e6c0bfb644ff9b","0","2025-07-30T10:36:18.301Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62057.19999998808","","","","survey-template","7","167448","0.0-4.0-3.0","89","1","2025-07-30 10:34:29","36c45c0696341be0efffe67d72a12abb","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683dba9a53627eb9ab41b36a","6889f519be1181071e8385dc","0","653a6a7224e6c0bfb644ff9b","0","2025-07-30T10:37:20.366Z","","","","drsp","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""5"",""Q05"":""5"",""Q06"":""5"",""Q07"":""4"",""Q08"":""3"",""Q09"":""3"",""Q10"":""4"",""Q11"":""4"",""Q12"":""4"",""Q13"":""5"",""Q14"":""3"",""Q15"":""3"",""Q16"":""3"",""Q17"":""4"",""Q18"":""2"",""Q19"":""5"",""Q20"":""4"",""Q21"":""4"",""Q22"":""4""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3384.800000011921,4427.199999988079,5889.399999976158,10119.300000011921,11463.199999988079,12828.599999964237,14267,16584.80000001192,22472.19999998808,25292.599999964237,27751.80000001192,30032.099999964237,32559.80000001192,36761,38807.30000001192,41844.59999996424,43862.09999996424,47746.69999998808,49546.69999998808,52486.89999997616,56042,58396.59999996424,60601.5]","[]","[0.09999996423721313,3384.800000011921,4427.199999988079,5889.399999976158,10119.300000011921,11463.199999988079,12828.599999964237,14267,16584.80000001192,21668.30000001192,22472.19999998808,25292.599999964237,27751.80000001192,30032.099999964237,32559.80000001192,36761,38807.30000001192,41844.59999996424,43862.09999996424,46495.39999997616,47746.69999998808,49546.69999998808,52486.89999997616,56042,57451.69999998808,58396.59999996424,60601.5,62049.5]","0.5","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13660.300000011921","","","","survey-template","8","181113","0.0-4.0-4.0","89","1","2025-07-30 10:34:29","36c45c0696341be0efffe67d72a12abb","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683dba9a53627eb9ab41b36a","6889f519be1181071e8385dc","0","653a6a7224e6c0bfb644ff9b","0","2025-07-30T10:37:34.031Z","","","","stress","{""Q01"":""4"",""Q02"":""4"",""Q03"":""5""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[7088.300000011921,8280.699999988079,12225.800000011921]","[]","[2446,4493.399999976158,7088.300000011921,8280.699999988079,11558.899999976158,12225.800000011921,13658.5]","0.3333333333333333","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4344","","","","instructions","9","185459","0.0-5.0-0.0","89","1","2025-07-30 10:34:29","36c45c0696341be0efffe67d72a12abb","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683dba9a53627eb9ab41b36a","6889f519be1181071e8385dc","0","653a6a7224e6c0bfb644ff9b","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4344}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
