"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"2018","1753865595420","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2024","0.0-0.0","64","1","2025-07-30 08:53:10","36c45c0696341be0efffe67d72a12abb","23.17.128.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","65a4a7343830fdcc679739e0","687a19d2168e237449fb8af4","6889dd356561f65154762160","0","65a4a7343830fdcc679739e0","0","2025-07-30T08:53:15.421Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2868","","","","fullscreen","1","5900","0.0-1.0","64","1","2025-07-30 08:53:10","36c45c0696341be0efffe67d72a12abb","23.17.128.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","65a4a7343830fdcc679739e0","687a19d2168e237449fb8af4","6889dd356561f65154762160","0","65a4a7343830fdcc679739e0","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4595","1753865603892"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","10495","0.0-2.0","64","1","2025-07-30 08:53:10","36c45c0696341be0efffe67d72a12abb","23.17.128.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","65a4a7343830fdcc679739e0","687a19d2168e237449fb8af4","6889dd356561f65154762160","0","65a4a7343830fdcc679739e0","0","2025-07-30T08:53:23.892Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3107","","","{""assigned_sex"":""male""}","survey-multi-choice","3","13604","0.0-3.0-0.0","64","1","2025-07-30 08:53:10","36c45c0696341be0efffe67d72a12abb","23.17.128.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","65a4a7343830fdcc679739e0","687a19d2168e237449fb8af4","6889dd356561f65154762160","0","65a4a7343830fdcc679739e0","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1126","1753865608129","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","14732","0.0-4.0-0.0","64","1","2025-07-30 08:53:10","36c45c0696341be0efffe67d72a12abb","23.17.128.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","65a4a7343830fdcc679739e0","687a19d2168e237449fb8af4","6889dd356561f65154762160","0","65a4a7343830fdcc679739e0","0","2025-07-30T08:53:28.129Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58102","","","","survey-template","5","72835","0.0-4.0-1.0","64","1","2025-07-30 08:53:10","36c45c0696341be0efffe67d72a12abb","23.17.128.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","65a4a7343830fdcc679739e0","687a19d2168e237449fb8af4","6889dd356561f65154762160","0","65a4a7343830fdcc679739e0","0","2025-07-30T08:54:26.232Z","","","","pss","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""1"",""Q08"":""3"",""Q09"":""1"",""Q10"":""2""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[10937,14388,16233,19366,22035,30441,31259,47043,53762,57577]","[]","[1,10937,14388,16233,19366,22035,28649,30441,31259,46062,46579,47043,53762,57577,58102]","0.7","0.2222222222222222","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1297","1753865667530","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","74133","0.0-4.0-2.0","64","1","2025-07-30 08:53:10","36c45c0696341be0efffe67d72a12abb","23.17.128.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","65a4a7343830fdcc679739e0","687a19d2168e237449fb8af4","6889dd356561f65154762160","0","65a4a7343830fdcc679739e0","0","2025-07-30T08:54:27.530Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61138","","","","survey-template","7","135275","0.0-4.0-3.0","64","1","2025-07-30 08:53:10","36c45c0696341be0efffe67d72a12abb","23.17.128.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","65a4a7343830fdcc679739e0","687a19d2168e237449fb8af4","6889dd356561f65154762160","0","65a4a7343830fdcc679739e0","0","2025-07-30T08:55:28.672Z","","","","drsp","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2"",""Q04"":""2"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""0"",""Q09"":""2"",""Q10"":""1"",""Q11"":""2"",""Q12"":""3"",""Q13"":""5"",""Q14"":""3"",""Q15"":""3"",""Q16"":""1"",""Q17"":""3"",""Q18"":""3"",""Q19"":""1"",""Q20"":""2"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q19"",""Q20"",""Q21"",""Q22""]","[5394,6328,8014,9132,10514,12976,19246,20739,22444,24935,26599,28329,29515,31469,34145,36063,38321,40111,41334,43319,44818,53856,56498,60551]","[]","[0,5394,6328,8014,9132,10514,12976,19246,20739,22444,24935,26599,28329,29515,31469,34145,36063,38321,40111,41334,43319,44818,53856,56498,60551,61138]","0.36363636363636365","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9964","","","","survey-template","8","145241","0.0-4.0-4.0","64","1","2025-07-30 08:53:10","36c45c0696341be0efffe67d72a12abb","23.17.128.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","65a4a7343830fdcc679739e0","687a19d2168e237449fb8af4","6889dd356561f65154762160","0","65a4a7343830fdcc679739e0","0","2025-07-30T08:55:38.638Z","","","","stress","{""Q01"":""2"",""Q02"":""3"",""Q03"":""3""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4449,7109,9504]","[]","[4449,7109,9504,9964]","0.6666666666666666","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3853","","","","instructions","9","149094","0.0-5.0-0.0","64","1","2025-07-30 08:53:10","36c45c0696341be0efffe67d72a12abb","23.17.128.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","65a4a7343830fdcc679739e0","687a19d2168e237449fb8af4","6889dd356561f65154762160","0","65a4a7343830fdcc679739e0","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3853}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
