"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"3876","1754470432039","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3879","0.0-0.0","142","1","2025-08-06 08:53:45","36c45c0696341be0efffe67d72a12abb","105.161.109.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65fae23bd06ae76bcc297e8b","687a1a965b9f5b85a264363e","68931777a0802004f5162274","1","65fae23bd06ae76bcc297e8b","1","2025-08-06T08:53:52.041Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4401","","","","fullscreen","1","9296","0.0-1.0","142","1","2025-08-06 08:53:45","36c45c0696341be0efffe67d72a12abb","105.161.109.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65fae23bd06ae76bcc297e8b","687a1a965b9f5b85a264363e","68931777a0802004f5162274","1","65fae23bd06ae76bcc297e8b","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15103","1754470452561"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","24400","0.0-2.0","142","1","2025-08-06 08:53:45","36c45c0696341be0efffe67d72a12abb","105.161.109.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65fae23bd06ae76bcc297e8b","687a1a965b9f5b85a264363e","68931777a0802004f5162274","1","65fae23bd06ae76bcc297e8b","1","2025-08-06T08:54:12.561Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4097","","","{""assigned_sex"":""female""}","survey-multi-choice","3","28501","0.0-3.0-0.0","142","1","2025-08-06 08:53:45","36c45c0696341be0efffe67d72a12abb","105.161.109.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65fae23bd06ae76bcc297e8b","687a1a965b9f5b85a264363e","68931777a0802004f5162274","1","65fae23bd06ae76bcc297e8b","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4062","1754470460725","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","32565","0.0-4.0-0.0","142","1","2025-08-06 08:53:45","36c45c0696341be0efffe67d72a12abb","105.161.109.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65fae23bd06ae76bcc297e8b","687a1a965b9f5b85a264363e","68931777a0802004f5162274","1","65fae23bd06ae76bcc297e8b","1","2025-08-06T08:54:20.726Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46736.70000000298","","","","survey-template","5","79309","0.0-4.0-1.0","142","1","2025-08-06 08:53:45","36c45c0696341be0efffe67d72a12abb","105.161.109.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65fae23bd06ae76bcc297e8b","687a1a965b9f5b85a264363e","68931777a0802004f5162274","1","65fae23bd06ae76bcc297e8b","1","2025-08-06T08:55:07.470Z","","","","pss","{""Q01"":""2"",""Q02"":""1"",""Q03"":""2"",""Q04"":""1"",""Q05"":""1"",""Q06"":""3"",""Q07"":""1"",""Q08"":""1"",""Q09"":""2"",""Q10"":""2""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[5146.5,10216.90000000596,13247.80000000447,16551.10000000149,21272.80000000447,30513.30000000447,32894.10000000149,35314,39757.60000000149,45515]","[]","[0.30000000447034836,5146.5,10216.90000000596,13247.80000000447,16551.10000000149,21272.80000000447,30513.30000000447,32894.10000000149,35314,39757.60000000149,45515,46728.5]","0.5","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3473","1754470510946","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","82785","0.0-4.0-2.0","142","1","2025-08-06 08:53:45","36c45c0696341be0efffe67d72a12abb","105.161.109.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65fae23bd06ae76bcc297e8b","687a1a965b9f5b85a264363e","68931777a0802004f5162274","1","65fae23bd06ae76bcc297e8b","1","2025-08-06T08:55:10.947Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79109.89999999851","","","","survey-template","7","161901","0.0-4.0-3.0","142","1","2025-08-06 08:53:45","36c45c0696341be0efffe67d72a12abb","105.161.109.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65fae23bd06ae76bcc297e8b","687a1a965b9f5b85a264363e","68931777a0802004f5162274","1","65fae23bd06ae76bcc297e8b","1","2025-08-06T08:56:30.062Z","","","","drsp","{""Q01"":""1"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""2"",""Q13"":""5"",""Q14"":""2"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""1"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q02"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[5056.79999999702,6679.39999999851,10726,14187,16071.39999999851,17004,21379.69999999553,22679.39999999851,27299.29999999702,28930.39999999851,30087.39999999851,31593.89999999851,36554.39999999851,41109,56442.10000000149,61202.60000000149,62886.29999999702,64790.19999999553,65779.5,67980,70455.29999999702,74114.19999999553,76850.10000000149]","[]","[0,5056.79999999702,6679.39999999851,7880.69999999553,9809.10000000149,10726,12301,14187,16071.39999999851,17004,20032.29999999702,21379.69999999553,22679.39999999851,27299.29999999702,28930.39999999851,30087.39999999851,31593.89999999851,35075,36554.39999999851,38727.29999999702,39681.19999999553,41109,56442.10000000149,61202.60000000149,62886.29999999702,64790.19999999553,65779.5,67980,70455.29999999702,74114.19999999553,76850.10000000149,79103.89999999851]","0.7727272727272727","0.14285714285714285","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14864","","","","survey-template","8","176768","0.0-4.0-4.0","142","1","2025-08-06 08:53:45","36c45c0696341be0efffe67d72a12abb","105.161.109.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65fae23bd06ae76bcc297e8b","687a1a965b9f5b85a264363e","68931777a0802004f5162274","1","65fae23bd06ae76bcc297e8b","1","2025-08-06T08:56:44.929Z","","","","stress","{""Q01"":""0"",""Q02"":""1"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3335.9000000059605,8688.60000000149,12773]","[]","[3335.9000000059605,5531.30000000447,8688.60000000149,12773,14861.60000000149]","0.6666666666666666","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20352","","","","instructions","9","197121","0.0-5.0-0.0","142","1","2025-08-06 08:53:45","36c45c0696341be0efffe67d72a12abb","105.161.109.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65fae23bd06ae76bcc297e8b","687a1a965b9f5b85a264363e","68931777a0802004f5162274","1","65fae23bd06ae76bcc297e8b","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":20352}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
