"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"7011","1754473532439","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","7018","0.0-0.0","170","1","2025-08-06 09:45:19","36c45c0696341be0efffe67d72a12abb","41.13.188.244","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","660eafee7515c432e850362d","687a1a965b9f5b85a264363e","68932385b43a7ea7a9be5136","1","660eafee7515c432e850362d","1","2025-08-06T09:45:32.441Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9643","","","","fullscreen","1","17677","0.0-1.0","170","1","2025-08-06 09:45:19","36c45c0696341be0efffe67d72a12abb","41.13.188.244","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","660eafee7515c432e850362d","687a1a965b9f5b85a264363e","68932385b43a7ea7a9be5136","1","660eafee7515c432e850362d","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2353","1754473545454"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","20032","0.0-2.0","170","1","2025-08-06 09:45:19","36c45c0696341be0efffe67d72a12abb","41.13.188.244","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","660eafee7515c432e850362d","687a1a965b9f5b85a264363e","68932385b43a7ea7a9be5136","1","660eafee7515c432e850362d","1","2025-08-06T09:45:45.456Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3448","","","{""assigned_sex"":""female""}","survey-multi-choice","3","23486","0.0-3.0-0.0","170","1","2025-08-06 09:45:19","36c45c0696341be0efffe67d72a12abb","41.13.188.244","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","660eafee7515c432e850362d","687a1a965b9f5b85a264363e","68932385b43a7ea7a9be5136","1","660eafee7515c432e850362d","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2402","1754473551314","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","25892","0.0-4.0-0.0","170","1","2025-08-06 09:45:19","36c45c0696341be0efffe67d72a12abb","41.13.188.244","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","660eafee7515c432e850362d","687a1a965b9f5b85a264363e","68932385b43a7ea7a9be5136","1","660eafee7515c432e850362d","1","2025-08-06T09:45:51.315Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54848.5","","","","survey-template","5","80748","0.0-4.0-1.0","170","1","2025-08-06 09:45:19","36c45c0696341be0efffe67d72a12abb","41.13.188.244","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","660eafee7515c432e850362d","687a1a965b9f5b85a264363e","68932385b43a7ea7a9be5136","1","660eafee7515c432e850362d","1","2025-08-06T09:46:46.171Z","","","","pss","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3"",""Q04"":""0"",""Q05"":""1"",""Q06"":""2"",""Q07"":""2"",""Q08"":""1"",""Q09"":""2"",""Q10"":""2""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[23431.40000000596,25058.5,27934.29999998212,32870.40000000596,35564.09999999404,38874.79999998212,40060.59999999404,43009.40000000596,48232.59999999404,51405.69999998808,53216.5]","[]","[0.29999998211860657,23431.40000000596,25058.5,27934.29999998212,32870.40000000596,35564.09999999404,38874.79999998212,40060.59999999404,43009.40000000596,45813.79999998212,48232.59999999404,51405.69999998808,53216.5,54843.40000000596]","0.5","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3673","1754473609847","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","84425","0.0-4.0-2.0","170","1","2025-08-06 09:45:19","36c45c0696341be0efffe67d72a12abb","41.13.188.244","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","660eafee7515c432e850362d","687a1a965b9f5b85a264363e","68932385b43a7ea7a9be5136","1","660eafee7515c432e850362d","1","2025-08-06T09:46:49.848Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62310.39999997616","","","","survey-template","7","146745","0.0-4.0-3.0","170","1","2025-08-06 09:45:19","36c45c0696341be0efffe67d72a12abb","41.13.188.244","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","660eafee7515c432e850362d","687a1a965b9f5b85a264363e","68932385b43a7ea7a9be5136","1","660eafee7515c432e850362d","1","2025-08-06T09:47:52.169Z","","","","drsp","{""Q01"":""3"",""Q02"":""3"",""Q03"":""2"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""3"",""Q10"":""2"",""Q11"":""2"",""Q12"":""3"",""Q13"":""5"",""Q14"":""4"",""Q15"":""3"",""Q16"":""3"",""Q17"":""3"",""Q18"":""2"",""Q19"":""1"",""Q20"":""2"",""Q21"":""2"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q17"",""Q16"",""Q19"",""Q18"",""Q20"",""Q21"",""Q22""]","[7356.199999988079,9099.899999976158,10070.399999976158,11082.59999999404,12265.799999982119,13342,19576.5,21053.79999998212,25873.59999999404,34022.39999997616,35247.69999998808,37471,41670.29999998212,44923.79999998212,45458.29999998212,48145.5,49101.59999999404,53512.19999998808,55193.39999997616,57343.29999998212,58434,61371.69999998808]","[]","[0.19999998807907104,7356.199999988079,9099.899999976158,10070.399999976158,11082.59999999404,12265.799999982119,13342,18113,19576.5,21053.79999998212,23272.399999976158,24360.19999998808,25873.59999999404,34022.39999997616,35247.69999998808,37471,40437.69999998808,41670.29999998212,44923.79999998212,45458.29999998212,47247.09999999404,48145.5,49101.59999999404,50300.5,53512.19999998808,54309.79999998212,55193.39999997616,57343.29999998212,58434,61371.69999998808,62292.19999998808]","0.5454545454545454","0.42857142857142855","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12756.199999988079","","","","survey-template","8","159509","0.0-4.0-4.0","170","1","2025-08-06 09:45:19","36c45c0696341be0efffe67d72a12abb","41.13.188.244","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","660eafee7515c432e850362d","687a1a965b9f5b85a264363e","68932385b43a7ea7a9be5136","1","660eafee7515c432e850362d","1","2025-08-06T09:48:04.932Z","","","","stress","{""Q01"":""3"",""Q02"":""2"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4780.299999982119,8657.699999988079,11795.09999999404]","[]","[4780.299999982119,8657.699999988079,11795.09999999404,12752.59999999404]","0.6666666666666666","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3449","","","","instructions","9","162961","0.0-5.0-0.0","170","1","2025-08-06 09:45:19","36c45c0696341be0efffe67d72a12abb","41.13.188.244","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","660eafee7515c432e850362d","687a1a965b9f5b85a264363e","68932385b43a7ea7a9be5136","1","660eafee7515c432e850362d","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3448}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
