"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"2445","1754471017870","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2448","0.0-0.0","154","1","2025-08-06 09:03:31","36c45c0696341be0efffe67d72a12abb","223.230.55.133","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","6877649eabb845cf142cd221","68931a394433361b63a84dc1","1","664b3888f484550fe6d377bc","1","2025-08-06T09:03:37.871Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1118","","","","fullscreen","1","4637","0.0-1.0","154","1","2025-08-06 09:03:31","36c45c0696341be0efffe67d72a12abb","223.230.55.133","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","6877649eabb845cf142cd221","68931a394433361b63a84dc1","1","664b3888f484550fe6d377bc","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1041","1754471021102"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","5680","0.0-2.0","154","1","2025-08-06 09:03:31","36c45c0696341be0efffe67d72a12abb","223.230.55.133","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","6877649eabb845cf142cd221","68931a394433361b63a84dc1","1","664b3888f484550fe6d377bc","1","2025-08-06T09:03:41.103Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1927","","","{""assigned_sex"":""female""}","survey-multi-choice","3","7608","0.0-3.0-0.0","154","1","2025-08-06 09:03:31","36c45c0696341be0efffe67d72a12abb","223.230.55.133","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","6877649eabb845cf142cd221","68931a394433361b63a84dc1","1","664b3888f484550fe6d377bc","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"789","1754471023821","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","8399","0.0-4.0-0.0","154","1","2025-08-06 09:03:31","36c45c0696341be0efffe67d72a12abb","223.230.55.133","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","6877649eabb845cf142cd221","68931a394433361b63a84dc1","1","664b3888f484550fe6d377bc","1","2025-08-06T09:03:43.822Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38529.699999928474","","","","survey-template","5","46931","0.0-4.0-1.0","154","1","2025-08-06 09:03:31","36c45c0696341be0efffe67d72a12abb","223.230.55.133","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","6877649eabb845cf142cd221","68931a394433361b63a84dc1","1","664b3888f484550fe6d377bc","1","2025-08-06T09:04:22.354Z","","","","pss","{""Q01"":""2"",""Q02"":""3"",""Q03"":""3"",""Q04"":""1"",""Q05"":""1"",""Q06"":""2"",""Q07"":""2"",""Q08"":""3"",""Q09"":""3"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[6510.099999904633,8838.099999904633,13246.099999904633,15854.299999952316,17966.199999928474,21078.199999928474,23334.399999976158,25198.199999928474,29293.599999904633,34141.5,37902.09999990463]","[]","[0.09999990463256836,3422.0999999046326,6510.099999904633,8838.099999904633,13246.099999904633,15854.299999952316,17966.199999928474,19862.199999928474,21078.199999928474,21909.899999976158,23334.399999976158,25198.199999928474,28173.799999952316,29293.599999904633,34141.5,37902.09999990463,38526.09999990463]","0.6","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6122","1754471068477","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","53054","0.0-4.0-2.0","154","1","2025-08-06 09:03:31","36c45c0696341be0efffe67d72a12abb","223.230.55.133","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","6877649eabb845cf142cd221","68931a394433361b63a84dc1","1","664b3888f484550fe6d377bc","1","2025-08-06T09:04:28.478Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41909.199999928474","","","","survey-template","7","94967","0.0-4.0-3.0","154","1","2025-08-06 09:03:31","36c45c0696341be0efffe67d72a12abb","223.230.55.133","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","6877649eabb845cf142cd221","68931a394433361b63a84dc1","1","664b3888f484550fe6d377bc","1","2025-08-06T09:05:10.390Z","","","","drsp","{""Q01"":""3"",""Q02"":""3"",""Q03"":""2"",""Q04"":""3"",""Q05"":""4"",""Q06"":""3"",""Q07"":""2"",""Q08"":""3"",""Q09"":""3"",""Q10"":""3"",""Q11"":""2"",""Q12"":""2"",""Q13"":""5"",""Q14"":""2"",""Q15"":""3"",""Q16"":""3"",""Q17"":""2"",""Q18"":""2"",""Q19"":""0"",""Q20"":""1"",""Q21"":""1"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q10"",""Q09"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[6142.100000023842,6998.199999928474,7936.899999976158,9661.899999976158,10997.600000023842,11630.299999952316,12774.100000023842,14062.100000023842,15590.199999928474,17413.600000023842,21525.899999976158,22662.199999928474,23918.600000023842,25710.399999976158,26741.899999976158,27822.199999928474,29054.199999928474,31509.600000023842,35189.5,38542.39999997616,39525.60000002384,40998.699999928474]","[]","[0,6142.100000023842,6998.199999928474,7936.899999976158,9287.600000023842,9661.899999976158,10646.399999976158,10997.600000023842,11630.299999952316,12327.299999952316,12774.100000023842,14062.100000023842,14870.100000023842,15590.199999928474,16166.399999976158,17413.600000023842,21525.899999976158,22662.199999928474,23918.600000023842,25710.399999976158,26741.899999976158,27822.199999928474,29054.199999928474,29622.100000023842,29934,31509.600000023842,33446.199999928474,35189.5,38542.39999997616,39525.60000002384,40998.699999928474,41902.799999952316]","0.4090909090909091","0.5238095238095238","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9438.200000047684","","","","survey-template","8","104407","0.0-4.0-4.0","154","1","2025-08-06 09:03:31","36c45c0696341be0efffe67d72a12abb","223.230.55.133","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","6877649eabb845cf142cd221","68931a394433361b63a84dc1","1","664b3888f484550fe6d377bc","1","2025-08-06T09:05:19.830Z","","","","stress","{""Q01"":""2"",""Q02"":""3"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[5661.100000023842,7693.200000047684,8533.799999952316]","[]","[3781.399999976158,5661.100000023842,6509.5,7693.200000047684,8533.799999952316,9437.299999952316]","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6134","","","","instructions","9","110542","0.0-5.0-0.0","154","1","2025-08-06 09:03:31","36c45c0696341be0efffe67d72a12abb","223.230.55.133","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","6877649eabb845cf142cd221","68931a394433361b63a84dc1","1","664b3888f484550fe6d377bc","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":6134}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
