"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"7807","1753864854498","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","7809","0.0-0.0","29","1","2025-07-30 08:40:45","36c45c0696341be0efffe67d72a12abb","92.53.153.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","sl,en-GB;q=0.7,en;q=0.3","664b4f0017b082f48ee8a033","687a19d2168e237449fb8af4","6889da39a02b3278d58d3a34","0","664b4f0017b082f48ee8a033","0","2025-07-30T08:40:54.498Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12186","","","","fullscreen","1","21004","0.0-1.0","29","1","2025-07-30 08:40:45","36c45c0696341be0efffe67d72a12abb","92.53.153.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","sl,en-GB;q=0.7,en;q=0.3","664b4f0017b082f48ee8a033","687a19d2168e237449fb8af4","6889da39a02b3278d58d3a34","0","664b4f0017b082f48ee8a033","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3738","1753864871434"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","24746","0.0-2.0","29","1","2025-07-30 08:40:45","36c45c0696341be0efffe67d72a12abb","92.53.153.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","sl,en-GB;q=0.7,en;q=0.3","664b4f0017b082f48ee8a033","687a19d2168e237449fb8af4","6889da39a02b3278d58d3a34","0","664b4f0017b082f48ee8a033","0","2025-07-30T08:41:11.435Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3935","","","{""assigned_sex"":""male""}","survey-multi-choice","3","28683","0.0-3.0-0.0","29","1","2025-07-30 08:40:45","36c45c0696341be0efffe67d72a12abb","92.53.153.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","sl,en-GB;q=0.7,en;q=0.3","664b4f0017b082f48ee8a033","687a19d2168e237449fb8af4","6889da39a02b3278d58d3a34","0","664b4f0017b082f48ee8a033","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4990","1753864880363","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","33675","0.0-4.0-0.0","29","1","2025-07-30 08:40:45","36c45c0696341be0efffe67d72a12abb","92.53.153.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","sl,en-GB;q=0.7,en;q=0.3","664b4f0017b082f48ee8a033","687a19d2168e237449fb8af4","6889da39a02b3278d58d3a34","0","664b4f0017b082f48ee8a033","0","2025-07-30T08:41:20.364Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75624","","","","survey-template","5","109301","0.0-4.0-1.0","29","1","2025-07-30 08:40:45","36c45c0696341be0efffe67d72a12abb","92.53.153.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","sl,en-GB;q=0.7,en;q=0.3","664b4f0017b082f48ee8a033","687a19d2168e237449fb8af4","6889da39a02b3278d58d3a34","0","664b4f0017b082f48ee8a033","0","2025-07-30T08:42:35.990Z","","","","pss","{""Q01"":""2"",""Q02"":""1"",""Q03"":""2"",""Q04"":""0"",""Q05"":""0"",""Q06"":""1"",""Q07"":""0"",""Q08"":""1"",""Q09"":""2"",""Q10"":""1""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q01"",""Q02"",""Q04"",""Q04"",""Q04"",""Q05"",""Q05"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q09"",""Q09"",""Q10""]","[8829,13933,17045,27219,31264,37366,39446,40167,43799,45011,47187,52316,58097,62087,66676,69352,70773,74888]","[]","[0,8829,13045,13933,17045,25113,27219,31264,37366,39446,40167,43799,45011,47187,51721,52316,57469,58097,61423,62087,66164,66676,69352,70233,70773,74888,75623]","0.3","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3340","1753864959333","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","112644","0.0-4.0-2.0","29","1","2025-07-30 08:40:45","36c45c0696341be0efffe67d72a12abb","92.53.153.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","sl,en-GB;q=0.7,en;q=0.3","664b4f0017b082f48ee8a033","687a19d2168e237449fb8af4","6889da39a02b3278d58d3a34","0","664b4f0017b082f48ee8a033","0","2025-07-30T08:42:39.333Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74770","","","","survey-template","7","187417","0.0-4.0-3.0","29","1","2025-07-30 08:40:45","36c45c0696341be0efffe67d72a12abb","92.53.153.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","sl,en-GB;q=0.7,en;q=0.3","664b4f0017b082f48ee8a033","687a19d2168e237449fb8af4","6889da39a02b3278d58d3a34","0","664b4f0017b082f48ee8a033","0","2025-07-30T08:43:54.106Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""0"",""Q09"":""2"",""Q10"":""0"",""Q11"":""1"",""Q12"":""2"",""Q13"":""5"",""Q14"":""2"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""3"",""Q20"":""1"",""Q21"":""4"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q21"",""Q19"",""Q20"",""Q21"",""Q22""]","[2373,3237,4843,6978,8600,11266,13235,14831,16688,19802,23706,24398,28994,30785,34932,37754,39666,41464,43163,44769,49948,52046,53009,60372,67534,70530,74025]","[]","[0,2373,3237,4843,6978,8600,10746,11266,13235,14831,16688,17487,19802,21939,23706,24398,27241,28994,30785,34384,34932,37754,39666,41464,43163,44769,48441,49181,49948,52046,53009,60372,67534,70530,74025,74769]","0.45454545454545453","0.19047619047619047","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15943","","","","survey-template","8","203364","0.0-4.0-4.0","29","1","2025-07-30 08:40:45","36c45c0696341be0efffe67d72a12abb","92.53.153.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","sl,en-GB;q=0.7,en;q=0.3","664b4f0017b082f48ee8a033","687a19d2168e237449fb8af4","6889da39a02b3278d58d3a34","0","664b4f0017b082f48ee8a033","0","2025-07-30T08:44:10.053Z","","","","stress","{""Q01"":""1"",""Q02"":""1"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3595,10142,15158]","[]","[3595,9606,10142,15158,15943]","0.6666666666666666","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24392","","","","instructions","9","227758","0.0-5.0-0.0","29","1","2025-07-30 08:40:45","36c45c0696341be0efffe67d72a12abb","92.53.153.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","sl,en-GB;q=0.7,en;q=0.3","664b4f0017b082f48ee8a033","687a19d2168e237449fb8af4","6889da39a02b3278d58d3a34","0","664b4f0017b082f48ee8a033","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":24392}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
