"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"29399","1753865428108","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","29404","0.0-0.0","58","1","2025-07-30 08:49:43","36c45c0696341be0efffe67d72a12abb","105.161.193.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664e413a5f3eb7f99d90e15b","687a19d2168e237449fb8af4","6889da6069b228446d383490","0","664e413a5f3eb7f99d90e15b","0","2025-07-30T08:50:28.111Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32041","","","","fullscreen","1","62455","0.0-1.0","58","1","2025-07-30 08:49:43","36c45c0696341be0efffe67d72a12abb","105.161.193.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664e413a5f3eb7f99d90e15b","687a19d2168e237449fb8af4","6889da6069b228446d383490","0","664e413a5f3eb7f99d90e15b","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6807","1753865467972"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","69265","0.0-2.0","58","1","2025-07-30 08:49:43","36c45c0696341be0efffe67d72a12abb","105.161.193.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664e413a5f3eb7f99d90e15b","687a19d2168e237449fb8af4","6889da6069b228446d383490","0","664e413a5f3eb7f99d90e15b","0","2025-07-30T08:51:07.973Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3829","","","{""assigned_sex"":""male""}","survey-multi-choice","3","73285","0.0-3.0-0.0","58","1","2025-07-30 08:49:43","36c45c0696341be0efffe67d72a12abb","105.161.193.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664e413a5f3eb7f99d90e15b","687a19d2168e237449fb8af4","6889da6069b228446d383490","0","664e413a5f3eb7f99d90e15b","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6936","1753865478928","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","80221","0.0-4.0-0.0","58","1","2025-07-30 08:49:43","36c45c0696341be0efffe67d72a12abb","105.161.193.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664e413a5f3eb7f99d90e15b","687a19d2168e237449fb8af4","6889da6069b228446d383490","0","664e413a5f3eb7f99d90e15b","0","2025-07-30T08:51:18.928Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75255.60000002384","","","","survey-template","5","155483","0.0-4.0-1.0","58","1","2025-07-30 08:49:43","36c45c0696341be0efffe67d72a12abb","105.161.193.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664e413a5f3eb7f99d90e15b","687a19d2168e237449fb8af4","6889da6069b228446d383490","0","664e413a5f3eb7f99d90e15b","0","2025-07-30T08:52:34.190Z","","","","pss","{""Q01"":""1"",""Q02"":""1"",""Q03"":""1"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""1"",""Q09"":""3"",""Q10"":""1""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q01"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[10229,16669.69999998808,18405.899999976158,24895,30520.30000001192,37202.69999998808,44573.10000002384,51710.60000002384,57412.5,63986.69999998808,72001.19999998808]","[]","[0.19999998807907104,8036.699999988079,10229,16669.69999998808,18405.899999976158,24895,30520.30000001192,33507.60000002384,36077.80000001192,37202.69999998808,44573.10000002384,51710.60000002384,56064.80000001192,57412.5,63986.69999998808,72001.19999998808,75249.60000002384]","0.5","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4985","1753865559176","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","160470","0.0-4.0-2.0","58","1","2025-07-30 08:49:43","36c45c0696341be0efffe67d72a12abb","105.161.193.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664e413a5f3eb7f99d90e15b","687a19d2168e237449fb8af4","6889da6069b228446d383490","0","664e413a5f3eb7f99d90e15b","0","2025-07-30T08:52:39.177Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97167.89999997616","","","","survey-template","7","257646","0.0-4.0-3.0","58","1","2025-07-30 08:49:43","36c45c0696341be0efffe67d72a12abb","105.161.193.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664e413a5f3eb7f99d90e15b","687a19d2168e237449fb8af4","6889da6069b228446d383490","0","664e413a5f3eb7f99d90e15b","0","2025-07-30T08:54:16.354Z","","","","drsp","{""Q01"":""2"",""Q02"":""0"",""Q03"":""0"",""Q04"":""2"",""Q05"":""1"",""Q06"":""1"",""Q07"":""2"",""Q08"":""0"",""Q09"":""2"",""Q10"":""1"",""Q11"":""1"",""Q12"":""4"",""Q13"":""5"",""Q14"":""4"",""Q15"":""4"",""Q16"":""1"",""Q17"":""1"",""Q18"":""1"",""Q19"":""0"",""Q20"":""1"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[5073.699999988079,8349.699999988079,10472.699999988079,12857.099999964237,19544.599999964237,23284.899999976158,25484.399999976158,29002.30000001192,33517.80000001192,35416.89999997616,39331.89999997616,41967.59999996424,44516.09999996424,47568.39999997616,50340.09999996424,55368.69999998808,59244.69999998808,63594.89999997616,64689.89999997616,71278.69999998808,81481.89999997616,88051.39999997616,95889.5]","[]","[0.09999996423721313,5073.699999988079,8349.699999988079,10472.699999988079,12857.099999964237,15008.800000011921,16956.69999998808,19544.599999964237,22094.30000001192,22096.69999998808,23284.899999976158,25484.399999976158,29002.30000001192,31754.099999964237,33517.80000001192,35416.89999997616,39331.89999997616,41967.59999996424,44516.09999996424,47568.39999997616,50340.09999996424,53082.30000001192,54362.09999996424,55368.69999998808,59244.69999998808,61076.30000001192,63594.89999997616,64689.89999997616,71278.69999998808,80552,81481.89999997616,88051.39999997616,95124.59999996424,95889.5,97159.09999996424]","0.45454545454545453","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20711.400000035763","","","","survey-template","8","278361","0.0-4.0-4.0","58","1","2025-07-30 08:49:43","36c45c0696341be0efffe67d72a12abb","105.161.193.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664e413a5f3eb7f99d90e15b","687a19d2168e237449fb8af4","6889da6069b228446d383490","0","664e413a5f3eb7f99d90e15b","0","2025-07-30T08:54:37.068Z","","","","stress","{""Q01"":""2"",""Q02"":""3"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q01"",""Q02"",""Q03""]","[6061,9054.600000023842,12271,18151.5]","[]","[6061,9054.600000023842,12271,18151.5,20709.200000047684]","0.6666666666666666","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61915","","","","instructions","9","340278","0.0-5.0-0.0","58","1","2025-07-30 08:49:43","36c45c0696341be0efffe67d72a12abb","105.161.193.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664e413a5f3eb7f99d90e15b","687a19d2168e237449fb8af4","6889da6069b228446d383490","0","664e413a5f3eb7f99d90e15b","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":61914}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
