"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"3016","1753866754839","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3022","0.0-0.0","78","1","2025-07-30 09:12:28","36c45c0696341be0efffe67d72a12abb","41.114.159.88","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","683dba9a53627eb9ab41b36a","6889e1be55c49e88fa4d5137","0","665f10dc49cd980fdf304c19","0","2025-07-30T09:12:34.846Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5170","","","","fullscreen","1","9213","0.0-1.0","78","1","2025-07-30 09:12:28","36c45c0696341be0efffe67d72a12abb","41.114.159.88","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","683dba9a53627eb9ab41b36a","6889e1be55c49e88fa4d5137","0","665f10dc49cd980fdf304c19","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3700","1753866764738"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","12917","0.0-2.0","78","1","2025-07-30 09:12:28","36c45c0696341be0efffe67d72a12abb","41.114.159.88","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","683dba9a53627eb9ab41b36a","6889e1be55c49e88fa4d5137","0","665f10dc49cd980fdf304c19","0","2025-07-30T09:12:44.740Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4368","","","{""assigned_sex"":""female""}","survey-multi-choice","3","17297","0.0-3.0-0.0","78","1","2025-07-30 09:12:28","36c45c0696341be0efffe67d72a12abb","41.114.159.88","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","683dba9a53627eb9ab41b36a","6889e1be55c49e88fa4d5137","0","665f10dc49cd980fdf304c19","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1852","1753866770975","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","19154","0.0-4.0-0.0","78","1","2025-07-30 09:12:28","36c45c0696341be0efffe67d72a12abb","41.114.159.88","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","683dba9a53627eb9ab41b36a","6889e1be55c49e88fa4d5137","0","665f10dc49cd980fdf304c19","0","2025-07-30T09:12:50.977Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80971.09999999404","","","","survey-template","5","100140","0.0-4.0-1.0","78","1","2025-07-30 09:12:28","36c45c0696341be0efffe67d72a12abb","41.114.159.88","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","683dba9a53627eb9ab41b36a","6889e1be55c49e88fa4d5137","0","665f10dc49cd980fdf304c19","0","2025-07-30T09:14:11.963Z","","","","pss","{""Q01"":""2"",""Q02"":""3"",""Q03"":""3"",""Q04"":""2"",""Q05"":""3"",""Q06"":""3"",""Q07"":""2"",""Q08"":""1"",""Q09"":""2"",""Q10"":""2""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[10890.699999988079,14338.699999988079,30979.19999998808,37543.59999999404,48925.90000000596,69341,71789.09999999404,75038,77657.30000001192,79602.30000001192]","[]","[0.4000000059604645,10890.699999988079,14338.699999988079,30979.19999998808,37543.59999999404,46929.5,48925.90000000596,67840.40000000596,69341,71789.09999999404,75038,77657.30000001192,79602.30000001192,80952.09999999404]","0.5","0.6666666666666666","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2504","1753866854472","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","102652","0.0-4.0-2.0","78","1","2025-07-30 09:12:28","36c45c0696341be0efffe67d72a12abb","41.114.159.88","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","683dba9a53627eb9ab41b36a","6889e1be55c49e88fa4d5137","0","665f10dc49cd980fdf304c19","0","2025-07-30T09:14:14.474Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72029.90000000596","","","","survey-template","7","174697","0.0-4.0-3.0","78","1","2025-07-30 09:12:28","36c45c0696341be0efffe67d72a12abb","41.114.159.88","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","683dba9a53627eb9ab41b36a","6889e1be55c49e88fa4d5137","0","665f10dc49cd980fdf304c19","0","2025-07-30T09:15:26.519Z","","","","drsp","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3"",""Q04"":""3"",""Q05"":""2"",""Q06"":""3"",""Q07"":""3"",""Q08"":""3"",""Q09"":""2"",""Q10"":""2"",""Q11"":""3"",""Q12"":""3"",""Q13"":""5"",""Q14"":""1"",""Q15"":""2"",""Q16"":""3"",""Q17"":""2"",""Q18"":""2"",""Q19"":""1"",""Q20"":""1"",""Q21"":""2"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3775.800000011921,5613.5,7014.199999988079,9370.699999988079,11831.09999999404,13756.300000011921,15486.699999988079,24666.59999999404,26324.90000000596,28581.80000001192,30431.09999999404,32705.19999998808,34278.30000001192,46883,48973.90000000596,50925.59999999404,54425.90000000596,56072.80000001192,62067.90000000596,65209.30000001192,67994.90000000596,70680.19999998808]","[]","[0,3775.800000011921,5613.5,7014.199999988079,9370.699999988079,10686.59999999404,11831.09999999404,13756.300000011921,15486.699999988079,22016.59999999404,23542.30000001192,24666.59999999404,26324.90000000596,28581.80000001192,30431.09999999404,32705.19999998808,34278.30000001192,38924.19999998808,46883,48973.90000000596,50925.59999999404,52619.69999998808,54425.90000000596,56072.80000001192,62067.90000000596,63627.80000001192,65209.30000001192,67994.90000000596,69268.69999998808,70680.19999998808,72007.90000000596]","0.45454545454545453","0.47619047619047616","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14899","","","","survey-template","8","189600","0.0-4.0-4.0","78","1","2025-07-30 09:12:28","36c45c0696341be0efffe67d72a12abb","41.114.159.88","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","683dba9a53627eb9ab41b36a","6889e1be55c49e88fa4d5137","0","665f10dc49cd980fdf304c19","0","2025-07-30T09:15:41.423Z","","","","stress","{""Q01"":""4"",""Q02"":""3"",""Q03"":""3""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3930.5,11594.59999999404,13817.90000000596]","[]","[3930.5,11594.59999999404,13817.90000000596,14893.199999988079]","0.3333333333333333","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4717","","","","instructions","9","194324","0.0-5.0-0.0","78","1","2025-07-30 09:12:28","36c45c0696341be0efffe67d72a12abb","41.114.159.88","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","683dba9a53627eb9ab41b36a","6889e1be55c49e88fa4d5137","0","665f10dc49cd980fdf304c19","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4716}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
