"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"41831","1754472324106","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","41878","0.0-0.0","163","1","2025-08-06 09:24:37","36c45c0696341be0efffe67d72a12abb","105.245.126.225","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","666316060a19030e10987142","687a1a965b9f5b85a264363e","68931f15d9d0e65fc8a0dbb2","1","666316060a19030e10987142","1","2025-08-06T09:25:24.124Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9350","","","","fullscreen","1","52266","0.0-1.0","163","1","2025-08-06 09:24:37","36c45c0696341be0efffe67d72a12abb","105.245.126.225","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","666316060a19030e10987142","687a1a965b9f5b85a264363e","68931f15d9d0e65fc8a0dbb2","1","666316060a19030e10987142","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15863","1754472350397"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","68154","0.0-2.0","163","1","2025-08-06 09:24:37","36c45c0696341be0efffe67d72a12abb","105.245.126.225","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","666316060a19030e10987142","687a1a965b9f5b85a264363e","68931f15d9d0e65fc8a0dbb2","1","666316060a19030e10987142","1","2025-08-06T09:25:50.400Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2735","","","{""assigned_sex"":""female""}","survey-multi-choice","3","70903","0.0-3.0-0.0","163","1","2025-08-06 09:24:37","36c45c0696341be0efffe67d72a12abb","105.245.126.225","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","666316060a19030e10987142","687a1a965b9f5b85a264363e","68931f15d9d0e65fc8a0dbb2","1","666316060a19030e10987142","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15648","1754472368799","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","86562","0.0-4.0-0.0","163","1","2025-08-06 09:24:37","36c45c0696341be0efffe67d72a12abb","105.245.126.225","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","666316060a19030e10987142","687a1a965b9f5b85a264363e","68931f15d9d0e65fc8a0dbb2","1","666316060a19030e10987142","1","2025-08-06T09:26:08.808Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"225216.5","","","","survey-template","5","311807","0.0-4.0-1.0","163","1","2025-08-06 09:24:37","36c45c0696341be0efffe67d72a12abb","105.245.126.225","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","666316060a19030e10987142","687a1a965b9f5b85a264363e","68931f15d9d0e65fc8a0dbb2","1","666316060a19030e10987142","1","2025-08-06T09:29:54.053Z","","","","pss","{""Q01"":""0"",""Q02"":""0"",""Q03"":""2"",""Q04"":""1"",""Q05"":""1"",""Q06"":""0"",""Q07"":""0"",""Q08"":""1"",""Q09"":""1"",""Q10"":""0""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[45174.5,54045,84102.3999999999,101146.1000000001,102466.8999999999,127504.3999999999,137926.5,147900.7000000002,198642.6000000001,212506,222851.8999999999]","[]","[0.39999999990686774,45174.5,54045,84102.3999999999,101146.1000000001,102466.8999999999,127504.3999999999,137926.5,147148.8999999999,147900.7000000002,198642.6000000001,212506,222851.8999999999,225191.5]","0.4","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4574","1754472598633","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","316390","0.0-4.0-2.0","163","1","2025-08-06 09:24:37","36c45c0696341be0efffe67d72a12abb","105.245.126.225","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","666316060a19030e10987142","687a1a965b9f5b85a264363e","68931f15d9d0e65fc8a0dbb2","1","666316060a19030e10987142","1","2025-08-06T09:29:58.635Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"259340.1000000001","","","","survey-template","7","575759","0.0-4.0-3.0","163","1","2025-08-06 09:24:37","36c45c0696341be0efffe67d72a12abb","105.245.126.225","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","666316060a19030e10987142","687a1a965b9f5b85a264363e","68931f15d9d0e65fc8a0dbb2","1","666316060a19030e10987142","1","2025-08-06T09:34:18.004Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""5"",""Q13"":""5"",""Q14"":""5"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[37214.89999999991,38756.10000000009,40408.5,45696.89999999991,47166,49248.39999999991,50919.10000000009,52855.39999999991,54676.60000000009,56899.10000000009,58510.299999999814,64461.10000000009,72585.79999999981,89755.1000000001,93453.79999999981,136966.2999999998,138286.1000000001,139965.19999999972,142854.3999999999,248878.80000000028,251197.69999999972,255887.80000000028]","[]","[0.10000000009313226,37214.89999999991,38756.10000000009,40408.5,45696.89999999991,47166,49248.39999999991,50919.10000000009,52855.39999999991,54676.60000000009,56899.10000000009,58510.299999999814,64461.10000000009,72585.79999999981,89755.1000000001,93453.79999999981,136966.2999999998,138286.1000000001,139965.19999999972,142854.3999999999,248878.80000000028,251197.69999999972,255887.80000000028,259294.19999999972]","0.8636363636363636","0.09523809523809523","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73210.90000000037","","","","survey-template","8","648983","0.0-4.0-4.0","163","1","2025-08-06 09:24:37","36c45c0696341be0efffe67d72a12abb","105.245.126.225","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","666316060a19030e10987142","687a1a965b9f5b85a264363e","68931f15d9d0e65fc8a0dbb2","1","666316060a19030e10987142","1","2025-08-06T09:35:31.228Z","","","","stress","{""Q01"":""0"",""Q02"":""1"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q02"",""Q03""]","[58295,61134,65618.10000000056,71084.79999999981]","[]","[58295,61134,65618.10000000056,71084.79999999981,73203]","0.6666666666666666","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"352162","","","","instructions","9","1001150","0.0-5.0-0.0","163","1","2025-08-06 09:24:37","36c45c0696341be0efffe67d72a12abb","105.245.126.225","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Linux","","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","666316060a19030e10987142","687a1a965b9f5b85a264363e","68931f15d9d0e65fc8a0dbb2","1","666316060a19030e10987142","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":352160}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
