"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"59313","1753865179187","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","59317","0.0-0.0","48","1","2025-07-30 08:45:15","36c45c0696341be0efffe67d72a12abb","189.216.169.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-419,es;q=0.9,en;q=0.8","6672fea3fe6378e257b6ef25","687a19d2168e237449fb8af4","6889da10e515273ca65160a8","0","6672fea3fe6378e257b6ef25","0","2025-07-30T08:46:19.189Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31551","","","","fullscreen","1","91921","0.0-1.0","48","1","2025-07-30 08:45:15","36c45c0696341be0efffe67d72a12abb","189.216.169.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-419,es;q=0.9,en;q=0.8","6672fea3fe6378e257b6ef25","687a19d2168e237449fb8af4","6889da10e515273ca65160a8","0","6672fea3fe6378e257b6ef25","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16323","1753865228117"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","108246","0.0-2.0","48","1","2025-07-30 08:45:15","36c45c0696341be0efffe67d72a12abb","189.216.169.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-419,es;q=0.9,en;q=0.8","6672fea3fe6378e257b6ef25","687a19d2168e237449fb8af4","6889da10e515273ca65160a8","0","6672fea3fe6378e257b6ef25","0","2025-07-30T08:47:08.118Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10678","","","{""assigned_sex"":""male""}","survey-multi-choice","3","118927","0.0-3.0-0.0","48","1","2025-07-30 08:45:15","36c45c0696341be0efffe67d72a12abb","189.216.169.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-419,es;q=0.9,en;q=0.8","6672fea3fe6378e257b6ef25","687a19d2168e237449fb8af4","6889da10e515273ca65160a8","0","6672fea3fe6378e257b6ef25","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3174","1753865241975","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","122103","0.0-4.0-0.0","48","1","2025-07-30 08:45:15","36c45c0696341be0efffe67d72a12abb","189.216.169.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-419,es;q=0.9,en;q=0.8","6672fea3fe6378e257b6ef25","687a19d2168e237449fb8af4","6889da10e515273ca65160a8","0","6672fea3fe6378e257b6ef25","0","2025-07-30T08:47:21.975Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60916.90000009537","","","","survey-template","5","183064","0.0-4.0-1.0","48","1","2025-07-30 08:45:15","36c45c0696341be0efffe67d72a12abb","189.216.169.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-419,es;q=0.9,en;q=0.8","6672fea3fe6378e257b6ef25","687a19d2168e237449fb8af4","6889da10e515273ca65160a8","0","6672fea3fe6378e257b6ef25","0","2025-07-30T08:48:22.936Z","","","","pss","{""Q01"":""4"",""Q02"":""4"",""Q03"":""3"",""Q04"":""3"",""Q05"":""2"",""Q06"":""3"",""Q07"":""3"",""Q08"":""2"",""Q09"":""4"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[5619.200000047684,9676.5,12157.599999904633,19325.599999904633,34782.5,40644.700000047684,45167.200000047684,48889.90000009537,53941.799999952316,59094.200000047684]","[]","[4,5619.200000047684,9676.5,12157.599999904633,16271.599999904633,18111,19325.599999904633,34782.5,40644.700000047684,45167.200000047684,48889.90000009537,52453.700000047684,53941.799999952316,59094.200000047684,60912.5]","0.3","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2936","1753865305873","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","186002","0.0-4.0-2.0","48","1","2025-07-30 08:45:15","36c45c0696341be0efffe67d72a12abb","189.216.169.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-419,es;q=0.9,en;q=0.8","6672fea3fe6378e257b6ef25","687a19d2168e237449fb8af4","6889da10e515273ca65160a8","0","6672fea3fe6378e257b6ef25","0","2025-07-30T08:48:25.874Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61442.799999952316","","","","survey-template","7","247452","0.0-4.0-3.0","48","1","2025-07-30 08:45:15","36c45c0696341be0efffe67d72a12abb","189.216.169.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-419,es;q=0.9,en;q=0.8","6672fea3fe6378e257b6ef25","687a19d2168e237449fb8af4","6889da10e515273ca65160a8","0","6672fea3fe6378e257b6ef25","0","2025-07-30T08:49:27.325Z","","","","drsp","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3"",""Q04"":""4"",""Q05"":""4"",""Q06"":""3"",""Q07"":""5"",""Q08"":""4"",""Q09"":""4"",""Q10"":""4"",""Q11"":""3"",""Q12"":""2"",""Q13"":""5"",""Q14"":""3"",""Q15"":""3"",""Q16"":""3"",""Q17"":""2"",""Q18"":""4"",""Q19"":""2"",""Q20"":""2"",""Q21"":""2"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3013.0999999046326,4807.099999904633,6333.5,8778.399999856949,10597.599999904633,13773.299999952316,16135.099999904633,18375.89999985695,21417.799999952316,23192.200000047684,25888,28071.599999904633,30064.799999952316,31822.5,36390.89999985695,39551.89999985695,42239,43884.89999985695,48901.799999952316,53539.59999990463,57306.39999985695,59907.799999952316]","[]","[6,3013.0999999046326,4807.099999904633,6333.5,8778.399999856949,10597.599999904633,13773.299999952316,16135.099999904633,18375.89999985695,21417.799999952316,23192.200000047684,25888,28071.599999904633,30064.799999952316,31822.5,36390.89999985695,39551.89999985695,42239,43884.89999985695,48901.799999952316,53539.59999990463,57306.39999985695,59907.799999952316,61436.799999952316]","0.36363636363636365","0.2857142857142857","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13985.5","","","","survey-template","8","261441","0.0-4.0-4.0","48","1","2025-07-30 08:45:15","36c45c0696341be0efffe67d72a12abb","189.216.169.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-419,es;q=0.9,en;q=0.8","6672fea3fe6378e257b6ef25","687a19d2168e237449fb8af4","6889da10e515273ca65160a8","0","6672fea3fe6378e257b6ef25","0","2025-07-30T08:49:41.313Z","","","","stress","{""Q01"":""3"",""Q02"":""4"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[5550.299999952316,7891.5,12929]","[]","[5550.299999952316,7891.5,12929,13984.099999904633]","0.3333333333333333","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57222","","","","instructions","9","318665","0.0-5.0-0.0","48","1","2025-07-30 08:45:15","36c45c0696341be0efffe67d72a12abb","189.216.169.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-419,es;q=0.9,en;q=0.8","6672fea3fe6378e257b6ef25","687a19d2168e237449fb8af4","6889da10e515273ca65160a8","0","6672fea3fe6378e257b6ef25","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":57222}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
