"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"7506","1754471426208","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","7513","0.0-0.0","160","1","2025-08-06 09:10:15","36c45c0696341be0efffe67d72a12abb","102.219.162.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,st;q=0.8","667ac09492ea0caadf488520","687a1a965b9f5b85a264363e","68931bc547fc65fbca391569","1","667ac09492ea0caadf488520","1","2025-08-06T09:10:26.211Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12932","","","","fullscreen","1","21468","0.0-1.0","160","1","2025-08-06 09:10:15","36c45c0696341be0efffe67d72a12abb","102.219.162.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,st;q=0.8","667ac09492ea0caadf488520","687a1a965b9f5b85a264363e","68931bc547fc65fbca391569","1","667ac09492ea0caadf488520","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5471","1754471445643"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","26945","0.0-2.0","160","1","2025-08-06 09:10:15","36c45c0696341be0efffe67d72a12abb","102.219.162.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,st;q=0.8","667ac09492ea0caadf488520","687a1a965b9f5b85a264363e","68931bc547fc65fbca391569","1","667ac09492ea0caadf488520","1","2025-08-06T09:10:45.643Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3495","","","{""assigned_sex"":""female""}","survey-multi-choice","3","30447","0.0-3.0-0.0","160","1","2025-08-06 09:10:15","36c45c0696341be0efffe67d72a12abb","102.219.162.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,st;q=0.8","667ac09492ea0caadf488520","687a1a965b9f5b85a264363e","68931bc547fc65fbca391569","1","667ac09492ea0caadf488520","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4489","1754471453635","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","34938","0.0-4.0-0.0","160","1","2025-08-06 09:10:15","36c45c0696341be0efffe67d72a12abb","102.219.162.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,st;q=0.8","667ac09492ea0caadf488520","687a1a965b9f5b85a264363e","68931bc547fc65fbca391569","1","667ac09492ea0caadf488520","1","2025-08-06T09:10:53.636Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56994.29999999702","","","","survey-template","5","91939","0.0-4.0-1.0","160","1","2025-08-06 09:10:15","36c45c0696341be0efffe67d72a12abb","102.219.162.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,st;q=0.8","667ac09492ea0caadf488520","687a1a965b9f5b85a264363e","68931bc547fc65fbca391569","1","667ac09492ea0caadf488520","1","2025-08-06T09:11:50.637Z","","","","pss","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3"",""Q04"":""1"",""Q05"":""1"",""Q06"":""3"",""Q07"":""2"",""Q08"":""1"",""Q09"":""3"",""Q10"":""2""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q03"",""Q02"",""Q04"",""Q06"",""Q05"",""Q07"",""Q08"",""Q09"",""Q10""]","[4575.5999999940395,7551.5999999940395,8832.59999999404,14037.09999999404,22866.20000000298,24398.39999999106,32381.20000000298,39032.29999999702,50599.20000000298,55720.29999999702]","[]","[35.79999999701977,4575.5999999940395,5954,7551.5999999940395,8832.59999999404,14037.09999999404,17936.79999999702,22866.20000000298,24398.39999999106,30586.39999999106,32381.20000000298,39032.29999999702,39961.89999999106,50599.20000000298,55720.29999999702,56989.89999999106]","0.8","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2383","1754471513024","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","94327","0.0-4.0-2.0","160","1","2025-08-06 09:10:15","36c45c0696341be0efffe67d72a12abb","102.219.162.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,st;q=0.8","667ac09492ea0caadf488520","687a1a965b9f5b85a264363e","68931bc547fc65fbca391569","1","667ac09492ea0caadf488520","1","2025-08-06T09:11:53.025Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82832.5","","","","survey-template","7","177167","0.0-4.0-3.0","160","1","2025-08-06 09:10:15","36c45c0696341be0efffe67d72a12abb","102.219.162.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,st;q=0.8","667ac09492ea0caadf488520","687a1a965b9f5b85a264363e","68931bc547fc65fbca391569","1","667ac09492ea0caadf488520","1","2025-08-06T09:13:15.865Z","","","","drsp","{""Q01"":""1"",""Q02"":""1"",""Q03"":""2"",""Q04"":""2"",""Q05"":""3"",""Q06"":""3"",""Q07"":""1"",""Q08"":""2"",""Q09"":""1"",""Q10"":""2"",""Q11"":""3"",""Q12"":""3"",""Q13"":""5"",""Q14"":""4"",""Q15"":""3"",""Q16"":""3"",""Q17"":""3"",""Q18"":""3"",""Q19"":""1"",""Q20"":""2"",""Q21"":""2"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3243.4000000059605,6245.9000000059605,8525.79999999702,10130.90000000596,11814.90000000596,15071.90000000596,17629.10000000894,19320.20000000298,22312.90000000596,24558.40000000596,38314.20000000298,42838.5,46738.40000000596,51054.70000000298,52825.20000000298,59697,62876.79999999702,63971.40000000596,69992.5,75245.79999999702,79542.79999999702,81514.10000000894]","[]","[67.90000000596046,3243.4000000059605,6245.9000000059605,8525.79999999702,10130.90000000596,11814.90000000596,15071.90000000596,17629.10000000894,19320.20000000298,22312.90000000596,24558.40000000596,25741.20000000298,30451.29999999702,38314.20000000298,42838.5,46738.40000000596,51054.70000000298,52825.20000000298,59697,61294.40000000596,62876.79999999702,63971.40000000596,65025.60000000894,69992.5,75245.79999999702,79542.79999999702,81514.10000000894,82825.79999999702]","0.36363636363636365","0.42857142857142855","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27448.79999999702","","","","survey-template","8","204619","0.0-4.0-4.0","160","1","2025-08-06 09:10:15","36c45c0696341be0efffe67d72a12abb","102.219.162.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,st;q=0.8","667ac09492ea0caadf488520","687a1a965b9f5b85a264363e","68931bc547fc65fbca391569","1","667ac09492ea0caadf488520","1","2025-08-06T09:13:43.318Z","","","","stress","{""Q01"":""2"",""Q02"":""1"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4771.399999991059,8068,26117.59999999404]","[]","[4771.399999991059,8068,26117.59999999404,27447]","0.3333333333333333","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"107309","","","","instructions","9","311931","0.0-5.0-0.0","160","1","2025-08-06 09:10:15","36c45c0696341be0efffe67d72a12abb","102.219.162.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,st;q=0.8","667ac09492ea0caadf488520","687a1a965b9f5b85a264363e","68931bc547fc65fbca391569","1","667ac09492ea0caadf488520","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":107309}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
