"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"5176","1754213060682","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","5185","0.0-0.0","118","1","2025-08-03 09:24:13","36c45c0696341be0efffe67d72a12abb","37.47.203.238","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:138.0) Gecko/20010101 Firefox/138.0","","Firefox","138.0","Windows","6.2","null","pl","667ea46bc52ef1879aec2fbb","687a19d2168e237449fb8af4","6889d9d30a137dc47c009a59","0","667ea46bc52ef1879aec2fbb","0","2025-08-03T09:24:20.682Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1928","","","","fullscreen","1","8115","0.0-1.0","118","1","2025-08-03 09:24:13","36c45c0696341be0efffe67d72a12abb","37.47.203.238","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:138.0) Gecko/20010101 Firefox/138.0","","Firefox","138.0","Windows","6.2","null","pl","667ea46bc52ef1879aec2fbb","687a19d2168e237449fb8af4","6889d9d30a137dc47c009a59","0","667ea46bc52ef1879aec2fbb","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2961","1754213066573"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","11077","0.0-2.0","118","1","2025-08-03 09:24:13","36c45c0696341be0efffe67d72a12abb","37.47.203.238","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:138.0) Gecko/20010101 Firefox/138.0","","Firefox","138.0","Windows","6.2","null","pl","667ea46bc52ef1879aec2fbb","687a19d2168e237449fb8af4","6889d9d30a137dc47c009a59","0","667ea46bc52ef1879aec2fbb","0","2025-08-03T09:24:26.574Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2340","","","{""assigned_sex"":""male""}","survey-multi-choice","3","13418","0.0-3.0-0.0","118","1","2025-08-03 09:24:13","36c45c0696341be0efffe67d72a12abb","37.47.203.238","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:138.0) Gecko/20010101 Firefox/138.0","","Firefox","138.0","Windows","6.2","null","pl","667ea46bc52ef1879aec2fbb","687a19d2168e237449fb8af4","6889d9d30a137dc47c009a59","0","667ea46bc52ef1879aec2fbb","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4315","1754213073232","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","17735","0.0-4.0-0.0","118","1","2025-08-03 09:24:13","36c45c0696341be0efffe67d72a12abb","37.47.203.238","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:138.0) Gecko/20010101 Firefox/138.0","","Firefox","138.0","Windows","6.2","null","pl","667ea46bc52ef1879aec2fbb","687a19d2168e237449fb8af4","6889d9d30a137dc47c009a59","0","667ea46bc52ef1879aec2fbb","0","2025-08-03T09:24:33.232Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46111","","","","survey-template","5","63848","0.0-4.0-1.0","118","1","2025-08-03 09:24:13","36c45c0696341be0efffe67d72a12abb","37.47.203.238","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:138.0) Gecko/20010101 Firefox/138.0","","Firefox","138.0","Windows","6.2","null","pl","667ea46bc52ef1879aec2fbb","687a19d2168e237449fb8af4","6889d9d30a137dc47c009a59","0","667ea46bc52ef1879aec2fbb","0","2025-08-03T09:25:19.345Z","","","","pss","{""Q01"":""1"",""Q02"":""1"",""Q03"":""1"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""1"",""Q09"":""2"",""Q10"":""1""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q01"",""Q02"",""Q02"",""Q03"",""Q04"",""Q04"",""Q05"",""Q05"",""Q05"",""Q06"",""Q06"",""Q07"",""Q08"",""Q09"",""Q09"",""Q09"",""Q10""]","[3584,5715,7877,8276,10732,13840,15499,17586,17987,20356,22887,23773,27547,31934,39432,40576,41056,44775]","[]","[0,3584,4324,5715,7877,8276,10732,13840,15499,17586,17987,20356,22593,22887,23384,23773,27547,31934,39432,40576,41056,44215,44775,45641,46111]","0.5","0.2222222222222222","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2814","1754213122160","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","66663","0.0-4.0-2.0","118","1","2025-08-03 09:24:13","36c45c0696341be0efffe67d72a12abb","37.47.203.238","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:138.0) Gecko/20010101 Firefox/138.0","","Firefox","138.0","Windows","6.2","null","pl","667ea46bc52ef1879aec2fbb","687a19d2168e237449fb8af4","6889d9d30a137dc47c009a59","0","667ea46bc52ef1879aec2fbb","0","2025-08-03T09:25:22.160Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47321","","","","survey-template","7","113987","0.0-4.0-3.0","118","1","2025-08-03 09:24:13","36c45c0696341be0efffe67d72a12abb","37.47.203.238","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:138.0) Gecko/20010101 Firefox/138.0","","Firefox","138.0","Windows","6.2","null","pl","667ea46bc52ef1879aec2fbb","687a19d2168e237449fb8af4","6889d9d30a137dc47c009a59","0","667ea46bc52ef1879aec2fbb","0","2025-08-03T09:26:09.484Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q05"",""Q04"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[1805,3513,3898,7901,8299,9904,10201,11870,14624,16865,17485,19506,19926,20867,22558,25134,29312,29897,30904,31816,36296,41600,46363]","[]","[0,1805,2107,2440,2818,3513,3898,7311,7535,7901,8299,9904,10201,10725,10992,11870,14624,16865,17485,19506,19926,20867,22558,25134,29312,29897,30904,31816,36296,41600,46363,47321]","0.9545454545454546","0.09523809523809523","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9793","","","","survey-template","8","123783","0.0-4.0-4.0","118","1","2025-08-03 09:24:13","36c45c0696341be0efffe67d72a12abb","37.47.203.238","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:138.0) Gecko/20010101 Firefox/138.0","","Firefox","138.0","Windows","6.2","null","pl","667ea46bc52ef1879aec2fbb","687a19d2168e237449fb8af4","6889d9d30a137dc47c009a59","0","667ea46bc52ef1879aec2fbb","0","2025-08-03T09:26:19.280Z","","","","stress","{""Q01"":""0"",""Q02"":""1"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2827,5590,9231]","[]","[810,2827,5590,5896,6451,9231,9427,9793]","0.6666666666666666","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38617","","","","instructions","9","162401","0.0-5.0-0.0","118","1","2025-08-03 09:24:13","36c45c0696341be0efffe67d72a12abb","37.47.203.238","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:138.0) Gecko/20010101 Firefox/138.0","","Firefox","138.0","Windows","6.2","null","pl","667ea46bc52ef1879aec2fbb","687a19d2168e237449fb8af4","6889d9d30a137dc47c009a59","0","667ea46bc52ef1879aec2fbb","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":38617}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4043","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","60","html-slider-response","10","166448","0.0-6.0-0.0","118","1","2025-08-03 09:24:13","36c45c0696341be0efffe67d72a12abb","37.47.203.238","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:138.0) Gecko/20010101 Firefox/138.0","","Firefox","138.0","Windows","6.2","null","pl","667ea46bc52ef1879aec2fbb","687a19d2168e237449fb8af4","6889d9d30a137dc47c009a59","0","667ea46bc52ef1879aec2fbb","0","2025-08-03T09:27:01.945Z","","","","PreSkillQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3497","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","61","html-slider-response","11","169945","0.0-6.0-1.0","118","1","2025-08-03 09:24:13","36c45c0696341be0efffe67d72a12abb","37.47.203.238","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:138.0) Gecko/20010101 Firefox/138.0","","Firefox","138.0","Windows","6.2","null","pl","667ea46bc52ef1879aec2fbb","687a19d2168e237449fb8af4","6889d9d30a137dc47c009a59","0","667ea46bc52ef1879aec2fbb","0","2025-08-03T09:27:05.442Z","","","","PrePerfQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2301","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","75","html-slider-response","12","172245","0.0-6.0-2.0","118","1","2025-08-03 09:24:13","36c45c0696341be0efffe67d72a12abb","37.47.203.238","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:138.0) Gecko/20010101 Firefox/138.0","","Firefox","138.0","Windows","6.2","null","pl","667ea46bc52ef1879aec2fbb","687a19d2168e237449fb8af4","6889d9d30a137dc47c009a59","0","667ea46bc52ef1879aec2fbb","0","2025-08-03T09:27:07.742Z","","","","PreMotivationQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
