"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"3741","1753946884651","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3743","0.0-0.0","106","1","2025-07-31 07:27:58","36c45c0696341be0efffe67d72a12abb","188.146.149.109","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pl-PL,pl;q=0.9,en-GB;q=0.8,en;q=0.7,en-US;q=0.6","66a16e0b41e98cb469f12b0b","683dba9a53627eb9ab41b36a","688b1af35b9aa47adbf86d1b","0","66a16e0b41e98cb469f12b0b","0","2025-07-31T07:28:04.652Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"980","","","","fullscreen","1","5728","0.0-1.0","106","1","2025-07-31 07:27:58","36c45c0696341be0efffe67d72a12abb","188.146.149.109","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pl-PL,pl;q=0.9,en-GB;q=0.8,en;q=0.7,en-US;q=0.6","66a16e0b41e98cb469f12b0b","683dba9a53627eb9ab41b36a","688b1af35b9aa47adbf86d1b","0","66a16e0b41e98cb469f12b0b","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"920","1753946887559"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","6651","0.0-2.0","106","1","2025-07-31 07:27:58","36c45c0696341be0efffe67d72a12abb","188.146.149.109","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pl-PL,pl;q=0.9,en-GB;q=0.8,en;q=0.7,en-US;q=0.6","66a16e0b41e98cb469f12b0b","683dba9a53627eb9ab41b36a","688b1af35b9aa47adbf86d1b","0","66a16e0b41e98cb469f12b0b","0","2025-07-31T07:28:07.560Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2165","","","{""assigned_sex"":""female""}","survey-multi-choice","3","8819","0.0-3.0-0.0","106","1","2025-07-31 07:27:58","36c45c0696341be0efffe67d72a12abb","188.146.149.109","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pl-PL,pl;q=0.9,en-GB;q=0.8,en;q=0.7,en-US;q=0.6","66a16e0b41e98cb469f12b0b","683dba9a53627eb9ab41b36a","688b1af35b9aa47adbf86d1b","0","66a16e0b41e98cb469f12b0b","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1387","1753946891116","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","10209","0.0-4.0-0.0","106","1","2025-07-31 07:27:58","36c45c0696341be0efffe67d72a12abb","188.146.149.109","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pl-PL,pl;q=0.9,en-GB;q=0.8,en;q=0.7,en-US;q=0.6","66a16e0b41e98cb469f12b0b","683dba9a53627eb9ab41b36a","688b1af35b9aa47adbf86d1b","0","66a16e0b41e98cb469f12b0b","0","2025-07-31T07:28:11.118Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32928.60000002384","","","","survey-template","5","43142","0.0-4.0-1.0","106","1","2025-07-31 07:27:58","36c45c0696341be0efffe67d72a12abb","188.146.149.109","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pl-PL,pl;q=0.9,en-GB;q=0.8,en;q=0.7,en-US;q=0.6","66a16e0b41e98cb469f12b0b","683dba9a53627eb9ab41b36a","688b1af35b9aa47adbf86d1b","0","66a16e0b41e98cb469f12b0b","0","2025-07-31T07:28:44.051Z","","","","pss","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4"",""Q04"":""0"",""Q05"":""2"",""Q06"":""3"",""Q07"":""3"",""Q08"":""2"",""Q09"":""3"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[3337.400000035763,8853,10346.900000035763,12828.100000023842,15731.400000035763,18004.19999998808,21108.100000023842,24404.5,26658.69999998808,30575.69999998808,32271.100000023842]","[]","[0.10000002384185791,3337.400000035763,7053.199999988079,8470.5,8853,9708.199999988079,10346.900000035763,12828.100000023842,15731.400000035763,18004.19999998808,21108.100000023842,24404.5,26658.69999998808,30575.69999998808,31692.80000001192,32271.100000023842,32925.19999998808]","0.4","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1447","1753946925499","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","44592","0.0-4.0-2.0","106","1","2025-07-31 07:27:58","36c45c0696341be0efffe67d72a12abb","188.146.149.109","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pl-PL,pl;q=0.9,en-GB;q=0.8,en;q=0.7,en-US;q=0.6","66a16e0b41e98cb469f12b0b","683dba9a53627eb9ab41b36a","688b1af35b9aa47adbf86d1b","0","66a16e0b41e98cb469f12b0b","0","2025-07-31T07:28:45.501Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38693.30000001192","","","","survey-template","7","83289","0.0-4.0-3.0","106","1","2025-07-31 07:27:58","36c45c0696341be0efffe67d72a12abb","188.146.149.109","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pl-PL,pl;q=0.9,en-GB;q=0.8,en;q=0.7,en-US;q=0.6","66a16e0b41e98cb469f12b0b","683dba9a53627eb9ab41b36a","688b1af35b9aa47adbf86d1b","0","66a16e0b41e98cb469f12b0b","0","2025-07-31T07:29:24.198Z","","","","drsp","{""Q01"":""3"",""Q02"":""2"",""Q03"":""3"",""Q04"":""3"",""Q05"":""3"",""Q06"":""3"",""Q07"":""3"",""Q08"":""1"",""Q09"":""1"",""Q10"":""2"",""Q11"":""4"",""Q12"":""1"",""Q13"":""5"",""Q14"":""1"",""Q15"":""4"",""Q16"":""4"",""Q17"":""4"",""Q18"":""4"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[2854.2000000476837,3876.400000035763,4922.600000023842,6521.700000047684,7997.300000011921,9304.300000011921,10188.600000023842,13262.300000011921,14389.100000023842,15954.5,17871.700000047684,19792.700000047684,21187.80000001192,23027,25458.900000035763,26746.200000047684,28214.900000035763,29637.80000001192,31237.80000001192,32723,33790.60000002384,37462.200000047684]","[]","[0,2854.2000000476837,3876.400000035763,4922.600000023842,6521.700000047684,7997.300000011921,9304.300000011921,10188.600000023842,11350.5,13262.300000011921,14389.100000023842,15954.5,17871.700000047684,19792.700000047684,21187.80000001192,23027,25458.900000035763,26746.200000047684,28214.900000035763,29637.80000001192,31237.80000001192,32723,33790.60000002384,37462.200000047684,38688]","0.2727272727272727","0.14285714285714285","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14030","","","","survey-template","8","97321","0.0-4.0-4.0","106","1","2025-07-31 07:27:58","36c45c0696341be0efffe67d72a12abb","188.146.149.109","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pl-PL,pl;q=0.9,en-GB;q=0.8,en;q=0.7,en-US;q=0.6","66a16e0b41e98cb469f12b0b","683dba9a53627eb9ab41b36a","688b1af35b9aa47adbf86d1b","0","66a16e0b41e98cb469f12b0b","0","2025-07-31T07:29:38.230Z","","","","stress","{""Q01"":""4"",""Q02"":""0"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q02"",""Q02"",""Q03""]","[3966.199999988079,6256.900000035763,8424.400000035763,12112.5,13003.199999988079]","[]","[3966.199999988079,6256.900000035763,8424.400000035763,12112.5,13003.199999988079,14028.300000011921]","0.3333333333333333","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2660","","","","instructions","9","99982","0.0-5.0-0.0","106","1","2025-07-31 07:27:58","36c45c0696341be0efffe67d72a12abb","188.146.149.109","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pl-PL,pl;q=0.9,en-GB;q=0.8,en;q=0.7,en-US;q=0.6","66a16e0b41e98cb469f12b0b","683dba9a53627eb9ab41b36a","688b1af35b9aa47adbf86d1b","0","66a16e0b41e98cb469f12b0b","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2659}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
