"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"1791","1754476869633","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","1822","0.0-0.0","179","1","2025-08-06 10:39:02","36c45c0696341be0efffe67d72a12abb","41.13.13.183","Mozilla/5.0 (Android 13; Mobile; rv:141.0) Gecko/141.0 Firefox/141.0","","Firefox","141.0","AndroidOS","13","https://app.prolific.com/","en-ZA,en-US;q=0.5","66bb2110c5672f09961feed2","687a1a965b9f5b85a264363e","68932f7b9dd286cd0e578751","1","66bb2110c5672f09961feed2","1","2025-08-06T10:41:09.636Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37569","","","","fullscreen","1","40457","0.0-1.0","179","1","2025-08-06 10:39:02","36c45c0696341be0efffe67d72a12abb","41.13.13.183","Mozilla/5.0 (Android 13; Mobile; rv:141.0) Gecko/141.0 Firefox/141.0","","Firefox","141.0","AndroidOS","13","https://app.prolific.com/","en-ZA,en-US;q=0.5","66bb2110c5672f09961feed2","687a1a965b9f5b85a264363e","68932f7b9dd286cd0e578751","1","66bb2110c5672f09961feed2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19850","1754476928134"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","60321","0.0-2.0","179","1","2025-08-06 10:39:02","36c45c0696341be0efffe67d72a12abb","41.13.13.183","Mozilla/5.0 (Android 13; Mobile; rv:141.0) Gecko/141.0 Firefox/141.0","","Firefox","141.0","AndroidOS","13","https://app.prolific.com/","en-ZA,en-US;q=0.5","66bb2110c5672f09961feed2","687a1a965b9f5b85a264363e","68932f7b9dd286cd0e578751","1","66bb2110c5672f09961feed2","1","2025-08-06T10:42:08.135Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5021","","","{""assigned_sex"":""female""}","survey-multi-choice","3","65352","0.0-3.0-0.0","179","1","2025-08-06 10:39:02","36c45c0696341be0efffe67d72a12abb","41.13.13.183","Mozilla/5.0 (Android 13; Mobile; rv:141.0) Gecko/141.0 Firefox/141.0","","Firefox","141.0","AndroidOS","13","https://app.prolific.com/","en-ZA,en-US;q=0.5","66bb2110c5672f09961feed2","687a1a965b9f5b85a264363e","68932f7b9dd286cd0e578751","1","66bb2110c5672f09961feed2","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3110","1754476936280","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","68466","0.0-4.0-0.0","179","1","2025-08-06 10:39:02","36c45c0696341be0efffe67d72a12abb","41.13.13.183","Mozilla/5.0 (Android 13; Mobile; rv:141.0) Gecko/141.0 Firefox/141.0","","Firefox","141.0","AndroidOS","13","https://app.prolific.com/","en-ZA,en-US;q=0.5","66bb2110c5672f09961feed2","687a1a965b9f5b85a264363e","68932f7b9dd286cd0e578751","1","66bb2110c5672f09961feed2","1","2025-08-06T10:42:16.280Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87956","","","","survey-template","5","156454","0.0-4.0-1.0","179","1","2025-08-06 10:39:02","36c45c0696341be0efffe67d72a12abb","41.13.13.183","Mozilla/5.0 (Android 13; Mobile; rv:141.0) Gecko/141.0 Firefox/141.0","","Firefox","141.0","AndroidOS","13","https://app.prolific.com/","en-ZA,en-US;q=0.5","66bb2110c5672f09961feed2","687a1a965b9f5b85a264363e","68932f7b9dd286cd0e578751","1","66bb2110c5672f09961feed2","1","2025-08-06T10:43:44.268Z","","","","pss","{""Q01"":""3"",""Q02"":""2"",""Q03"":""2"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""2"",""Q08"":""1"",""Q09"":""3"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q07"",""Q08"",""Q08"",""Q09"",""Q10"",""Q01""]","[24855,29291,33837,45073,54140,59708,61074,67276,67907,73843,79125,87013]","[]","[0,22687,24855,29291,33837,45073,54140,59708,61074,67276,67907,73843,79125,80230,81634,87013,87954]","0.6","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5085","1754477029366","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","161553","0.0-4.0-2.0","179","1","2025-08-06 10:39:02","36c45c0696341be0efffe67d72a12abb","41.13.13.183","Mozilla/5.0 (Android 13; Mobile; rv:141.0) Gecko/141.0 Firefox/141.0","","Firefox","141.0","AndroidOS","13","https://app.prolific.com/","en-ZA,en-US;q=0.5","66bb2110c5672f09961feed2","687a1a965b9f5b85a264363e","68932f7b9dd286cd0e578751","1","66bb2110c5672f09961feed2","1","2025-08-06T10:43:49.367Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"113031","","","","survey-template","7","274601","0.0-4.0-3.0","179","1","2025-08-06 10:39:02","36c45c0696341be0efffe67d72a12abb","41.13.13.183","Mozilla/5.0 (Android 13; Mobile; rv:141.0) Gecko/141.0 Firefox/141.0","","Firefox","141.0","AndroidOS","13","https://app.prolific.com/","en-ZA,en-US;q=0.5","66bb2110c5672f09961feed2","687a1a965b9f5b85a264363e","68932f7b9dd286cd0e578751","1","66bb2110c5672f09961feed2","1","2025-08-06T10:45:42.415Z","","","","drsp","{""Q01"":""1"",""Q02"":""1"",""Q03"":""1"",""Q04"":""1"",""Q05"":""2"",""Q06"":""1"",""Q07"":""1"",""Q08"":""2"",""Q09"":""1"",""Q10"":""2"",""Q11"":""1"",""Q12"":""1"",""Q13"":""5"",""Q14"":""4"",""Q15"":""4"",""Q16"":""1"",""Q17"":""1"",""Q18"":""1"",""Q19"":""2"",""Q20"":""1"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q05"",""Q06"",""Q07"",""Q07"",""Q07"",""Q08"",""Q09"",""Q10"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[6037,7066,8828,9937,10986,13152,16111,17469,19938,20885,21413,24390,27581,28082,32834,35783,39917,45628,47944,54737,56267,97739,103087,106767,109509,111559]","[]","[0,6037,7066,8828,9937,10986,13152,16111,17469,19938,20885,21413,24390,27581,28082,32834,35783,39917,45628,47944,54737,56267,97739,103087,106767,109509,111559,113028]","0.6818181818181818","0.42857142857142855","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68344","","","","survey-template","8","342953","0.0-4.0-4.0","179","1","2025-08-06 10:39:02","36c45c0696341be0efffe67d72a12abb","41.13.13.183","Mozilla/5.0 (Android 13; Mobile; rv:141.0) Gecko/141.0 Firefox/141.0","","Firefox","141.0","AndroidOS","13","https://app.prolific.com/","en-ZA,en-US;q=0.5","66bb2110c5672f09961feed2","687a1a965b9f5b85a264363e","68932f7b9dd286cd0e578751","1","66bb2110c5672f09961feed2","1","2025-08-06T10:46:50.767Z","","","","stress","{""Q01"":""1"",""Q02"":""4"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[25635,52673,66937]","[]","[25635,51908,52673,66937,68343]","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"124374","","","","instructions","9","467333","0.0-5.0-0.0","179","1","2025-08-06 10:39:02","36c45c0696341be0efffe67d72a12abb","41.13.13.183","Mozilla/5.0 (Android 13; Mobile; rv:141.0) Gecko/141.0 Firefox/141.0","","Firefox","141.0","AndroidOS","13","https://app.prolific.com/","en-ZA,en-US;q=0.5","66bb2110c5672f09961feed2","687a1a965b9f5b85a264363e","68932f7b9dd286cd0e578751","1","66bb2110c5672f09961feed2","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":124373}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"106506","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","85","html-slider-response","10","573863","0.0-6.0-0.0","179","1","2025-08-06 10:39:02","36c45c0696341be0efffe67d72a12abb","41.13.13.183","Mozilla/5.0 (Android 13; Mobile; rv:141.0) Gecko/141.0 Firefox/141.0","","Firefox","141.0","AndroidOS","13","https://app.prolific.com/","en-ZA,en-US;q=0.5","66bb2110c5672f09961feed2","687a1a965b9f5b85a264363e","68932f7b9dd286cd0e578751","1","66bb2110c5672f09961feed2","1","2025-08-06T10:50:41.677Z","","","","PreSkillQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23627","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","84","html-slider-response","11","597499","0.0-6.0-1.0","179","1","2025-08-06 10:39:02","36c45c0696341be0efffe67d72a12abb","41.13.13.183","Mozilla/5.0 (Android 13; Mobile; rv:141.0) Gecko/141.0 Firefox/141.0","","Firefox","141.0","AndroidOS","13","https://app.prolific.com/","en-ZA,en-US;q=0.5","66bb2110c5672f09961feed2","687a1a965b9f5b85a264363e","68932f7b9dd286cd0e578751","1","66bb2110c5672f09961feed2","1","2025-08-06T10:51:05.313Z","","","","PrePerfQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59902","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","83","html-slider-response","12","657407","0.0-6.0-2.0","179","1","2025-08-06 10:39:02","36c45c0696341be0efffe67d72a12abb","41.13.13.183","Mozilla/5.0 (Android 13; Mobile; rv:141.0) Gecko/141.0 Firefox/141.0","","Firefox","141.0","AndroidOS","13","https://app.prolific.com/","en-ZA,en-US;q=0.5","66bb2110c5672f09961feed2","687a1a965b9f5b85a264363e","68932f7b9dd286cd0e578751","1","66bb2110c5672f09961feed2","1","2025-08-06T10:52:05.221Z","","","","PreMotivationQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
