"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"16797","1754470225699","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","16801","0.0-0.0","126","1","2025-08-06 08:50:16","36c45c0696341be0efffe67d72a12abb","216.120.189.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","672c8a3b9fb83ab9c5f02fd2","6877649eabb845cf142cd221","68931740f234574ab4e758b4","1","672c8a3b9fb83ab9c5f02fd2","1","2025-08-06T08:50:25.701Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2300","","","","fullscreen","1","20106","0.0-1.0","126","1","2025-08-06 08:50:16","36c45c0696341be0efffe67d72a12abb","216.120.189.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","672c8a3b9fb83ab9c5f02fd2","6877649eabb845cf142cd221","68931740f234574ab4e758b4","1","672c8a3b9fb83ab9c5f02fd2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33883","1754470262891"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","53991","0.0-2.0","126","1","2025-08-06 08:50:16","36c45c0696341be0efffe67d72a12abb","216.120.189.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","672c8a3b9fb83ab9c5f02fd2","6877649eabb845cf142cd221","68931740f234574ab4e758b4","1","672c8a3b9fb83ab9c5f02fd2","1","2025-08-06T08:51:02.891Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4560","","","{""assigned_sex"":""female""}","survey-multi-choice","3","58554","0.0-3.0-0.0","126","1","2025-08-06 08:50:16","36c45c0696341be0efffe67d72a12abb","216.120.189.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","672c8a3b9fb83ab9c5f02fd2","6877649eabb845cf142cd221","68931740f234574ab4e758b4","1","672c8a3b9fb83ab9c5f02fd2","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5940","1754470273395","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","64495","0.0-4.0-0.0","126","1","2025-08-06 08:50:16","36c45c0696341be0efffe67d72a12abb","216.120.189.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","672c8a3b9fb83ab9c5f02fd2","6877649eabb845cf142cd221","68931740f234574ab4e758b4","1","672c8a3b9fb83ab9c5f02fd2","1","2025-08-06T08:51:13.395Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84264.40000009537","","","","survey-template","5","148764","0.0-4.0-1.0","126","1","2025-08-06 08:50:16","36c45c0696341be0efffe67d72a12abb","216.120.189.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","672c8a3b9fb83ab9c5f02fd2","6877649eabb845cf142cd221","68931740f234574ab4e758b4","1","672c8a3b9fb83ab9c5f02fd2","1","2025-08-06T08:52:37.664Z","","","","pss","{""Q01"":""2"",""Q02"":""1"",""Q03"":""2"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""1"",""Q09"":""2"",""Q10"":""0""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q07"",""Q08"",""Q09"",""Q10""]","[16437.800000190735,21985.5,27390.099999904633,32765.700000286102,41297.2000002861,47993.800000190735,56134.40000009537,58958.90000009537,69151.09999990463,75388.80000019073,81993.30000019073]","[]","[0.20000028610229492,16437.800000190735,21985.5,27390.099999904633,32765.700000286102,40261,41297.2000002861,47993.800000190735,56134.40000009537,58958.90000009537,67252.59999990463,69151.09999990463,75388.80000019073,81993.30000019073,84260.90000009537]","0.4","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4978","1754470362643","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","153745","0.0-4.0-2.0","126","1","2025-08-06 08:50:16","36c45c0696341be0efffe67d72a12abb","216.120.189.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","672c8a3b9fb83ab9c5f02fd2","6877649eabb845cf142cd221","68931740f234574ab4e758b4","1","672c8a3b9fb83ab9c5f02fd2","1","2025-08-06T08:52:42.645Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84759.2000002861","","","","survey-template","7","238512","0.0-4.0-3.0","126","1","2025-08-06 08:50:16","36c45c0696341be0efffe67d72a12abb","216.120.189.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","672c8a3b9fb83ab9c5f02fd2","6877649eabb845cf142cd221","68931740f234574ab4e758b4","1","672c8a3b9fb83ab9c5f02fd2","1","2025-08-06T08:54:07.412Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""0"",""Q09"":""1"",""Q10"":""0"",""Q11"":""1"",""Q12"":""2"",""Q13"":""5"",""Q14"":""3"",""Q15"":""0"",""Q16"":""0"",""Q17"":""1"",""Q18"":""0"",""Q19"":""2"",""Q20"":""0"",""Q21"":""1"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q06"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[6820,7788.900000095367,9369.300000190735,11397.700000286102,13222.5,18034,20971.400000095367,21962.300000190735,25316.5,28930.700000286102,30392.5,33200.5,36850.7000002861,40912.800000190735,45436.300000190735,48809.40000009537,52150.40000009537,55301.7000002861,57608.800000190735,63223.300000190735,67354.40000009537,71251.30000019073,75723]","[]","[0.20000028610229492,6820,7788.900000095367,9369.300000190735,11397.700000286102,13222.5,18034,20971.400000095367,21962.300000190735,25316.5,28930.700000286102,30392.5,33200.5,36850.7000002861,40912.800000190735,45436.300000190735,48809.40000009537,52150.40000009537,55301.7000002861,56664.90000009537,57608.800000190735,63223.300000190735,67354.40000009537,71251.30000019073,75723,84753]","0.5","0.38095238095238093","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13679.099999904633","","","","survey-template","8","252194","0.0-4.0-4.0","126","1","2025-08-06 08:50:16","36c45c0696341be0efffe67d72a12abb","216.120.189.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","672c8a3b9fb83ab9c5f02fd2","6877649eabb845cf142cd221","68931740f234574ab4e758b4","1","672c8a3b9fb83ab9c5f02fd2","1","2025-08-06T08:54:21.094Z","","","","stress","{""Q01"":""0"",""Q02"":""1"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[6300.799999713898,7932.89999961853,12181.599999904633]","[]","[4205,6300.799999713898,7932.89999961853,12181.599999904633,13677]","0.3333333333333333","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5381","","","","instructions","9","257576","0.0-5.0-0.0","126","1","2025-08-06 08:50:16","36c45c0696341be0efffe67d72a12abb","216.120.189.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","WebKit","Chrome","139.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","672c8a3b9fb83ab9c5f02fd2","6877649eabb845cf142cd221","68931740f234574ab4e758b4","1","672c8a3b9fb83ab9c5f02fd2","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":5381}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
