"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"9997","1753864879188","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","10006","0.0-0.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:41:19.191Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53023","","","","fullscreen","1","64056","0.0-1.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5729","1753864938974"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","69790","0.0-2.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:42:18.975Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4166","","","{""assigned_sex"":""male""}","survey-multi-choice","3","73963","0.0-3.0-0.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7461","1753864950612","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","81427","0.0-4.0-0.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:42:30.613Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83542.29999995232","","","","survey-template","5","165001","0.0-4.0-1.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:43:54.187Z","","","","pss","{""Q01"":""1"",""Q02"":""0"",""Q03"":""1"",""Q04"":""0"",""Q05"":""1"",""Q06"":""1"",""Q07"":""0"",""Q08"":""1"",""Q09"":""0"",""Q10"":""0""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q10""]","[27776.099999904633,34017.89999985695,38500,43164.799999952316,46913.799999952316,49442,55495.09999990463,64417.89999985695,69238.89999985695,74187,81053.59999990463,81856.39999985695]","[]","[0.2999999523162842,27776.099999904633,34017.89999985695,38500,43164.799999952316,46913.799999952316,49442,55495.09999990463,64417.89999985695,69238.89999985695,74187,81053.59999990463,81856.39999985695,83533.59999990463]","0.3","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5188","1753865039377","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","170193","0.0-4.0-2.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:43:59.378Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94763.5","","","","survey-template","7","265005","0.0-4.0-3.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:45:34.190Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""0"",""Q16"":""0"",""Q17"":""1"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q05"",""Q07"",""Q08"",""Q10"",""Q09"",""Q11"",""Q12"",""Q13"",""Q12"",""Q14"",""Q15"",""Q16"",""Q18"",""Q17"",""Q19"",""Q20"",""Q21"",""Q22"",""Q04"",""Q06""]","[3323.600000143051,4798.900000095367,5180.799999952316,7303.200000047684,10337.400000095367,11930.200000047684,14446.400000095367,14866.700000047684,15837.100000143051,21941.799999952316,25941.60000014305,33361.10000014305,34832.90000009537,38973.799999952316,42038.90000009537,46993.5,51615.700000047684,58640.299999952316,65035.700000047684,65556.40000009537,71142.70000004768,80274.40000009537,86172]","[]","[0.10000014305114746,3323.600000143051,4798.900000095367,5180.799999952316,6448.200000047684,7303.200000047684,7957.900000095367,10337.400000095367,11930.200000047684,12358,14446.400000095367,14866.700000047684,15837.100000143051,16300.900000095367,21941.799999952316,25941.60000014305,33361.10000014305,33849.200000047684,34832.90000009537,38973.799999952316,42038.90000009537,46993.5,51615.700000047684,58640.299999952316,65035.700000047684,65556.40000009537,71142.70000004768,79661.70000004768,80274.40000009537,83606.79999995232,86172,94749.20000004768]","0.9090909090909091","0.19047619047619047","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18298.5","","","","survey-template","8","283314","0.0-4.0-4.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:45:52.499Z","","","","stress","{""Q01"":""0"",""Q02"":""1"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2505.5,8830.299999952316,12077]","[]","[2505.5,8830.299999952316,12077,18295.799999952316]","0.6666666666666666","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65266","","","","instructions","9","348582","0.0-5.0-0.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":65265}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15208","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","100","html-slider-response","10","363797","0.0-6.0-0.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:47:12.982Z","","","","PreSkillQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14451","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","92","html-slider-response","11","378253","0.0-6.0-1.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:47:27.438Z","","","","PrePerfQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4454","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","12","382712","0.0-6.0-2.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:47:31.897Z","","","","PreMotivationQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","13","420885","0.0-7.0-0.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:48:10.070Z","","","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","397305.1","19660.2","24662.7","35147.8","1","4","4","6","1","1","0","0","0","0","5002.4","3000","1985","[""up"",""right""]","{""num_key_presses"":4,""num_perfect"":3,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":1,""num_blue"":1,""num_good_moves"":4}","[417.57142857142856,413.47767857142856,1,417.57142857142856,413.47767857142856,101.4,417.57142857142856,413.47767857142856,202.5,417.57142857142856,413.47767857142856,305.8,417.57142857142856,413.47767857142856,406.4,417.57142857142856,413.47767857142856,514.5,417.57142857142856,413.47767857142856,615.6,417.57142857142856,413.47767857142856,716.2,417.57142857142856,413.47767857142856,816.8,417.57142857142856,413.47767857142856,921.6,417.57142857142856,413.47767857142856,1021.7,417.57142857142856,413.47767857142856,1125.7,417.57142857142856,413.47767857142856,1231.8,417.57142857142856,413.47767857142856,1336,417.57142857142856,413.47767857142856,1441.7,417.57142857142856,413.47767857142856,1546,417.57142857142856,413.47767857142856,1647,417.57142857142856,413.47767857142856,1751.5,417.57142857142856,413.47767857142856,1860.8,417.57142857142856,413.47767857142856,1963.3,417.57142857142856,413.47767857142856,2064.8,417.57142857142856,413.47767857142856,2167.1,417.57142857142856,413.47767857142856,2271.8,417.57142857142856,413.47767857142856,2372.3,417.57142857142856,413.47767857142856,2474.9,417.57142857142856,413.47767857142856,2575.8,417.57142857142856,413.47767857142856,2677.2,417.57142857142856,413.47767857142856,2778.4,417.57142857142856,413.47767857142856,2881.9,417.57142857142856,413.47767857142856,2986.4,417.57142857142856,413.47767857142856,3095.9,417.57142857142856,413.47767857142856,3200.7,417.57142857142856,413.47767857142856,3307.8,417.57142857142856,413.47767857142856,3410.8,417.57142857142856,413.47767857142856,3511.6,417.57142857142856,413.47767857142856,3616.1,417.57142857142856,413.47767857142856,3720.6,417.57142857142856,413.47767857142856,3821.4,417.57142857142856,413.47767857142856,3926.1,417.57142857142856,413.47767857142856,4030.3,417.57142857142856,413.47767857142856,4132.5,417.57142857142856,413.47767857142856,4236.7,417.57142857142856,413.47767857142856,4347.4,417.57142857142856,413.47767857142856,4451.6,417.57142857142856,413.47767857142856,4559.6,417.57142857142856,413.47767857142856,4661.1,417.57142857142856,413.47767857142856,4765.8,417.57142857142856,413.47767857142856,4866.6,417.57142857142856,413.47767857142856,4971.7]","[1173.2,1173.2,1000,0,173.2,""smooth"",""right"",""right"",""good_move"",4257.4,3082.3,2437.8,1175.2,644.4,""smooth"",""right"",""right"",""good_move"",7436.7,3179.1,2724.8,4257.6,454.3,""smooth"",""up"",""up"",""good_move"",10382.9,2945.8,2596.7,7437.2,349,""while_blue"",""up"",""up"",""good_move""]"
"5152","","<div style=""width:500px;"">
  <p>What determined the result of this run?</p>
  </div>","90","html-slider-response","14","426042","0.0-7.0-1.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:48:15.227Z","","","","AttribQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3078","","<div style=""width:500px;"">
  <p>How much control did you have over the ball?</p>
  </div>","91","html-slider-response","15","429123","0.0-7.0-2.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:48:18.309Z","","","","ControlQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6474","","<div style=""width:500px;"">
  <p>How would you describe your current emotional state?</p>
  </div>","13","html-slider-response","16","435604","0.0-7.0-3.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:48:24.789Z","","","","StressQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3482","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","17","439091","0.0-7.0-4.0","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:48:28.276Z","","","","MotivationQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","18","469848","0.0-7.0-0.1","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:48:59.033Z","","","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","0.9","2","0","453673.5","3926.5","8942.1","27742.2","1","4","8","6","1","1","1","1","0","0.007575757575757576","5015.6","3000","725","[""down"",""right""]","{""num_key_presses"":4,""num_perfect"":3,""num_errors"":0,""num_randdir"":1,""num_randdir_good_moves"":1,""num_whilered"":0,""num_whileblue"":0,""num_blue"":2,""num_good_moves"":4}","[420.57142857142856,417.47767857142856,0.1,420.57142857142856,417.47767857142856,106.1,420.57142857142856,417.47767857142856,221.9,420.57142857142856,417.47767857142856,341.8,420.57142857142856,417.47767857142856,445.4,420.57142857142856,417.47767857142856,550.1,420.57142857142856,417.47767857142856,650.1,420.57142857142856,417.47767857142856,751.2,420.57142857142856,417.47767857142856,852.8,420.57142857142856,417.47767857142856,953.5,420.57142857142856,417.47767857142856,1055.7,420.57142857142856,417.47767857142856,1159.8,420.57142857142856,417.47767857142856,1263.1,420.57142857142856,417.47767857142856,1364.7,420.57142857142856,417.47767857142856,1469.4,420.57142857142856,417.47767857142856,1569.4,420.57142857142856,417.47767857142856,1669.8,420.57142857142856,417.47767857142856,1769.8,420.57142857142856,417.47767857142856,1875,420.57142857142856,417.47767857142856,1980.1,420.57142857142856,417.47767857142856,2084.5,420.57142857142856,417.47767857142856,2189.6,420.57142857142856,417.47767857142856,2298.4,420.57142857142856,417.47767857142856,2399.4,420.57142857142856,417.47767857142856,2499.5,420.57142857142856,417.47767857142856,2599.8,420.57142857142856,417.47767857142856,2705.1,420.57142857142856,417.47767857142856,2814.5,420.57142857142856,417.47767857142856,2918.4,420.57142857142856,417.47767857142856,3019.1,420.57142857142856,417.47767857142856,3119.7,420.57142857142856,417.47767857142856,3224.8,420.57142857142856,417.47767857142856,3329.8,420.57142857142856,417.47767857142856,3432.5,420.57142857142856,417.47767857142856,3534.8,420.57142857142856,417.47767857142856,3646.4,420.57142857142856,417.47767857142856,3749.6,420.57142857142856,417.47767857142856,3850.8,420.57142857142856,417.47767857142856,3954.3,420.57142857142856,417.47767857142856,4054.3,420.57142857142856,417.47767857142856,4170.3,420.57142857142856,417.47767857142856,4278.7,420.57142857142856,417.47767857142856,4379.4,420.57142857142856,417.47767857142856,4482.1,420.57142857142856,417.47767857142856,4585.1,420.57142857142856,417.47767857142856,4685.2,420.57142857142856,417.47767857142856,4789.4,420.57142857142856,417.47767857142856,4894.7,420.57142857142856,417.47767857142856,4995.8]","[8376.3,8376.3,2540.5,5418.5,417.3,""smooth"",""right"",""right"",""good_move"",12477.9,4100.8,3088.5,8377.1,1012.3,""smooth"",""right"",""right"",""good_move"",15382.8,2904.3,2216.3,12478.5,688,""smooth"",""down"",""down"",""good_move"",18680.7,3297,2485.5,15383.8,811.5,""oops"",""down"",""down"",""good_move""]"
"3308","","<div style=""width:500px;"">
  <p>What determined the result of this run?</p>
  </div>","100","html-slider-response","19","473161","0.0-7.0-1.1","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:49:02.346Z","","","","AttribQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6059","","<div style=""width:500px;"">
  <p>How much control did you have over the ball?</p>
  </div>","100","html-slider-response","20","479224","0.0-7.0-2.1","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:49:08.409Z","","","","ControlQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5197","","<div style=""width:500px;"">
  <p>How would you describe your current emotional state?</p>
  </div>","0","html-slider-response","21","484426","0.0-7.0-3.1","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:49:13.611Z","","","","StressQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2190","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","22","486620","0.0-7.0-4.1","34","1","2025-07-30 08:41:19","36c45c0696341be0efffe67d72a12abb","213.137.81.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9","672f51ea346fba23ddd5a793","687a19d2168e237449fb8af4","6889d9dc3b91135c2f3989f4","0","672f51ea346fba23ddd5a793","0","2025-07-30T08:49:15.805Z","","","","MotivationQ","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
