"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"189045","1754771021708","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","189057","0.0-0.0","243","1","2025-08-09 20:20:30","36c45c0696341be0efffe67d72a12abb","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","null","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","6877649eabb845cf142cd221","68952b92dc6335c2700efa2f","1","6743c8da977b0d274dad1fc2","1","2025-08-09T20:23:41.709Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2114","","","","fullscreen","1","192185","0.0-1.0","243","1","2025-08-09 20:20:30","36c45c0696341be0efffe67d72a12abb","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","null","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","6877649eabb845cf142cd221","68952b92dc6335c2700efa2f","1","6743c8da977b0d274dad1fc2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2443","1754771027283"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","194632","0.0-2.0","243","1","2025-08-09 20:20:30","36c45c0696341be0efffe67d72a12abb","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","null","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","6877649eabb845cf142cd221","68952b92dc6335c2700efa2f","1","6743c8da977b0d274dad1fc2","1","2025-08-09T20:23:47.284Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3579","","","{""assigned_sex"":""female""}","survey-multi-choice","3","198213","0.0-3.0-0.0","243","1","2025-08-09 20:20:30","36c45c0696341be0efffe67d72a12abb","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","null","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","6877649eabb845cf142cd221","68952b92dc6335c2700efa2f","1","6743c8da977b0d274dad1fc2","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1385","1754771032250","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","199598","0.0-4.0-0.0","243","1","2025-08-09 20:20:30","36c45c0696341be0efffe67d72a12abb","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","null","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","6877649eabb845cf142cd221","68952b92dc6335c2700efa2f","1","6743c8da977b0d274dad1fc2","1","2025-08-09T20:23:52.250Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"375723.40000000596","","","","survey-template","5","575325","0.0-4.0-1.0","243","1","2025-08-09 20:20:30","36c45c0696341be0efffe67d72a12abb","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","null","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","6877649eabb845cf142cd221","68952b92dc6335c2700efa2f","1","6743c8da977b0d274dad1fc2","1","2025-08-09T20:30:07.977Z","","","","pss","{""Q01"":""2"",""Q02"":""1"",""Q03"":""1"",""Q04"":""3"",""Q05"":""3"",""Q06"":""1"",""Q07"":""0"",""Q08"":""0"",""Q09"":""2"",""Q10"":""0""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q01"",""Q02"",""Q04"",""Q03"",""Q05"",""Q06"",""Q07"",""Q07"",""Q08"",""Q09"",""Q10""]","[2947.9000000059605,11112.90000000596,13587,24954.70000001788,26000.40000000596,29812,31131.59999999404,32375.90000000596,38678.5,334200.8000000119,339955,374066.5]","[]","[0.09999999403953552,2947.9000000059605,11112.90000000596,13587,22098.59999999404,24954.70000001788,26000.40000000596,29812,31131.59999999404,32375.90000000596,34863.09999999404,38678.5,334200.8000000119,339955,374066.5,375720.09999999404]","0.5","0.1111111111111111","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2243","1754771410222","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","577570","0.0-4.0-2.0","243","1","2025-08-09 20:20:30","36c45c0696341be0efffe67d72a12abb","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","null","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","6877649eabb845cf142cd221","68952b92dc6335c2700efa2f","1","6743c8da977b0d274dad1fc2","1","2025-08-09T20:30:10.222Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"121761.69999998808","","","","survey-template","7","699336","0.0-4.0-3.0","243","1","2025-08-09 20:20:30","36c45c0696341be0efffe67d72a12abb","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","null","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","6877649eabb845cf142cd221","68952b92dc6335c2700efa2f","1","6743c8da977b0d274dad1fc2","1","2025-08-09T20:32:11.988Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""1"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""1"",""Q13"":""5"",""Q14"":""2"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""2"",""Q20"":""0"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q03"",""Q02"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22"",""Q21"",""Q22""]","[4464,6791.4000000059605,8469.09999999404,11673.699999988079,14011.5,16525.19999998808,18193.90000000596,27696.09999999404,29705.19999998808,30988.69999998808,35549.79999998212,38408.09999999404,40393.29999998212,79855.90000000596,85424.29999998212,86838.19999998808,100214.40000000596,102343.40000000596,104418.29999998212,108720.09999999404,111811.90000000596,113555.40000000596,115365.69999998808,118707.5]","[]","[0,4464,5668.5,6791.4000000059605,8469.09999999404,11673.699999988079,14011.5,16525.19999998808,18193.90000000596,27696.09999999404,29705.19999998808,30988.69999998808,32364.40000000596,35549.79999998212,37097.19999998808,38408.09999999404,40393.29999998212,79855.90000000596,85424.29999998212,86838.19999998808,100214.40000000596,101220.59999999404,102343.40000000596,104418.29999998212,108720.09999999404,111811.90000000596,113555.40000000596,115365.69999998808,118707.5,121756.09999999404]","0.5","0.19047619047619047","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16754.59999999404","","","","survey-template","8","716092","0.0-4.0-4.0","243","1","2025-08-09 20:20:30","36c45c0696341be0efffe67d72a12abb","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","null","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","6877649eabb845cf142cd221","68952b92dc6335c2700efa2f","1","6743c8da977b0d274dad1fc2","1","2025-08-09T20:32:28.744Z","","","","stress","{""Q01"":""1"",""Q02"":""5"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[7346,10734.699999988079,13339.5]","[]","[7346,10734.699999988079,13339.5,16753.5]","0.6666666666666666","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6419","","","","instructions","9","722512","0.0-5.0-0.0","243","1","2025-08-09 20:20:30","36c45c0696341be0efffe67d72a12abb","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","null","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","6877649eabb845cf142cd221","68952b92dc6335c2700efa2f","1","6743c8da977b0d274dad1fc2","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":6419}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
