"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"2862","1753864920985","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2863","0.0-0.0","37","1","2025-07-30 08:41:57","36c45c0696341be0efffe67d72a12abb","78.84.164.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67458e548861194752950b3e","687a19d2168e237449fb8af4","6889da36102fce62d2a6f01e","0","67458e548861194752950b3e","0","2025-07-30T08:42:00.985Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1287","","","","fullscreen","1","5177","0.0-1.0","37","1","2025-07-30 08:41:57","36c45c0696341be0efffe67d72a12abb","78.84.164.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67458e548861194752950b3e","687a19d2168e237449fb8af4","6889da36102fce62d2a6f01e","0","67458e548861194752950b3e","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1406","1753864924705"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","6583","0.0-2.0","37","1","2025-07-30 08:41:57","36c45c0696341be0efffe67d72a12abb","78.84.164.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67458e548861194752950b3e","687a19d2168e237449fb8af4","6889da36102fce62d2a6f01e","0","67458e548861194752950b3e","0","2025-07-30T08:42:04.705Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5377","","","{""assigned_sex"":""male""}","survey-multi-choice","3","11961","0.0-3.0-0.0","37","1","2025-07-30 08:41:57","36c45c0696341be0efffe67d72a12abb","78.84.164.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67458e548861194752950b3e","687a19d2168e237449fb8af4","6889da36102fce62d2a6f01e","0","67458e548861194752950b3e","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1611","1753864931694","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","13573","0.0-4.0-0.0","37","1","2025-07-30 08:41:57","36c45c0696341be0efffe67d72a12abb","78.84.164.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67458e548861194752950b3e","687a19d2168e237449fb8af4","6889da36102fce62d2a6f01e","0","67458e548861194752950b3e","0","2025-07-30T08:42:11.695Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50618.80000001192","","","","survey-template","5","64193","0.0-4.0-1.0","37","1","2025-07-30 08:41:57","36c45c0696341be0efffe67d72a12abb","78.84.164.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67458e548861194752950b3e","687a19d2168e237449fb8af4","6889da36102fce62d2a6f01e","0","67458e548861194752950b3e","0","2025-07-30T08:43:02.315Z","","","","pss","{""Q01"":""1"",""Q02"":""2"",""Q03"":""1"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""3"",""Q08"":""1"",""Q09"":""2"",""Q10"":""1""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[5976.300000011921,9981.300000011921,12486.5,17939.19999998808,20594,29069.100000023842,37311.5,41091.90000003576,46634.80000001192,49131.69999998808]","[]","[0.10000002384185791,5285.900000035763,5976.300000011921,9066.100000023842,9981.300000011921,12486.5,16942,17542,17939.19999998808,20594,29069.100000023842,37311.5,40566.5,41091.90000003576,45299.10000002384,46049.40000003576,46634.80000001192,49131.69999998808,50617.19999998808]","0.5","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3327","1753864985643","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","67521","0.0-4.0-2.0","37","1","2025-07-30 08:41:57","36c45c0696341be0efffe67d72a12abb","78.84.164.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67458e548861194752950b3e","687a19d2168e237449fb8af4","6889da36102fce62d2a6f01e","0","67458e548861194752950b3e","0","2025-07-30T08:43:05.643Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68895.89999997616","","","","survey-template","7","136420","0.0-4.0-3.0","37","1","2025-07-30 08:41:57","36c45c0696341be0efffe67d72a12abb","78.84.164.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67458e548861194752950b3e","687a19d2168e237449fb8af4","6889da36102fce62d2a6f01e","0","67458e548861194752950b3e","0","2025-07-30T08:44:14.542Z","","","","drsp","{""Q01"":""1"",""Q02"":""1"",""Q03"":""1"",""Q04"":""1"",""Q05"":""0"",""Q06"":""0"",""Q07"":""1"",""Q08"":""0"",""Q09"":""1"",""Q10"":""0"",""Q11"":""0"",""Q12"":""3"",""Q13"":""5"",""Q14"":""3"",""Q15"":""1"",""Q16"":""1"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""1"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3778.199999988079,4565.300000011921,5735.5,7768,11833.300000011921,14945.699999988079,19326.19999998808,21732.80000001192,25865.30000001192,29562.899999976158,31332.899999976158,33545.39999997616,36177.89999997616,39568,44997.89999997616,50855.39999997616,52566.09999996424,54058,58356,61640,65368.19999998808,68285.39999997616]","[]","[0,2592.899999976158,3208.099999964237,3778.199999988079,4565.300000011921,5735.5,7768,10310.5,11090.300000011921,11833.300000011921,14472.699999988079,14945.699999988079,18342.899999976158,19326.19999998808,21732.80000001192,25865.30000001192,29562.899999976158,31332.899999976158,33545.39999997616,36177.89999997616,39568,44512.5,44997.89999997616,50855.39999997616,52566.09999996424,53502.89999997616,54058,57868.19999998808,58356,61640,65368.19999998808,68285.39999997616,68893.5]","0.45454545454545453","0.38095238095238093","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12589.099999964237","","","","survey-template","8","149010","0.0-4.0-4.0","37","1","2025-07-30 08:41:57","36c45c0696341be0efffe67d72a12abb","78.84.164.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67458e548861194752950b3e","687a19d2168e237449fb8af4","6889da36102fce62d2a6f01e","0","67458e548861194752950b3e","0","2025-07-30T08:44:27.132Z","","","","stress","{""Q01"":""1"",""Q02"":""2"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2838.099999964237,8440.899999976158,11928.300000011921]","[]","[2838.099999964237,7968.599999964237,8440.899999976158,11928.300000011921,12588.5]","0.6666666666666666","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12074","","","","instructions","9","161084","0.0-5.0-0.0","37","1","2025-07-30 08:41:57","36c45c0696341be0efffe67d72a12abb","78.84.164.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67458e548861194752950b3e","687a19d2168e237449fb8af4","6889da36102fce62d2a6f01e","0","67458e548861194752950b3e","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":12074}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
