"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"171580","1753899121927","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","171586","0.0-0.0","76","1","2025-07-30 09:09:32","36c45c0696341be0efffe67d72a12abb","105.12.0.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67895942fcb6400a74aebfca","687a19d2168e237449fb8af4","6889e01bea686771318410e3","0","67895942fcb6400a74aebfca","0","2025-07-30T18:12:01.932Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146852","","","","fullscreen","1","319451","0.0-1.0","76","1","2025-07-30 09:09:32","36c45c0696341be0efffe67d72a12abb","105.12.0.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67895942fcb6400a74aebfca","687a19d2168e237449fb8af4","6889e01bea686771318410e3","0","67895942fcb6400a74aebfca","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3878","1753899273675"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","323331","0.0-2.0","76","1","2025-07-30 09:09:32","36c45c0696341be0efffe67d72a12abb","105.12.0.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67895942fcb6400a74aebfca","687a19d2168e237449fb8af4","6889e01bea686771318410e3","0","67895942fcb6400a74aebfca","0","2025-07-30T18:14:33.676Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5524","","","{""assigned_sex"":""intersex""}","survey-multi-choice","3","328860","0.0-3.0-0.0","76","1","2025-07-30 09:09:32","36c45c0696341be0efffe67d72a12abb","105.12.0.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67895942fcb6400a74aebfca","687a19d2168e237449fb8af4","6889e01bea686771318410e3","0","67895942fcb6400a74aebfca","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4645","1753899283852","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","333508","0.0-4.0-0.0","76","1","2025-07-30 09:09:32","36c45c0696341be0efffe67d72a12abb","105.12.0.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67895942fcb6400a74aebfca","687a19d2168e237449fb8af4","6889e01bea686771318410e3","0","67895942fcb6400a74aebfca","0","2025-07-30T18:14:43.853Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87620.40000003576","","","","survey-template","5","421138","0.0-4.0-1.0","76","1","2025-07-30 09:09:32","36c45c0696341be0efffe67d72a12abb","105.12.0.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67895942fcb6400a74aebfca","687a19d2168e237449fb8af4","6889e01bea686771318410e3","0","67895942fcb6400a74aebfca","0","2025-07-30T18:16:11.483Z","","","","pss","{""Q01"":""1"",""Q02"":""1"",""Q03"":""2"",""Q04"":""0"",""Q05"":""2"",""Q06"":""1"",""Q07"":""3"",""Q08"":""1"",""Q09"":""1"",""Q10"":""1""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[4589.699999988079,9151.600000023842,11017.300000011921,13381,17737.100000023842,23909,27154.19999998808,80127.69999998808,83484.60000002384,85953.10000002384]","[]","[0.10000002384185791,4589.699999988079,9151.600000023842,11017.300000011921,13381,17737.100000023842,22555.5,23909,25883.100000023842,27154.19999998808,80127.69999998808,83484.60000002384,85953.10000002384,87615.10000002384]","0.6","0.2222222222222222","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4922","1753899376406","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","426061","0.0-4.0-2.0","76","1","2025-07-30 09:09:32","36c45c0696341be0efffe67d72a12abb","105.12.0.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67895942fcb6400a74aebfca","687a19d2168e237449fb8af4","6889e01bea686771318410e3","0","67895942fcb6400a74aebfca","0","2025-07-30T18:16:16.406Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47402.19999998808","","","","survey-template","7","473468","0.0-4.0-3.0","76","1","2025-07-30 09:09:32","36c45c0696341be0efffe67d72a12abb","105.12.0.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67895942fcb6400a74aebfca","687a19d2168e237449fb8af4","6889e01bea686771318410e3","0","67895942fcb6400a74aebfca","0","2025-07-30T18:17:03.813Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""1"",""Q12"":""0"",""Q13"":""0"",""Q14"":""0"",""Q15"":""1"",""Q16"":""1"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""1"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3898.699999988079,5322.300000011921,6943.600000023842,9394.400000035763,10912.600000023842,12078.699999988079,13325.300000011921,14783.199999988079,16287.300000011921,21015.19999998808,24176.400000035763,25449.600000023842,26839,28238.19999998808,31664.100000023842,33284.30000001192,37819.40000003576,39439.30000001192,40961.69999998808,42709.69999998808,43938.90000003576,45332.40000003576]","[]","[0,3898.699999988079,5322.300000011921,6943.600000023842,9394.400000035763,10912.600000023842,12078.699999988079,13325.300000011921,14783.199999988079,16287.300000011921,17778.19999998808,21015.19999998808,22711.400000035763,24176.400000035763,25449.600000023842,26839,28238.19999998808,29951,31664.100000023842,33284.30000001192,34758.90000003576,37819.40000003576,39439.30000001192,40961.69999998808,42709.69999998808,43938.90000003576,45332.40000003576,47390.19999998808]","0.5909090909090909","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9762","","","","survey-template","8","483233","0.0-4.0-4.0","76","1","2025-07-30 09:09:32","36c45c0696341be0efffe67d72a12abb","105.12.0.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67895942fcb6400a74aebfca","687a19d2168e237449fb8af4","6889e01bea686771318410e3","0","67895942fcb6400a74aebfca","0","2025-07-30T18:17:13.578Z","","","","stress","{""Q01"":""1"",""Q02"":""5"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4708.300000011921,6449.5,8065.800000011921]","[]","[4708.300000011921,6449.5,8065.800000011921,9759.5]","0.6666666666666666","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67488","","","","instructions","9","550723","0.0-5.0-0.0","76","1","2025-07-30 09:09:32","36c45c0696341be0efffe67d72a12abb","105.12.0.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67895942fcb6400a74aebfca","687a19d2168e237449fb8af4","6889e01bea686771318410e3","0","67895942fcb6400a74aebfca","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":67487}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
