"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"321043","1754538082963","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","321050","0.0-0.0","223","1","2025-08-07 03:35:59","36c45c0696341be0efffe67d72a12abb","41.13.198.111","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67acf1d438e2c92a40f88a9e","687a1a965b9f5b85a264363e","68941f119f39316ce1e850c1","1","67acf1d438e2c92a40f88a9e","1","2025-08-07T03:41:22.966Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8026","","","","fullscreen","1","330093","0.0-1.0","223","1","2025-08-07 03:35:59","36c45c0696341be0efffe67d72a12abb","41.13.198.111","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67acf1d438e2c92a40f88a9e","687a1a965b9f5b85a264363e","68941f119f39316ce1e850c1","1","67acf1d438e2c92a40f88a9e","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21699","1754538113711"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","351796","0.0-2.0","223","1","2025-08-07 03:35:59","36c45c0696341be0efffe67d72a12abb","41.13.198.111","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67acf1d438e2c92a40f88a9e","687a1a965b9f5b85a264363e","68941f119f39316ce1e850c1","1","67acf1d438e2c92a40f88a9e","1","2025-08-07T03:41:53.712Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6383","","","{""assigned_sex"":""female""}","survey-multi-choice","3","358182","0.0-3.0-0.0","223","1","2025-08-07 03:35:59","36c45c0696341be0efffe67d72a12abb","41.13.198.111","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67acf1d438e2c92a40f88a9e","687a1a965b9f5b85a264363e","68941f119f39316ce1e850c1","1","67acf1d438e2c92a40f88a9e","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7495","1754538127594","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","365678","0.0-4.0-0.0","223","1","2025-08-07 03:35:59","36c45c0696341be0efffe67d72a12abb","41.13.198.111","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67acf1d438e2c92a40f88a9e","687a1a965b9f5b85a264363e","68941f119f39316ce1e850c1","1","67acf1d438e2c92a40f88a9e","1","2025-08-07T03:42:07.595Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65530.39999997616","","","","survey-template","5","431215","0.0-4.0-1.0","223","1","2025-08-07 03:35:59","36c45c0696341be0efffe67d72a12abb","41.13.198.111","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67acf1d438e2c92a40f88a9e","687a1a965b9f5b85a264363e","68941f119f39316ce1e850c1","1","67acf1d438e2c92a40f88a9e","1","2025-08-07T03:43:13.131Z","","","","pss","{""Q01"":""2"",""Q02"":""2"",""Q03"":""3"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2"",""Q09"":""2"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[8521.599999964237,12869.699999988079,19265.799999952316,27482.19999998808,32439.299999952316,36733.299999952316,43237.09999996424,48076,58133.299999952316,64139.09999996424]","[]","[0.09999996423721313,8521.599999964237,12869.699999988079,19265.799999952316,27482.19999998808,32439.299999952316,36733.299999952316,43237.09999996424,48076,55323.09999996424,56691.299999952316,58133.299999952316,64139.09999996424,65525]","0.8","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3350","1754538196482","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","434567","0.0-4.0-2.0","223","1","2025-08-07 03:35:59","36c45c0696341be0efffe67d72a12abb","41.13.198.111","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67acf1d438e2c92a40f88a9e","687a1a965b9f5b85a264363e","68941f119f39316ce1e850c1","1","67acf1d438e2c92a40f88a9e","1","2025-08-07T03:43:16.484Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74023.69999998808","","","","survey-template","7","508598","0.0-4.0-3.0","223","1","2025-08-07 03:35:59","36c45c0696341be0efffe67d72a12abb","41.13.198.111","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67acf1d438e2c92a40f88a9e","687a1a965b9f5b85a264363e","68941f119f39316ce1e850c1","1","67acf1d438e2c92a40f88a9e","1","2025-08-07T03:44:30.514Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""1"",""Q10"":""0"",""Q11"":""0"",""Q12"":""1"",""Q13"":""5"",""Q14"":""2"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3893.400000035763,4958.600000023842,11078.900000035763,12200.100000023842,13634.400000035763,14880.400000035763,18706,21383.5,24152,26467.600000023842,28534.5,33564.60000002384,35523.10000002384,39659.69999998808,44199.10000002384,47481.30000001192,49865.19999998808,51119.40000003576,54424.19999998808,59334.90000003576,68328.69999998808,70986.90000003576]","[]","[0,3893.400000035763,4958.600000023842,6264.100000023842,7750.199999988079,11078.900000035763,12200.100000023842,13634.400000035763,14880.400000035763,16510.100000023842,17135.19999998808,17351.80000001192,18706,20271.100000023842,21383.5,24152,26467.600000023842,28534.5,33564.60000002384,35523.10000002384,39659.69999998808,44199.10000002384,47481.30000001192,48726.90000003576,49865.19999998808,51119.40000003576,54424.19999998808,58058.90000003576,59334.90000003576,65162.19999998808,67526.5,68328.69999998808,70986.90000003576,74015.30000001192]","0.8181818181818182","0.14285714285714285","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16463.700000047684","","","","survey-template","8","525065","0.0-4.0-4.0","223","1","2025-08-07 03:35:59","36c45c0696341be0efffe67d72a12abb","41.13.198.111","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67acf1d438e2c92a40f88a9e","687a1a965b9f5b85a264363e","68941f119f39316ce1e850c1","1","67acf1d438e2c92a40f88a9e","1","2025-08-07T03:44:46.982Z","","","","stress","{""Q01"":""0"",""Q02"":""3"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[5958.700000047684,11221.5,14539.900000035763]","[]","[5958.700000047684,11221.5,14539.900000035763,16461.400000035763]","0.6666666666666666","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59441","","","","instructions","9","584508","0.0-5.0-0.0","223","1","2025-08-07 03:35:59","36c45c0696341be0efffe67d72a12abb","41.13.198.111","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67acf1d438e2c92a40f88a9e","687a1a965b9f5b85a264363e","68941f119f39316ce1e850c1","1","67acf1d438e2c92a40f88a9e","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":59440}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
