"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"21843","1753866230631","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","22033","0.0-0.0","71","1","2025-07-30 09:03:19","36c45c0696341be0efffe67d72a12abb","196.250.192.44","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","67c6e102bbdf6801c9a2642a","687a19d2168e237449fb8af4","6889df06514f2fb9f2934fb0","0","67c6e102bbdf6801c9a2642a","0","2025-07-30T09:03:50.631Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11272","","","","fullscreen","1","34369","0.0-1.0","71","1","2025-07-30 09:03:19","36c45c0696341be0efffe67d72a12abb","196.250.192.44","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","67c6e102bbdf6801c9a2642a","687a19d2168e237449fb8af4","6889df06514f2fb9f2934fb0","0","67c6e102bbdf6801c9a2642a","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7001","1753866250006"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","41409","0.0-2.0","71","1","2025-07-30 09:03:19","36c45c0696341be0efffe67d72a12abb","196.250.192.44","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","67c6e102bbdf6801c9a2642a","687a19d2168e237449fb8af4","6889df06514f2fb9f2934fb0","0","67c6e102bbdf6801c9a2642a","0","2025-07-30T09:04:10.007Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6176","","","{""assigned_sex"":""male""}","survey-multi-choice","3","47656","0.0-3.0-0.0","71","1","2025-07-30 09:03:19","36c45c0696341be0efffe67d72a12abb","196.250.192.44","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","67c6e102bbdf6801c9a2642a","687a19d2168e237449fb8af4","6889df06514f2fb9f2934fb0","0","67c6e102bbdf6801c9a2642a","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9577","1753866265833","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","57235","0.0-4.0-0.0","71","1","2025-07-30 09:03:19","36c45c0696341be0efffe67d72a12abb","196.250.192.44","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","67c6e102bbdf6801c9a2642a","687a19d2168e237449fb8af4","6889df06514f2fb9f2934fb0","0","67c6e102bbdf6801c9a2642a","0","2025-07-30T09:04:25.833Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96773","","","","survey-template","5","154048","0.0-4.0-1.0","71","1","2025-07-30 09:03:19","36c45c0696341be0efffe67d72a12abb","196.250.192.44","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","67c6e102bbdf6801c9a2642a","687a19d2168e237449fb8af4","6889df06514f2fb9f2934fb0","0","67c6e102bbdf6801c9a2642a","0","2025-07-30T09:06:02.646Z","","","","pss","{""Q01"":""2"",""Q02"":""1"",""Q03"":""2"",""Q04"":""1"",""Q05"":""2"",""Q06"":""2"",""Q07"":""1"",""Q08"":""2"",""Q09"":""2"",""Q10"":""1""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q10"",""Q04""]","[17033,23778,28729,47761,53062,59494,64320,72234,79349,82208,93264]","[]","[0,17033,23778,28729,42460,47761,53062,59494,64320,72234,77394,79349,82208,83955,93264,96729]","0.6","0.7777777777777778","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14083","1753866376734","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","168136","0.0-4.0-2.0","71","1","2025-07-30 09:03:19","36c45c0696341be0efffe67d72a12abb","196.250.192.44","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","67c6e102bbdf6801c9a2642a","687a19d2168e237449fb8af4","6889df06514f2fb9f2934fb0","0","67c6e102bbdf6801c9a2642a","0","2025-07-30T09:06:16.734Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79599","","","","survey-template","7","247740","0.0-4.0-3.0","71","1","2025-07-30 09:03:19","36c45c0696341be0efffe67d72a12abb","196.250.192.44","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","67c6e102bbdf6801c9a2642a","687a19d2168e237449fb8af4","6889df06514f2fb9f2934fb0","0","67c6e102bbdf6801c9a2642a","0","2025-07-30T09:07:36.339Z","","","","drsp","{""Q01"":""2"",""Q02"":""2"",""Q03"":""1"",""Q04"":""2"",""Q05"":""2"",""Q06"":""1"",""Q07"":""3"",""Q08"":""0"",""Q09"":""2"",""Q10"":""3"",""Q11"":""3"",""Q12"":""4"",""Q13"":""5"",""Q14"":""5"",""Q15"":""4"",""Q16"":""0"",""Q17"":""1"",""Q18"":""0"",""Q19"":""0"",""Q20"":""2"",""Q21"":""2"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[7434,9151,13522,15204,16995,19986,22500,25174,29598,31795,33762,37276,40467,47493,50238,53054,56691,58319,64045,68610,73879,77438]","[]","[0,7434,9151,11524,13522,15204,16995,19986,22500,25174,29598,31795,33762,37276,40467,47493,50238,53054,54943,56691,58319,64045,68610,73879,77438,79598]","0.3181818181818182","0.42857142857142855","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11474","","","","survey-template","8","259219","0.0-4.0-4.0","71","1","2025-07-30 09:03:19","36c45c0696341be0efffe67d72a12abb","196.250.192.44","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","67c6e102bbdf6801c9a2642a","687a19d2168e237449fb8af4","6889df06514f2fb9f2934fb0","0","67c6e102bbdf6801c9a2642a","0","2025-07-30T09:07:47.817Z","","","","stress","{""Q01"":""1"",""Q02"":""2"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2846,5633,9067]","[]","[2846,5633,9067,11474]","0.6666666666666666","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117992","","","","instructions","9","377213","0.0-5.0-0.0","71","1","2025-07-30 09:03:19","36c45c0696341be0efffe67d72a12abb","196.250.192.44","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.5","67c6e102bbdf6801c9a2642a","687a19d2168e237449fb8af4","6889df06514f2fb9f2934fb0","0","67c6e102bbdf6801c9a2642a","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":117992}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
