"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"8873","1753864941689","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","8877","0.0-0.0","39","1","2025-07-30 08:42:10","36c45c0696341be0efffe67d72a12abb","102.209.191.18","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67d7fa657f5ac0292a291a38","687a360dabe5252b5ada7185","6889dab2cc4abddb0f9e52c9","0","67d7fa657f5ac0292a291a38","0","2025-07-30T08:42:21.692Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4099","","","","fullscreen","1","13982","0.0-1.0","39","1","2025-07-30 08:42:10","36c45c0696341be0efffe67d72a12abb","102.209.191.18","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67d7fa657f5ac0292a291a38","687a360dabe5252b5ada7185","6889dab2cc4abddb0f9e52c9","0","67d7fa657f5ac0292a291a38","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6033","1753864952831"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","20018","0.0-2.0","39","1","2025-07-30 08:42:10","36c45c0696341be0efffe67d72a12abb","102.209.191.18","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67d7fa657f5ac0292a291a38","687a360dabe5252b5ada7185","6889dab2cc4abddb0f9e52c9","0","67d7fa657f5ac0292a291a38","0","2025-07-30T08:42:32.832Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5095","","","{""assigned_sex"":""female""}","survey-multi-choice","3","25115","0.0-3.0-0.0","39","1","2025-07-30 08:42:10","36c45c0696341be0efffe67d72a12abb","102.209.191.18","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67d7fa657f5ac0292a291a38","687a360dabe5252b5ada7185","6889dab2cc4abddb0f9e52c9","0","67d7fa657f5ac0292a291a38","0","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10237","1753864968168","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","35354","0.0-4.0-0.0","39","1","2025-07-30 08:42:10","36c45c0696341be0efffe67d72a12abb","102.209.191.18","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67d7fa657f5ac0292a291a38","687a360dabe5252b5ada7185","6889dab2cc4abddb0f9e52c9","0","67d7fa657f5ac0292a291a38","0","2025-07-30T08:42:48.168Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70141.59999999404","","","","survey-template","5","105502","0.0-4.0-1.0","39","1","2025-07-30 08:42:10","36c45c0696341be0efffe67d72a12abb","102.209.191.18","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67d7fa657f5ac0292a291a38","687a360dabe5252b5ada7185","6889dab2cc4abddb0f9e52c9","0","67d7fa657f5ac0292a291a38","0","2025-07-30T08:43:58.316Z","","","","pss","{""Q01"":""3"",""Q02"":""4"",""Q03"":""3"",""Q04"":""2"",""Q05"":""1"",""Q06"":""3"",""Q07"":""3"",""Q08"":""3"",""Q09"":""4"",""Q10"":""4""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q04"",""Q05"",""Q06"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[6321.199999988079,12369,16106.799999982119,21648.69999998808,24225.69999998808,30095.09999999404,37431,40068.29999998212,44638.69999998808,53065.89999997616,64119.69999998808,69096.79999998212]","[]","[0.3999999761581421,6321.199999988079,12369,16106.799999982119,21648.69999998808,24225.69999998808,30095.09999999404,37431,40068.29999998212,44638.69999998808,46244.89999997616,53065.89999997616,64119.69999998808,69096.79999998212,70138]","0.4","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3612","1753865041929","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","109116","0.0-4.0-2.0","39","1","2025-07-30 08:42:10","36c45c0696341be0efffe67d72a12abb","102.209.191.18","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67d7fa657f5ac0292a291a38","687a360dabe5252b5ada7185","6889dab2cc4abddb0f9e52c9","0","67d7fa657f5ac0292a291a38","0","2025-07-30T08:44:01.930Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89874.90000000596","","","","survey-template","7","198997","0.0-4.0-3.0","39","1","2025-07-30 08:42:10","36c45c0696341be0efffe67d72a12abb","102.209.191.18","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67d7fa657f5ac0292a291a38","687a360dabe5252b5ada7185","6889dab2cc4abddb0f9e52c9","0","67d7fa657f5ac0292a291a38","0","2025-07-30T08:45:31.812Z","","","","drsp","{""Q01"":""5"",""Q02"":""5"",""Q03"":""2"",""Q04"":""5"",""Q05"":""5"",""Q06"":""5"",""Q07"":""5"",""Q08"":""3"",""Q09"":""4"",""Q10"":""4"",""Q11"":""5"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""0"",""Q16"":""5"",""Q17"":""5"",""Q18"":""5"",""Q19"":""5"",""Q20"":""5"",""Q21"":""5"",""Q22"":""5""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3207,4536,7133.5999999940395,9572.5,10871.5,12963.300000011921,14569.699999988079,17296.5,25059,27290.30000001192,30810.09999999404,33625.59999999404,37036.19999998808,41448.5,44690.80000001192,62981.80000001192,65281.90000000596,68554.19999998808,71429.30000001192,76257.30000001192,81373.09999999404,85576.40000000596,88700]","[]","[0.4000000059604645,3207,4536,7133.5999999940395,9572.5,10871.5,12963.300000011921,14569.699999988079,17296.5,19011.69999998808,25059,27290.30000001192,30810.09999999404,33625.59999999404,37036.19999998808,41448.5,44690.80000001192,45583.09999999404,57162.90000000596,62981.80000001192,65281.90000000596,68554.19999998808,70021.30000001192,71429.30000001192,76257.30000001192,81373.09999999404,85576.40000000596,88700,89869.80000001192]","0.6818181818181818","0.2857142857142857","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36466.90000000596","","","","survey-template","8","235467","0.0-4.0-4.0","39","1","2025-07-30 08:42:10","36c45c0696341be0efffe67d72a12abb","102.209.191.18","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67d7fa657f5ac0292a291a38","687a360dabe5252b5ada7185","6889dab2cc4abddb0f9e52c9","0","67d7fa657f5ac0292a291a38","0","2025-07-30T08:46:08.281Z","","","","stress","{""Q01"":""5"",""Q02"":""5"",""Q03"":""5""}","[0,1,2]","[""Q01"",""Q02"",""Q03"",""Q03""]","[7456.4000000059605,29148.70000001788,33164.10000002384,33223.10000002384]","[]","[7456.4000000059605,29148.70000001788,33164.10000002384,33223.10000002384,36465.60000002384]","0.6666666666666666","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45839","","","","instructions","9","281308","0.0-5.0-0.0","39","1","2025-07-30 08:42:10","36c45c0696341be0efffe67d72a12abb","102.209.191.18","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67d7fa657f5ac0292a291a38","687a360dabe5252b5ada7185","6889dab2cc4abddb0f9e52c9","0","67d7fa657f5ac0292a291a38","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":45838}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
