"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"247923","1754474969751","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","247925","0.0-0.0","173","1","2025-08-06 10:05:16","36c45c0696341be0efffe67d72a12abb","105.12.4.189","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67d95269b47464c18da766ca","687a1a965b9f5b85a264363e","689328d4c62e1d06e42c24e8","1","67d95269b47464c18da766ca","1","2025-08-06T10:09:29.752Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6011","","","","fullscreen","1","254960","0.0-1.0","173","1","2025-08-06 10:05:16","36c45c0696341be0efffe67d72a12abb","105.12.4.189","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67d95269b47464c18da766ca","687a1a965b9f5b85a264363e","689328d4c62e1d06e42c24e8","1","67d95269b47464c18da766ca","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91156","1754475067943"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","346117","0.0-2.0","173","1","2025-08-06 10:05:16","36c45c0696341be0efffe67d72a12abb","105.12.4.189","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67d95269b47464c18da766ca","687a1a965b9f5b85a264363e","689328d4c62e1d06e42c24e8","1","67d95269b47464c18da766ca","1","2025-08-06T10:11:07.944Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5034","","","{""assigned_sex"":""female""}","survey-multi-choice","3","351154","0.0-3.0-0.0","173","1","2025-08-06 10:05:16","36c45c0696341be0efffe67d72a12abb","105.12.4.189","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67d95269b47464c18da766ca","687a1a965b9f5b85a264363e","689328d4c62e1d06e42c24e8","1","67d95269b47464c18da766ca","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2232","1754475075213","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","353387","0.0-4.0-0.0","173","1","2025-08-06 10:05:16","36c45c0696341be0efffe67d72a12abb","105.12.4.189","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67d95269b47464c18da766ca","687a1a965b9f5b85a264363e","689328d4c62e1d06e42c24e8","1","67d95269b47464c18da766ca","1","2025-08-06T10:11:15.214Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80977.39999997616","","","","survey-template","5","434367","0.0-4.0-1.0","173","1","2025-08-06 10:05:16","36c45c0696341be0efffe67d72a12abb","105.12.4.189","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67d95269b47464c18da766ca","687a1a965b9f5b85a264363e","689328d4c62e1d06e42c24e8","1","67d95269b47464c18da766ca","1","2025-08-06T10:12:36.194Z","","","","pss","{""Q01"":""1"",""Q02"":""1"",""Q03"":""2"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""1"",""Q09"":""2"",""Q10"":""1""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[10145.899999976158,17578.100000023842,21791.600000023842,23236.69999998808,33549.39999997616,38081.39999997616,45765,51112.39999997616,56507.39999997616,64736.60000002384,73072.5]","[]","[0,9121.100000023842,10145.899999976158,17578.100000023842,21791.600000023842,23236.69999998808,33549.39999997616,38081.39999997616,45765,51112.39999997616,56507.39999997616,63664.69999998808,64736.60000002384,73072.5,80974.89999997616]","0.4","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2678","1754475158873","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","437046","0.0-4.0-2.0","173","1","2025-08-06 10:05:16","36c45c0696341be0efffe67d72a12abb","105.12.4.189","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67d95269b47464c18da766ca","687a1a965b9f5b85a264363e","689328d4c62e1d06e42c24e8","1","67d95269b47464c18da766ca","1","2025-08-06T10:12:38.874Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116592.09999996424","","","","survey-template","7","553643","0.0-4.0-3.0","173","1","2025-08-06 10:05:16","36c45c0696341be0efffe67d72a12abb","105.12.4.189","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67d95269b47464c18da766ca","687a1a965b9f5b85a264363e","689328d4c62e1d06e42c24e8","1","67d95269b47464c18da766ca","1","2025-08-06T10:14:35.470Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""1"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""1"",""Q12"":""0"",""Q13"":""5"",""Q14"":""1"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q08"",""Q07"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q17"",""Q16"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22"",""Q09""]","[23612.399999976158,24642.899999976158,25695.5,29201.899999976158,30338.69999998808,43806.299999952316,47429.299999952316,48303.19999998808,54360.19999998808,67141.5,68179.19999998808,71371.69999998808,74520.5,80487.89999997616,85486.29999995232,87777.59999996424,89209.69999998808,92893.79999995232,98024.5,101205.69999998808,104120.29999995232,113337.89999997616]","[]","[0,23612.399999976158,24642.899999976158,25695.5,27955.899999976158,29201.899999976158,30338.69999998808,42866.89999997616,43806.299999952316,45064.59999996424,46543.59999996424,47429.299999952316,48303.19999998808,51431.69999998808,53448.89999997616,54360.19999998808,55266.19999998808,67141.5,68179.19999998808,71371.69999998808,74520.5,79002.59999996424,80487.89999997616,81617.5,85486.29999995232,86202.09999996424,87777.59999996424,89209.69999998808,92893.79999995232,98024.5,101205.69999998808,102510.19999998808,104120.29999995232,106496.59999996424,113337.89999997616,116586.5]","0.7727272727272727","0.2857142857142857","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18750.30000001192","","","","survey-template","8","572396","0.0-4.0-4.0","173","1","2025-08-06 10:05:16","36c45c0696341be0efffe67d72a12abb","105.12.4.189","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67d95269b47464c18da766ca","687a1a965b9f5b85a264363e","689328d4c62e1d06e42c24e8","1","67d95269b47464c18da766ca","1","2025-08-06T10:14:54.223Z","","","","stress","{""Q01"":""0"",""Q02"":""5"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[12012,12958.800000011921,17298.100000023842]","[]","[9851.300000011921,11005.899999976158,12012,12958.800000011921,14231.899999976158,15305.199999988079,17298.100000023842,18748.399999976158]","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"215748","","","","instructions","9","788145","0.0-5.0-0.0","173","1","2025-08-06 10:05:16","36c45c0696341be0efffe67d72a12abb","105.12.4.189","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67d95269b47464c18da766ca","687a1a965b9f5b85a264363e","689328d4c62e1d06e42c24e8","1","67d95269b47464c18da766ca","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":215748}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
