"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"5326","1754481676040","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","5363","0.0-0.0","194","1","2025-08-06 12:00:46","36c45c0696341be0efffe67d72a12abb","105.4.4.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0","WebKit","Opera","120.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67e575f103799e89aacd209c","687a1a965b9f5b85a264363e","68933afa525bfd2bd32a3f62","1","67e575f103799e89aacd209c","1","2025-08-06T12:01:16.070Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"900","","","","fullscreen","1","7308","0.0-1.0","194","1","2025-08-06 12:00:46","36c45c0696341be0efffe67d72a12abb","105.4.4.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0","WebKit","Opera","120.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67e575f103799e89aacd209c","687a1a965b9f5b85a264363e","68933afa525bfd2bd32a3f62","1","67e575f103799e89aacd209c","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2140","1754481680170"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","9465","0.0-2.0","194","1","2025-08-06 12:00:46","36c45c0696341be0efffe67d72a12abb","105.4.4.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0","WebKit","Opera","120.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67e575f103799e89aacd209c","687a1a965b9f5b85a264363e","68933afa525bfd2bd32a3f62","1","67e575f103799e89aacd209c","1","2025-08-06T12:01:20.172Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3459","","","{""assigned_sex"":""female""}","survey-multi-choice","3","12931","0.0-3.0-0.0","194","1","2025-08-06 12:00:46","36c45c0696341be0efffe67d72a12abb","105.4.4.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0","WebKit","Opera","120.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67e575f103799e89aacd209c","687a1a965b9f5b85a264363e","68933afa525bfd2bd32a3f62","1","67e575f103799e89aacd209c","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4334","1754481687975","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","17271","0.0-4.0-0.0","194","1","2025-08-06 12:00:46","36c45c0696341be0efffe67d72a12abb","105.4.4.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0","WebKit","Opera","120.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67e575f103799e89aacd209c","687a1a965b9f5b85a264363e","68933afa525bfd2bd32a3f62","1","67e575f103799e89aacd209c","1","2025-08-06T12:01:27.978Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63248.19999999995","","","","survey-template","5","80541","0.0-4.0-1.0","194","1","2025-08-06 12:00:46","36c45c0696341be0efffe67d72a12abb","105.4.4.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0","WebKit","Opera","120.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67e575f103799e89aacd209c","687a1a965b9f5b85a264363e","68933afa525bfd2bd32a3f62","1","67e575f103799e89aacd209c","1","2025-08-06T12:02:31.248Z","","","","pss","{""Q01"":""3"",""Q02"":""4"",""Q03"":""4"",""Q04"":""2"",""Q05"":""3"",""Q06"":""3"",""Q07"":""0"",""Q08"":""2"",""Q09"":""3"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q03"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[6402.299999999814,13353.399999999907,18152.5,19062.5,19620.59999999986,24035.299999999814,32546.299999999814,36865.59999999986,44917.69999999995,53379.69999999995,58545.89999999991,61996.09999999986]","[]","[0.2999999998137355,5154.09999999986,6402.299999999814,11151.199999999953,13353.399999999907,15820.59999999986,18152.5,19062.5,19620.59999999986,24035.299999999814,29919.899999999907,32546.299999999814,36865.59999999986,44917.69999999995,53379.69999999995,58545.89999999991,61996.09999999986,63155.19999999995]","0.4","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3445","1754481754700","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","83999","0.0-4.0-2.0","194","1","2025-08-06 12:00:46","36c45c0696341be0efffe67d72a12abb","105.4.4.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0","WebKit","Opera","120.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67e575f103799e89aacd209c","687a1a965b9f5b85a264363e","68933afa525bfd2bd32a3f62","1","67e575f103799e89aacd209c","1","2025-08-06T12:02:34.708Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"148430.8999999999","","","","survey-template","7","232472","0.0-4.0-3.0","194","1","2025-08-06 12:00:46","36c45c0696341be0efffe67d72a12abb","105.4.4.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0","WebKit","Opera","120.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67e575f103799e89aacd209c","687a1a965b9f5b85a264363e","68933afa525bfd2bd32a3f62","1","67e575f103799e89aacd209c","1","2025-08-06T12:05:03.180Z","","","","drsp","{""Q01"":""2"",""Q02"":""3"",""Q03"":""0"",""Q04"":""1"",""Q05"":""2"",""Q06"":""3"",""Q07"":""2"",""Q08"":""3"",""Q09"":""4"",""Q10"":""0"",""Q11"":""1"",""Q12"":""2"",""Q13"":""5"",""Q14"":""0"",""Q15"":""1"",""Q16"":""2"",""Q17"":""2"",""Q18"":""2"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[8715.59999999986,11383.09999999986,13945.09999999986,17788.59999999986,21677.399999999907,26934.5,31120.09999999986,35091.89999999991,84733.30000000005,87501.3999999999,90646.09999999986,93866.09999999986,99397.5,110107.09999999986,118748.19999999995,124492.19999999995,127451.80000000005,133435.5,134751.80000000005,137492.5,138801.30000000005,140652.09999999986]","[]","[0.6999999999534339,7574.699999999953,8715.59999999986,11383.09999999986,13945.09999999986,15771.300000000047,17788.59999999986,21677.399999999907,26934.5,31120.09999999986,33653.80000000005,35091.89999999991,38106.09999999986,40172,84733.30000000005,87501.3999999999,90646.09999999986,93866.09999999986,99397.5,108681.59999999986,110107.09999999986,118748.19999999995,124492.19999999995,127451.80000000005,129980.30000000005,133435.5,134751.80000000005,136011.8999999999,137492.5,138801.30000000005,140652.09999999986,148411.80000000005]","0.3181818181818182","0.5714285714285714","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14837.800000000047","","","","survey-template","8","247315","0.0-4.0-4.0","194","1","2025-08-06 12:00:46","36c45c0696341be0efffe67d72a12abb","105.4.4.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0","WebKit","Opera","120.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67e575f103799e89aacd209c","687a1a965b9f5b85a264363e","68933afa525bfd2bd32a3f62","1","67e575f103799e89aacd209c","1","2025-08-06T12:05:18.022Z","","","","stress","{""Q01"":""2"",""Q02"":""4"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q03"",""Q02""]","[3969.8000000000466,9837.90000000014,12880.40000000014]","[]","[3969.8000000000466,6611.40000000014,9837.90000000014,12880.40000000014,14830.800000000047]","0.3333333333333333","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2325","","","","instructions","9","249643","0.0-5.0-0.0","194","1","2025-08-06 12:00:46","36c45c0696341be0efffe67d72a12abb","105.4.4.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0","WebKit","Opera","120.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67e575f103799e89aacd209c","687a1a965b9f5b85a264363e","68933afa525bfd2bd32a3f62","1","67e575f103799e89aacd209c","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2324}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
