"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"570470","1754497318843","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","570473","0.0-0.0","211","1","2025-08-06 16:12:21","36c45c0696341be0efffe67d72a12abb","162.251.248.35","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eab317b6f969b3df440160","6877649eabb845cf142cd221","68937ed002b16a259f33b85f","1","67eab317b6f969b3df440160","1","2025-08-06T16:21:58.844Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3646","","","","fullscreen","1","575136","0.0-1.0","211","1","2025-08-06 16:12:21","36c45c0696341be0efffe67d72a12abb","162.251.248.35","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eab317b6f969b3df440160","6877649eabb845cf142cd221","68937ed002b16a259f33b85f","1","67eab317b6f969b3df440160","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33348","1754497356859"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","608489","0.0-2.0","211","1","2025-08-06 16:12:21","36c45c0696341be0efffe67d72a12abb","162.251.248.35","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eab317b6f969b3df440160","6877649eabb845cf142cd221","68937ed002b16a259f33b85f","1","67eab317b6f969b3df440160","1","2025-08-06T16:22:36.860Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4638","","","{""assigned_sex"":""female""}","survey-multi-choice","3","613129","0.0-3.0-0.0","211","1","2025-08-06 16:12:21","36c45c0696341be0efffe67d72a12abb","162.251.248.35","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eab317b6f969b3df440160","6877649eabb845cf142cd221","68937ed002b16a259f33b85f","1","67eab317b6f969b3df440160","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6782","1754497368283","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","619912","0.0-4.0-0.0","211","1","2025-08-06 16:12:21","36c45c0696341be0efffe67d72a12abb","162.251.248.35","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eab317b6f969b3df440160","6877649eabb845cf142cd221","68937ed002b16a259f33b85f","1","67eab317b6f969b3df440160","1","2025-08-06T16:22:48.283Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"242287.10000002384","","","","survey-template","5","862203","0.0-4.0-1.0","211","1","2025-08-06 16:12:21","36c45c0696341be0efffe67d72a12abb","162.251.248.35","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eab317b6f969b3df440160","6877649eabb845cf142cd221","68937ed002b16a259f33b85f","1","67eab317b6f969b3df440160","1","2025-08-06T16:26:50.574Z","","","","pss","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2"",""Q04"":""1"",""Q05"":""1"",""Q06"":""2"",""Q07"":""1"",""Q08"":""2"",""Q09"":""1"",""Q10"":""1""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q07"",""Q08"",""Q09"",""Q10""]","[6997.700000047684,13821.800000011921,18453.400000035763,23421.600000023842,27469.600000023842,32045.700000047684,49125.60000002384,50213.700000047684,54549.60000002384,61765.700000047684,76757.60000002384]","[]","[0,6997.700000047684,13821.800000011921,18453.400000035763,22790.80000001192,23421.600000023842,27469.600000023842,32045.700000047684,48541.60000002384,49125.60000002384,49693.700000047684,50213.700000047684,54549.60000002384,61765.700000047684,75197.80000001192,76398.60000002384,76757.60000002384,242285.90000003576]","0.5","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4892","1754497615468","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","867097","0.0-4.0-2.0","211","1","2025-08-06 16:12:21","36c45c0696341be0efffe67d72a12abb","162.251.248.35","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eab317b6f969b3df440160","6877649eabb845cf142cd221","68937ed002b16a259f33b85f","1","67eab317b6f969b3df440160","1","2025-08-06T16:26:55.468Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75703.79999995232","","","","survey-template","7","942804","0.0-4.0-3.0","211","1","2025-08-06 16:12:21","36c45c0696341be0efffe67d72a12abb","162.251.248.35","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eab317b6f969b3df440160","6877649eabb845cf142cd221","68937ed002b16a259f33b85f","1","67eab317b6f969b3df440160","1","2025-08-06T16:28:11.175Z","","","","drsp","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""0"",""Q09"":""1"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""2"",""Q15"":""1"",""Q16"":""1"",""Q17"":""1"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[7685.299999952316,15869.599999964237,17237.099999964237,18389.299999952316,21037.5,24293.19999998808,25021.299999952316,26933,27821.099999964237,29429.19999998808,32269.099999964237,36621.19999998808,43694,45653.19999998808,49013.299999952316,51165.09999996424,54597,57141.09999996424,59717.09999996424,62101,64133.09999996424,70093.19999998808,71941,74845.09999996424]","[]","[0,7685.299999952316,9869.299999952316,15869.599999964237,16557.299999952316,17237.099999964237,18389.299999952316,21037.5,22494.5,24293.19999998808,25021.299999952316,26933,27821.099999964237,29429.19999998808,32269.099999964237,36621.19999998808,43109.39999997616,43694,45653.19999998808,49013.299999952316,51165.09999996424,54597,57141.09999996424,58749.299999952316,59717.09999996424,61701.299999952316,62101,64133.09999996424,70093.19999998808,71941,73757.39999997616,74845.09999996424,75701.29999995232]","0.5454545454545454","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21274.900000035763","","","","survey-template","8","964081","0.0-4.0-4.0","211","1","2025-08-06 16:12:21","36c45c0696341be0efffe67d72a12abb","162.251.248.35","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eab317b6f969b3df440160","6877649eabb845cf142cd221","68937ed002b16a259f33b85f","1","67eab317b6f969b3df440160","1","2025-08-06T16:28:32.452Z","","","","stress","{""Q01"":""0"",""Q02"":""2"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q02"",""Q02"",""Q03""]","[3802.400000035763,5154.300000011921,7954.400000035763,8938.400000035763,20322.30000001192]","[]","[3802.400000035763,5154.300000011921,7954.400000035763,8938.400000035763,20322.30000001192,21274.400000035763]","0.3333333333333333","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97806","","","","instructions","9","1061889","0.0-5.0-0.0","211","1","2025-08-06 16:12:21","36c45c0696341be0efffe67d72a12abb","162.251.248.35","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eab317b6f969b3df440160","6877649eabb845cf142cd221","68937ed002b16a259f33b85f","1","67eab317b6f969b3df440160","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":97806}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
