"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"17651","1754473566579","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","17657","0.0-0.0","171","1","2025-08-06 09:45:44","36c45c0696341be0efffe67d72a12abb","41.13.191.161","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6820e30a98ebaa472670fd3d","687a1a965b9f5b85a264363e","68932263b9759a16e7efdfb1","1","6820e30a98ebaa472670fd3d","1","2025-08-06T09:46:06.581Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1458","","","","fullscreen","1","20125","0.0-1.0","171","1","2025-08-06 09:45:44","36c45c0696341be0efffe67d72a12abb","41.13.191.161","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6820e30a98ebaa472670fd3d","687a1a965b9f5b85a264363e","68932263b9759a16e7efdfb1","1","6820e30a98ebaa472670fd3d","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2449","1754473571500"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","22576","0.0-2.0","171","1","2025-08-06 09:45:44","36c45c0696341be0efffe67d72a12abb","41.13.191.161","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6820e30a98ebaa472670fd3d","687a1a965b9f5b85a264363e","68932263b9759a16e7efdfb1","1","6820e30a98ebaa472670fd3d","1","2025-08-06T09:46:11.501Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3131","","","{""assigned_sex"":""female""}","survey-multi-choice","3","25711","0.0-3.0-0.0","171","1","2025-08-06 09:45:44","36c45c0696341be0efffe67d72a12abb","41.13.191.161","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6820e30a98ebaa472670fd3d","687a1a965b9f5b85a264363e","68932263b9759a16e7efdfb1","1","6820e30a98ebaa472670fd3d","1","","","[0]","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3706","1754473578342","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","29419","0.0-4.0-0.0","171","1","2025-08-06 09:45:44","36c45c0696341be0efffe67d72a12abb","41.13.191.161","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6820e30a98ebaa472670fd3d","687a1a965b9f5b85a264363e","68932263b9759a16e7efdfb1","1","6820e30a98ebaa472670fd3d","1","2025-08-06T09:46:18.344Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53867.30000000447","","","","survey-template","5","83295","0.0-4.0-1.0","171","1","2025-08-06 09:45:44","36c45c0696341be0efffe67d72a12abb","41.13.191.161","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6820e30a98ebaa472670fd3d","687a1a965b9f5b85a264363e","68932263b9759a16e7efdfb1","1","6820e30a98ebaa472670fd3d","1","2025-08-06T09:47:12.220Z","","","","pss","{""Q01"":""3"",""Q02"":""3"",""Q03"":""2"",""Q04"":""2"",""Q05"":""0"",""Q06"":""3"",""Q07"":""1"",""Q08"":""2"",""Q09"":""2"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[7168.80000000447,12958.60000000149,20982.70000000298,25306.5,29548.20000000298,32086.60000000149,34676.60000000149,40565,43618.60000000149,47018.70000000298,52964.30000000447]","[]","[0.30000000447034836,6104.5,7168.80000000447,12958.60000000149,17667.30000000447,18904.5,20982.70000000298,25306.5,29548.20000000298,31590.20000000298,32086.60000000149,34676.60000000149,39469,40565,43618.60000000149,47018.70000000298,48513.89999999851,52964.30000000447,53864.20000000298]","0.5","0.4444444444444444","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1580","1754473633802","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","84879","0.0-4.0-2.0","171","1","2025-08-06 09:45:44","36c45c0696341be0efffe67d72a12abb","41.13.191.161","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6820e30a98ebaa472670fd3d","687a1a965b9f5b85a264363e","68932263b9759a16e7efdfb1","1","6820e30a98ebaa472670fd3d","1","2025-08-06T09:47:13.803Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47093.60000000149","","","","survey-template","7","131981","0.0-4.0-3.0","171","1","2025-08-06 09:45:44","36c45c0696341be0efffe67d72a12abb","41.13.191.161","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6820e30a98ebaa472670fd3d","687a1a965b9f5b85a264363e","68932263b9759a16e7efdfb1","1","6820e30a98ebaa472670fd3d","1","2025-08-06T09:48:00.906Z","","","","drsp","{""Q01"":""4"",""Q02"":""3"",""Q03"":""3"",""Q04"":""4"",""Q05"":""4"",""Q06"":""4"",""Q07"":""3"",""Q08"":""4"",""Q09"":""4"",""Q10"":""4"",""Q11"":""4"",""Q12"":""4"",""Q13"":""3"",""Q14"":""3"",""Q15"":""3"",""Q16"":""4"",""Q17"":""4"",""Q18"":""3"",""Q19"":""3"",""Q20"":""4"",""Q21"":""4"",""Q22"":""4""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3836.2000000029802,6012.39999999851,7679.30000000447,9276.89999999851,12229.30000000447,13273.60000000149,16439.20000000298,17305.80000000447,18725.20000000298,19321.20000000298,23243.5,24232,27906.89999999851,32722,33894.10000000149,34615.39999999851,35423.30000000447,37106.20000000298,37853.10000000149,40522.89999999851,41278.20000000298,42540.39999999851]","[]","[0.10000000149011612,2893.7000000029802,3836.2000000029802,6012.39999999851,7679.30000000447,9276.89999999851,9873.30000000447,11095,12229.30000000447,13273.60000000149,15070.5,16439.20000000298,17305.80000000447,18725.20000000298,19321.20000000298,19992,21369,22226.89999999851,23243.5,24232,27054.20000000298,27906.89999999851,31155.5,32722,33894.10000000149,34615.39999999851,35423.30000000447,37106.20000000298,37853.10000000149,39299.39999999851,40522.89999999851,41278.20000000298,42540.39999999851,47085.80000000447]","0.6363636363636364","0.38095238095238093","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8184.4000000059605","","","","survey-template","8","140171","0.0-4.0-4.0","171","1","2025-08-06 09:45:44","36c45c0696341be0efffe67d72a12abb","41.13.191.161","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6820e30a98ebaa472670fd3d","687a1a965b9f5b85a264363e","68932263b9759a16e7efdfb1","1","6820e30a98ebaa472670fd3d","1","2025-08-06T09:48:09.095Z","","","","stress","{""Q01"":""4"",""Q02"":""1"",""Q03"":""4""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3567.10000000149,6123.30000000447,7219]","[]","[3567.10000000149,5110.9000000059605,6123.30000000447,7219,8183.10000000149]","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7829","","","","instructions","9","148002","0.0-5.0-0.0","171","1","2025-08-06 09:45:44","36c45c0696341be0efffe67d72a12abb","41.13.191.161","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","6820e30a98ebaa472670fd3d","687a1a965b9f5b85a264363e","68932263b9759a16e7efdfb1","1","6820e30a98ebaa472670fd3d","1","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":7828}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
