"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","prolific_id","week","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"2403","1752050323738","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2411","0.0-0.0","3","1","2025-07-09 08:38:39","01610cd0009c79a99da7d0a3353eb402","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683db7602f5db6a34d12d064","686e2a6a39f0de6b1cae885e","1","653a6a7224e6c0bfb644ff9b","1","2025-07-09T08:38:43.742Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11091","","","","fullscreen","1","14534","0.0-1.0","3","1","2025-07-09 08:38:39","01610cd0009c79a99da7d0a3353eb402","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683db7602f5db6a34d12d064","686e2a6a39f0de6b1cae885e","1","653a6a7224e6c0bfb644ff9b","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4392","1752050340259","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","18930","0.0-2.0-0.0","3","1","2025-07-09 08:38:39","01610cd0009c79a99da7d0a3353eb402","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683db7602f5db6a34d12d064","686e2a6a39f0de6b1cae885e","1","653a6a7224e6c0bfb644ff9b","1","2025-07-09T08:39:00.260Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96543.10000002384","","","","survey-template","3","115486","0.0-2.0-1.0","3","1","2025-07-09 08:38:39","01610cd0009c79a99da7d0a3353eb402","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683db7602f5db6a34d12d064","686e2a6a39f0de6b1cae885e","1","653a6a7224e6c0bfb644ff9b","1","2025-07-09T08:40:36.816Z","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""4"",""Q04"":""5"",""Q05"":""4"",""Q06"":""4"",""Q07"":""4"",""Q08"":""2"",""Q09"":""2"",""Q10"":""3"",""Q11"":""4"",""Q12"":""3"",""Q13"":""5"",""Q14"":""3"",""Q15"":""1"",""Q16"":""1"",""Q17"":""5"",""Q18"":""0"",""Q19"":""3"",""Q20"":""4"",""Q21"":""4"",""Q22"":""3""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3675.100000023842,5548.200000047684,10820.5,12133.399999976158,13971.399999976158,19798.399999976158,21995.899999976158,26151,31062.800000071526,34325.5,35878.200000047684,38030.800000071526,41856,44173.5,50144.300000071526,58521.5,60447.89999997616,65383.10000002384,74601.30000007153,83510.39999997616,88018.39999997616,91130.39999997616]","[]","[0.10000002384185791,3675.100000023842,5548.200000047684,9216.399999976158,10820.5,12133.399999976158,13971.399999976158,19798.399999976158,21995.899999976158,24952.100000023842,26151,31062.800000071526,33538.800000071526,34325.5,35878.200000047684,38030.800000071526,41856,44173.5,49394.10000002384,50144.300000071526,56353.39999997616,56915.700000047684,57680.5,58521.5,60447.89999997616,64005.200000047684,65383.10000002384,74055,74601.30000007153,83510.39999997616,88018.39999997616,89976,91130.39999997616,96536.5]","0.36363636363636365","0.42857142857142855","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18993.399999976158","","","","survey-template","4","134484","0.0-2.0-2.0","3","1","2025-07-09 08:38:39","01610cd0009c79a99da7d0a3353eb402","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683db7602f5db6a34d12d064","686e2a6a39f0de6b1cae885e","1","653a6a7224e6c0bfb644ff9b","1","2025-07-09T08:40:55.814Z","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""4""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[7802,8874.199999928474,16509.399999976158]","[]","[3667.5,7802,8874.199999928474,15571.299999952316,16509.399999976158,18991.299999952316]","0.6666666666666666","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23205","","","","instructions","5","157694","0.0-3.0-0.0","3","1","2025-07-09 08:38:39","01610cd0009c79a99da7d0a3353eb402","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683db7602f5db6a34d12d064","686e2a6a39f0de6b1cae885e","1","653a6a7224e6c0bfb644ff9b","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":23204}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4538","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","61","html-slider-response","6","162241","0.0-4.0-0.0","3","1","2025-07-09 08:38:39","01610cd0009c79a99da7d0a3353eb402","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683db7602f5db6a34d12d064","686e2a6a39f0de6b1cae885e","1","653a6a7224e6c0bfb644ff9b","1","2025-07-09T08:41:23.571Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4946","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","60","html-slider-response","7","167189","0.0-4.0-1.0","3","1","2025-07-09 08:38:39","01610cd0009c79a99da7d0a3353eb402","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683db7602f5db6a34d12d064","686e2a6a39f0de6b1cae885e","1","653a6a7224e6c0bfb644ff9b","1","2025-07-09T08:41:28.520Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7678","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","77","html-slider-response","8","174871","0.0-4.0-2.0","3","1","2025-07-09 08:38:39","01610cd0009c79a99da7d0a3353eb402","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683db7602f5db6a34d12d064","686e2a6a39f0de6b1cae885e","1","653a6a7224e6c0bfb644ff9b","1","2025-07-09T08:41:36.201Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","202262","0.0-5.0-0.0","3","1","2025-07-09 08:38:39","01610cd0009c79a99da7d0a3353eb402","105.216.70.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","653a6a7224e6c0bfb644ff9b","683db7602f5db6a34d12d064","686e2a6a39f0de6b1cae885e","1","653a6a7224e6c0bfb644ff9b","1","2025-07-09T08:42:03.592Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","177843.9","4130.4","9153.3","24363.5","1","4","8","6","1","1","1","1","0","0.007575757575757576","5022.8","3000","1150","[""down"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":5}","[298.22232142857143,297.12857142857143,15.4,298.22232142857143,297.12857142857143,101.5,298.22232142857143,297.12857142857143,202.3,298.22232142857143,297.12857142857143,305.2,298.22232142857143,297.12857142857143,414.7,298.22232142857143,297.12857142857143,515.4,298.22232142857143,297.12857142857143,619.6,298.22232142857143,297.12857142857143,719.8,298.22232142857143,297.12857142857143,824.4,298.22232142857143,297.12857142857143,928.1,298.22232142857143,297.12857142857143,1029.8,298.22232142857143,297.12857142857143,1129.8,298.22232142857143,297.12857142857143,1237.1,298.22232142857143,297.12857142857143,1339,298.22232142857143,297.12857142857143,1446.1,298.22232142857143,297.12857142857143,1546.1,298.22232142857143,297.12857142857143,1652.2,298.22232142857143,297.12857142857143,1757.8,298.22232142857143,297.12857142857143,1863.8,298.22232142857143,297.12857142857143,1973.7,298.22232142857143,297.12857142857143,2079.5,298.22232142857143,297.12857142857143,2188,298.22232142857143,297.12857142857143,2289.5,298.22232142857143,297.12857142857143,2394.8,298.22232142857143,297.12857142857143,2496.4,298.22232142857143,297.12857142857143,2611.9,298.22232142857143,297.12857142857143,2715.6,298.22232142857143,297.12857142857143,2819.8,298.22232142857143,297.12857142857143,2928.7,298.22232142857143,297.12857142857143,3030.7,298.22232142857143,297.12857142857143,3132.3,298.22232142857143,297.12857142857143,3237.8,298.22232142857143,297.12857142857143,3345.4,298.22232142857143,297.12857142857143,3449.5,298.22232142857143,297.12857142857143,3550,298.22232142857143,297.12857142857143,3652.2,298.22232142857143,297.12857142857143,3755.2,298.22232142857143,297.12857142857143,3855.4,298.22232142857143,297.12857142857143,3956.1,298.22232142857143,297.12857142857143,4062.3,298.22232142857143,297.12857142857143,4169.1,298.22232142857143,297.12857142857143,4273.1,298.22232142857143,297.12857142857143,4377,298.22232142857143,297.12857142857143,4479,298.22232142857143,297.12857142857143,4581.3,298.22232142857143,297.12857142857143,4682.4,298.22232142857143,297.12857142857143,4786.4,298.22232142857143,297.12857142857143,4894.6,298.22232142857143,297.12857142857143,4995.9]","[1528.5,1528.4,1000,0.1,528.4,""smooth"",""up"",""up"",""bad_move"",4198.5,2669.1,2202.7,1529.6,466.2,""smooth"",""down"",""down"",""good_move"",7323.9,3124.6,2594.7,4199.3,529.9,""smooth"",""down"",""down"",""good_move"",9641.7,2316.5,1733.8,7325.3,582.6,""smooth"",""right"",""right"",""good_move"",12362.5,2719.4,2340.3,9643.2,379.1,""smooth"",""down"",""down"",""good_move"",15092.9,2729.7,2343.8,12363.2,385.9,""smooth"",""right"",""right"",""good_move""]","",""
