"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","prolific_id","week","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"2405","1752050331214","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2407","0.0-0.0","4","1","2025-07-09 08:38:47","01610cd0009c79a99da7d0a3353eb402","94.134.108.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","683db7602f5db6a34d12d064","686e2a929983191f4d2a7875","1","646219bb0b91a6f3327e39fb","1","2025-07-09T08:38:51.215Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4869","","","","fullscreen","1","8280","0.0-1.0","4","1","2025-07-09 08:38:47","01610cd0009c79a99da7d0a3353eb402","94.134.108.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","683db7602f5db6a34d12d064","686e2a929983191f4d2a7875","1","646219bb0b91a6f3327e39fb","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1715","1752050338803","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","9996","0.0-2.0-0.0","4","1","2025-07-09 08:38:47","01610cd0009c79a99da7d0a3353eb402","94.134.108.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","683db7602f5db6a34d12d064","686e2a929983191f4d2a7875","1","646219bb0b91a6f3327e39fb","1","2025-07-09T08:38:58.804Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47544.200000047684","","","","survey-template","3","57543","0.0-2.0-1.0","4","1","2025-07-09 08:38:47","01610cd0009c79a99da7d0a3353eb402","94.134.108.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","683db7602f5db6a34d12d064","686e2a929983191f4d2a7875","1","646219bb0b91a6f3327e39fb","1","2025-07-09T08:39:46.351Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""0"",""Q04"":""2"",""Q05"":""3"",""Q06"":""0"",""Q07"":""2"",""Q08"":""1"",""Q09"":""3"",""Q10"":""3"",""Q11"":""3"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""2"",""Q16"":""3"",""Q17"":""1"",""Q18"":""1"",""Q19"":""3"",""Q20"":""3"",""Q21"":""3"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q16"",""Q17"",""Q18"",""Q19"",""Q19"",""Q20"",""Q21"",""Q22""]","[2445,3450.5,4508.600000023842,6173.799999952316,8367.700000047684,9980.899999976158,11426.5,15317.5,16970.200000047684,18274.299999952316,19676.100000023842,23278.600000023842,24448.600000023842,26350.200000047684,29706.200000047684,31101.899999976158,32478.399999976158,34780.89999997616,35618.200000047684,37580.799999952316,41074.89999997616,42107.5,44935,46887.89999997616]","[]","[0.10000002384185791,2445,3450.5,4508.600000023842,6173.799999952316,8367.700000047684,9980.899999976158,11426.5,13736,15317.5,16970.200000047684,18274.299999952316,19676.100000023842,22891.5,23278.600000023842,24448.600000023842,26350.200000047684,29706.200000047684,31101.899999976158,32094.399999976158,32478.399999976158,34780.89999997616,35618.200000047684,37580.799999952316,39368.799999952316,41074.89999997616,42107.5,44935,46887.89999997616,47540.799999952316]","0.36363636363636365","0.2857142857142857","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9086.200000047684","","","","survey-template","4","66630","0.0-2.0-2.0","4","1","2025-07-09 08:38:47","01610cd0009c79a99da7d0a3353eb402","94.134.108.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","683db7602f5db6a34d12d064","686e2a929983191f4d2a7875","1","646219bb0b91a6f3327e39fb","1","2025-07-09T08:39:55.439Z","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4704.899999976158,6393.399999976158,8301.5]","[]","[3489.7000000476837,4255.600000023842,4704.899999976158,6393.399999976158,7993.899999976158,8301.5,9085.5]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20391","","","","instructions","5","87022","0.0-3.0-0.0","4","1","2025-07-09 08:38:47","01610cd0009c79a99da7d0a3353eb402","94.134.108.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","683db7602f5db6a34d12d064","686e2a929983191f4d2a7875","1","646219bb0b91a6f3327e39fb","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":20391}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3525","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","61","html-slider-response","6","90549","0.0-4.0-0.0","4","1","2025-07-09 08:38:47","01610cd0009c79a99da7d0a3353eb402","94.134.108.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","683db7602f5db6a34d12d064","686e2a929983191f4d2a7875","1","646219bb0b91a6f3327e39fb","1","2025-07-09T08:40:19.358Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2699","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","38","html-slider-response","7","93249","0.0-4.0-1.0","4","1","2025-07-09 08:38:47","01610cd0009c79a99da7d0a3353eb402","94.134.108.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","683db7602f5db6a34d12d064","686e2a929983191f4d2a7875","1","646219bb0b91a6f3327e39fb","1","2025-07-09T08:40:22.058Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2176","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","34","html-slider-response","8","95426","0.0-4.0-2.0","4","1","2025-07-09 08:38:47","01610cd0009c79a99da7d0a3353eb402","94.134.108.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","683db7602f5db6a34d12d064","686e2a929983191f4d2a7875","1","646219bb0b91a6f3327e39fb","1","2025-07-09T08:40:24.234Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","119927","0.0-5.0-0.0","4","1","2025-07-09 08:38:47","01610cd0009c79a99da7d0a3353eb402","94.134.108.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","683db7602f5db6a34d12d064","686e2a929983191f4d2a7875","1","646219bb0b91a6f3327e39fb","1","2025-07-09T08:40:48.735Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","98042","1063.8","6066.5","21492.5","1","4","4","6","2","4","4","4","0","0.030303030303030304","1050.2","3000","1220","[""down"",""left""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":6}","[552.4285714285714,550.3348214285714,0.1,552.4285714285714,550.3348214285714,109.1,552.4285714285714,550.3348214285714,212,552.4285714285714,550.3348214285714,317.5,552.4285714285714,550.3348214285714,421.8,555.4285714285714,561.3348214285714,522.8,564.4285714285714,462.33482142857144,627,335.42857142857144,637.3348214285714,731.7,216.42857142857144,850.3348214285714,832,151.42857142857144,919.3348214285714,937,114.42857142857143,1009.3348214285714,1037.3,114.42857142857143,1013.3348214285714,1143.4,115.42857142857143,1011.3348214285714,1247.5,146.42857142857144,1012.3348214285714,1347.9,180.42857142857144,1023.3348214285714,1451,180.42857142857144,1023.3348214285714,1553.8,180.42857142857144,1023.3348214285714,1657.6,180.42857142857144,1023.3348214285714,1757.7,180.42857142857144,1023.3348214285714,1861.8,180.42857142857144,1023.3348214285714,1962.5,180.42857142857144,1023.3348214285714,2068.7,180.42857142857144,1023.3348214285714,2171.7,180.42857142857144,1023.3348214285714,2272.1,180.42857142857144,1023.3348214285714,2377.1,180.42857142857144,1023.3348214285714,2482.3,180.42857142857144,1023.3348214285714,2582.6,180.42857142857144,1023.3348214285714,2682.6,180.42857142857144,1023.3348214285714,2782.8,180.42857142857144,1023.3348214285714,2883.5,180.42857142857144,1023.3348214285714,2987.5,180.42857142857144,1023.3348214285714,3087.8,180.42857142857144,1023.3348214285714,3191.5,180.42857142857144,1023.3348214285714,3291.8,180.42857142857144,1023.3348214285714,3397.1,180.42857142857144,1023.3348214285714,3497.5,180.42857142857144,1023.3348214285714,3598,180.42857142857144,1023.3348214285714,3702.8,180.42857142857144,1023.3348214285714,3807,180.42857142857144,1023.3348214285714,3907.4,180.42857142857144,1023.3348214285714,4012.4,180.42857142857144,1023.3348214285714,4117.3,180.42857142857144,1023.3348214285714,4217.5,180.42857142857144,1023.3348214285714,4321.9,180.42857142857144,1023.3348214285714,4422.7,180.42857142857144,1023.3348214285714,4523.1,180.42857142857144,1023.3348214285714,4626.8,180.42857142857144,1023.3348214285714,4726.8,180.42857142857144,1023.3348214285714,4833,180.42857142857144,1023.3348214285714,4937.5]","[1325.6,1325.5,1000,0.1,325.5,""smooth"",""down"",""down"",""good_move"",4155.3,2829.4,2511.9,1325.9,317.5,""smooth"",""down"",""down"",""good_move"",7327.4,3171.9,2849.2,4155.5,322.7,""smooth"",""left"",""left"",""good_move"",10169.8,2842,2532.6,7327.8,309.4,""smooth"",""left"",""left"",""good_move"",12928.4,2758.3,2452.9,10170.1,305.4,""smooth"",""left"",""left"",""good_move"",15335.4,2406.7,2132.9,12928.7,273.8,""smooth"",""down"",""down"",""good_move""]","",""
