"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","prolific_id","week","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"8233","1752050354691","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","8238","0.0-0.0","7","1","2025-07-09 08:39:00","01610cd0009c79a99da7d0a3353eb402","41.13.191.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,xh;q=0.8","665f239f78bd39782ef04172","683db7602f5db6a34d12d064","686e2a76ca1cc66db849fefd","1","665f239f78bd39782ef04172","1","2025-07-09T08:39:14.693Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6613","","","","fullscreen","1","15866","0.0-1.0","7","1","2025-07-09 08:39:00","01610cd0009c79a99da7d0a3353eb402","41.13.191.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,xh;q=0.8","665f239f78bd39782ef04172","683db7602f5db6a34d12d064","686e2a76ca1cc66db849fefd","1","665f239f78bd39782ef04172","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46037","1752050408361","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","61907","0.0-2.0-0.0","7","1","2025-07-09 08:39:00","01610cd0009c79a99da7d0a3353eb402","41.13.191.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,xh;q=0.8","665f239f78bd39782ef04172","683db7602f5db6a34d12d064","686e2a76ca1cc66db849fefd","1","665f239f78bd39782ef04172","1","2025-07-09T08:40:08.362Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131905.09999999404","","","","survey-template","3","193829","0.0-2.0-1.0","7","1","2025-07-09 08:39:00","01610cd0009c79a99da7d0a3353eb402","41.13.191.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,xh;q=0.8","665f239f78bd39782ef04172","683db7602f5db6a34d12d064","686e2a76ca1cc66db849fefd","1","665f239f78bd39782ef04172","1","2025-07-09T08:42:20.284Z","","{""Q01"":""2"",""Q02"":""1"",""Q03"":""0"",""Q04"":""2"",""Q05"":""3"",""Q06"":""3"",""Q07"":""3"",""Q08"":""0"",""Q09"":""1"",""Q10"":""1"",""Q11"":""3"",""Q12"":""3"",""Q13"":""5"",""Q14"":""4"",""Q15"":""2"",""Q16"":""2"",""Q17"":""1"",""Q18"":""1"",""Q19"":""2"",""Q20"":""2"",""Q21"":""2"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[9363,14088.19999999553,19639,24379.29999999702,28051,34572.09999999404,42342.59999999404,47616.89999999851,51357.89999999851,54474.39999999851,56569.89999999851,60488.79999999702,65929.19999999553,74630.89999999851,78847.5,87422,94350.09999999404,101196.79999999702,103006,110552.19999999553,116960.39999999851,125983.5,130312.39999999851]","[]","[0.3999999985098839,9363,14088.19999999553,19639,24379.29999999702,28051,34572.09999999404,40711.5,42342.59999999404,47616.89999999851,51357.89999999851,54474.39999999851,56569.89999999851,60488.79999999702,65929.19999999553,74630.89999999851,78847.5,87422,94350.09999999404,101196.79999999702,103006,110552.19999999553,116960.39999999851,125983.5,130312.39999999851,131891.69999999553]","0.3181818181818182","0.38095238095238093","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19994.60000000149","","","","survey-template","4","213828","0.0-2.0-2.0","7","1","2025-07-09 08:39:00","01610cd0009c79a99da7d0a3353eb402","41.13.191.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,xh;q=0.8","665f239f78bd39782ef04172","683db7602f5db6a34d12d064","686e2a76ca1cc66db849fefd","1","665f239f78bd39782ef04172","1","2025-07-09T08:42:40.283Z","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q01"",""Q02"",""Q03""]","[6643,8480.60000000149,14043.10000000149,18393.80000000447]","[]","[6643,8480.60000000149,12895.5,14043.10000000149,18393.80000000447,19993.39999999851]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74550","","","","instructions","5","288381","0.0-3.0-0.0","7","1","2025-07-09 08:39:00","01610cd0009c79a99da7d0a3353eb402","41.13.191.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,xh;q=0.8","665f239f78bd39782ef04172","683db7602f5db6a34d12d064","686e2a76ca1cc66db849fefd","1","665f239f78bd39782ef04172","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":74550}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20214","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","83","html-slider-response","6","308607","0.0-4.0-0.0","7","1","2025-07-09 08:39:00","01610cd0009c79a99da7d0a3353eb402","41.13.191.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,xh;q=0.8","665f239f78bd39782ef04172","683db7602f5db6a34d12d064","686e2a76ca1cc66db849fefd","1","665f239f78bd39782ef04172","1","2025-07-09T08:44:15.062Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7988","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","90","html-slider-response","7","316597","0.0-4.0-1.0","7","1","2025-07-09 08:39:00","01610cd0009c79a99da7d0a3353eb402","41.13.191.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,xh;q=0.8","665f239f78bd39782ef04172","683db7602f5db6a34d12d064","686e2a76ca1cc66db849fefd","1","665f239f78bd39782ef04172","1","2025-07-09T08:44:23.052Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4319","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","8","320918","0.0-4.0-2.0","7","1","2025-07-09 08:39:00","01610cd0009c79a99da7d0a3353eb402","41.13.191.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,xh;q=0.8","665f239f78bd39782ef04172","683db7602f5db6a34d12d064","686e2a76ca1cc66db849fefd","1","665f239f78bd39782ef04172","1","2025-07-09T08:44:27.373Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","350544","0.0-5.0-0.0","7","1","2025-07-09 08:39:00","01610cd0009c79a99da7d0a3353eb402","41.13.191.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,xh;q=0.8","665f239f78bd39782ef04172","683db7602f5db6a34d12d064","686e2a76ca1cc66db849fefd","1","665f239f78bd39782ef04172","1","2025-07-09T08:44:56.999Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","325652.1","5129.9","10142.2","26607.3","1","4","4","6","2","4","4","4","0","0.030303030303030304","1484.3","3000","915","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":6}","[296.22232142857143,295.12857142857143,1.1,296.22232142857143,295.12857142857143,103.1,296.22232142857143,295.12857142857143,205.6,296.22232142857143,295.12857142857143,306.5,296.22232142857143,295.12857142857143,406.6,296.22232142857143,295.12857142857143,507.5,296.22232142857143,295.12857142857143,618.2,296.22232142857143,295.12857142857143,722.3,516.2223214285714,110.12857142857143,825.8,581.2223214285714,50.128571428571426,928.4,593.2223214285714,28.128571428571426,1030.3,583.2223214285714,30.128571428571426,1132.1,569.2223214285714,39.128571428571426,1240.8,558.2223214285714,48.128571428571426,1345.5,558.2223214285714,48.128571428571426,1457.4,558.2223214285714,48.128571428571426,1569.4,558.2223214285714,48.128571428571426,1672.8,558.2223214285714,48.128571428571426,1776.1,558.2223214285714,48.128571428571426,1876.1,558.2223214285714,48.128571428571426,1977,512.2223214285714,95.12857142857143,2091.4,449.22232142857143,166.12857142857143,2198.7,390.22232142857143,221.12857142857143,2307.8,341.22232142857143,268.12857142857143,2408,311.22232142857143,302.12857142857143,2512.6,296.22232142857143,321.12857142857143,2625.1,287.22232142857143,329.12857142857143,2726,282.22232142857143,334.12857142857143,2826.9,276.22232142857143,338.12857142857143,2938.8,276.22232142857143,338.12857142857143,3048.2,276.22232142857143,338.12857142857143,3148.7,278.22232142857143,338.12857142857143,3248.8,293.22232142857143,336.12857142857143,3360,306.22232142857143,337.12857142857143,3461.4,312.22232142857143,340.12857142857143,3568.5,312.22232142857143,340.12857142857143,3668.9,312.22232142857143,340.12857142857143,3769.1,312.22232142857143,340.12857142857143,3869.4,312.22232142857143,340.12857142857143,3975.6,312.22232142857143,340.12857142857143,4076.4,312.22232142857143,340.12857142857143,4177,312.22232142857143,340.12857142857143,4281.1,312.22232142857143,340.12857142857143,4391.5,312.22232142857143,340.12857142857143,4495.8,312.22232142857143,340.12857142857143,4597,312.22232142857143,340.12857142857143,4699.5,312.22232142857143,340.12857142857143,4808.2,312.22232142857143,340.12857142857143,4908.3]","[1546.4,1546.3,1000,0.2,546.3,""smooth"",""right"",""right"",""good_move"",4571,3022.4,2368.6,1548.6,653.8,""smooth"",""right"",""right"",""good_move"",7500.2,2928.1,2382,4572.3,545.9,""smooth"",""right"",""right"",""good_move"",10597.7,3096.5,2648,7501.2,448.5,""smooth"",""up"",""up"",""good_move"",13634.5,3035.2,2543.4,10599.3,491.8,""smooth"",""up"",""up"",""good_move"",16324.8,2688.8,2115.2,13636,573.6,""smooth"",""up"",""up"",""good_move""]","",""
