"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","prolific_id","week","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"20031","1752050379967","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","20034","0.0-0.0","8","1","2025-07-09 08:39:16","01610cd0009c79a99da7d0a3353eb402","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","683db7602f5db6a34d12d064","686e2a77392783fd0cf08e58","1","669c1e1fdb95a995eb1d3077","1","2025-07-09T08:39:39.968Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77991","","","","fullscreen","1","99043","0.0-1.0","8","1","2025-07-09 08:39:16","01610cd0009c79a99da7d0a3353eb402","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","683db7602f5db6a34d12d064","686e2a77392783fd0cf08e58","1","669c1e1fdb95a995eb1d3077","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8861","1752050467841","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","107907","0.0-2.0-0.0","8","1","2025-07-09 08:39:16","01610cd0009c79a99da7d0a3353eb402","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","683db7602f5db6a34d12d064","686e2a77392783fd0cf08e58","1","669c1e1fdb95a995eb1d3077","1","2025-07-09T08:41:07.842Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"138294.80000007153","","","","survey-template","3","246210","0.0-2.0-1.0","8","1","2025-07-09 08:39:16","01610cd0009c79a99da7d0a3353eb402","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","683db7602f5db6a34d12d064","686e2a77392783fd0cf08e58","1","669c1e1fdb95a995eb1d3077","1","2025-07-09T08:43:26.144Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""1"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""1"",""Q13"":""5"",""Q14"":""1"",""Q15"":""0"",""Q16"":""0"",""Q17"":""2"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q04"",""Q03"",""Q05"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[43834.60000002384,44623.40000009537,49077.700000047684,49728.800000071526,53172.90000009537,56743.60000002384,60314.800000071526,63682.40000009537,68697.80000007153,72128.10000002384,76899.5,79493.5,83547.90000009537,87147.60000002384,91229.60000002384,95943.5,100042.80000007153,103394.60000002384,105801.30000007153,111055.70000004768,127535.5,131573.5,136430.70000004768]","[]","[0.10000002384185791,40458.60000002384,42345.60000002384,43044.60000002384,43834.60000002384,44623.40000009537,46886.90000009537,49077.700000047684,49728.800000071526,53172.90000009537,55946.800000071526,56743.60000002384,59667.40000009537,60314.800000071526,63150.5,63682.40000009537,66569.80000007153,67238.5,68133.60000002384,68697.80000007153,71486.40000009537,72128.10000002384,75230.80000007153,76899.5,79493.5,83547.90000009537,86658.90000009537,87147.60000002384,91229.60000002384,95943.5,100042.80000007153,103394.60000002384,105801.30000007153,111055.70000004768,126325.80000007153,127535.5,130656,131573.5,135573.90000009537,136430.70000004768,138287.5]","0.7727272727272727","0.19047619047619047","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43076.39999997616","","","","survey-template","4","289289","0.0-2.0-2.0","8","1","2025-07-09 08:39:16","01610cd0009c79a99da7d0a3353eb402","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","683db7602f5db6a34d12d064","686e2a77392783fd0cf08e58","1","669c1e1fdb95a995eb1d3077","1","2025-07-09T08:44:09.223Z","","{""Q01"":""0"",""Q02"":""2"",""Q03"":""0""}","[0,1,2]","[""Q02"",""Q02"",""Q03"",""Q01""]","[10993.199999928474,15716,32240.199999928474,40871]","[]","[5242.099999904633,10993.199999928474,14189.599999904633,14790.199999928474,15716,32240.199999928474,40871,43075.39999997616]","0.6666666666666666","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75244","","","","instructions","5","364534","0.0-3.0-0.0","8","1","2025-07-09 08:39:16","01610cd0009c79a99da7d0a3353eb402","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","683db7602f5db6a34d12d064","686e2a77392783fd0cf08e58","1","669c1e1fdb95a995eb1d3077","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":75244}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53818","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","99","html-slider-response","6","418355","0.0-4.0-0.0","8","1","2025-07-09 08:39:16","01610cd0009c79a99da7d0a3353eb402","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","683db7602f5db6a34d12d064","686e2a77392783fd0cf08e58","1","669c1e1fdb95a995eb1d3077","1","2025-07-09T08:46:18.289Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10373","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","100","html-slider-response","7","428729","0.0-4.0-1.0","8","1","2025-07-09 08:39:16","01610cd0009c79a99da7d0a3353eb402","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","683db7602f5db6a34d12d064","686e2a77392783fd0cf08e58","1","669c1e1fdb95a995eb1d3077","1","2025-07-09T08:46:28.664Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16510","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","8","445241","0.0-4.0-2.0","8","1","2025-07-09 08:39:16","01610cd0009c79a99da7d0a3353eb402","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","683db7602f5db6a34d12d064","686e2a77392783fd0cf08e58","1","669c1e1fdb95a995eb1d3077","1","2025-07-09T08:46:45.175Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","478285","0.0-5.0-0.0","8","1","2025-07-09 08:39:16","01610cd0009c79a99da7d0a3353eb402","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","683db7602f5db6a34d12d064","686e2a77392783fd0cf08e58","1","669c1e1fdb95a995eb1d3077","1","2025-07-09T08:47:18.220Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","451080","2734.8","7741.1","30034.9","1","4","8","6","2","8","8","8","0","0.06060606060606061","983.2","3000","1100","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":6}","[300.22232142857143,295.12857142857143,0.4,300.22232142857143,295.12857142857143,105.1,301.22232142857143,293.12857142857143,205.2,303.22232142857143,284.12857142857143,305.4,347.22232142857143,204.12857142857143,413.7,484.22232142857143,70.12857142857143,516.1,511.22232142857143,43.128571428571426,617.1,519.2223214285714,43.128571428571426,725.7,534.2223214285714,54.128571428571426,841.5,540.2223214285714,54.128571428571426,946.9,543.2223214285714,56.128571428571426,1048.2,544.2223214285714,58.128571428571426,1155,503.22232142857143,101.12857142857143,1255.2,393.22232142857143,194.12857142857143,1357,336.22232142857143,287.12857142857143,1461.9,333.22232142857143,317.12857142857143,1563.8,345.22232142857143,331.12857142857143,1668.4,349.22232142857143,338.12857142857143,1773.2,349.22232142857143,343.12857142857143,1875,349.22232142857143,344.12857142857143,1975.3,349.22232142857143,344.12857142857143,2075.7,349.22232142857143,344.12857142857143,2175.7,349.22232142857143,344.12857142857143,2275.8,349.22232142857143,344.12857142857143,2379,349.22232142857143,344.12857142857143,2479.6,349.22232142857143,344.12857142857143,2579.9,349.22232142857143,344.12857142857143,2685.4,349.22232142857143,344.12857142857143,2785.7,349.22232142857143,344.12857142857143,2886.4,349.22232142857143,344.12857142857143,2988.8,349.22232142857143,344.12857142857143,3097.4,349.22232142857143,344.12857142857143,3214.8,349.22232142857143,344.12857142857143,3325,349.22232142857143,344.12857142857143,3428.3,349.22232142857143,344.12857142857143,3528.6,349.22232142857143,344.12857142857143,3635.3,349.22232142857143,344.12857142857143,3745.6,349.22232142857143,344.12857142857143,3846.6,349.22232142857143,344.12857142857143,3958.6,349.22232142857143,344.12857142857143,4064,349.22232142857143,344.12857142857143,4175,349.22232142857143,344.12857142857143,4275.2,349.22232142857143,344.12857142857143,4375.3,349.22232142857143,344.12857142857143,4478.2,349.22232142857143,344.12857142857143,4583.2,349.22232142857143,344.12857142857143,4685.4,349.22232142857143,344.12857142857143,4785.4,349.22232142857143,344.12857142857143,4885.9,349.22232142857143,344.12857142857143,4986.4]","[5420.7,5420.8,2979.8,2007.9,433.2,""smooth"",""right"",""right"",""good_move"",9365,3942.7,3470.2,5422.3,472.5,""smooth"",""right"",""right"",""good_move"",12357.2,2991.4,2482.5,9365.8,508.9,""smooth"",""up"",""up"",""good_move"",15261.6,2901.8,2403.4,12359.8,498.4,""smooth"",""up"",""up"",""good_move"",18223.2,2960.5,2445.5,15262.8,514.9,""smooth"",""up"",""up"",""good_move"",22183.1,3958.5,3496.4,18224.6,462.1,""smooth"",""right"",""right"",""good_move""]","",""
