"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","prolific_id","week","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"2106","1752050375184","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2109","0.0-0.0","10","1","2025-07-09 08:39:30","01610cd0009c79a99da7d0a3353eb402","2.84.221.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,bg-BG;q=0.8,bg;q=0.7,en-US;q=0.6","615d8873c11a1982c8838b54","683db7602f5db6a34d12d064","686e2ab8e764ff0a5cf1aa86","1","615d8873c11a1982c8838b54","1","2025-07-09T08:39:35.185Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19269","","","","fullscreen","1","22398","0.0-1.0","10","1","2025-07-09 08:39:30","01610cd0009c79a99da7d0a3353eb402","2.84.221.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,bg-BG;q=0.8,bg;q=0.7,en-US;q=0.6","615d8873c11a1982c8838b54","683db7602f5db6a34d12d064","686e2ab8e764ff0a5cf1aa86","1","615d8873c11a1982c8838b54","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6425","1752050401900","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","28825","0.0-2.0-0.0","10","1","2025-07-09 08:39:30","01610cd0009c79a99da7d0a3353eb402","2.84.221.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,bg-BG;q=0.8,bg;q=0.7,en-US;q=0.6","615d8873c11a1982c8838b54","683db7602f5db6a34d12d064","686e2ab8e764ff0a5cf1aa86","1","615d8873c11a1982c8838b54","1","2025-07-09T08:40:01.901Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89122.09999996424","","","","survey-template","3","117956","0.0-2.0-1.0","10","1","2025-07-09 08:39:30","01610cd0009c79a99da7d0a3353eb402","2.84.221.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,bg-BG;q=0.8,bg;q=0.7,en-US;q=0.6","615d8873c11a1982c8838b54","683db7602f5db6a34d12d064","686e2ab8e764ff0a5cf1aa86","1","615d8873c11a1982c8838b54","1","2025-07-09T08:41:31.032Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""0"",""Q04"":""1"",""Q05"":""2"",""Q06"":""1"",""Q07"":""2"",""Q08"":""0"",""Q09"":""2"",""Q10"":""2"",""Q11"":""3"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""3"",""Q16"":""2"",""Q17"":""3"",""Q18"":""1"",""Q19"":""2"",""Q20"":""2"",""Q21"":""2"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22"",""Q03""]","[5021.099999964237,6210.800000011921,9995.5,12875.699999988079,15822.099999964237,20668.30000001192,23420.5,26869.30000001192,29471.19999998808,31836.69999998808,35473.39999997616,37940.59999996424,40569.30000001192,45174,50309.80000001192,52494.89999997616,55966.09999996424,61963.80000001192,68959.89999997616,75863.59999996424,79803.69999998808,86465.19999998808]","[]","[0.09999996423721313,5021.099999964237,6210.800000011921,7849,9995.5,12875.699999988079,15822.099999964237,20668.30000001192,23420.5,26869.30000001192,29471.19999998808,31836.69999998808,35473.39999997616,37940.59999996424,40569.30000001192,45174,50309.80000001192,52494.89999997616,55966.09999996424,61963.80000001192,68959.89999997616,75863.59999996424,79803.69999998808,81683,86465.19999998808,89119.69999998808]","0.36363636363636365","0.5238095238095238","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16742.200000047684","","","","survey-template","4","134700","0.0-2.0-2.0","10","1","2025-07-09 08:39:30","01610cd0009c79a99da7d0a3353eb402","2.84.221.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,bg-BG;q=0.8,bg;q=0.7,en-US;q=0.6","615d8873c11a1982c8838b54","683db7602f5db6a34d12d064","686e2ab8e764ff0a5cf1aa86","1","615d8873c11a1982c8838b54","1","2025-07-09T08:41:47.776Z","","{""Q01"":""1"",""Q02"":""2"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4584.600000023842,11288.600000023842,15239.200000047684]","[]","[4584.600000023842,11288.600000023842,15239.200000047684,16741.600000023842]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66226","","","","instructions","5","200928","0.0-3.0-0.0","10","1","2025-07-09 08:39:30","01610cd0009c79a99da7d0a3353eb402","2.84.221.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,bg-BG;q=0.8,bg;q=0.7,en-US;q=0.6","615d8873c11a1982c8838b54","683db7602f5db6a34d12d064","686e2ab8e764ff0a5cf1aa86","1","615d8873c11a1982c8838b54","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":66226}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5830","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","100","html-slider-response","6","206761","0.0-4.0-0.0","10","1","2025-07-09 08:39:30","01610cd0009c79a99da7d0a3353eb402","2.84.221.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,bg-BG;q=0.8,bg;q=0.7,en-US;q=0.6","615d8873c11a1982c8838b54","683db7602f5db6a34d12d064","686e2ab8e764ff0a5cf1aa86","1","615d8873c11a1982c8838b54","1","2025-07-09T08:42:59.837Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5426","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","81","html-slider-response","7","212187","0.0-4.0-1.0","10","1","2025-07-09 08:39:30","01610cd0009c79a99da7d0a3353eb402","2.84.221.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,bg-BG;q=0.8,bg;q=0.7,en-US;q=0.6","615d8873c11a1982c8838b54","683db7602f5db6a34d12d064","686e2ab8e764ff0a5cf1aa86","1","615d8873c11a1982c8838b54","1","2025-07-09T08:43:05.263Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9344","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","20","html-slider-response","8","221532","0.0-4.0-2.0","10","1","2025-07-09 08:39:30","01610cd0009c79a99da7d0a3353eb402","2.84.221.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,bg-BG;q=0.8,bg;q=0.7,en-US;q=0.6","615d8873c11a1982c8838b54","683db7602f5db6a34d12d064","686e2ab8e764ff0a5cf1aa86","1","615d8873c11a1982c8838b54","1","2025-07-09T08:43:14.608Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","255890","0.0-5.0-0.0","10","1","2025-07-09 08:39:30","01610cd0009c79a99da7d0a3353eb402","2.84.221.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,bg-BG;q=0.8,bg;q=0.7,en-US;q=0.6","615d8873c11a1982c8838b54","683db7602f5db6a34d12d064","686e2ab8e764ff0a5cf1aa86","1","615d8873c11a1982c8838b54","1","2025-07-09T08:43:48.966Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","224387.7","4234.6","9236.1","31350.3","1","4","4","6","2","4","4","4","0","0.030303030303030304","918.4","3000","1140","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":2,""num_good_moves"":6}","[421.57142857142856,419.47767857142856,0.3,421.57142857142856,419.47767857142856,101.5,421.57142857142856,419.47767857142856,201.6,424.57142857142856,419.47767857142856,302.3,629.5714285714286,211.47767857142856,406.4,584.5714285714286,146.47767857142856,506.7,963.5714285714286,-13.52232142857143,611.8,913.5714285714286,13.47767857142857,719.2,777.5714285714286,75.47767857142857,822.2,769.5714285714286,78.47767857142857,926.6,768.5714285714286,78.47767857142857,1027,768.5714285714286,78.47767857142857,1135.9,768.5714285714286,78.47767857142857,1241.4,768.5714285714286,78.47767857142857,1352.1,768.5714285714286,78.47767857142857,1457.3,768.5714285714286,78.47767857142857,1561.7,768.5714285714286,78.47767857142857,1667.8,768.5714285714286,78.47767857142857,1771.2,768.5714285714286,78.47767857142857,1872,768.5714285714286,78.47767857142857,1977.6,768.5714285714286,78.47767857142857,2084.6,768.5714285714286,78.47767857142857,2186.1,768.5714285714286,78.47767857142857,2286.6,768.5714285714286,78.47767857142857,2386.8,768.5714285714286,78.47767857142857,2491.6,768.5714285714286,78.47767857142857,2591.8,768.5714285714286,78.47767857142857,2691.9,768.5714285714286,78.47767857142857,2801.6,768.5714285714286,78.47767857142857,2905.8,768.5714285714286,78.47767857142857,3006.8,768.5714285714286,78.47767857142857,3110.9,768.5714285714286,78.47767857142857,3211.5,768.5714285714286,78.47767857142857,3312.3,768.5714285714286,78.47767857142857,3418.7,768.5714285714286,78.47767857142857,3521.4,768.5714285714286,78.47767857142857,3626.1,768.5714285714286,78.47767857142857,3726.9,768.5714285714286,78.47767857142857,3835.3,768.5714285714286,78.47767857142857,3935.9,768.5714285714286,78.47767857142857,4036.4,768.5714285714286,78.47767857142857,4141.2,768.5714285714286,78.47767857142857,4241.2,768.5714285714286,78.47767857142857,4341.3,768.5714285714286,78.47767857142857,4441.6,768.5714285714286,78.47767857142857,4541.9,768.5714285714286,78.47767857142857,4651.1,768.5714285714286,78.47767857142857,4751.1,768.5714285714286,78.47767857142857,4851.9,768.5714285714286,78.47767857142857,4957.1]","[1381.2,1381.3,1000,0,381.3,""smooth"",""right"",""right"",""good_move"",2906.8,1525.2,1179.5,1381.6,345.7,""smooth"",""right"",""right"",""good_move"",9502.1,6595.1,2894.9,6316.1,291.1,""smooth"",""up"",""up"",""good_move"",11594.8,2092.4,1766.8,9502.4,325.6,""smooth"",""up"",""up"",""good_move"",18901,7306,2637.1,15919.6,344.3,""smooth"",""up"",""up"",""good_move"",22002.6,3101.4,2782.3,18901.2,319.1,""smooth"",""right"",""right"",""good_move""]","",""
