"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","prolific_id","week","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"9287","1752050464464","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","9297","0.0-0.0","12","1","2025-07-09 08:40:32","01610cd0009c79a99da7d0a3353eb402","102.128.184.38","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683db7602f5db6a34d12d064","686e2aa38dcec367932a78cf","1","66952367721687887540318f","1","2025-07-09T08:41:04.469Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21976","","","","fullscreen","1","32299","0.0-1.0","12","1","2025-07-09 08:40:32","01610cd0009c79a99da7d0a3353eb402","102.128.184.38","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683db7602f5db6a34d12d064","686e2aa38dcec367932a78cf","1","66952367721687887540318f","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2429","1752050489903","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","34734","0.0-2.0-0.0","12","1","2025-07-09 08:40:32","01610cd0009c79a99da7d0a3353eb402","102.128.184.38","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683db7602f5db6a34d12d064","686e2aa38dcec367932a78cf","1","66952367721687887540318f","1","2025-07-09T08:41:29.905Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101945.3999999999","","","","survey-template","3","136765","0.0-2.0-1.0","12","1","2025-07-09 08:40:32","01610cd0009c79a99da7d0a3353eb402","102.128.184.38","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683db7602f5db6a34d12d064","686e2aa38dcec367932a78cf","1","66952367721687887540318f","1","2025-07-09T08:43:11.937Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""0"",""Q04"":""3"",""Q05"":""3"",""Q06"":""2"",""Q07"":""2"",""Q08"":""0"",""Q09"":""4"",""Q10"":""1"",""Q11"":""1"",""Q12"":""5"",""Q13"":""5"",""Q14"":""1"",""Q15"":""5"",""Q16"":""0"",""Q17"":""1"",""Q18"":""1"",""Q19"":""2"",""Q20"":""1"",""Q21"":""1"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q19"",""Q20"",""Q21"",""Q22""]","[9795,11305.399999999907,14297.200000000186,16080.899999999907,20257.100000000093,22881.399999999907,25193.600000000093,30721.30000000028,41570.60000000009,45194.30000000028,46865.80000000028,50418.30000000028,53411.200000000186,53490.30000000028,55498.30000000028,60026.80000000028,62506.700000000186,73234.5,74882.8999999999,82138.5,86690.80000000028,94515.30000000028,98323.5,99739.70000000019]","[]","[0.3000000002793968,6448.100000000093,9795,11305.399999999907,14297.200000000186,16080.899999999907,20257.100000000093,22881.399999999907,25193.600000000093,28770,30721.30000000028,41570.60000000009,45194.30000000028,46865.80000000028,50418.30000000028,53411.200000000186,53490.30000000028,55498.30000000028,60026.80000000028,62506.700000000186,73234.5,74882.8999999999,82138.5,85115.8999999999,86690.80000000028,94515.30000000028,96723.8999999999,98323.5,99739.70000000019,101917]","0.4090909090909091","0.3333333333333333","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13753.299999999814","","","","survey-template","4","150581","0.0-2.0-2.0","12","1","2025-07-09 08:40:32","01610cd0009c79a99da7d0a3353eb402","102.128.184.38","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683db7602f5db6a34d12d064","686e2aa38dcec367932a78cf","1","66952367721687887540318f","1","2025-07-09T08:43:25.753Z","","{""Q01"":""2"",""Q02"":""1"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q02"",""Q03""]","[3949.7999999998137,6590.899999999907,9461.299999999814,11430.19999999972]","[]","[3949.7999999998137,6590.899999999907,9461.299999999814,11430.19999999972,13750.099999999627]","0.3333333333333333","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5081","","","","instructions","5","155667","0.0-3.0-0.0","12","1","2025-07-09 08:40:32","01610cd0009c79a99da7d0a3353eb402","102.128.184.38","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683db7602f5db6a34d12d064","686e2aa38dcec367932a78cf","1","66952367721687887540318f","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":5080}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82946","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","100","html-slider-response","6","238631","0.0-4.0-0.0","12","1","2025-07-09 08:40:32","01610cd0009c79a99da7d0a3353eb402","102.128.184.38","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683db7602f5db6a34d12d064","686e2aa38dcec367932a78cf","1","66952367721687887540318f","1","2025-07-09T08:44:53.803Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146735","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","94","html-slider-response","7","385380","0.0-4.0-1.0","12","1","2025-07-09 08:40:32","01610cd0009c79a99da7d0a3353eb402","102.128.184.38","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683db7602f5db6a34d12d064","686e2aa38dcec367932a78cf","1","66952367721687887540318f","1","2025-07-09T08:47:20.553Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5366","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","92","html-slider-response","8","390760","0.0-4.0-2.0","12","1","2025-07-09 08:40:32","01610cd0009c79a99da7d0a3353eb402","102.128.184.38","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683db7602f5db6a34d12d064","686e2aa38dcec367932a78cf","1","66952367721687887540318f","1","2025-07-09T08:47:25.932Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","435121","0.0-5.0-0.0","12","1","2025-07-09 08:40:32","01610cd0009c79a99da7d0a3353eb402","102.128.184.38","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683db7602f5db6a34d12d064","686e2aa38dcec367932a78cf","1","66952367721687887540318f","1","2025-07-09T08:48:10.293Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","413423.9","5990.5","10994.8","41259.6","1","4","4","6","2","4","4","4","0","0.030303030303030304","2643.7","3000","890","[""down"",""left""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":4,""num_good_moves"":6}","[295.22232142857143,298.12857142857143,1.3,295.22232142857143,298.12857142857143,109.2,295.22232142857143,298.12857142857143,216.1,295.22232142857143,298.12857142857143,317.2,295.22232142857143,298.12857142857143,418.4,295.22232142857143,298.12857142857143,526.7,295.22232142857143,298.12857142857143,627.4,295.22232142857143,298.12857142857143,732.7,295.22232142857143,298.12857142857143,841.4,295.22232142857143,298.12857142857143,948.8,295.22232142857143,298.12857142857143,1049.8,295.22232142857143,298.12857142857143,1151.2,295.22232142857143,298.12857142857143,1251.7,295.22232142857143,298.12857142857143,1363.3,295.22232142857143,298.12857142857143,1467.2,295.22232142857143,298.12857142857143,1576.5,295.22232142857143,298.12857142857143,1677.1,269.22232142857143,377.12857142857143,1778.1,154.22232142857143,538.1285714285714,1882.3,130.22232142857143,559.1285714285714,1982.6,105.22232142857143,567.1285714285714,2083,72.22232142857143,572.1285714285714,2190.2,66.22232142857143,571.1285714285714,2291.1,64.22232142857143,570.1285714285714,2405.4,63.222321428571426,568.1285714285714,2507.6,63.222321428571426,568.1285714285714,2619.7,63.222321428571426,568.1285714285714,2720.4,63.222321428571426,568.1285714285714,2824.4,63.222321428571426,568.1285714285714,2931.8,63.222321428571426,568.1285714285714,3031.9,63.222321428571426,568.1285714285714,3132.3,63.222321428571426,568.1285714285714,3234,-5.777678571428574,562.1285714285714,3337.8,-88.77767857142857,527.1285714285714,3444.4,-95.77767857142857,519.1285714285714,3545.5,-100.77767857142857,514.1285714285714,3649.2,-100.77767857142857,514.1285714285714,3752.2,-100.77767857142857,514.1285714285714,3870,-100.77767857142857,514.1285714285714,3988.4,-100.77767857142857,514.1285714285714,4100.8,-100.77767857142857,514.1285714285714,4202.9,-100.77767857142857,514.1285714285714,4303.1,-100.77767857142857,514.1285714285714,4410.7,-100.77767857142857,514.1285714285714,4512.4,-100.77767857142857,514.1285714285714,4622.7,-100.77767857142857,514.1285714285714,4726.7,-100.77767857142857,514.1285714285714,4831.3,-100.77767857142857,514.1285714285714,4931.8]","[1680.7,1680.5,1000,0.2,680.5,""smooth"",""left"",""left"",""good_move"",17508.7,15825.7,2731.1,14227.6,550,""smooth"",""left"",""left"",""good_move"",20407,2896.2,2379.6,17510.8,516.6,""smooth"",""left"",""left"",""good_move"",23870.4,3461.9,2893.2,20408.6,568.6,""smooth"",""down"",""down"",""good_move"",26961.7,3090.1,2678.2,23871.7,411.9,""smooth"",""down"",""down"",""good_move"",30117.9,3154.4,2751,26963.6,403.3,""smooth"",""down"",""down"",""good_move""]","",""
