"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","prolific_id","week","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"4031","1752051025939","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","5508","0.0-0.0","19","1","2025-07-09 08:49:59","01610cd0009c79a99da7d0a3353eb402","41.145.194.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","683db7602f5db6a34d12d064","686e2ce6dc8a53743a2e9c69","1","5f3287b83428cb05746e2214","1","2025-07-09T08:50:25.943Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11583","","","","fullscreen","1","18126","0.0-1.0","19","1","2025-07-09 08:49:59","01610cd0009c79a99da7d0a3353eb402","41.145.194.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","683db7602f5db6a34d12d064","686e2ce6dc8a53743a2e9c69","1","5f3287b83428cb05746e2214","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2797","1752051041366","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","20933","0.0-2.0-0.0","19","1","2025-07-09 08:49:59","01610cd0009c79a99da7d0a3353eb402","41.145.194.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","683db7602f5db6a34d12d064","686e2ce6dc8a53743a2e9c69","1","5f3287b83428cb05746e2214","1","2025-07-09T08:50:41.369Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54490.90000003576","","","","survey-template","3","75447","0.0-2.0-1.0","19","1","2025-07-09 08:49:59","01610cd0009c79a99da7d0a3353eb402","41.145.194.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","683db7602f5db6a34d12d064","686e2ce6dc8a53743a2e9c69","1","5f3287b83428cb05746e2214","1","2025-07-09T08:51:35.883Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q19"",""Q21"",""Q22""]","[2368.7000000476837,3463.100000023842,4615.900000035763,5673.400000035763,6788.400000035763,7903.5,9057.600000023842,10268.300000011921,16470,17795.400000035763,19131.200000047684,20246.400000035763,22332.200000047684,28118.400000035763,29175.600000023842,30617.5,34808.5,35961.60000002384,39781,41209.30000001192,44467.60000002384,50100.60000002384,51871.10000002384]","[]","[0.800000011920929,2368.7000000476837,3463.100000023842,4615.900000035763,5673.400000035763,6788.400000035763,7903.5,9057.600000023842,10268.300000011921,16470,17795.400000035763,19131.200000047684,20246.400000035763,22332.200000047684,28118.400000035763,29175.600000023842,30617.5,34808.5,35961.60000002384,39781,41209.30000001192,44467.60000002384,50100.60000002384,51871.10000002384,54388.30000001192]","0.9545454545454546","0.09523809523809523","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6419.100000023842","","","","survey-template","4","81874","0.0-2.0-2.0","19","1","2025-07-09 08:49:59","01610cd0009c79a99da7d0a3353eb402","41.145.194.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","683db7602f5db6a34d12d064","686e2ce6dc8a53743a2e9c69","1","5f3287b83428cb05746e2214","1","2025-07-09T08:51:42.310Z","","{""Q01"":""0"",""Q02"":""5"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2910.600000023842,4100.800000011921,5245.300000011921]","[]","[2910.600000023842,4100.800000011921,5245.300000011921,6416.600000023842]","1","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7517","","","","instructions","5","89397","0.0-3.0-0.0","19","1","2025-07-09 08:49:59","01610cd0009c79a99da7d0a3353eb402","41.145.194.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","683db7602f5db6a34d12d064","686e2ce6dc8a53743a2e9c69","1","5f3287b83428cb05746e2214","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":7516}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10060","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","100","html-slider-response","6","99665","0.0-4.0-0.0","19","1","2025-07-09 08:49:59","01610cd0009c79a99da7d0a3353eb402","41.145.194.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","683db7602f5db6a34d12d064","686e2ce6dc8a53743a2e9c69","1","5f3287b83428cb05746e2214","1","2025-07-09T08:52:00.100Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6808","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","84","html-slider-response","7","106478","0.0-4.0-1.0","19","1","2025-07-09 08:49:59","01610cd0009c79a99da7d0a3353eb402","41.145.194.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","683db7602f5db6a34d12d064","686e2ce6dc8a53743a2e9c69","1","5f3287b83428cb05746e2214","1","2025-07-09T08:52:06.913Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4436","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","8","110919","0.0-4.0-2.0","19","1","2025-07-09 08:49:59","01610cd0009c79a99da7d0a3353eb402","41.145.194.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","683db7602f5db6a34d12d064","686e2ce6dc8a53743a2e9c69","1","5f3287b83428cb05746e2214","1","2025-07-09T08:52:11.354Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","153745","0.0-5.0-0.0","19","1","2025-07-09 08:49:59","01610cd0009c79a99da7d0a3353eb402","41.145.194.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","683db7602f5db6a34d12d064","686e2ce6dc8a53743a2e9c69","1","5f3287b83428cb05746e2214","1","2025-07-09T08:52:54.180Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","132742.5","5273.1","12050.6","39604.2","1","4","4","6","2","4","3","3","0","0.022727272727272728","1481.6","3000","635","[""down"",""right""]","{""num_key_presses"":7,""num_perfect"":6,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":2,""num_good_moves"":6}","[295.22232142857143,303.12857142857143,50.7,295.22232142857143,303.12857142857143,125,295.22232142857143,303.12857142857143,228.1,295.22232142857143,303.12857142857143,330.3,295.22232142857143,303.12857142857143,436.8,295.22232142857143,303.12857142857143,543.9,295.22232142857143,303.12857142857143,649.9,392.22232142857143,393.12857142857143,756.2,491.22232142857143,542.1285714285714,882.8,511.22232142857143,559.1285714285714,986.8,519.2223214285714,562.1285714285714,1102.1,526.2223214285714,562.1285714285714,1210.2,526.2223214285714,562.1285714285714,1313,526.2223214285714,562.1285714285714,1420.6,526.2223214285714,562.1285714285714,1525.9,526.2223214285714,562.1285714285714,1631.6,526.2223214285714,562.1285714285714,1742.6,526.2223214285714,562.1285714285714,1843.3,526.2223214285714,562.1285714285714,1948.8,526.2223214285714,562.1285714285714,2066.1,526.2223214285714,562.1285714285714,2175.3,526.2223214285714,562.1285714285714,2275.6,526.2223214285714,562.1285714285714,2590.4,526.2223214285714,562.1285714285714,2690.9,526.2223214285714,562.1285714285714,2797.2,526.2223214285714,562.1285714285714,2903.9,526.2223214285714,562.1285714285714,3010,526.2223214285714,562.1285714285714,3110.8,526.2223214285714,562.1285714285714,3213,526.2223214285714,562.1285714285714,3325.5,526.2223214285714,562.1285714285714,3432.4,526.2223214285714,562.1285714285714,3537.3,526.2223214285714,562.1285714285714,3637.8,526.2223214285714,562.1285714285714,3774.1,526.2223214285714,562.1285714285714,3880.7,526.2223214285714,562.1285714285714,3983.3,526.2223214285714,562.1285714285714,4088.2,526.2223214285714,562.1285714285714,4191.5,526.2223214285714,562.1285714285714,4291.5,526.2223214285714,562.1285714285714,4398.4,526.2223214285714,562.1285714285714,4498.6,526.2223214285714,562.1285714285714,4604.1,526.2223214285714,562.1285714285714,4706.5,526.2223214285714,562.1285714285714,4809.7]","[54.5,53.9,1000,0.6,-946.1,""error"",""-"",""-"",""no_move"",11671.3,11615.3,2516.8,8566.2,588.3,""smooth"",""down"",""down"",""good_move"",14942.5,3268.8,2726,11673.8,542.8,""smooth"",""down"",""down"",""good_move"",18433.5,3489.3,2958.3,14944.4,530.8,""smooth"",""down"",""down"",""good_move"",21267.6,2832.3,2326.7,18435.6,505.4,""smooth"",""right"",""right"",""good_move"",24069.2,2799.3,2246.4,21270,552.9,""smooth"",""right"",""right"",""good_move"",27326.5,3254.2,2097.7,24072.3,1156.5,""smooth"",""right"",""right"",""good_move""]","",""
