"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","prolific_id","week","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"1212","1752053282727","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","1215","0.0-0.0","23","1","2025-07-09 09:28:01","01610cd0009c79a99da7d0a3353eb402","212.159.106.248","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d8e154af2858200171fdb95","683db7602f5db6a34d12d064","686e361bf46cda1e90dee8bb","1","5d8e154af2858200171fdb95","1","2025-07-09T09:28:02.729Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1170","","","","fullscreen","1","3403","0.0-1.0","23","1","2025-07-09 09:28:01","01610cd0009c79a99da7d0a3353eb402","212.159.106.248","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d8e154af2858200171fdb95","683db7602f5db6a34d12d064","686e361bf46cda1e90dee8bb","1","5d8e154af2858200171fdb95","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1384","1752053286300","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","4788","0.0-2.0-0.0","23","1","2025-07-09 09:28:01","01610cd0009c79a99da7d0a3353eb402","212.159.106.248","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d8e154af2858200171fdb95","683db7602f5db6a34d12d064","686e361bf46cda1e90dee8bb","1","5d8e154af2858200171fdb95","1","2025-07-09T09:28:06.301Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31613","","","","survey-template","3","36409","0.0-2.0-1.0","23","1","2025-07-09 09:28:01","01610cd0009c79a99da7d0a3353eb402","212.159.106.248","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d8e154af2858200171fdb95","683db7602f5db6a34d12d064","686e361bf46cda1e90dee8bb","1","5d8e154af2858200171fdb95","1","2025-07-09T09:28:37.922Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""1"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""1"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q07"",""Q05"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q13"",""Q14"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22"",""Q06""]","[2481.0999999940395,2699.6999999955297,2883.39999999851,3050.2999999970198,3197.89999999851,3666.2999999970198,4482.0999999940395,6019.0999999940395,6366.69999999553,8135,8721.89999999851,9939.5,10219.5,12627.39999999851,13726.79999999702,14193.5,15160.69999999553,15362.29999999702,15544.39999999851,15730.5,15911,19030.09999999404,19266,19648.79999999702,26474.29999999702]","[]","[0.29999999701976776,2481.0999999940395,2699.6999999955297,2883.39999999851,3050.2999999970198,3197.89999999851,3348.39999999851,3515.6999999955297,3666.2999999970198,4482.0999999940395,4766.69999999553,6019.0999999940395,6366.69999999553,6550.39999999851,6715.5999999940395,6880.19999999553,7048.39999999851,8135,8721.89999999851,9939.5,10219.5,12627.39999999851,13726.79999999702,14193.5,15160.69999999553,15362.29999999702,15544.39999999851,15730.5,15911,19030.09999999404,19266,19648.79999999702,23521.39999999851,26474.29999999702,31606.59999999404]","0.8636363636363636","0.19047619047619047","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4763.29999999702","","","","survey-template","4","41176","0.0-2.0-2.0","23","1","2025-07-09 09:28:01","01610cd0009c79a99da7d0a3353eb402","212.159.106.248","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d8e154af2858200171fdb95","683db7602f5db6a34d12d064","686e361bf46cda1e90dee8bb","1","5d8e154af2858200171fdb95","1","2025-07-09T09:28:42.689Z","","{""Q01"":""1"",""Q02"":""5"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2704.10000000149,2925.2999999970198,3843.5]","[]","[2704.10000000149,2925.2999999970198,3125,3843.5,4762.29999999702]","0.6666666666666666","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26247","","","","instructions","5","67424","0.0-3.0-0.0","23","1","2025-07-09 09:28:01","01610cd0009c79a99da7d0a3353eb402","212.159.106.248","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d8e154af2858200171fdb95","683db7602f5db6a34d12d064","686e361bf46cda1e90dee8bb","1","5d8e154af2858200171fdb95","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":26247}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4087","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","58","html-slider-response","6","71514","0.0-4.0-0.0","23","1","2025-07-09 09:28:01","01610cd0009c79a99da7d0a3353eb402","212.159.106.248","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d8e154af2858200171fdb95","683db7602f5db6a34d12d064","686e361bf46cda1e90dee8bb","1","5d8e154af2858200171fdb95","1","2025-07-09T09:29:13.028Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2799","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","48","html-slider-response","7","74315","0.0-4.0-1.0","23","1","2025-07-09 09:28:01","01610cd0009c79a99da7d0a3353eb402","212.159.106.248","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d8e154af2858200171fdb95","683db7602f5db6a34d12d064","686e361bf46cda1e90dee8bb","1","5d8e154af2858200171fdb95","1","2025-07-09T09:29:15.829Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3093","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","80","html-slider-response","8","77411","0.0-4.0-2.0","23","1","2025-07-09 09:28:01","01610cd0009c79a99da7d0a3353eb402","212.159.106.248","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d8e154af2858200171fdb95","683db7602f5db6a34d12d064","686e361bf46cda1e90dee8bb","1","5d8e154af2858200171fdb95","1","2025-07-09T09:29:18.924Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","101737","0.0-5.0-0.0","23","1","2025-07-09 09:28:01","01610cd0009c79a99da7d0a3353eb402","212.159.106.248","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d8e154af2858200171fdb95","683db7602f5db6a34d12d064","686e361bf46cda1e90dee8bb","1","5d8e154af2858200171fdb95","1","2025-07-09T09:29:43.251Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","78680.8","1906.5","6911.8","21319.8","1","4","8","6","2","8","8","8","0","0.06060606060606061","730.6","3000","1190","[""down"",""left""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":6}","[398.9683035714286,399.8745535714286,0.2,398.9683035714286,399.8745535714286,101.5,398.9683035714286,399.8745535714286,204.8,398.9683035714286,399.8745535714286,310.8,419.9683035714286,394.8745535714286,410.9,124.96830357142856,675.8745535714286,511.6,51.968303571428564,735.8745535714286,615.1,38.968303571428564,740.8745535714286,715.6,37.968303571428564,740.8745535714286,815.9,37.968303571428564,740.8745535714286,919.4,37.968303571428564,740.8745535714286,1020.3,110.96830357142856,715.8745535714286,1128.8,110.96830357142856,715.8745535714286,1229.6,110.96830357142856,715.8745535714286,1334.6,110.96830357142856,715.8745535714286,1434.6,110.96830357142856,715.8745535714286,1535.7,110.96830357142856,715.8745535714286,1635.9,110.96830357142856,715.8745535714286,1745.7,110.96830357142856,715.8745535714286,1849.4,110.96830357142856,715.8745535714286,1954.3,110.96830357142856,715.8745535714286,2054.4,110.96830357142856,715.8745535714286,2155.1,110.96830357142856,715.8745535714286,2261.8,110.96830357142856,715.8745535714286,2364.7,110.96830357142856,715.8745535714286,2470,110.96830357142856,715.8745535714286,2578.1,110.96830357142856,715.8745535714286,2678.7,110.96830357142856,715.8745535714286,2779.2,110.96830357142856,715.8745535714286,2879.2,110.96830357142856,715.8745535714286,2984.9,110.96830357142856,715.8745535714286,3095,110.96830357142856,715.8745535714286,3199.1,110.96830357142856,715.8745535714286,3300,110.96830357142856,715.8745535714286,3405.2,110.96830357142856,715.8745535714286,3511.8,110.96830357142856,715.8745535714286,3615.5,110.96830357142856,715.8745535714286,3715.9,110.96830357142856,715.8745535714286,3819.5,110.96830357142856,715.8745535714286,3920.1,110.96830357142856,715.8745535714286,4025.1,110.96830357142856,715.8745535714286,4128,110.96830357142856,715.8745535714286,4228.6,110.96830357142856,715.8745535714286,4329.1,110.96830357142856,715.8745535714286,4429.7,110.96830357142856,715.8745535714286,4535.1,110.96830357142856,715.8745535714286,4645.1,110.96830357142856,715.8745535714286,4745.5,110.96830357142856,715.8745535714286,4849.4,110.96830357142856,715.8745535714286,4954.5]","[1324.6,1324.5,1000,0.1,324.5,""smooth"",""left"",""left"",""good_move"",3843.8,2518.5,2155.1,1325.3,363.4,""smooth"",""down"",""down"",""good_move"",6645.5,2801.3,2460.9,3844.2,340.5,""smooth"",""left"",""left"",""good_move"",9729.4,3083.4,2720.2,6646,363.2,""smooth"",""down"",""down"",""good_move"",12029.3,2299.5,1929.3,9729.8,370.2,""smooth"",""left"",""left"",""good_move"",14306.1,2276.3,1971.2,12029.9,305.1,""smooth"",""down"",""down"",""good_move""]","",""
