"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","prolific_id","week","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"3264","1752056348326","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3265","0.0-0.0","25","1","2025-07-09 10:19:04","01610cd0009c79a99da7d0a3353eb402","188.146.154.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","66a16e0b41e98cb469f12b0b","683db7602f5db6a34d12d064","686e41fe79f4a32726c2309f","1","66a16e0b41e98cb469f12b0b","1","2025-07-09T10:19:08.326Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1887","","","","fullscreen","1","6168","0.0-1.0","25","1","2025-07-09 10:19:04","01610cd0009c79a99da7d0a3353eb402","188.146.154.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","66a16e0b41e98cb469f12b0b","683db7602f5db6a34d12d064","686e41fe79f4a32726c2309f","1","66a16e0b41e98cb469f12b0b","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3348","1752056354577","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","9516","0.0-2.0-0.0","25","1","2025-07-09 10:19:04","01610cd0009c79a99da7d0a3353eb402","188.146.154.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","66a16e0b41e98cb469f12b0b","683db7602f5db6a34d12d064","686e41fe79f4a32726c2309f","1","66a16e0b41e98cb469f12b0b","1","2025-07-09T10:19:14.578Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51111.30000001192","","","","survey-template","3","60631","0.0-2.0-1.0","25","1","2025-07-09 10:19:04","01610cd0009c79a99da7d0a3353eb402","188.146.154.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","66a16e0b41e98cb469f12b0b","683db7602f5db6a34d12d064","686e41fe79f4a32726c2309f","1","66a16e0b41e98cb469f12b0b","1","2025-07-09T10:20:05.692Z","","{""Q01"":""2"",""Q02"":""1"",""Q03"":""3"",""Q04"":""3"",""Q05"":""2"",""Q06"":""3"",""Q07"":""2"",""Q08"":""1"",""Q09"":""3"",""Q10"":""3"",""Q11"":""3"",""Q12"":""3"",""Q13"":""5"",""Q14"":""2"",""Q15"":""2"",""Q16"":""2"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q08"",""Q07"",""Q06"",""Q05"",""Q03"",""Q04"",""Q02"",""Q01"",""Q12"",""Q11"",""Q10"",""Q09"",""Q18"",""Q17"",""Q16"",""Q15"",""Q14"",""Q13"",""Q22"",""Q22"",""Q21"",""Q20"",""Q19""]","[4184.600000023842,6217.600000023842,7339.300000011921,8562.200000047684,11841.400000035763,12702.600000023842,15678.700000047684,16640.200000047684,20150.30000001192,21765.200000047684,22971.5,24705.700000047684,26951.900000035763,28352.200000047684,30743.200000047684,32483.700000047684,34236.200000047684,37003.60000002384,41762,42700.5,45223.5,46196.90000003576,47847.90000003576]","[]","[0.10000002384185791,3328.5,4184.600000023842,6217.600000023842,7339.300000011921,8562.200000047684,9607.200000047684,10746.300000011921,11258.700000047684,11841.400000035763,12702.600000023842,14529,14993.5,15678.700000047684,16640.200000047684,20150.30000001192,21765.200000047684,22971.5,24705.700000047684,26951.900000035763,28352.200000047684,29626.80000001192,30386.900000035763,30743.200000047684,32483.700000047684,34236.200000047684,36509.90000003576,37003.60000002384,41762,42700.5,43701.30000001192,44830.200000047684,45223.5,46196.90000003576,47847.90000003576,51108.30000001192]","0.3181818181818182","0.23809523809523808","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12990.699999988079","","","","survey-template","4","73623","0.0-2.0-2.0","25","1","2025-07-09 10:19:04","01610cd0009c79a99da7d0a3353eb402","188.146.154.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","66a16e0b41e98cb469f12b0b","683db7602f5db6a34d12d064","686e41fe79f4a32726c2309f","1","66a16e0b41e98cb469f12b0b","1","2025-07-09T10:20:18.684Z","","{""Q01"":""1"",""Q02"":""2"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4273.900000035763,5802.100000023842,11009.300000011921]","[]","[3283.100000023842,4273.900000035763,5353.600000023842,5802.100000023842,11009.300000011921,12990.199999988079]","0.6666666666666666","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7991","","","","instructions","5","81615","0.0-3.0-0.0","25","1","2025-07-09 10:19:04","01610cd0009c79a99da7d0a3353eb402","188.146.154.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","66a16e0b41e98cb469f12b0b","683db7602f5db6a34d12d064","686e41fe79f4a32726c2309f","1","66a16e0b41e98cb469f12b0b","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":7991}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3421","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","44","html-slider-response","6","85037","0.0-4.0-0.0","25","1","2025-07-09 10:19:04","01610cd0009c79a99da7d0a3353eb402","188.146.154.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","66a16e0b41e98cb469f12b0b","683db7602f5db6a34d12d064","686e41fe79f4a32726c2309f","1","66a16e0b41e98cb469f12b0b","1","2025-07-09T10:20:30.098Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2897","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","31","html-slider-response","7","87935","0.0-4.0-1.0","25","1","2025-07-09 10:19:04","01610cd0009c79a99da7d0a3353eb402","188.146.154.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","66a16e0b41e98cb469f12b0b","683db7602f5db6a34d12d064","686e41fe79f4a32726c2309f","1","66a16e0b41e98cb469f12b0b","1","2025-07-09T10:20:32.996Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3121","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","59","html-slider-response","8","91057","0.0-4.0-2.0","25","1","2025-07-09 10:19:04","01610cd0009c79a99da7d0a3353eb402","188.146.154.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","66a16e0b41e98cb469f12b0b","683db7602f5db6a34d12d064","686e41fe79f4a32726c2309f","1","66a16e0b41e98cb469f12b0b","1","2025-07-09T10:20:36.118Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","120102","0.0-5.0-0.0","25","1","2025-07-09 10:19:04","01610cd0009c79a99da7d0a3353eb402","188.146.154.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pl-PL,pl;q=0.9,en-US;q=0.8,en;q=0.7","66a16e0b41e98cb469f12b0b","683db7602f5db6a34d12d064","686e41fe79f4a32726c2309f","1","66a16e0b41e98cb469f12b0b","1","2025-07-09T10:21:05.163Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","92653.7","2375.2","7377.1","26038.2","1","4","8","6","1","1","0","0","0","0","921.6","3000","885","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":5,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":1,""num_blue"":2,""num_good_moves"":5}","[562.3881982245919,563.5318887401033,0.2,562.3881982245919,563.5318887401033,100.4,562.3881982245919,563.5318887401033,201.3,562.3881982245919,563.5318887401033,305.3,739.488202063131,411.73188544992695,405.6,832.9882040896889,327.0318836141039,510.6,966.0882069745537,175.23188032392753,610.9,1069.4882092156884,24.531877057592993,711,1067.2882091680046,26.73187710527671,811,1063.988209096479,28.931877152960425,911.8,1061.7882090487954,30.031877176802283,1016.6,1061.7882090487954,30.031877176802283,1121.2,1061.7882090487954,30.031877176802283,1226.5,1061.7882090487954,30.031877176802283,1330.3,1028.7882083335396,160.93188001398337,1430.8,1025.488208262014,212.6318811345507,1531.9,1025.488208262014,212.6318811345507,1635.9,1025.488208262014,212.6318811345507,1740.8,1025.488208262014,212.6318811345507,1841.8,1025.488208262014,212.6318811345507,1945.5,1025.488208262014,212.6318811345507,2050.3,1025.488208262014,212.6318811345507,2150.4,1025.488208262014,212.6318811345507,2250.4,1025.488208262014,212.6318811345507,2350.9,1033.188208428907,237.93188168291343,2455.1,1033.188208428907,239.03188170675529,2555.2,1034.288208452749,243.43188180212272,2656.4,1034.288208452749,251.13188196901572,2760.8,1034.288208452749,251.13188196901572,2861.1,1034.288208452749,251.13188196901572,2965.8,1034.288208452749,251.13188196901572,3070.3,1034.288208452749,252.23188199285758,3171.4,1034.288208452749,252.23188199285758,3271.8,1034.288208452749,252.23188199285758,3376.4,1034.288208452749,252.23188199285758,3481,1034.288208452749,252.23188199285758,3585.8,1034.288208452749,252.23188199285758,3690.3,1034.288208452749,252.23188199285758,3796.1,1034.288208452749,252.23188199285758,3900.1,1034.288208452749,252.23188199285758,4000.7,1034.288208452749,252.23188199285758,4105.7,1034.288208452749,252.23188199285758,4210.5,1034.288208452749,252.23188199285758,4311.5,1034.288208452749,252.23188199285758,4415.5,1034.288208452749,252.23188199285758,4515.8,1034.288208452749,252.23188199285758,4620.5,1034.288208452749,252.23188199285758,4721,1034.288208452749,252.23188199285758,4825.3,1034.288208452749,252.23188199285758,4925.3]","[4295.9,4295.9,1865.6,2004.6,425.7,""smooth"",""up"",""up"",""good_move"",6782.4,2486.2,2095.2,4296.2,391,""smooth"",""up"",""up"",""good_move"",9631,2848.4,2456.3,6782.6,392.1,""while_blue"",""right"",""down"",""bad_move"",12677.7,3046.4,2538.6,9631.3,507.8,""smooth"",""up"",""up"",""good_move"",16102.3,3424.2,2994.3,12678.1,429.9,""smooth"",""right"",""right"",""good_move"",18550.4,2447.9,2059,16102.5,388.9,""smooth"",""right"",""right"",""good_move""]","",""
