"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","prolific_id","week","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"71902","1752059185318","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","71904","0.0-0.0","28","1","2025-07-09 11:05:11","01610cd0009c79a99da7d0a3353eb402","76.221.209.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de;q=0.8,zh-TW;q=0.7,zh-CN;q=0.6,zh;q=0.5","5d617ba9364f9a0019f1dac3","683db7602f5db6a34d12d064","686e4c08dd5ccc6b99cd6be4","1","5d617ba9364f9a0019f1dac3","1","2025-07-09T11:06:25.319Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2895","","","","fullscreen","1","75804","0.0-1.0","28","1","2025-07-09 11:05:11","01610cd0009c79a99da7d0a3353eb402","76.221.209.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de;q=0.8,zh-TW;q=0.7,zh-CN;q=0.6,zh;q=0.5","5d617ba9364f9a0019f1dac3","683db7602f5db6a34d12d064","686e4c08dd5ccc6b99cd6be4","1","5d617ba9364f9a0019f1dac3","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1448","1752059190668","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","77253","0.0-2.0-0.0","28","1","2025-07-09 11:05:11","01610cd0009c79a99da7d0a3353eb402","76.221.209.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de;q=0.8,zh-TW;q=0.7,zh-CN;q=0.6,zh;q=0.5","5d617ba9364f9a0019f1dac3","683db7602f5db6a34d12d064","686e4c08dd5ccc6b99cd6be4","1","5d617ba9364f9a0019f1dac3","1","2025-07-09T11:06:30.668Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59918.79999998212","","","","survey-template","3","137175","0.0-2.0-1.0","28","1","2025-07-09 11:05:11","01610cd0009c79a99da7d0a3353eb402","76.221.209.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de;q=0.8,zh-TW;q=0.7,zh-CN;q=0.6,zh;q=0.5","5d617ba9364f9a0019f1dac3","683db7602f5db6a34d12d064","686e4c08dd5ccc6b99cd6be4","1","5d617ba9364f9a0019f1dac3","1","2025-07-09T11:07:30.590Z","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""2"",""Q04"":""3"",""Q05"":""1"",""Q06"":""1"",""Q07"":""2"",""Q08"":""0"",""Q09"":""4"",""Q10"":""3"",""Q11"":""5"",""Q12"":""1"",""Q13"":""5"",""Q14"":""1"",""Q15"":""0"",""Q16"":""5"",""Q17"":""3"",""Q18"":""0"",""Q19"":""1"",""Q20"":""3"",""Q21"":""3"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q20"",""Q21"",""Q22"",""Q19""]","[2498,3725.899999976158,5347.5999999940395,6368.699999988079,8217.399999976158,9816.399999976158,10824.399999976158,12033.899999976158,17210,18386.5,19579.899999976158,21392,24411.899999976158,32322.5,34838.19999998808,36248.5,37728.29999998212,39472.79999998212,50061.59999999404,53771.5,54887.89999997616,58910.5]","[]","[1.7999999821186066,2498,3725.899999976158,5347.5999999940395,6368.699999988079,8217.399999976158,9816.399999976158,10824.399999976158,12033.899999976158,13441.799999982119,14082,17210,18386.5,19579.899999976158,21392,23092.19999998808,23480.09999999404,23884.19999998808,24411.899999976158,32322.5,34290.29999998212,34838.19999998808,35783.69999998808,36248.5,37728.29999998212,39472.79999998212,41500.89999997616,50061.59999999404,53283.69999998808,53771.5,54887.89999997616,56411.69999998808,58910.5,59915.09999999404]","0.3181818181818182","0.3333333333333333","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6786.5","","","","survey-template","4","143963","0.0-2.0-2.0","28","1","2025-07-09 11:05:11","01610cd0009c79a99da7d0a3353eb402","76.221.209.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de;q=0.8,zh-TW;q=0.7,zh-CN;q=0.6,zh;q=0.5","5d617ba9364f9a0019f1dac3","683db7602f5db6a34d12d064","686e4c08dd5ccc6b99cd6be4","1","5d617ba9364f9a0019f1dac3","1","2025-07-09T11:07:37.378Z","","{""Q01"":""4"",""Q02"":""5"",""Q03"":""4""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2824.600000023842,3841.100000023842,6235]","[]","[2824.600000023842,3841.100000023842,4896.700000017881,5496.9000000059605,5860.200000017881,6235,6786]","0.6666666666666666","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41713","","","","instructions","5","185676","0.0-3.0-0.0","28","1","2025-07-09 11:05:11","01610cd0009c79a99da7d0a3353eb402","76.221.209.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de;q=0.8,zh-TW;q=0.7,zh-CN;q=0.6,zh;q=0.5","5d617ba9364f9a0019f1dac3","683db7602f5db6a34d12d064","686e4c08dd5ccc6b99cd6be4","1","5d617ba9364f9a0019f1dac3","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":41712}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7605","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","0","html-slider-response","6","193286","0.0-4.0-0.0","28","1","2025-07-09 11:05:11","01610cd0009c79a99da7d0a3353eb402","76.221.209.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de;q=0.8,zh-TW;q=0.7,zh-CN;q=0.6,zh;q=0.5","5d617ba9364f9a0019f1dac3","683db7602f5db6a34d12d064","686e4c08dd5ccc6b99cd6be4","1","5d617ba9364f9a0019f1dac3","1","2025-07-09T11:08:26.701Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13467","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","0","html-slider-response","7","206755","0.0-4.0-1.0","28","1","2025-07-09 11:05:11","01610cd0009c79a99da7d0a3353eb402","76.221.209.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de;q=0.8,zh-TW;q=0.7,zh-CN;q=0.6,zh;q=0.5","5d617ba9364f9a0019f1dac3","683db7602f5db6a34d12d064","686e4c08dd5ccc6b99cd6be4","1","5d617ba9364f9a0019f1dac3","1","2025-07-09T11:08:40.170Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2695","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","5","html-slider-response","8","209451","0.0-4.0-2.0","28","1","2025-07-09 11:05:11","01610cd0009c79a99da7d0a3353eb402","76.221.209.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de;q=0.8,zh-TW;q=0.7,zh-CN;q=0.6,zh;q=0.5","5d617ba9364f9a0019f1dac3","683db7602f5db6a34d12d064","686e4c08dd5ccc6b99cd6be4","1","5d617ba9364f9a0019f1dac3","1","2025-07-09T11:08:42.866Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","242421","0.0-5.0-0.0","28","1","2025-07-09 11:05:11","01610cd0009c79a99da7d0a3353eb402","76.221.209.152","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de;q=0.8,zh-TW;q=0.7,zh-CN;q=0.6,zh;q=0.5","5d617ba9364f9a0019f1dac3","683db7602f5db6a34d12d064","686e4c08dd5ccc6b99cd6be4","1","5d617ba9364f9a0019f1dac3","1","2025-07-09T11:09:15.836Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","211842.2","1498.6","6501.2","29962","1","4","8","6","2","8","7","7","0","0.05303030303030303","2062.4","3000","615","[""left"",""up""]","{""num_key_presses"":7,""num_perfect"":6,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":6}","[419.0714133126395,420.32142761775424,0.2,419.0714133126395,420.32142761775424,102.5,434.0714133126395,409.07142761775424,206.9,869.0714133126395,231.57142761775424,312.5,966.5714133126395,186.57142761775424,412.7,966.5714133126395,186.57142761775424,517.9,966.5714133126395,186.57142761775424,623,966.5714133126395,186.57142761775424,726.8,966.5714133126395,186.57142761775424,828,966.5714133126395,186.57142761775424,932.4,966.5714133126395,186.57142761775424,1037.4,966.5714133126395,186.57142761775424,1142.7,966.5714133126395,186.57142761775424,1242.8,966.5714133126395,186.57142761775424,1346.5,966.5714133126395,186.57142761775424,1446.8,965.3214133126395,185.32142761775424,1547.1,771.5714133126395,180.32142761775424,1652.6,567.8214133126395,161.57142761775424,1753.5,225.3214133126395,182.82142761775424,1856.7,166.5714133126395,104.07142761775425,1956.7,112.8214133126395,101.57142761775425,2058.2,112.8214133126395,101.57142761775425,2161.9,111.5714133126395,100.32142761775425,2262.4,19.071413312639507,51.57142761775425,2362.4,-543.4285866873605,-118.42857238224575,2467.4,-543.4285866873605,-118.42857238224575,2572.8,-543.4285866873605,-118.42857238224575,2673.5,-543.4285866873605,-118.42857238224575,2777.8,-543.4285866873605,-118.42857238224575,2882.3,-543.4285866873605,-118.42857238224575,2986.7,-543.4285866873605,-118.42857238224575,3087.3,-543.4285866873605,-118.42857238224575,3187.3,-543.4285866873605,-118.42857238224575,3287.4,-543.4285866873605,-118.42857238224575,3392.4,-543.4285866873605,-118.42857238224575,3497.6,-543.4285866873605,-118.42857238224575,3598.5,-543.4285866873605,-118.42857238224575,3702.5,-543.4285866873605,-118.42857238224575,3807.6,-543.4285866873605,-118.42857238224575,3907.8,-543.4285866873605,-118.42857238224575,4011.7,-543.4285866873605,-118.42857238224575,4111.9,-543.4285866873605,-118.42857238224575,4212.2,-543.4285866873605,-118.42857238224575,4317.7,-543.4285866873605,-118.42857238224575,4422.1,-543.4285866873605,-118.42857238224575,4522.4,-543.4285866873605,-118.42857238224575,4622.7,-543.4285866873605,-118.42857238224575,4727.5,-543.4285866873605,-118.42857238224575,4831.7,-543.4285866873605,-118.42857238224575,4933.4]","[722.9,722.9,1000,0,-277.1,""error"",""-"",""-"",""no_move"",5338.2,4615.1,3238,1725,375.2,""smooth"",""up"",""up"",""good_move"",9066.4,3727.9,3294.5,5338.5,433.4,""smooth"",""left"",""left"",""good_move"",15218.9,6152.1,2242,12610.8,366.1,""smooth"",""up"",""up"",""good_move"",18162.3,2943.2,2492.1,15219.1,451.1,""smooth"",""left"",""left"",""good_move"",20762.2,2599.8,2102.6,18162.5,497.1,""smooth"",""up"",""up"",""good_move"",23370.3,2608,2314.4,20762.4,293.5,""smooth"",""left"",""left"",""good_move""]","",""
