"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","prolific_id","week","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"3000","1752063747034","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3001","0.0-0.0","30","1","2025-07-09 12:22:22","01610cd0009c79a99da7d0a3353eb402","82.132.246.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","683db7602f5db6a34d12d064","686e5ec5a20e120a843c2a9e","1","676054ef296caad582258e02","1","2025-07-09T12:22:27.034Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11766","","","","fullscreen","1","15784","0.0-1.0","30","1","2025-07-09 12:22:22","01610cd0009c79a99da7d0a3353eb402","82.132.246.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","683db7602f5db6a34d12d064","686e5ec5a20e120a843c2a9e","1","676054ef296caad582258e02","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3528","1752063763345","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","19313","0.0-2.0-0.0","30","1","2025-07-09 12:22:22","01610cd0009c79a99da7d0a3353eb402","82.132.246.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","683db7602f5db6a34d12d064","686e5ec5a20e120a843c2a9e","1","676054ef296caad582258e02","1","2025-07-09T12:22:43.346Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67432.19999999925","","","","survey-template","3","86748","0.0-2.0-1.0","30","1","2025-07-09 12:22:22","01610cd0009c79a99da7d0a3353eb402","82.132.246.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","683db7602f5db6a34d12d064","686e5ec5a20e120a843c2a9e","1","676054ef296caad582258e02","1","2025-07-09T12:23:50.781Z","","{""Q01"":""2"",""Q02"":""1"",""Q03"":""0"",""Q04"":""2"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""0"",""Q16"":""2"",""Q17"":""0"",""Q18"":""0"",""Q19"":""1"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q01"",""Q02"",""Q03"",""Q04"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q16"",""Q16"",""Q17"",""Q17"",""Q18"",""Q17"",""Q19"",""Q20"",""Q21"",""Q22""]","[1629.7999999988824,2653.5,5445.799999998882,6949.799999998882,9709.799999998882,11517.799999998882,12717.89999999851,14581.699999999255,16502,17821.799999998882,20989.799999998882,21749.699999999255,23389.699999999255,24917.699999999255,26637.699999999255,28445.799999998882,31197.699999999255,37301.59999999963,41045.699999999255,43349.699999999255,43981.59999999963,44645.59999999963,47333.59999999963,48741.59999999963,53261.59999999963,59661.699999999255,61749.699999999255,66317.5]","[]","[0.09999999962747097,1629.7999999988824,2653.5,5445.799999998882,6949.799999998882,9709.799999998882,11517.799999998882,12717.89999999851,14581.699999999255,16502,17821.799999998882,20293.799999998882,20989.799999998882,21749.699999999255,23389.699999999255,24917.699999999255,26637.699999999255,28445.799999998882,31197.699999999255,37301.59999999963,41045.699999999255,43349.699999999255,43981.59999999963,44645.59999999963,47333.59999999963,48325.79999999888,48741.59999999963,53261.59999999963,59061.699999999255,59661.699999999255,61749.699999999255,66317.5,67429.79999999888]","0.7272727272727273","0.2857142857142857","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15187.599999999627","","","","survey-template","4","101937","0.0-2.0-2.0","30","1","2025-07-09 12:22:22","01610cd0009c79a99da7d0a3353eb402","82.132.246.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","683db7602f5db6a34d12d064","686e5ec5a20e120a843c2a9e","1","676054ef296caad582258e02","1","2025-07-09T12:24:05.970Z","","{""Q01"":""2"",""Q02"":""3"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q02"",""Q03""]","[3467.199999999255,5979.0999999996275,7523.0999999996275,11019.299999998882]","[]","[3467.199999999255,5979.0999999996275,7011.39999999851,7523.0999999996275,11019.299999998882,15187.099999999627]","0.6666666666666666","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24039","","","","instructions","5","125976","0.0-3.0-0.0","30","1","2025-07-09 12:22:22","01610cd0009c79a99da7d0a3353eb402","82.132.246.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","683db7602f5db6a34d12d064","686e5ec5a20e120a843c2a9e","1","676054ef296caad582258e02","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":24039}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9767","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","55","html-slider-response","6","135744","0.0-4.0-0.0","30","1","2025-07-09 12:22:22","01610cd0009c79a99da7d0a3353eb402","82.132.246.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","683db7602f5db6a34d12d064","686e5ec5a20e120a843c2a9e","1","676054ef296caad582258e02","1","2025-07-09T12:24:39.777Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3704","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","50","html-slider-response","7","139448","0.0-4.0-1.0","30","1","2025-07-09 12:22:22","01610cd0009c79a99da7d0a3353eb402","82.132.246.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","683db7602f5db6a34d12d064","686e5ec5a20e120a843c2a9e","1","676054ef296caad582258e02","1","2025-07-09T12:24:43.482Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2423","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","61","html-slider-response","8","141872","0.0-4.0-2.0","30","1","2025-07-09 12:22:22","01610cd0009c79a99da7d0a3353eb402","82.132.246.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","683db7602f5db6a34d12d064","686e5ec5a20e120a843c2a9e","1","676054ef296caad582258e02","1","2025-07-09T12:24:45.905Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","177470","0.0-5.0-0.0","30","1","2025-07-09 12:22:22","01610cd0009c79a99da7d0a3353eb402","82.132.246.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","683db7602f5db6a34d12d064","686e5ec5a20e120a843c2a9e","1","676054ef296caad582258e02","1","2025-07-09T12:25:21.503Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","144100.1","2606.4","7614.2","32592.4","1","4","8","6","2","8","7","7","0","0.05303030303030303","3488.4","3000","530","[""left"",""up""]","{""num_key_presses"":8,""num_perfect"":7,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":1,""num_blue"":2,""num_good_moves"":7}","[295.22232142857143,299.12857142857143,0.2,295.22232142857143,299.12857142857143,100.3,295.22232142857143,299.12857142857143,200.5,975.2223214285714,517.1285714285714,304.5,975.2223214285714,516.1285714285714,408.8,975.2223214285714,526.1285714285714,508.8,975.2223214285714,526.1285714285714,614.1,975.2223214285714,526.1285714285714,715.1,975.2223214285714,526.1285714285714,819.2,975.2223214285714,526.1285714285714,924.9,975.2223214285714,526.1285714285714,1024.9,975.2223214285714,526.1285714285714,1124.9,975.2223214285714,526.1285714285714,1229.5,975.2223214285714,526.1285714285714,1334.9,975.2223214285714,526.1285714285714,1434.9,975.2223214285714,526.1285714285714,1539.8,975.2223214285714,526.1285714285714,1644.1,975.2223214285714,526.1285714285714,1744.9,975.2223214285714,526.1285714285714,1850.1,975.2223214285714,526.1285714285714,1954.9,975.2223214285714,526.1285714285714,2060.4,975.2223214285714,526.1285714285714,2164.9,975.2223214285714,526.1285714285714,2270.6,975.2223214285714,526.1285714285714,2374.4,975.2223214285714,526.1285714285714,2479,975.2223214285714,526.1285714285714,2579.9,975.2223214285714,526.1285714285714,2684.1,975.2223214285714,526.1285714285714,2785.1,460.22232142857143,5.128571428571426,2885.1,454.22232142857143,-44.871428571428574,2989.4,313.22232142857143,-2.8714285714285737,3089.6,132.22232142857143,40.128571428571426,3195.1,123.22232142857143,34.128571428571426,3299.8,88.22232142857143,30.128571428571426,3399.9,59.222321428571426,36.128571428571426,3499.9,59.222321428571426,36.128571428571426,3604,59.222321428571426,36.128571428571426,3705.3,45.222321428571426,35.128571428571426,3810,338.22232142857143,83.12857142857143,3910.7,381.22232142857143,213.12857142857143,4014.6,372.22232142857143,238.12857142857143,4115.2,346.22232142857143,267.12857142857143,4218,346.22232142857143,267.12857142857143,4320,319.22232142857143,327.12857142857143,4423.9,308.22232142857143,361.12857142857143,4524,304.22232142857143,341.12857142857143,4624.3,304.22232142857143,341.12857142857143,4724.3,304.22232142857143,341.12857142857143,4829.5,304.22232142857143,341.12857142857143,4929.6]","[1471.3,1471.3,1000,0,471.3,""smooth"",""up"",""up"",""good_move"",4367.2,2895.6,2539.8,1471.6,355.8,""smooth"",""left"",""left"",""good_move"",6959.7,2592.3,2186.3,4367.4,406,""smooth"",""left"",""left"",""good_move"",9207.9,2248,1906.6,6959.9,341.4,""while_blue"",""up"",""down"",""bad_move"",11810.6,2602.3,2196.8,9208.3,405.5,""smooth"",""up"",""up"",""good_move"",18393.6,6582.6,2425.7,15547.4,420.5,""smooth"",""up"",""up"",""good_move"",21679.5,3285.8,2970.9,18393.7,314.9,""smooth"",""left"",""left"",""good_move"",24874.6,3194.8,2793,21679.8,401.8,""smooth"",""up"",""up"",""good_move""]","",""
