"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","prolific_id","week","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"3201","1752150193043","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3202","0.0-0.0","34","1","2025-07-10 12:23:10","01610cd0009c79a99da7d0a3353eb402","85.246.21.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7","65a93241fc1ee8c40991a861","683db7602f5db6a34d12d064","686fb0a5867e7bdf4519aeaf","1","65a93241fc1ee8c40991a861","1","2025-07-10T12:23:13.044Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2471","","","","fullscreen","1","6678","0.0-1.0","34","1","2025-07-10 12:23:10","01610cd0009c79a99da7d0a3353eb402","85.246.21.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7","65a93241fc1ee8c40991a861","683db7602f5db6a34d12d064","686fb0a5867e7bdf4519aeaf","1","65a93241fc1ee8c40991a861","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1471","1752150197990","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","8149","0.0-2.0-0.0","34","1","2025-07-10 12:23:10","01610cd0009c79a99da7d0a3353eb402","85.246.21.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7","65a93241fc1ee8c40991a861","683db7602f5db6a34d12d064","686fb0a5867e7bdf4519aeaf","1","65a93241fc1ee8c40991a861","1","2025-07-10T12:23:17.990Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32250.399999976158","","","","survey-template","3","40403","0.0-2.0-1.0","34","1","2025-07-10 12:23:10","01610cd0009c79a99da7d0a3353eb402","85.246.21.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7","65a93241fc1ee8c40991a861","683db7602f5db6a34d12d064","686fb0a5867e7bdf4519aeaf","1","65a93241fc1ee8c40991a861","1","2025-07-10T12:23:50.244Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""1"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""1"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[7140.899999976158,7823.199999988079,8765,9351.899999976158,10642.100000023842,11191.300000011921,12099.399999976158,13202.600000023842,14590.699999988079,16165.800000011921,16993.5,17962.69999998808,18537.69999998808,20559.5,21913.69999998808,23919.30000001192,26049.5,27291.5,27958.19999998808,29076.399999976158,30275.399999976158,30989.600000023842,31602.19999998808]","[]","[0.10000002384185791,7140.899999976158,7823.199999988079,8765,9351.899999976158,10642.100000023842,11191.300000011921,12099.399999976158,12776.899999976158,13202.600000023842,14590.699999988079,16165.800000011921,16993.5,17962.69999998808,18537.69999998808,20559.5,21913.69999998808,23919.30000001192,26049.5,27291.5,27958.19999998808,29076.399999976158,29873.5,30275.399999976158,30989.600000023842,31602.19999998808,32244.899999976158]","0.8636363636363636","0.2857142857142857","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12065.5","","","","survey-template","4","52470","0.0-2.0-2.0","34","1","2025-07-10 12:23:10","01610cd0009c79a99da7d0a3353eb402","85.246.21.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7","65a93241fc1ee8c40991a861","683db7602f5db6a34d12d064","686fb0a5867e7bdf4519aeaf","1","65a93241fc1ee8c40991a861","1","2025-07-10T12:24:02.311Z","","{""Q01"":""1"",""Q02"":""0"",""Q03"":""0""}","[0,1,2]","[""Q02"",""Q03"",""Q01""]","[5660.699999988079,8196.300000011921,11317.100000023842]","[]","[2041.300000011921,5660.699999988079,7395.100000023842,8196.300000011921,8760.399999976158,11317.100000023842,12064.800000011921]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1599","","","","instructions","5","54070","0.0-3.0-0.0","34","1","2025-07-10 12:23:10","01610cd0009c79a99da7d0a3353eb402","85.246.21.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7","65a93241fc1ee8c40991a861","683db7602f5db6a34d12d064","686fb0a5867e7bdf4519aeaf","1","65a93241fc1ee8c40991a861","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1599}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2475","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","100","html-slider-response","6","56547","0.0-4.0-0.0","34","1","2025-07-10 12:23:10","01610cd0009c79a99da7d0a3353eb402","85.246.21.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7","65a93241fc1ee8c40991a861","683db7602f5db6a34d12d064","686fb0a5867e7bdf4519aeaf","1","65a93241fc1ee8c40991a861","1","2025-07-10T12:24:06.388Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3359","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","60","html-slider-response","7","59907","0.0-4.0-1.0","34","1","2025-07-10 12:23:10","01610cd0009c79a99da7d0a3353eb402","85.246.21.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7","65a93241fc1ee8c40991a861","683db7602f5db6a34d12d064","686fb0a5867e7bdf4519aeaf","1","65a93241fc1ee8c40991a861","1","2025-07-10T12:24:09.748Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2509","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","8","62416","0.0-4.0-2.0","34","1","2025-07-10 12:23:10","01610cd0009c79a99da7d0a3353eb402","85.246.21.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7","65a93241fc1ee8c40991a861","683db7602f5db6a34d12d064","686fb0a5867e7bdf4519aeaf","1","65a93241fc1ee8c40991a861","1","2025-07-10T12:24:12.257Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","83490","0.0-5.0-0.0","34","1","2025-07-10 12:23:10","01610cd0009c79a99da7d0a3353eb402","85.246.21.29","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7","65a93241fc1ee8c40991a861","683db7602f5db6a34d12d064","686fb0a5867e7bdf4519aeaf","1","65a93241fc1ee8c40991a861","1","2025-07-10T12:24:33.331Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","63661.4","1182.7","6185.9","18069.7","1","4","8","6","1","1","1","1","0","0.007575757575757576","5003.2","3000","1425","[""up"",""right""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":4}","[417.57142857142856,419.47767857142856,0.2,417.57142857142856,419.47767857142856,102.7,417.57142857142856,419.47767857142856,203.6,417.57142857142856,419.47767857142856,304,417.57142857142856,419.47767857142856,408.8,417.57142857142856,419.47767857142856,509.5,417.57142857142856,419.47767857142856,613.3,417.57142857142856,419.47767857142856,717.7,417.57142857142856,419.47767857142856,823.1,417.57142857142856,419.47767857142856,928,417.57142857142856,419.47767857142856,1028.8,417.57142857142856,419.47767857142856,1133,417.57142857142856,419.47767857142856,1233.8,417.57142857142856,419.47767857142856,1338.2,417.57142857142856,419.47767857142856,1438.4,417.57142857142856,419.47767857142856,1543.5,417.57142857142856,419.47767857142856,1648.3,417.57142857142856,418.47767857142856,1752.6,417.57142857142856,418.47767857142856,1853.2,417.57142857142856,418.47767857142856,1959.2,417.57142857142856,418.47767857142856,2062.7,417.57142857142856,418.47767857142856,2163,417.57142857142856,418.47767857142856,2269.5,417.57142857142856,418.47767857142856,2372.7,417.57142857142856,418.47767857142856,2478.4,417.57142857142856,418.47767857142856,2582.5,417.57142857142856,418.47767857142856,2682.9,417.57142857142856,418.47767857142856,2783,417.57142857142856,418.47767857142856,2883.6,417.57142857142856,418.47767857142856,2988,417.57142857142856,418.47767857142856,3088.8,417.57142857142856,418.47767857142856,3192.7,417.57142857142856,418.47767857142856,3293.1,417.57142857142856,418.47767857142856,3393.2,417.57142857142856,418.47767857142856,3493.3,417.57142857142856,418.47767857142856,3597.6,417.57142857142856,418.47767857142856,3698.1,417.57142857142856,418.47767857142856,3798.1,417.57142857142856,418.47767857142856,3898.5,417.57142857142856,418.47767857142856,4002.9,417.57142857142856,418.47767857142856,4108.7,417.57142857142856,418.47767857142856,4213.1,417.57142857142856,418.47767857142856,4313.2,417.57142857142856,418.47767857142856,4418.5,417.57142857142856,418.47767857142856,4523.3,417.57142857142856,418.47767857142856,4627.8,417.57142857142856,418.47767857142856,4728.3,417.57142857142856,418.47767857142856,4829,417.57142857142856,418.47767857142856,4932.7]","[1559.9,1559.9,1000,0,559.9,""smooth"",""up"",""up"",""good_move"",4743.7,3183.5,2789,1560.2,394.5,""smooth"",""right"",""right"",""good_move"",8023.5,3279.4,2941.3,4744.1,338.1,""smooth"",""up"",""up"",""good_move"",11792.2,3768.4,3457.7,8023.8,310.7,""smooth"",""right"",""right"",""good_move""]","",""
