"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"3784","1752653926569","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3786","0.0-0.0","45","1","2025-07-16 08:18:10","1f75c3e559b7213887762d5229550c2b","192.143.69.125","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60c8a4ece55be5a30e0ccc5c","686e379bc37a29ffa5cdc956","6877601f4e150695a39af75d","1","1","60c8a4ece55be5a30e0ccc5c","1","1","2025-07-16T08:18:46.569Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9283","","","","fullscreen","1","14078","0.0-1.0","45","1","2025-07-16 08:18:10","1f75c3e559b7213887762d5229550c2b","192.143.69.125","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60c8a4ece55be5a30e0ccc5c","686e379bc37a29ffa5cdc956","6877601f4e150695a39af75d","1","1","60c8a4ece55be5a30e0ccc5c","1","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2646","1752653939508","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","16726","0.0-2.0-0.0","45","1","2025-07-16 08:18:10","1f75c3e559b7213887762d5229550c2b","192.143.69.125","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60c8a4ece55be5a30e0ccc5c","686e379bc37a29ffa5cdc956","6877601f4e150695a39af75d","1","1","60c8a4ece55be5a30e0ccc5c","1","1","2025-07-16T08:18:59.509Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84160.60000000894","","","","survey-template","3","100904","0.0-2.0-1.0","45","1","2025-07-16 08:18:10","1f75c3e559b7213887762d5229550c2b","192.143.69.125","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60c8a4ece55be5a30e0ccc5c","686e379bc37a29ffa5cdc956","6877601f4e150695a39af75d","1","1","60c8a4ece55be5a30e0ccc5c","1","1","2025-07-16T08:20:23.687Z","","{""Q01"":""2"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""3"",""Q06"":""1"",""Q07"":""1"",""Q08"":""0"",""Q09"":""1"",""Q10"":""1"",""Q11"":""2"",""Q12"":""1"",""Q13"":""5"",""Q14"":""3"",""Q15"":""0"",""Q16"":""2"",""Q17"":""1"",""Q18"":""0"",""Q19"":""4"",""Q20"":""4"",""Q21"":""4"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3831.2000000029802,8664.10000000894,9826.70000000298,11286.5,13048.20000000298,15476.60000000894,16992.90000000596,19184.60000000894,30770.29999999702,32241.60000000894,34727.29999999702,37136,39987,44240.5,47923.70000000298,50323.79999999702,58546.60000000894,60131.40000000596,64970.60000000894,71975.20000000298,77038.20000000298,82314.60000000894]","[]","[0.29999999701976776,3831.2000000029802,7268.29999999702,8664.10000000894,9826.70000000298,11286.5,13048.20000000298,15476.60000000894,16992.90000000596,19184.60000000894,28303.29999999702,29375.20000000298,30770.29999999702,32241.60000000894,34727.29999999702,37136,39987,44240.5,47923.70000000298,50323.79999999702,57273.90000000596,58546.60000000894,60131.40000000596,64970.60000000894,71975.20000000298,77038.20000000298,81103.70000000298,82314.60000000894,84147.90000000596]","0.3181818181818182","0.3333333333333333","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13753.60000000894","","","","survey-template","4","114661","0.0-2.0-2.0","45","1","2025-07-16 08:18:10","1f75c3e559b7213887762d5229550c2b","192.143.69.125","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60c8a4ece55be5a30e0ccc5c","686e379bc37a29ffa5cdc956","6877601f4e150695a39af75d","1","1","60c8a4ece55be5a30e0ccc5c","1","1","2025-07-16T08:20:37.445Z","","{""Q01"":""1"",""Q02"":""3"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3479.1000000089407,7395.300000011921,12254.5]","[]","[3479.1000000089407,7395.300000011921,12254.5,13752.20000000298]","0.6666666666666666","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6523","","","","instructions","5","121186","0.0-3.0-0.0","45","1","2025-07-16 08:18:10","1f75c3e559b7213887762d5229550c2b","192.143.69.125","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60c8a4ece55be5a30e0ccc5c","686e379bc37a29ffa5cdc956","6877601f4e150695a39af75d","1","1","60c8a4ece55be5a30e0ccc5c","1","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":6522}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6889","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","85","html-slider-response","6","128079","0.0-4.0-0.0","45","1","2025-07-16 08:18:10","1f75c3e559b7213887762d5229550c2b","192.143.69.125","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60c8a4ece55be5a30e0ccc5c","686e379bc37a29ffa5cdc956","6877601f4e150695a39af75d","1","1","60c8a4ece55be5a30e0ccc5c","1","1","2025-07-16T08:20:50.862Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5654","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","81","html-slider-response","7","133735","0.0-4.0-1.0","45","1","2025-07-16 08:18:10","1f75c3e559b7213887762d5229550c2b","192.143.69.125","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60c8a4ece55be5a30e0ccc5c","686e379bc37a29ffa5cdc956","6877601f4e150695a39af75d","1","1","60c8a4ece55be5a30e0ccc5c","1","1","2025-07-16T08:20:56.518Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3994","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","74","html-slider-response","8","137732","0.0-4.0-2.0","45","1","2025-07-16 08:18:10","1f75c3e559b7213887762d5229550c2b","192.143.69.125","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60c8a4ece55be5a30e0ccc5c","686e379bc37a29ffa5cdc956","6877601f4e150695a39af75d","1","1","60c8a4ece55be5a30e0ccc5c","1","1","2025-07-16T08:21:00.516Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","161242","0.0-5.0-0.0","45","1","2025-07-16 08:18:10","1f75c3e559b7213887762d5229550c2b","192.143.69.125","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60c8a4ece55be5a30e0ccc5c","686e379bc37a29ffa5cdc956","6877601f4e150695a39af75d","1","1","60c8a4ece55be5a30e0ccc5c","1","1","2025-07-16T08:21:24.025Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","173122.4","3055.8","8056.4","20499.6","1","4","8","6","1","1","1","1","0","0.007575757575757576","1625.9","3000","1345","[""left"",""up""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":4}","[292.22232142857143,292.12857142857143,0.4,292.22232142857143,292.12857142857143,100.7,292.22232142857143,292.12857142857143,204.4,292.22232142857143,292.12857142857143,304.5,292.22232142857143,292.12857142857143,405.1,292.22232142857143,292.12857142857143,511.6,292.22232142857143,292.12857142857143,614.6,227.22232142857143,225.12857142857143,715.7,184.22232142857143,164.12857142857143,815.8,152.22232142857143,137.12857142857143,915.9,109.22232142857143,123.12857142857143,1022.1,89.22232142857143,112.12857142857143,1126.1,63.222321428571426,87.12857142857143,1226.1,40.222321428571426,34.128571428571426,1330.3,33.222321428571426,21.128571428571426,1431.3,33.222321428571426,21.128571428571426,1531.5,33.222321428571426,21.128571428571426,1639,33.222321428571426,21.128571428571426,1739.7,33.222321428571426,21.128571428571426,1840.4,33.222321428571426,21.128571428571426,1940.4,33.222321428571426,21.128571428571426,2040.5,33.222321428571426,21.128571428571426,2144.9,35.222321428571426,23.128571428571426,2245.7,61.222321428571426,52.128571428571426,2351,85.22232142857143,100.12857142857143,2455.3,112.22232142857143,144.12857142857143,2555.4,127.22232142857143,189.12857142857143,2661.2,143.22232142857143,222.12857142857143,2765.6,158.22232142857143,234.12857142857143,2865.8,158.22232142857143,234.12857142857143,2970.3,158.22232142857143,234.12857142857143,3075.1,158.22232142857143,234.12857142857143,3175.6,158.22232142857143,234.12857142857143,3281.6,158.22232142857143,234.12857142857143,3386.2,158.22232142857143,234.12857142857143,3489.4,158.22232142857143,234.12857142857143,3591.9,158.22232142857143,234.12857142857143,3695.6,158.22232142857143,234.12857142857143,3796.1,158.22232142857143,234.12857142857143,3901.6,158.22232142857143,234.12857142857143,4005.2,158.22232142857143,234.12857142857143,4111.2,158.22232142857143,234.12857142857143,4215.4,158.22232142857143,234.12857142857143,4319.7,158.22232142857143,234.12857142857143,4426.2,158.22232142857143,234.12857142857143,4531.4,158.22232142857143,234.12857142857143,4635.5,158.22232142857143,234.12857142857143,4740.5,158.22232142857143,234.12857142857143,4840.9,158.22232142857143,234.12857142857143,4941.8]","[1405.3,1405.3,1000,0,405.3,""smooth"",""left"",""left"",""good_move"",5329.4,3924.1,3563.9,1405.4,360.1,""smooth"",""left"",""left"",""good_move"",8623,3293.5,2855.1,5329.6,438.3,""smooth"",""up"",""up"",""good_move"",12337.5,3714.4,3167.9,8623.2,546.5,""smooth"",""up"",""up"",""good_move""]","",""
