"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"227760","1752654192583","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","227770","0.0-0.0","47","1","2025-07-16 08:19:22","1f75c3e559b7213887762d5229550c2b","41.122.151.229","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6780db9dafd89add339abb6b","686e379bc37a29ffa5cdc956","68775fee412010210d6c7b67","1","1","6780db9dafd89add339abb6b","1","1","2025-07-16T08:23:12.584Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1265","","","","fullscreen","1","230039","0.0-1.0","47","1","2025-07-16 08:19:22","1f75c3e559b7213887762d5229550c2b","41.122.151.229","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6780db9dafd89add339abb6b","686e379bc37a29ffa5cdc956","68775fee412010210d6c7b67","1","1","6780db9dafd89add339abb6b","1","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2406","1752654197260","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","232446","0.0-2.0-0.0","47","1","2025-07-16 08:19:22","1f75c3e559b7213887762d5229550c2b","41.122.151.229","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6780db9dafd89add339abb6b","686e379bc37a29ffa5cdc956","68775fee412010210d6c7b67","1","1","6780db9dafd89add339abb6b","1","1","2025-07-16T08:23:17.260Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"401775","","","","survey-template","3","634241","0.0-2.0-1.0","47","1","2025-07-16 08:19:22","1f75c3e559b7213887762d5229550c2b","41.122.151.229","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6780db9dafd89add339abb6b","686e379bc37a29ffa5cdc956","68775fee412010210d6c7b67","1","1","6780db9dafd89add339abb6b","1","1","2025-07-16T08:29:59.055Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""1"",""Q04"":""3"",""Q05"":""1"",""Q06"":""3"",""Q07"":""2"",""Q08"":""3"",""Q09"":""1"",""Q10"":""1"",""Q11"":""2"",""Q12"":""2"",""Q13"":""1"",""Q14"":""2"",""Q15"":""2"",""Q16"":""1"",""Q17"":""2"",""Q18"":""1"",""Q19"":""3"",""Q20"":""3"",""Q21"":""2"",""Q22"":""3""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q13"",""Q12"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22"",""Q05""]","[242013.70000004768,357201.09999990463,358498.7999999523,361501.59999990463,366247.39999985695,367963.39999985695,369195.5,370249.89999985695,370910.59999990463,373307.59999990463,375820.39999985695,376516.39999985695,377440.39999985695,377888.7999999523,382753.5,383489.39999985695,385045.5,388337.7999999523,389117.7000000477,390961.39999985695,391894.5,399148.5]","[]","[0.09999990463256836,242013.70000004768,356325.7999999523,357201.09999990463,357864,358498.7999999523,361501.59999990463,362847.5,363731.7999999523,364697.7000000477,365337.7000000477,365813.39999985695,366247.39999985695,366749.89999985695,367489.5,367963.39999985695,368821.5,369195.5,370249.89999985695,370910.59999990463,372014.7999999523,372509.5,373307.59999990463,374054.2999999523,375820.39999985695,376516.39999985695,377440.39999985695,377888.7999999523,378382.7000000477,379194.5,379752.7000000477,380067.89999985695,380885.2000000477,381298.39999985695,382753.5,383489.39999985695,385045.5,385520.39999985695,386824.2999999523,387487.7999999523,387895.7999999523,388337.7999999523,389117.7000000477,390961.39999985695,391894.5,395647.39999985695,399148.5,401770.59999990463]","0.3181818181818182","0.5238095238095238","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12079.099999904633","","","","survey-template","4","646324","0.0-2.0-2.0","47","1","2025-07-16 08:19:22","1f75c3e559b7213887762d5229550c2b","41.122.151.229","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6780db9dafd89add339abb6b","686e379bc37a29ffa5cdc956","68775fee412010210d6c7b67","1","1","6780db9dafd89add339abb6b","1","1","2025-07-16T08:30:11.138Z","","{""Q01"":""2"",""Q02"":""1"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3486.399999856949,8002.700000047684,10947.399999856949]","[]","[3486.399999856949,8002.700000047684,10947.399999856949,12077.5]","0.3333333333333333","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17954","","","","instructions","5","664283","0.0-3.0-0.0","47","1","2025-07-16 08:19:22","1f75c3e559b7213887762d5229550c2b","41.122.151.229","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6780db9dafd89add339abb6b","686e379bc37a29ffa5cdc956","68775fee412010210d6c7b67","1","1","6780db9dafd89add339abb6b","1","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":17953}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4229","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","78","html-slider-response","6","668515","0.0-4.0-0.0","47","1","2025-07-16 08:19:22","1f75c3e559b7213887762d5229550c2b","41.122.151.229","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6780db9dafd89add339abb6b","686e379bc37a29ffa5cdc956","68775fee412010210d6c7b67","1","1","6780db9dafd89add339abb6b","1","1","2025-07-16T08:30:33.329Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3484","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","64","html-slider-response","7","672001","0.0-4.0-1.0","47","1","2025-07-16 08:19:22","1f75c3e559b7213887762d5229550c2b","41.122.151.229","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6780db9dafd89add339abb6b","686e379bc37a29ffa5cdc956","68775fee412010210d6c7b67","1","1","6780db9dafd89add339abb6b","1","1","2025-07-16T08:30:36.815Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3659","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","78","html-slider-response","8","675662","0.0-4.0-2.0","47","1","2025-07-16 08:19:22","1f75c3e559b7213887762d5229550c2b","41.122.151.229","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6780db9dafd89add339abb6b","686e379bc37a29ffa5cdc956","68775fee412010210d6c7b67","1","1","6780db9dafd89add339abb6b","1","1","2025-07-16T08:30:40.476Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","708759","0.0-5.0-0.0","47","1","2025-07-16 08:19:22","1f75c3e559b7213887762d5229550c2b","41.122.151.229","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","Macintosh","Chrome","128.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6780db9dafd89add339abb6b","686e379bc37a29ffa5cdc956","68775fee412010210d6c7b67","1","1","6780db9dafd89add339abb6b","1","1","2025-07-16T08:31:13.573Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","686830.1","2053.7","7057.7","30087.6","1","4","8","6","2","8","8","8","0","0.06060606060606061","2057.5","3000","105","[""left"",""up""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":2,""num_good_moves"":6}","[349.5428623514516,356.1584874500321,0.3,349.5428623514516,356.1584874500321,102.8,349.5428623514516,356.1584874500321,207.5,349.5428623514516,356.1584874500321,311.9,349.5428623514516,356.1584874500321,412,349.5428623514516,356.1584874500321,512.5,349.5428623514516,356.1584874500321,613.3,349.5428623514516,356.1584874500321,718.4,349.5428623514516,356.1584874500321,822.7,349.5428623514516,356.1584874500321,922.7,349.5428623514516,356.1584874500321,1027.1,349.5428623514516,356.1584874500321,1127.3,349.5428623514516,356.1584874500321,1227.3,373.5428627090795,306.5584867109345,1332.2,175.14285975268908,-21.441518176646376,1432.5,70.34285819104738,-99.84151934489742,1532.6,43.142857785735806,-27.841518272013808,1632.6,31.9428576188428,76.15848327770695,1733.4,31.142857606921872,93.75848353996739,1833.5,37.542857702289304,84.15848339691624,1934.7,38.34285771421023,81.75848336115345,2038.1,39.14285772613116,81.75848336115345,2142.6,41.54285776189395,81.75848336115345,2248.1,195.1428600507123,118.55848390951618,2353.4,875.1428701835019,192.95848501816258,2453.6,1000.7428720550878,164.15848458900913,2553.6,1000.7428720550878,164.15848458900913,2653.7,1000.7428720550878,164.15848458900913,2753.8,1000.7428720550878,164.15848458900913,2853.8,1000.7428720550878,164.15848458900913,2957.5,1000.7428720550878,164.15848458900913,3057.6,1000.7428720550878,164.15848458900913,3157.6,1000.7428720550878,164.15848458900913,3262.5,1000.7428720550878,164.15848458900913,3368.2,1000.7428720550878,164.15848458900913,3473.1,1000.7428720550878,164.15848458900913,3573.3,1000.7428720550878,164.15848458900913,3677.5,1000.7428720550878,164.15848458900913,3777.6,1000.7428720550878,164.15848458900913,3877.7,1000.7428720550878,164.15848458900913,3982.7,1000.7428720550878,164.15848458900913,4082.8,1000.7428720550878,164.15848458900913,4187.3,1000.7428720550878,164.15848458900913,4287.7,1000.7428720550878,164.15848458900913,4387.7,1000.7428720550878,164.15848458900913,4492.5,1000.7428720550878,164.15848458900913,4592.8,1000.7428720550878,164.15848458900913,4697.5,1000.7428720550878,164.15848458900913,4797.8,1000.7428720550878,164.15848458900913,4902.7]","[1444.6,1444.6,1000,0,444.6,""smooth"",""up"",""up"",""good_move"",4671.5,3226.4,2846.7,1445.1,379.7,""smooth"",""left"",""left"",""good_move"",10065,5393,1990,7583.1,491.9,""smooth"",""left"",""left"",""good_move"",12758.5,2693.4,1947,10065.2,746.3,""smooth"",""left"",""left"",""good_move"",19882.4,7123.7,2552.8,16834.2,495.4,""smooth"",""up"",""up"",""good_move"",22941.4,3058.8,2664.3,19882.6,394.5,""smooth"",""up"",""up"",""good_move""]","",""
