"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"15538","1752654406462","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","15541","0.0-0.0","51","1","2025-07-16 08:21:13","1f75c3e559b7213887762d5229550c2b","216.120.189.45","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","673594215b1a0b92d5835525","686e379bc37a29ffa5cdc956","68776027a9debb420028fb76","1","1","673594215b1a0b92d5835525","1","1","2025-07-16T08:26:46.463Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"700","","","","fullscreen","1","17247","0.0-1.0","51","1","2025-07-16 08:21:13","1f75c3e559b7213887762d5229550c2b","216.120.189.45","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","673594215b1a0b92d5835525","686e379bc37a29ffa5cdc956","68776027a9debb420028fb76","1","1","673594215b1a0b92d5835525","1","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1578","1752654409756","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","18834","0.0-2.0-0.0","51","1","2025-07-16 08:21:13","1f75c3e559b7213887762d5229550c2b","216.120.189.45","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","673594215b1a0b92d5835525","686e379bc37a29ffa5cdc956","68776027a9debb420028fb76","1","1","673594215b1a0b92d5835525","1","1","2025-07-16T08:26:49.756Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292130.799999997","","","","survey-template","3","310971","0.0-2.0-1.0","51","1","2025-07-16 08:21:13","1f75c3e559b7213887762d5229550c2b","216.120.189.45","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","673594215b1a0b92d5835525","686e379bc37a29ffa5cdc956","68776027a9debb420028fb76","1","1","673594215b1a0b92d5835525","1","1","2025-07-16T08:31:41.893Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""1"",""Q13"":""5"",""Q14"":""2"",""Q15"":""0"",""Q16"":""0"",""Q17"":""1"",""Q18"":""0"",""Q19"":""1"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q09"",""Q08"",""Q10"",""Q11"",""Q12"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q17"",""Q18"",""Q19"",""Q19"",""Q20"",""Q21"",""Q22""]","[68931.89999999851,70003.89999999851,71124.10000000149,71931.79999999702,72923.89999999851,74564.39999999851,76612.5,78372.10000000149,79188.29999999702,82731.5,83748.10000000149,85380.19999999553,91419.89999999851,93851.60000000149,97396.29999999702,100724,103229,104571.89999999851,105963.69999999553,107517.10000000149,113684.10000000149,185315.6000000015,275220.19999999553,276108,290404.1000000015]","[]","[0.10000000149011612,68931.89999999851,70003.89999999851,71124.10000000149,71931.79999999702,72923.89999999851,74564.39999999851,76612.5,77531.79999999702,78372.10000000149,79188.29999999702,82731.5,83748.10000000149,85380.19999999553,91419.89999999851,93851.60000000149,97396.29999999702,100724,103229,104571.89999999851,105963.69999999553,107517.10000000149,113684.10000000149,185315.6000000015,275220.19999999553,276108,290404.1000000015,292124.19999999553]","0.7727272727272727","0.23809523809523808","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9214.80000000447","","","","survey-template","4","320188","0.0-2.0-2.0","51","1","2025-07-16 08:21:13","1f75c3e559b7213887762d5229550c2b","216.120.189.45","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","673594215b1a0b92d5835525","686e379bc37a29ffa5cdc956","68776027a9debb420028fb76","1","1","673594215b1a0b92d5835525","1","1","2025-07-16T08:31:51.110Z","","{""Q01"":""0"",""Q02"":""5"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3373.8000000044703,4677.70000000298,5853.5]","[]","[3373.8000000044703,4677.70000000298,5853.5,9213.80000000447]","1","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40406","","","","instructions","5","360594","0.0-3.0-0.0","51","1","2025-07-16 08:21:13","1f75c3e559b7213887762d5229550c2b","216.120.189.45","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","673594215b1a0b92d5835525","686e379bc37a29ffa5cdc956","68776027a9debb420028fb76","1","1","673594215b1a0b92d5835525","1","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":40406}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6238","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","85","html-slider-response","6","366834","0.0-4.0-0.0","51","1","2025-07-16 08:21:13","1f75c3e559b7213887762d5229550c2b","216.120.189.45","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","673594215b1a0b92d5835525","686e379bc37a29ffa5cdc956","68776027a9debb420028fb76","1","1","673594215b1a0b92d5835525","1","1","2025-07-16T08:32:37.757Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3703","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","88","html-slider-response","7","370539","0.0-4.0-1.0","51","1","2025-07-16 08:21:13","1f75c3e559b7213887762d5229550c2b","216.120.189.45","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","673594215b1a0b92d5835525","686e379bc37a29ffa5cdc956","68776027a9debb420028fb76","1","1","673594215b1a0b92d5835525","1","1","2025-07-16T08:32:41.461Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3038","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","8","373578","0.0-4.0-2.0","51","1","2025-07-16 08:21:13","1f75c3e559b7213887762d5229550c2b","216.120.189.45","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","673594215b1a0b92d5835525","686e379bc37a29ffa5cdc956","68776027a9debb420028fb76","1","1","673594215b1a0b92d5835525","1","1","2025-07-16T08:32:44.500Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","1343575","0.0-5.0-0.0","51","1","2025-07-16 08:21:13","1f75c3e559b7213887762d5229550c2b","216.120.189.45","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","673594215b1a0b92d5835525","686e379bc37a29ffa5cdc956","68776027a9debb420028fb76","1","1","673594215b1a0b92d5835525","1","1","2025-07-16T08:48:54.497Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","692539.8","943439.4","948441.6","966990.4","1","4","4","6","2","-4","-4","0","0","0","3166.2","3000","-2995","[""down"",""right""]","{""num_key_presses"":5,""num_perfect"":5,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":5}","[261.896875,262.303125,1.5,261.896875,262.303125,102.4,261.896875,262.303125,213.3,261.896875,262.303125,314,512.896875,600.303125,416.4,512.896875,600.303125,522.8,512.896875,600.303125,624,512.896875,600.303125,726.9,512.896875,600.303125,835.2,512.896875,600.303125,936.8,512.896875,600.303125,1044.4,512.896875,600.303125,1147.4,512.896875,600.303125,1247.8,512.896875,600.303125,1353.2,875.896875,576.303125,1453.8,644.896875,460.303125,1557.6,513.896875,386.303125,1658.3,451.896875,343.303125,1767.7,451.896875,331.303125,1873.3,438.896875,329.303125,1977.4,279.896875,341.303125,2078.7,249.896875,332.303125,2182,197.896875,293.303125,2282,183.896875,284.303125,2386.1,217.896875,298.303125,2487,339.896875,370.303125,2592.4,524.896875,459.303125,2696.3,524.896875,459.303125,2796.5,524.896875,460.303125,2897.1,490.896875,464.303125,3001.6,484.896875,467.303125,3102.1,484.896875,467.303125,3206.4,484.896875,467.303125,3306.6,404.896875,446.303125,3406.9,263.896875,424.303125,3511.3,142.896875,403.303125,3611.3,137.896875,393.303125,3712.2,154.896875,376.303125,3812.4,155.896875,375.303125,3916.2,155.896875,375.303125,4022.3,155.896875,375.303125,4126.1,190.896875,350.303125,4226.1,200.896875,344.303125,4326.1,201.896875,343.303125,4426.2,201.896875,343.303125,4526.2,201.896875,343.303125,4632,203.896875,342.303125,4732,204.896875,341.303125,4835.9,205.896875,341.303125,4936]","[2168.9,2168.9,1000,0,1168.9,""smooth"",""down"",""down"",""good_move"",5882.8,3709.7,3257.5,2173.5,451.8,""smooth"",""right"",""right"",""good_move"",9039.8,3156.5,2706.2,5883.3,450.4,""smooth"",""down"",""down"",""good_move"",12398.1,3357.1,2859.3,9041.1,497.7,""smooth"",""right"",""right"",""good_move"",15527,3128.6,2657.9,12398.4,470.7,""smooth"",""down"",""down"",""good_move""]","",""
