"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"205300","1752654386269","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","205304","0.0-0.0","52","1","2025-07-16 08:21:17","1f75c3e559b7213887762d5229550c2b","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","686e379bc37a29ffa5cdc956","68776006826754b038605f6a","1","1","6743c8da977b0d274dad1fc2","1","1","2025-07-16T08:26:26.271Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2883","","","","fullscreen","1","209192","0.0-1.0","52","1","2025-07-16 08:21:17","1f75c3e559b7213887762d5229550c2b","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","686e379bc37a29ffa5cdc956","68776006826754b038605f6a","1","1","6743c8da977b0d274dad1fc2","1","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1960","1752654392124","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","211158","0.0-2.0-0.0","52","1","2025-07-16 08:21:17","1f75c3e559b7213887762d5229550c2b","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","686e379bc37a29ffa5cdc956","68776006826754b038605f6a","1","1","6743c8da977b0d274dad1fc2","1","1","2025-07-16T08:26:32.125Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"481340","","","","survey-template","3","692506","0.0-2.0-1.0","52","1","2025-07-16 08:21:17","1f75c3e559b7213887762d5229550c2b","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","686e379bc37a29ffa5cdc956","68776006826754b038605f6a","1","1","6743c8da977b0d274dad1fc2","1","1","2025-07-16T08:34:33.473Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q06"",""Q05"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q20"",""Q19"",""Q21"",""Q22""]","[405998.299999997,406819.799999997,407675.200000003,408532.5,409965.6000000015,410531.700000003,411659.1000000015,412980.3999999985,413803.1000000015,415187.200000003,417932.200000003,418803.1000000015,431435.200000003,440435,446267.1000000015,447003.1000000015,448596.1000000015,449347,450787.700000003,451955.299999997,459603.1000000015,460715.299999997]","[]","[0.10000000149011612,2612.2000000029802,3579.7999999970198,397674.8999999985,405998.299999997,406819.799999997,407675.200000003,408532.5,409292.8999999985,409965.6000000015,410531.700000003,411659.1000000015,412980.3999999985,413803.1000000015,415187.200000003,416107.200000003,417932.200000003,418803.1000000015,431435.200000003,440435,441339.5,446267.1000000015,447003.1000000015,448596.1000000015,449347,449891.799999997,450787.700000003,451955.299999997,459603.1000000015,460715.299999997,481331.5]","0.9545454545454546","0.09523809523809523","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5603","","","","survey-template","4","698111","0.0-2.0-2.0","52","1","2025-07-16 08:21:17","1f75c3e559b7213887762d5229550c2b","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","686e379bc37a29ffa5cdc956","68776006826754b038605f6a","1","1","6743c8da977b0d274dad1fc2","1","1","2025-07-16T08:34:39.078Z","","{""Q01"":""0"",""Q02"":""5"",""Q03"":""0""}","[0,1,2]","[""Q02"",""Q01"",""Q03""]","[2873.2000000029802,3729.3000000044703,4617]","[]","[2194.4000000059605,2873.2000000029802,3729.3000000044703,4617,5601.70000000298]","1","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3142","","","","instructions","5","701254","0.0-3.0-0.0","52","1","2025-07-16 08:21:17","1f75c3e559b7213887762d5229550c2b","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","686e379bc37a29ffa5cdc956","68776006826754b038605f6a","1","1","6743c8da977b0d274dad1fc2","1","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3141}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3046","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","78","html-slider-response","6","704302","0.0-4.0-0.0","52","1","2025-07-16 08:21:17","1f75c3e559b7213887762d5229550c2b","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","686e379bc37a29ffa5cdc956","68776006826754b038605f6a","1","1","6743c8da977b0d274dad1fc2","1","1","2025-07-16T08:34:45.269Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2784","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","80","html-slider-response","7","707088","0.0-4.0-1.0","52","1","2025-07-16 08:21:17","1f75c3e559b7213887762d5229550c2b","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","686e379bc37a29ffa5cdc956","68776006826754b038605f6a","1","1","6743c8da977b0d274dad1fc2","1","1","2025-07-16T08:34:48.055Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1860","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","8","708949","0.0-4.0-2.0","52","1","2025-07-16 08:21:17","1f75c3e559b7213887762d5229550c2b","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","686e379bc37a29ffa5cdc956","68776006826754b038605f6a","1","1","6743c8da977b0d274dad1fc2","1","1","2025-07-16T08:34:49.916Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","3957542","0.0-5.0-0.0","52","1","2025-07-16 08:21:17","1f75c3e559b7213887762d5229550c2b","216.120.189.41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6743c8da977b0d274dad1fc2","686e379bc37a29ffa5cdc956","68776006826754b038605f6a","1","1","6743c8da977b0d274dad1fc2","1","1","2025-07-16T09:28:58.510Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","814185","3213046.4","3218051.4","3245587.7","1","4","4","6","2","-4","-4","0","0","0","1325.4","3000","-3010","[""down"",""right""]","{""num_key_presses"":7,""num_perfect"":7,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":6}","[261.396875,262.803125,2.3,261.396875,262.803125,100.4,261.396875,262.803125,204.7,261.396875,262.803125,304.7,261.396875,262.803125,405.3,260.396875,265.803125,505.3,261.396875,268.803125,609.3,316.396875,340.803125,713.8,418.396875,414.803125,814.5,420.396875,416.803125,919,444.396875,454.803125,1020.7,455.396875,470.803125,1126.7,461.396875,474.803125,1229.1,463.396875,474.803125,1339.6,463.396875,474.803125,1440.5,463.396875,474.803125,1544.3,463.396875,474.803125,1645.9,463.396875,474.803125,1749,463.396875,474.803125,1849.5,463.396875,474.803125,1949.9,464.396875,455.803125,2054.4,464.396875,454.803125,2154.4,464.396875,454.803125,2254.5,464.396875,454.803125,2355.4,464.396875,454.803125,2459.7,464.396875,454.803125,2564.4,464.396875,454.803125,2669.8,464.396875,454.803125,2775.1,464.396875,454.803125,2878.8,464.396875,454.803125,2979.6,464.396875,454.803125,3084.8,464.396875,454.803125,3189.1,464.396875,454.803125,3289.5,464.396875,454.803125,3394,464.396875,454.803125,3494.1,464.396875,454.803125,3598.9,464.396875,454.803125,3699.4,464.396875,454.803125,3804.5,464.396875,454.803125,3909.6,464.396875,454.803125,4014.1,464.396875,454.803125,4114.2,464.396875,454.803125,4215.4,464.396875,454.803125,4315.6,464.396875,454.803125,4418.8,464.396875,454.803125,4519,464.396875,454.803125,4619.9,464.396875,454.803125,4719.9,464.396875,454.803125,4825.1,464.396875,454.803125,4925.3]","[1559.3,1559.2,1000,0.1,559.2,""smooth"",""up"",""up"",""bad_move"",5087.9,3527.8,3083.3,1560.1,444.5,""smooth"",""down"",""down"",""good_move"",8606.1,3518,3141.3,5088.2,376.7,""smooth"",""down"",""down"",""good_move"",14484.7,5878.3,2270,11845,369.7,""smooth"",""right"",""right"",""good_move"",17399.9,2914.3,2493.5,14485.6,420.9,""smooth"",""right"",""right"",""good_move"",20824.4,3423.7,3086.3,17400.7,337.4,""smooth"",""down"",""down"",""good_move"",24144.8,3320.1,3001.3,20824.7,318.8,""smooth"",""down"",""down"",""good_move""]","",""
