"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"9944","1752654297138","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","9948","0.0-0.0","57","1","2025-07-16 08:24:43","1f75c3e559b7213887762d5229550c2b","168.210.171.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","667abff30a4bfe675c592b14","686e379bc37a29ffa5cdc956","687761bae4e619d7f3480ebd","1","1","667abff30a4bfe675c592b14","1","1","2025-07-16T08:24:57.140Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20913","","","","fullscreen","1","31875","0.0-1.0","57","1","2025-07-16 08:24:43","1f75c3e559b7213887762d5229550c2b","168.210.171.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","667abff30a4bfe675c592b14","686e379bc37a29ffa5cdc956","687761bae4e619d7f3480ebd","1","1","667abff30a4bfe675c592b14","1","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4761","1752654323828","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","36639","0.0-2.0-0.0","57","1","2025-07-16 08:24:43","1f75c3e559b7213887762d5229550c2b","168.210.171.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","667abff30a4bfe675c592b14","686e379bc37a29ffa5cdc956","687761bae4e619d7f3480ebd","1","1","667abff30a4bfe675c592b14","1","1","2025-07-16T08:25:23.830Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"187201.30000001192","","","","survey-template","3","223841","0.0-2.0-1.0","57","1","2025-07-16 08:24:43","1f75c3e559b7213887762d5229550c2b","168.210.171.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","667abff30a4bfe675c592b14","686e379bc37a29ffa5cdc956","687761bae4e619d7f3480ebd","1","1","667abff30a4bfe675c592b14","1","1","2025-07-16T08:28:31.033Z","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""0"",""Q04"":""1"",""Q05"":""0"",""Q06"":""0"",""Q07"":""1"",""Q08"":""2"",""Q09"":""3"",""Q10"":""3"",""Q11"":""4"",""Q12"":""3"",""Q13"":""5"",""Q14"":""2"",""Q15"":""1"",""Q16"":""1"",""Q17"":""4"",""Q18"":""3"",""Q19"":""1"",""Q20"":""1"",""Q21"":""2"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q03"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[6702,10162.200000047684,14418.100000023842,17139,18754.30000001192,20641.5,22324.900000035763,24582,27838.30000001192,32777.200000047684,45237.10000002384,48163,52095.40000003576,59004,62846.10000002384,65154.80000001192,72414.60000002384,77808.5,84171.80000001192,85621.80000001192,128736,130391.30000001192,181318.60000002384,185743.20000004768]","[]","[2.800000011920929,4566.800000011921,6702,10162.200000047684,14418.100000023842,17139,18754.30000001192,20641.5,22324.900000035763,24582,27838.30000001192,32777.200000047684,45237.10000002384,48163,52095.40000003576,56281.60000002384,59004,60711.30000001192,62846.10000002384,65154.80000001192,71228.30000001192,72414.60000002384,77808.5,81997.80000001192,84171.80000001192,85621.80000001192,128736,130391.30000001192,181318.60000002384,185743.20000004768,187187.80000001192]","0.2727272727272727","0.47619047619047616","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23202.600000023842","","","","survey-template","4","247050","0.0-2.0-2.0","57","1","2025-07-16 08:24:43","1f75c3e559b7213887762d5229550c2b","168.210.171.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","667abff30a4bfe675c592b14","686e379bc37a29ffa5cdc956","687761bae4e619d7f3480ebd","1","1","667abff30a4bfe675c592b14","1","1","2025-07-16T08:28:54.241Z","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""5""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[6123.399999976158,14416.699999988079,21153.30000001192]","[]","[6123.399999976158,14416.699999988079,21153.30000001192,23200.19999998808]","0.3333333333333333","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71834","","","","instructions","5","318881","0.0-3.0-0.0","57","1","2025-07-16 08:24:43","1f75c3e559b7213887762d5229550c2b","168.210.171.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","667abff30a4bfe675c592b14","686e379bc37a29ffa5cdc956","687761bae4e619d7f3480ebd","1","1","667abff30a4bfe675c592b14","1","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":71833}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15317","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","99","html-slider-response","6","334206","0.0-4.0-0.0","57","1","2025-07-16 08:24:43","1f75c3e559b7213887762d5229550c2b","168.210.171.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","667abff30a4bfe675c592b14","686e379bc37a29ffa5cdc956","687761bae4e619d7f3480ebd","1","1","667abff30a4bfe675c592b14","1","1","2025-07-16T08:30:21.397Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6184","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","100","html-slider-response","7","340393","0.0-4.0-1.0","57","1","2025-07-16 08:24:43","1f75c3e559b7213887762d5229550c2b","168.210.171.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","667abff30a4bfe675c592b14","686e379bc37a29ffa5cdc956","687761bae4e619d7f3480ebd","1","1","667abff30a4bfe675c592b14","1","1","2025-07-16T08:30:27.584Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7560","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","60","html-slider-response","8","347955","0.0-4.0-2.0","57","1","2025-07-16 08:24:43","1f75c3e559b7213887762d5229550c2b","168.210.171.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","667abff30a4bfe675c592b14","686e379bc37a29ffa5cdc956","687761bae4e619d7f3480ebd","1","1","667abff30a4bfe675c592b14","1","1","2025-07-16T08:30:35.146Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","374985","0.0-5.0-0.0","57","1","2025-07-16 08:24:43","1f75c3e559b7213887762d5229550c2b","168.210.171.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","667abff30a4bfe675c592b14","686e379bc37a29ffa5cdc956","687761bae4e619d7f3480ebd","1","1","667abff30a4bfe675c592b14","1","1","2025-07-16T08:31:02.176Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","352844.1","2478.3","7485.1","24017.2","1","4","8","6","2","8","8","8","0","0.06060606060606061","1731.7","3000","1180","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":6}","[291.22232142857143,297.12857142857143,0.9,291.22232142857143,297.12857142857143,106.7,291.22232142857143,297.12857142857143,208.3,291.22232142857143,297.12857142857143,313.1,291.22232142857143,297.12857142857143,417.8,291.22232142857143,297.12857142857143,519.5,291.22232142857143,297.12857142857143,623.7,270.22232142857143,342.12857142857143,724.4,287.22232142857143,331.12857142857143,830.6,455.22232142857143,140.12857142857143,933.2,482.22232142857143,113.12857142857143,1035.5,497.22232142857143,104.12857142857143,1141.9,508.22232142857143,91.12857142857143,1248.4,548.2223214285714,58.128571428571426,1349.9,547.2223214285714,58.128571428571426,1451.3,547.2223214285714,59.128571428571426,1552.8,547.2223214285714,59.128571428571426,1653.9,547.2223214285714,59.128571428571426,1761,547.2223214285714,59.128571428571426,1861.1,547.2223214285714,59.128571428571426,1964.7,547.2223214285714,59.128571428571426,2066,547.2223214285714,59.128571428571426,2170,547.2223214285714,59.128571428571426,2273.6,547.2223214285714,59.128571428571426,2377.3,547.2223214285714,59.128571428571426,2482.7,547.2223214285714,59.128571428571426,2584.7,547.2223214285714,59.128571428571426,2690.4,547.2223214285714,59.128571428571426,2794.2,547.2223214285714,59.128571428571426,2896.9,547.2223214285714,59.128571428571426,2997.7,547.2223214285714,59.128571428571426,3103.2,547.2223214285714,59.128571428571426,3203.8,547.2223214285714,59.128571428571426,3311.8,547.2223214285714,59.128571428571426,3413,547.2223214285714,59.128571428571426,3513,547.2223214285714,59.128571428571426,3613.4,547.2223214285714,59.128571428571426,3714.5,420.22232142857143,202.12857142857143,3833.6,379.22232142857143,240.12857142857143,3933.9,378.22232142857143,241.12857142857143,4034,348.22232142857143,268.12857142857143,4134.2,313.22232142857143,304.12857142857143,4235.9,296.22232142857143,320.12857142857143,4344.8,270.22232142857143,340.12857142857143,4452.4,266.22232142857143,342.12857142857143,4553.1,260.22232142857143,342.12857142857143,4653.7,259.22232142857143,342.12857142857143,4755,259.22232142857143,342.12857142857143,4860.5,259.22232142857143,342.12857142857143,4963.3]","[1597.4,1597.2,1000,0.2,597.2,""smooth"",""right"",""right"",""good_move"",4604,3005.4,2625.6,1598.7,379.7,""smooth"",""right"",""right"",""good_move"",7615.9,3009,2586.8,4606.9,422.2,""smooth"",""right"",""right"",""good_move"",10875.2,3258.2,2824.2,7617,434,""smooth"",""up"",""up"",""good_move"",13465.6,2589.1,2129.1,10876.5,460,""smooth"",""up"",""up"",""good_move"",16336.6,2870,2486.1,13466.6,383.9,""smooth"",""up"",""up"",""good_move""]","",""
