"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"8080","1752654334986","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","8083","0.0-0.0","58","1","2025-07-16 08:25:24","1f75c3e559b7213887762d5229550c2b","136.185.210.208","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","686e379bc37a29ffa5cdc956","687761a00701d5b07a938bed","1","1","664b3888f484550fe6d377bc","1","1","2025-07-16T08:25:34.987Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3357","","","","fullscreen","1","12448","0.0-1.0","58","1","2025-07-16 08:25:24","1f75c3e559b7213887762d5229550c2b","136.185.210.208","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","686e379bc37a29ffa5cdc956","687761a00701d5b07a938bed","1","1","664b3888f484550fe6d377bc","1","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"961","1752654340314","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","13410","0.0-2.0-0.0","58","1","2025-07-16 08:25:24","1f75c3e559b7213887762d5229550c2b","136.185.210.208","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","686e379bc37a29ffa5cdc956","687761a00701d5b07a938bed","1","1","664b3888f484550fe6d377bc","1","1","2025-07-16T08:25:40.314Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102857.80000007153","","","","survey-template","3","116274","0.0-2.0-1.0","58","1","2025-07-16 08:25:24","1f75c3e559b7213887762d5229550c2b","136.185.210.208","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","686e379bc37a29ffa5cdc956","687761a00701d5b07a938bed","1","1","664b3888f484550fe6d377bc","1","1","2025-07-16T08:27:23.178Z","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""1"",""Q04"":""4"",""Q05"":""3"",""Q06"":""4"",""Q07"":""5"",""Q08"":""2"",""Q09"":""4"",""Q10"":""3"",""Q11"":""3"",""Q12"":""4"",""Q13"":""5"",""Q14"":""0"",""Q15"":""1"",""Q16"":""2"",""Q17"":""3"",""Q18"":""3"",""Q19"":""2"",""Q20"":""2"",""Q21"":""2"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[5813,7811.800000071526,8996.300000071526,10164.100000023842,11852.399999976158,15156.300000071526,16003.300000071526,18003.700000047684,20323.399999976158,22700.200000047684,24787.300000071526,26643.700000047684,29427.700000047684,33420.300000071526,37563.300000071526,41443.10000002384,42956.300000071526,44956.200000047684,90716.10000002384,96683.70000004768,101027.60000002384,102235.89999997616]","[]","[0.20000004768371582,5813,7012.399999976158,7811.800000071526,8996.300000071526,10164.100000023842,11852.399999976158,13924.100000023842,14811.200000047684,15156.300000071526,16003.300000071526,17564.600000023842,18003.700000047684,20323.399999976158,22700.200000047684,24787.300000071526,25660.700000047684,26643.700000047684,28804.200000047684,29427.700000047684,33420.300000071526,36267.5,37563.300000071526,38323.800000071526,39674.800000071526,41443.10000002384,42956.300000071526,44052.10000002384,44956.200000047684,45643.60000002384,90716.10000002384,96683.70000004768,99508.30000007153,101027.60000002384,102235.89999997616,102852.5]","0.3181818181818182","0.5238095238095238","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11613.299999952316","","","","survey-template","4","127890","0.0-2.0-2.0","58","1","2025-07-16 08:25:24","1f75c3e559b7213887762d5229550c2b","136.185.210.208","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","686e379bc37a29ffa5cdc956","687761a00701d5b07a938bed","1","1","664b3888f484550fe6d377bc","1","1","2025-07-16T08:27:34.794Z","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3324.899999976158,7365.799999952316,10629]","[]","[3324.899999976158,7365.799999952316,10629,11612.600000023842]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29559","","","","instructions","5","157450","0.0-3.0-0.0","58","1","2025-07-16 08:25:24","1f75c3e559b7213887762d5229550c2b","136.185.210.208","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","686e379bc37a29ffa5cdc956","687761a00701d5b07a938bed","1","1","664b3888f484550fe6d377bc","1","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":29559}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5006","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","81","html-slider-response","6","162458","0.0-4.0-0.0","58","1","2025-07-16 08:25:24","1f75c3e559b7213887762d5229550c2b","136.185.210.208","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","686e379bc37a29ffa5cdc956","687761a00701d5b07a938bed","1","1","664b3888f484550fe6d377bc","1","1","2025-07-16T08:28:09.362Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2165","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","62","html-slider-response","7","164624","0.0-4.0-1.0","58","1","2025-07-16 08:25:24","1f75c3e559b7213887762d5229550c2b","136.185.210.208","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","686e379bc37a29ffa5cdc956","687761a00701d5b07a938bed","1","1","664b3888f484550fe6d377bc","1","1","2025-07-16T08:28:11.529Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1487","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","67","html-slider-response","8","166113","0.0-4.0-2.0","58","1","2025-07-16 08:25:24","1f75c3e559b7213887762d5229550c2b","136.185.210.208","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","686e379bc37a29ffa5cdc956","687761a00701d5b07a938bed","1","1","664b3888f484550fe6d377bc","1","1","2025-07-16T08:28:13.017Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","199963","0.0-5.0-0.0","58","1","2025-07-16 08:25:24","1f75c3e559b7213887762d5229550c2b","136.185.210.208","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","664b3888f484550fe6d377bc","686e379bc37a29ffa5cdc956","687761a00701d5b07a938bed","1","1","664b3888f484550fe6d377bc","1","1","2025-07-16T08:28:46.867Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","170431.9","2719.5","7723.9","30844.5","1","4","8","6","2","8","8","8","0","0.06060606060606061","1214.4","3000","1230","[""left"",""up""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":2,""num_good_moves"":6}","[419.0714133126395,424.07142761775424,0.2,419.0714133126395,424.07142761775424,120.9,419.0714133126395,424.07142761775424,224.4,419.0714133126395,424.07142761775424,331.7,419.0714133126395,424.07142761775424,432,419.0714133126395,424.07142761775424,533.4,419.0714133126395,435.32142761775424,637.4,396.5714133126395,447.82142761775424,741.4,245.3214133126395,296.57142761775424,841.6,166.5714133126395,181.57142761775424,949,86.5714133126395,76.57142761775425,1052.6,69.0714133126395,59.07142761775425,1162.4,69.0714133126395,59.07142761775425,1264.2,69.0714133126395,59.07142761775425,1367.8,69.0714133126395,59.07142761775425,1470.3,69.0714133126395,59.07142761775425,1574.9,69.0714133126395,59.07142761775425,1679.4,69.0714133126395,59.07142761775425,1781.2,69.0714133126395,59.07142761775425,1885.8,69.0714133126395,59.07142761775425,1986,69.0714133126395,59.07142761775425,2088.3,69.0714133126395,59.07142761775425,2192.4,69.0714133126395,59.07142761775425,2297.2,69.0714133126395,59.07142761775425,2403.6,69.0714133126395,59.07142761775425,2505,69.0714133126395,59.07142761775425,2607.3,69.0714133126395,59.07142761775425,2710.5,69.0714133126395,59.07142761775425,2813.1,69.0714133126395,59.07142761775425,2922.8,69.0714133126395,59.07142761775425,3029.2,69.0714133126395,59.07142761775425,3133.7,69.0714133126395,59.07142761775425,3236.9,69.0714133126395,59.07142761775425,3345.3,69.0714133126395,59.07142761775425,3446.7,69.0714133126395,59.07142761775425,3546.9,69.0714133126395,59.07142761775425,3647.7,69.0714133126395,59.07142761775425,3758.3,69.0714133126395,59.07142761775425,3858.7,69.0714133126395,59.07142761775425,3959.6,69.0714133126395,59.07142761775425,4062.9,69.0714133126395,59.07142761775425,4163.6,69.0714133126395,59.07142761775425,4264,69.0714133126395,59.07142761775425,4371.6,69.0714133126395,59.07142761775425,4479.3,69.0714133126395,59.07142761775425,4582.9,69.0714133126395,59.07142761775425,4689.7,69.0714133126395,59.07142761775425,4795.9,69.0714133126395,59.07142761775425,4896.8]","[1474.8,1474.9,1000,0,474.9,""smooth"",""left"",""left"",""good_move"",4491.8,3016.3,2584.1,1475.5,432.2,""smooth"",""left"",""left"",""good_move"",7723.9,3231.6,2846.1,4492.3,385.5,""smooth"",""left"",""left"",""good_move"",16481.5,8757.3,1704.4,14377.8,399.3,""smooth"",""up"",""up"",""good_move"",19659,3177,2696.6,16482,480.4,""smooth"",""up"",""up"",""good_move"",22989.7,3330.3,2912.8,19659.4,417.5,""smooth"",""up"",""up"",""good_move""]","",""
